industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
unclassified,building_code_compliance,US9037311076,UL SOLUTIONS INC - CLASS A,1,"Proporciona experiencia crítica en ciencias de la seguridad, incluidos servicios de pruebas, inspección y certificación, esenciales para garantizar el cumplimiento de los códigos de construcción.","La participación de la empresa en el cumplimiento de los códigos de construcción es evidente a través del desarrollo de un nuevo centro global de excelencia en ciencias del fuego en su campus de Northbrook, Illinois, destinado a mejorar su posición en los mercados de seguridad contra incendios, seguridad y construcción. Este centro proporcionará servicios mejorados de investigación y pruebas para sistemas de seguridad contra incendios comerciales y residenciales. Además, la empresa realiza pruebas de certificación de productos, componentes y sistemas de acuerdo con las normas y los requisitos reglamentarios, junto con servicios de certificación continuos para validar el cumplimiento continuo de los productos previamente certificados.","[{'name': 'uls-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uls-Q225-10-Q.html'}, {'name': 'uls-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uls-FY24-10-K.html'}]",696016914,USD,ULS,SMART,STK,False,BUI
unclassified,building_code_compliance,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,2,"Proporciona soluciones y servicios que permiten a los edificios cumplir y superar los requisitos normativos y las normas de la industria, incluidas las relacionadas con la seguridad, la sostenibilidad y la eficiencia operativa.","El negocio de Johnson Controls está influenciado por el cumplimiento de los códigos de construcción a través de la demanda de sus productos y servicios que permiten edificios inteligentes, seguros, eficientes y sostenibles. Esta demanda está impulsada por incentivos fiscales gubernamentales, estándares de rendimiento de edificios y regulaciones destinadas a limitar las emisiones y combatir el cambio climático, particularmente dentro de sectores como centros de datos, gobierno, atención médica y educación superior. Las iniciativas legislativas y regulatorias como la Iniciativa de Edificios Inteligentes para el Clima de EE. UU., la Ley de Reducción de la Inflación de EE. UU. y la Directiva de Rendimiento Energético de los Edificios de la UE también fomentan la inversión en descarbonización y tecnologías de edificios digitales, destacando aún más la importancia del cumplimiento de los códigos de construcción para la empresa.","[{'name': 'jci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q225-10-Q.html'}, {'name': 'jci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q125-10-Q.html'}, {'name': 'jci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jci-FY24-10-K.html'}]",244164913,USD,JCI,SMART,STK,True,BUI
unclassified,building_code_compliance,IE0001827041,CRH PLC,3,"Desarrolla y suministra materiales y soluciones de construcción que cumplen con los estrictos requisitos reglamentarios y los códigos de construcción en evolución, garantizando la seguridad, la sostenibilidad y el rendimiento en los proyectos de construcción.",,,12538958,EUR,CRG,SMART,STK,False,BUI
unclassified,building_code_compliance,US4385161066,HONEYWELL INTERNATIONAL INC,4,"Proporciona soluciones y sistemas avanzados de construcción que garantizan que las estructuras cumplan con los códigos y estándares de cumplimiento críticos de seguridad, eficiencia energética y operación.",,,4350,USD,HON,SMART,STK,True,BUI
unclassified,building_code_compliance,US14448C1045,CARRIER GLOBAL CORP,5,"Desarrolla y suministra tecnologías y soluciones de construcción avanzadas diseñadas para permitir a los clientes cumplir con estrictos códigos de construcción para la eficiencia energética, la seguridad y el rendimiento ambiental en sistemas de HVAC, incendios y seguridad.",,,410755397,USD,CARR,SMART,STK,True,BUI
unclassified,building_code_compliance,US6907421019,OWENS CORNING,6,"Desarrolla y fabrica materiales de construcción diseñados para cumplir o superar códigos y estándares de construcción estrictos, contribuyendo a prácticas de construcción más seguras y eficientes energéticamente.",,,41289692,USD,OC,SMART,STK,True,BUI
unclassified,building_code_compliance,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,7,"Desarrolla y proporciona soluciones innovadoras para edificios, incluidos sistemas y controles de HVAC, diseñados para cumplir y superar los estrictos códigos de construcción y los estándares de eficiencia energética, contribuyendo a una infraestructura más segura, sostenible y conforme.",La participación de la compañía en el tema de Cumplimiento de Códigos de Construcción es evidente a través de su enfoque en productos energéticamente eficientes y la descarbonización del entorno construido dentro de los mercados de HVAC comerciales en América y EMEA. Los sólidos mercados de HVAC comerciales se sustentan en la demanda de productos energéticamente eficientes y soluciones impulsadas por el cliente. Las soluciones de HVAC de la compañía se alinean implícitamente con el cumplimiento de los códigos de construcción al proporcionar opciones energéticamente eficientes y apoyar la descarbonización de los edificios.,"[{'name': 'tt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q125-10-Q.html'}]",406709270,USD,TT,SMART,STK,True,BUI
unclassified,building_code_compliance,US9427491025,WATTS WATER TECHNOLOGIES-A,8,"Proporciona soluciones y productos que garantizan el cumplimiento de estrictos códigos de construcción y normas de calidad del agua, seguridad y eficiencia en la construcción residencial y comercial.","La participación de la compañía en el tema de Cumplimiento de Códigos de Construcción es evidente en sus operaciones comerciales y estrategias de crecimiento futuras. La mayoría de las ventas de la compañía están ligadas a productos sujetos a estándares regulatorios y aplicación de códigos, lo que los lleva a abogar constantemente por el desarrollo y la aplicación de códigos de plomería. El enfoque de la compañía en mantener estrictos procedimientos de control de calidad y pruebas en sus instalaciones de fabricación garantiza el cumplimiento de los requisitos del código, lo que consideran una ventaja competitiva, impulsando aún más su inversión en desarrollo de productos, pruebas y equipos de planta. La compañía también reconoce que los requisitos regulatorios y la aplicación continua de códigos de plomería y construcción son factores importantes para el crecimiento futuro.","[{'name': 'wts-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wts-Q324-10-Q.html'}, {'name': 'wts-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wts-FY24-10-K.html'}]",2009894,USD,WTS,SMART,STK,True,BUI
unclassified,building_code_compliance,US45780R1014,INSTALLED BUILDING PRODUCTS,9,"Garantiza que la instalación de productos de construcción cumpla con todos los códigos de construcción y estándares regulatorios relevantes, contribuyendo así a la seguridad y el cumplimiento de los proyectos de construcción.","El negocio de IBP está respaldado por la adopción gradual de códigos de construcción avanzados para mejorar la eficiencia energética en todo Estados Unidos, ya que la empresa declara explícitamente que su negocio está respaldado por la adopción gradual de códigos de construcción con el propósito de mejorar la eficiencia energética en todo Estados Unidos. IBP cree que su negocio está respaldado por la adopción gradual de códigos de construcción con el propósito de mejorar la eficiencia energética en todo Estados Unidos. El negocio de la empresa también está respaldado por una escasez fundamental de viviendas residenciales.",,143979238,USD,IBP,SMART,STK,True,BUI
unclassified,building_code_compliance,US00187Y1001,API GROUP CORP,10,Proporciona servicios y soluciones críticas que facilitan el cumplimiento de los códigos de construcción.,"La participación de la empresa en el tema de Cumplimiento de Códigos de Construcción se deriva de la provisión de servicios legalmente exigidos, particularmente en seguridad contra incendios y de vida, seguridad y servicios de ascensores/escaleras mecánicas, que requieren intrínsecamente el cumplimiento de los códigos de construcción. El segmento de Servicios de Seguridad de la empresa se enfoca en sistemas integrales de ocupación de extremo a extremo, incluyendo el diseño, instalación e inspección de estos sistemas. La empresa proporciona estos servicios a una sólida base de clientes de larga data en diversas industrias.","[{'name': 'apg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/apg-Q225-10-Q.html'}, {'name': 'apg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/apg-FY24-10-K.html'}]",419583227,USD,APG,SMART,STK,True,BUI
