industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EM,RES,DIS,entertainment and media,resort_destinations,US2546871060,WALT DISNEY CO/THE,1,"Opera numerosos parques temáticos, resorts y líneas de cruceros de renombre mundial a nivel mundial, creando destinos de entretenimiento integrales que atraen a millones de visitantes anualmente.","El segmento de Experiencias de Disney genera ingresos de parques temáticos y resorts, incluidos los cargos por noches de hotel, las ventas y alquileres de propiedades de clubes vacacionales y las ventas de vacaciones en crucero. El crecimiento en los ingresos de resorts y vacaciones se atribuye a factores como los precios promedio más altos de los boletos para los viajes en crucero, los aumentos en las tarifas diarias promedio de las habitaciones de hotel y las noches de hotel ocupadas más altas. Los gastos de capital se asignan a la expansión de parques temáticos y resorts, y los ingresos fluctúan con los cambios en la asistencia a parques temáticos y la ocupación de resorts, influenciados por la naturaleza estacional de los viajes de vacaciones y las actividades de ocio.","[{'name': 'dis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q125-10-Q.html'}, {'name': 'dis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q225-10-Q.html'}, {'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}, {'name': 'dis-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q325-10-Q.html'}]",6459,USD,SMART,STK
EM,RES,MAR,entertainment and media,resort_destinations,US5719032022,MARRIOTT INTERNATIONAL -CL A,2,"Opera una vasta cartera de resorts de lujo y premium a nivel mundial, ofreciendo diversas experiencias de ocio y hospitalidad en destinos turísticos clave.",El compromiso de Marriott con los destinos de resorts se demuestra a través de la apertura de propiedades como el todo incluido W Punta Cana y el JW Marriott Crete Resort & Spa. La empresa ha destacado que los resorts han tenido un rendimiento extremadamente bueno. Esto indica que los destinos de resorts son parte de la estrategia de crecimiento de Marriott.,,9358,USD,SMART,STK
EM,RES,HLT,entertainment and media,resort_destinations,US43300A2033,HILTON WORLDWIDE HOLDINGS IN,3,"Gestiona una importante cartera de propiedades de resorts de lujo y de ocio a nivel mundial, contribuyendo significativamente a la atracción y desarrollo de diversos destinos turísticos.","La participación de Hilton en destinos turísticos es evidente en el crecimiento del RevPAR dentro de su cartera de lujo y estilo de vida, particularmente en ubicaciones turísticas en las Américas fuera de los EE. UU. Esto se demuestra aún más con la apertura de su primer resort todo incluido Curio en la República Dominicana, lo que indica un movimiento estratégico hacia la expansión de su presencia en el mercado todo incluido, mientras que los resorts todo incluido son una buena opción para las redenciones de los miembros leales de Honors.",,257944570,USD,SMART,STK
EM,RES,CUK,entertainment and media,resort_destinations,US14365C1036,CARNIVAL PLC-ADR,4,"Opera numerosas líneas de cruceros que visitan y utilizan frecuentemente diversos destinos turísticos a nivel mundial, lo que las convierte en una parte clave de sus itinerarios de viaje.","La compañía demuestra un enfoque en mejorar su estrategia de destinos a través de inversiones en destinos exclusivos de puertos de cruceros. Esto se destaca por el desarrollo de Celebration Key, un nuevo destino exclusivo de puerto de cruceros en Gran Bahama, y las mejoras en Half Moon Cay, incluido un muelle de nueva construcción. Estos desarrollos están respaldados por gastos de capital asignados a destinos portuarios e islas exclusivas, con el objetivo de brindar a los huéspedes razones adicionales para elegir unas vacaciones en crucero con la compañía.","[{'name': 'cuk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cuk-Q225-10-Q.html'}, {'name': 'cuk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cuk-FY24-10-K.html'}]",13796753,USD,SMART,STK
EM,RES,CCL,entertainment and media,resort_destinations,PA1436583006,CARNIVAL CORP,5,"Opera una flota global de cruceros que transportan pasajeros a numerosos destinos, muchos de los cuales se centran en resorts, contribuyendo así a la actividad turística y económica de estos destinos turísticos.","El compromiso de la empresa con los destinos turísticos es evidente a través de su estrategia mejorada de destinos, diseñada para atraer a los huéspedes de cruceros. Esta estrategia incluye el desarrollo de Celebration Key, un nuevo destino exclusivo de puerto de cruceros en Gran Bahama, con una inauguración programada para el verano de 2025 y un muelle adicional en otoño de 2026, así como mejoras planificadas en Half Moon Cay, su destino exclusivo en las Bahamas. Estos desarrollos en destinos portuarios e islas exclusivas forman parte de los gastos de capital de la empresa, que también incluyen los ingresos de paquetes terrestres previos y posteriores al crucero.","[{'name': 'ccl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ccl-Q324-10-Q.html'}, {'name': 'ccl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ccl-FY24-10-K.html'}, {'name': 'ccl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ccl-Q225-10-Q.html'}]",5516,USD,SMART,STK
EM,RES,LVS,entertainment and media,resort_destinations,US5178341070,LAS VEGAS SANDS CORP,6,"Desarrolla y opera complejos turísticos integrados a gran escala que sirven como destinos globales de primer nivel, proporcionando amplias instalaciones de hostelería, entretenimiento y convenciones.","El negocio principal de Las Vegas Sands gira en torno a la operación de resorts integrados en Macao y Singapur, que funcionan como destinos turísticos al combinar opciones de alojamiento, juego, compras, gastronomía y entretenimiento. Estos resorts, que incluyen The Venetian Macao, The Londoner Macao, The Parisian Macao y Marina Bay Sands, están diseñados para atraer a viajeros que buscan descanso, recreación y diversas opciones de ocio. La compañía se enfoca en aumentar la afluencia a estos resorts y mejorar sus ofertas, destacando su importancia estratégica como lugares de vacaciones.","[{'name': 'lvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lvs-FY24-10-K.html'}]",32602412,USD,SMART,STK
EM,RES,VAC,entertainment and media,resort_destinations,US57164Y1073,MARRIOTT VACATIONS WORLD,7,Se dedica al desarrollo y operación de resorts de propiedad vacacional ubicados en destinos turísticos clave a nivel mundial.,"La participación de la empresa en el tema de Destinos Turísticos es evidente a través de sus operaciones comerciales principales, que abarcan propiedad vacacional, intercambio, alquiler y gestión de resorts y propiedades. La empresa opera un segmento de Propiedad Vacacional, que incluye una cartera diversa de resorts, algunos de los cuales se encuentran bajo marcas icónicas licenciadas a través de relaciones a largo plazo. El enfoque de la empresa en brindar excelentes experiencias vacacionales se destaca aún más por sus altas tasas de ocupación de resorts, incluida una ocupación del 95% en Hawái, y sus planes de expansión con nuevos resorts en Waikiki, Tailandia, Bali y Orlando.","[{'name': 'vac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vac-Q225-10-Q.html'}, {'name': 'vac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vac-FY24-10-K.html'}, {'name': 'vac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vac-Q125-10-Q.html'}, {'name': 'vac-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vac-Q324-10-Q.html'}]",96965587,USD,SMART,STK
EM,RES,RCL,entertainment and media,resort_destinations,LR0008862868,ROYAL CARIBBEAN CRUISES LTD,8,"Opera como un importante proveedor de vacaciones en crucero, transportando a los huéspedes a una amplia gama de destinos turísticos globales y a menudo desarrollando destinos de islas privadas que contribuyen al sector del turismo de resorts.","Royal Caribbean Cruises está significativamente invertida en la expansión de su cartera de destinos turísticos. La compañía está desarrollando ubicaciones de Royal Beach Club en Paradise Island, Cozumel y Lelepa, así como Perfect Day Mexico, todas diseñadas para mejorar la experiencia vacacional y generar rendimientos premium. Además, Royal Caribbean adquirió el Puerto de Costa Maya, lo que demuestra un compromiso de crear experiencias únicas lideradas por destinos y de apoyar el desarrollo económico de las comunidades locales a través de la creación de empleo e iniciativas medioambientales.","[{'name': 'rcl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rcl-FY24-10-K.html'}]",11520,USD,SMART,STK
EM,RES,MGM,entertainment and media,resort_destinations,US5529531015,MGM RESORTS INTERNATIONAL,9,"Opera numerosas propiedades de resorts integrados a nivel mundial, ofreciendo una amplia gama de experiencias de hospitalidad, juego, entretenimiento y gastronomía que definen destinos de resort integrales.","El negocio de MGM se centra en la operación de propiedades de casino que funcionan como destinos turísticos, ofreciendo una combinación de juegos de azar, hotel, convenciones, restaurantes, entretenimiento y servicios minoristas. Esto se demuestra aún más por el desarrollo de un resort integrado en Osaka, Japón, y el enfoque de la empresa en segmentos como el Strip de Las Vegas y MGM China. El rendimiento del segmento del Strip de Las Vegas está fuertemente influenciado por el volumen de visitantes, que ha aumentado debido a eventos deportivos, musicales y de entretenimiento a lo largo de 2024.","[{'name': 'mgm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mgm-FY24-10-K.html'}]",9560,USD,SMART,STK
EM,RES,NCLH,entertainment and media,resort_destinations,BMG667211046,NORWEGIAN CRUISE LINE HOLDIN,10,Facilita los viajes y ofrece experiencias en numerosos destinos turísticos globales a través de sus extensos itinerarios de cruceros.,"El negocio de Norwegian Cruise Line Holdings está significativamente ligado a los destinos turísticos, como lo demuestran sus operaciones de cruceros que intrínsecamente implican visitar dichos lugares y ofrecer opciones de ocio relacionadas. El enfoque de la compañía en crear experiencias vacacionales tipo resort se demuestra aún más a través del desarrollo y mejora de Great Stirrup Cay, su destino de isla privada en las Bahamas, que incluye comodidades como un parque acuático, área de piscina y clubes de playa. Además, la expansión de la compañía a nuevos mercados e inversiones en proyectos de destinos terrestres, incluida una segunda fase de planes de expansión para Great Stirrup Cay, subrayan su compromiso con este tema de la industria.","[{'name': 'nclh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nclh-Q225-10-Q.html'}, {'name': 'nclh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nclh-Q324-10-Q.html'}, {'name': 'nclh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nclh-Q125-10-Q.html'}]",120643512,USD,SMART,STK
