symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
BKNG,EM,TRA,entertainment and media,travel_platform,US09857L1089,BOOKING HOLDINGS INC,1,"Proporciona un conjunto completo de servicios de reserva de viajes en línea a través de sus diversas plataformas, facilitando reservas de alojamiento, vuelos, alquiler de coches y otras experiencias de viaje en todo el mundo.","Booking Holdings opera una plataforma de viajes con la misión de facilitar que todos experimenten el mundo, conectando a los consumidores con proveedores de servicios de viajes a través de marcas como Booking.com, Priceline, Agoda, KAYAK y OpenTable. La empresa obtiene sustancialmente todos sus ingresos de permitir a los consumidores realizar reservas de servicios de viajes y se enfoca en proporcionar una experiencia de usuario de primera clase con plataformas en línea intuitivas. Un elemento clave de su estrategia es la visión del 'Viaje Conectado', que tiene como objetivo crear una experiencia de viajero ideal ofreciendo opciones y conexiones relevantes, aprovechando la tecnología de IA en todas las plataformas para mejorar la personalización y el valor para los viajeros.","[{'name': 'bkng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q125-10-Q.html'}, {'name': 'bkng-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q324-10-Q.html'}, {'name': 'bkng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkng-FY24-10-K.html'}, {'name': 'bkng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q225-10-Q.html'}]",308728373,USD,SMART,STK
EXPE,EM,TRA,entertainment and media,travel_platform,US30212P3038,EXPEDIA GROUP INC,2,"Opera como una destacada plataforma global de viajes en línea, facilitando una amplia gama de reservas de viajes, incluyendo alojamiento, vuelos y alquiler de automóviles para consumidores de todo el mundo.","La misión principal de Expedia Group es impulsar los viajes globales para todos, en todas partes, posicionando a la empresa firmemente dentro del tema de Plataforma de Viajes. La empresa aprovecha su plataforma, tecnología y amplia cartera de marcas para permitir a los viajeros investigar, planificar, reservar y experimentar viajes de manera eficiente. Expedia se enfoca en mejorar su plataforma integrando IA para mejorar la experiencia del usuario y trabajando con actores tecnológicos como Google, OpenAI y Meta para garantizar la visibilidad de la marca y optimizar sus sitios y aplicaciones. Además, Expedia está lanzando funciones innovadoras como la coincidencia de viajes de Expedia en Instagram para optimizar la creación de itinerarios y las reservas, lo que solidifica su compromiso de mejorar su plataforma de viajes.","[{'name': 'expe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/expe-FY24-10-K.html'}, {'name': 'expe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expe-Q225-10-Q.html'}]",98542021,USD,SMART,STK
ABNB,EM,TRA,entertainment and media,travel_platform,US0090661010,AIRBNB INC-CLASS A,3,"Proporciona un mercado en línea global que conecta a los viajeros con alojamientos y experiencias únicas ofrecidas por anfitriones, facilitando diversas opciones de viaje en todo el mundo.","Airbnb opera una plataforma de viajes que conecta anfitriones y huéspedes para estancias y experiencias, como lo demuestra su facilitación de la planificación y reserva de viajes. Métricas clave como 'Noches y Asientos Reservados' y 'Valor Bruto de las Reservas' subrayan la escala de la plataforma y su impacto directo en el rendimiento financiero de la empresa. La empresa está mejorando activamente su plataforma reconstruyendo la aplicación sobre una nueva pila tecnológica e integrando IA, con planes de expandir las ofertas más allá del alojamiento, lo que indica una inversión significativa en su negocio principal. Con un enfoque en mejorar la experiencia del usuario y expandirse a mercados globales, las iniciativas estratégicas de Airbnb resaltan el papel central de la plataforma en sus operaciones y crecimiento futuro.","[{'name': 'abnb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abnb-FY24-10-K.html'}, {'name': 'abnb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abnb-Q225-10-Q.html'}]",459530964,USD,SMART,STK
GOOGL,EM,TRA,entertainment and media,travel_platform,US02079K3059,ALPHABET INC-CL A,4,"Facilita la planificación y reserva de viajes a través de su motor de búsqueda integral, servicios de mapas y plataformas dedicadas para vuelos y hoteles, sirviendo como una puerta de entrada principal para los consumidores que investigan y organizan viajes.",,,208813719,USD,SMART,STK
TRIP,EM,TRA,entertainment and media,travel_platform,US8969452015,TRIPADVISOR INC,5,"Proporciona una plataforma en línea integral para que los viajeros investiguen, planifiquen y reserven viajes, con reseñas generadas por usuarios, opiniones y servicios de reserva de alojamientos, vuelos y atracciones a nivel mundial.","La participación de Tripadvisor en el tema de Plataformas de Viajes es evidente en su misión de conectar a las personas con experiencias compartibles y su visión de ser la fuente más confiable de viajes del mundo. La empresa opera una familia de marcas, incluidas Brand Tripadvisor, Viator y TheFork, aprovechando plataformas tecnológicas para conectar a una audiencia global con socios. Brand Tripadvisor sirve como plataforma de orientación de viajes, mientras que Viator se enfoca en experiencias de viaje y TheFork se especializa en reservas de restaurantes en línea; la empresa está escalando activamente sus mercados, comenzando con experiencias, e invirtiendo en productos, experiencia de usuario y datos para mejorar la búsqueda y la navegación.","[{'name': 'trip-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trip-Q225-10-Q.html'}, {'name': 'trip-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/trip-FY24-10-K.html'}, {'name': 'trip-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trip-Q324-10-Q.html'}]",98542026,USD,SMART,STK
AMS,EM,TRA,entertainment and media,travel_platform,ES0109067019,AMADEUS IT GROUP SA,6,"Proporciona soluciones tecnológicas integrales que impulsan el ecosistema global de viajes, permitiendo a las aerolíneas, hoteles y agencias de viajes gestionar reservas, operaciones y distribución.",,,74792133,EUR,SMART,STK
TUI1,EM,TRA,entertainment and media,travel_platform,DE000TUAG505,TUI AG,7,"Opera sus propias plataformas digitales integrales para reservar vacaciones, vuelos, hoteles y cruceros, facilitando el acceso directo de los clientes a una amplia gama de servicios de viaje.",,,616392909,EUR,SMART,STK
MMYT,EM,TRA,entertainment and media,travel_platform,MU0295S00016,MAKEMYTRIP LTD,8,"Opera una plataforma integral de viajes en línea que facilita las reservas de vuelos, hoteles, paquetes vacacionales y otros servicios relacionados con viajes.","El negocio principal de MakeMyTrip gira en torno a su plataforma de viajes, que facilita la planificación, reserva y experiencias de viaje. La empresa funciona como una ventanilla única integral, que ofrece una amplia gama de servicios, que incluyen billetes de avión, alojamiento, billetes de autobús, taxis y servicios auxiliares, apoyando tanto los viajes de ocio como los corporativos. Esto se ve aún más mejorado por el enfoque de la empresa en hacer que los viajes sean accesibles, convenientes y transparentes a través de puntos de contacto integrados en la aplicación, el escritorio y WhatsApp para impulsar una planificación fluida de principio a fin, junto con el lanzamiento de funciones innovadoras como la predicción de disponibilidad de asientos, la primera en su tipo en la industria.",,77879741,USD,SMART,STK
UBER,EM,TRA,entertainment and media,travel_platform,US90353T1007,UBER TECHNOLOGIES INC,9,"Opera una plataforma digital que conecta a los usuarios con servicios de transporte, facilitando directamente la movilidad personal y diversas formas de viaje.",,,365207014,USD,SMART,STK
WEX,EM,TRA,entertainment and media,travel_platform,US96208T1043,WEX INC,10,"Facilita pagos y soluciones de tecnología financiera para plataformas de viajes, permitiendo transacciones B2B eficientes y gestión de gastos dentro de la industria de viajes.","La participación de WEX en el tema de Plataformas de Viajes es evidente a través de su segmento de Pagos Corporativos, que ofrece soluciones de pago B2B a diversas industrias, incluido el turismo en línea, al integrar capacidades de pago virtual en los flujos de trabajo existentes. El segmento de Pagos Corporativos ha experimentado un aumento en los volúmenes de compra en viajes, y los gastos de depreciación y amortización han aumentado debido a los activos de procesamiento de pagos relacionados con viajes. Si bien el turismo en línea es una de las industrias que WEX potencia a través de pagos integrados, no es el enfoque principal de la empresa, a pesar de que el segmento de Pagos Corporativos incluye a todos sus clientes relacionados con viajes.","[{'name': 'wex-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q324-10-Q.html'}, {'name': 'wex-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q125-10-Q.html'}]",115823351,USD,SMART,STK
