type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,fleet_management_solutions,US96208T1043,WEX INC,1,"Proporciona soluciones integrales de procesamiento de pagos y gestión de información para flotas comerciales, lo que permite una gestión eficiente del combustible, control operativo y seguimiento de gastos.","El enfoque de WEX en Soluciones de Gestión de Flotas es evidente a través de su segmento de Movilidad, que ofrece soluciones de pago para flotas, procesamiento de transacciones y conocimientos basados en datos a operadores y gerentes de flotas a nivel mundial. Como líder en soluciones de pago para flotas, WEX atiende diversas necesidades de flotas a nivel mundial, abordando el mercado a través de Movilidad Norteamericana, Over-the-Road y Movilidad Internacional. Su red de pagos propietaria de circuito cerrado cubre una parte importante de las estaciones de servicio y los puntos de carga de vehículos eléctricos en los EE. UU., ayudando a los gerentes de flotas a optimizar costos, detectar el uso indebido, mejorar la eficiencia operativa y respaldar la complejidad de operar una flota de energía mixta, sirviendo a más de 600.000 clientes de flotas a nivel mundial.","[{'name': 'wex-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q225-10-Q.html'}, {'name': 'wex-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q324-10-Q.html'}, {'name': 'wex-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wex-FY24-10-K.html'}, {'name': 'wex-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q125-10-Q.html'}]",115823351,USD,WEX,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,US7835491082,RYDER SYSTEM INC,2,"Ofrece soluciones integrales de gestión de flotas, incluyendo arrendamiento de servicio completo, alquiler comercial y mantenimiento de camiones y remolques, lo que permite a las empresas optimizar sus operaciones de transporte.","La participación de Ryder System en Soluciones de Gestión de Flotas es evidente a través de su segmento de negocio dedicado a FMS, que ofrece opciones de ChoiceLease y alquiler comercial. El segmento FMS de la empresa alquila equipos que generan ingresos y proporciona vehículos de alquiler, combustible, mantenimiento y otros servicios auxiliares. Además, los ingresos operativos de Soluciones de Gestión de Flotas de Ryder han experimentado aumentos, impulsados por los ingresos de ChoiceLease. La presencia de Tom Havens, presidente de Soluciones de Gestión de Flotas, destaca el enfoque de la empresa en esta área.","[{'name': 'r-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/r-Q324-10-Q.html'}, {'name': 'r-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/r-FY24-10-K.html'}, {'name': 'r-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/r-Q125-10-Q.html'}, {'name': 'r-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/r-Q225-10-Q.html'}]",11478,USD,R,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,US79589L1061,SAMSARA INC-CL A,3,"Proporciona una nube de operaciones conectada que integra datos de IoT de vehículos y equipos, permitiendo visibilidad en tiempo real, seguridad, eficiencia y sostenibilidad para la gestión de flotas.","La participación de Samsara en Soluciones de Gestión de Flotas es evidente a través de su Plataforma de Operaciones Conectadas, que incluye aplicaciones de Telemática Vehicular y se dirige a industrias que dependen en gran medida de la gestión de flotas. La plataforma ofrece funciones como navegación comercial adaptada a vehículos comerciales grandes, planificación de rutas y Multicam con IA, abordando directamente las necesidades de gestión de flotas. Además, Samsara se asocia con los principales fabricantes de vehículos como Hyundai, Stellantis y Rivian para optimizar la gestión de flotas eléctricas y mejorar la visibilidad de los remolques, integrando vehículos directamente en su plataforma para su implementación sin hardware. Esto se ve respaldado aún más por éxitos de clientes, como Mohawk Industries, que ahorró 500.000 dólares al optimizar el tamaño de su flota, y un importante acuerdo de expansión con una gran empresa de propano que vio una reducción del 75% en eventos de seguridad.","[{'name': 'iot-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iot-Q126-10-Q.html'}, {'name': 'iot-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/iot-FY25-10-K.html'}]",532274461,USD,IOT,SMART,STK,False,TL_FLE
transportation and logistics,fleet_management_solutions,US90353T1007,UBER TECHNOLOGIES INC,4,"Desarrolla y utiliza soluciones tecnológicas avanzadas para gestionar su extensa red global de vehículos y conductores, optimizando las operaciones para el transporte compartido, la entrega de alimentos y la logística de carga.",,,365207014,USD,UBER,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,US8962391004,TRIMBLE INC,5,"Desarrolla y proporciona soluciones integrales para la optimización de las operaciones de flotas, abarcando herramientas de seguimiento, diagnóstico y gestión para mejorar la eficiencia y la productividad.","La participación de Trimble en Soluciones de Gestión de Flotas se refleja en sus soluciones utilizadas en diversas industrias, incluido el transporte, y los ingresos de su segmento T&L, que han aumentado debido al crecimiento de Transporeon, MAPS y los ingresos por suscripción Enterprise. El compromiso pasado de la compañía se evidencia además por la venta de su negocio de Movilidad a Platform Science, una medida destinada a mejorar la eficiencia, la seguridad y el cumplimiento de la flota a través de ecosistemas combinados de vehículos comerciales dentro de la cabina. Sin embargo, la desinversión del negocio de Movilidad y un cambio estratégico sugieren un compromiso moderado con las soluciones de gestión de flotas, a pesar del objetivo de mejorar la experiencia del conductor, la seguridad de la flota, la eficiencia y el cumplimiento.","[{'name': 'trmb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/trmb-FY24-10-K.html'}, {'name': 'trmb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trmb-Q125-10-Q.html'}]",275294,USD,TRMB,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,US3453708600,FORD MOTOR CO,6,"Proporciona un conjunto integral de vehículos y servicios integrados diseñados para flotas comerciales y gubernamentales, mejorando la eficiencia operativa y las capacidades de gestión.","El compromiso de Ford con las Soluciones de Gestión de Flotas es evidente a través del crecimiento y el impacto de Ford Pro. Las soluciones de Ford Pro han mejorado el tiempo de actividad del cliente al reducir el tiempo de reparación en un 20%. Esto se suma a un aumento del 24% en las suscripciones de software de pago a 757.000, y un aumento del 24% en los ingresos mensuales promedio por unidad, impulsado por una duplicación de las suscripciones de telemática y gestión de flotas. Además, las ventas al por mayor de Ford Pro aumentaron un 15% debido a un mayor volumen de alquiler diario y ventas de vehículos Transit, aunque los precios en todas las flotas se han moderado.","[{'name': 'f-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q225-10-Q.html'}]",9599491,USD,F,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,US92343V1044,VERIZON COMMUNICATIONS INC,7,"Ofrece soluciones integrales de conectividad y telemática que respaldan la gestión, el seguimiento y la optimización eficientes de flotas de vehículos para empresas.",,,4901,USD,VZ,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,US2199481068,CORPAY INC,8,Ofrece soluciones de pago y herramientas de gestión de gastos diseñadas específicamente para optimizar las operaciones y el control financiero de flotas comerciales.,"El compromiso de Corpay con las Soluciones de Gestión de Flotas es evidente en su enfoque en ayudar a los clientes a gestionar los gastos relacionados con los vehículos a través de su conjunto de soluciones de pago modernas, que incluyen combustible, peajes, registro de vehículos y estacionamiento. El negocio de Pagos de Vehículos de la empresa ha mostrado un crecimiento sustancial de los ingresos orgánicos, lo que resalta su importancia. Esto se ve respaldado aún más por la adquisición de Gringo, una empresa brasileña de pagos de registro y cumplimiento de vehículos, y la oferta continua de soluciones de vehículos eléctricos, especialmente en el Reino Unido y Europa, y la renovación del acuerdo de revendedor con Shell por otros 5 años para gestionar las tarjetas de combustible y vehículos eléctricos de Shell en varios mercados de Europa.","[{'name': 'cpay-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpay-Q125-10-Q.html'}, {'name': 'cpay-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpay-Q324-10-Q.html'}, {'name': 'cpay-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpay-FY24-10-K.html'}]",691994611,USD,CPAY,SMART,STK,True,TL_FLE
transportation and logistics,fleet_management_solutions,SGXZ19450089,KAROOOOO LTD,9,"Proporciona soluciones integrales de gestión de flotas, que incluyen seguimiento de vehículos, telemática y análisis de datos, para optimizar la eficiencia operativa y la seguridad para empresas de todo el mundo.","El compromiso de Karooooo con las Soluciones de Gestión de Flotas es evidente a través de su plataforma SaaS diseñada para vehículos conectados y activos móviles, que tiene como objetivo mejorar la eficiencia operativa, reducir costos, mejorar la seguridad y garantizar el cumplimiento para las empresas. Esta plataforma admite una importante base de suscriptores en diversas industrias, incluidas la logística, la minería, la agricultura, la construcción, el comercio minorista y el sector público, abarcando regiones como Sudáfrica, el sudeste asiático y Europa. La empresa enfatiza que su Cartrack Operations Cloud ofrece más que telemática tradicional, y ven el sudeste asiático como una oportunidad de crecimiento significativa para soluciones sofisticadas de gestión de flotas y basadas en video. Además, Karooooo Logistics opera un negocio de entrega como servicio, lo que indica aún más su participación en la gestión de flotas para clientes empresariales.",,479786418,USD,KARO,SMART,STK,False,TL_FLE
transportation and logistics,fleet_management_solutions,US37045V1008,GENERAL MOTORS CO,10,"Proporciona un conjunto completo de vehículos y servicios digitales integrados, que incluyen telemática y tecnologías de vehículos conectados, diseñados específicamente para apoyar y optimizar las operaciones de flotas para clientes comerciales y gubernamentales.","El compromiso de GM con las soluciones de gestión de flotas se demuestra por su rendimiento superior en la cuota de mercado total de flotas año tras año y secuencialmente del primer al segundo trimestre. Esto está respaldado además por el creciente valor de tecnologías como OnStar, que mejora las capacidades de gestión de flotas a través de la conectividad del vehículo y los servicios de datos, así como por el aumento del número de suscriptores. Sin embargo, la creciente competencia llevó a una moderación de los precios, lo que presentó un obstáculo en América del Norte.",,80986742,USD,GM,SMART,STK,True,TL_FLE
