symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EPD,ENE_12,energy and utilities,energy_exports,US2937921078,ENTERPRISE PRODUCTS PARTNERS,1,"Desempeña un papel fundamental en la facilitación de las exportaciones de energía a nivel mundial a través de su extensa infraestructura para el transporte, procesamiento y almacenamiento de diversos productos energéticos.","Enterprise Products Partners está significativamente involucrada en las exportaciones de energía, particularmente de hidrocarburos, operando terminales marinas para GLP, etano, etileno y propileno de grado polimérico. La compañía movió 2 millones de barriles por día de exportaciones de hidrocarburos líquidos y está expandiendo su capacidad en el Canal de Navegación de Houston, incluyendo una expansión en instalaciones existentes de alrededor de $400 millones para agregar 300,000 barriles por día de capacidad. Están completamente contratados en exportaciones de etano y entre el 85% y el 90% en GLP, con un enfoque en expandir las capacidades de exportación y gestionar el comercio internacional, incluyendo la navegación de posibles impactos arancelarios y disrupciones comerciales.","[{'name': 'epd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/epd-Q225-10-Q.html'}, {'name': 'epd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/epd-Q125-10-Q.html'}, {'name': 'epd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/epd-FY24-10-K.html'}]",6607910,USD,SMART,STK
LNG,ENE_12,energy and utilities,energy_exports,US16411R2085,CHENIERE ENERGY INC,2,"Se especializa en la licuefacción y exportación de gas natural, desempeñando un papel fundamental en las cadenas de suministro de energía a nivel mundial.","El negocio de Cheniere está significativamente ligado a las exportaciones de energía, principalmente a través de sus operaciones de GNL. La empresa opera instalaciones de licuefacción y exportación de gas natural en Luisiana y Texas, y a febrero de 2025, ha exportado aproximadamente 270 millones de toneladas de GNL. Esta actividad está respaldada por acuerdos de venta a largo plazo para vender GNL a nivel internacional, y la empresa está buscando activamente autorización para expandir sus capacidades de exportación a países con y sin TLC. El liderazgo de Cheniere en la flexibilidad de destino en los contratos de GNL de EE. UU. subraya aún más su papel en la facilitación del comercio mundial de energía.","[{'name': 'lng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lng-FY24-10-K.html'}]",4728003,USD,SMART,STK
XOM,ENE_12,energy and utilities,energy_exports,US30231G1022,EXXON MOBIL CORP,3,"Sirve como un importante productor y exportador mundial de petróleo crudo, gas natural y productos petrolíferos refinados, contribuyendo significativamente al suministro energético internacional.",,,13977,USD,SMART,STK
CVX,ENE_12,energy and utilities,energy_exports,US1667641005,CHEVRON CORP,4,"Se dedica a la producción, procesamiento y transporte de petróleo crudo, gas natural y productos refinados para los mercados internacionales, contribuyendo significativamente a las exportaciones mundiales de energía.",,,5684,USD,SMART,STK
EQNR,ENE_12,energy and utilities,energy_exports,NO0010096985,EQUINOR ASA,5,Impulsa las exportaciones globales de energía a través de su cartera integral de actividades de producción y distribución de petróleo y gas.,,,12492456,NOK,SMART,STK
ET,ENE_12,energy and utilities,energy_exports,US29273V1008,ENERGY TRANSFER LP,6,"Facilita el movimiento global de productos energéticos a través de su extensa red de oleoductos y terminales de exportación, contribuyendo significativamente a las capacidades de exportación de energía del país.","El compromiso de Energy Transfer con las exportaciones de energía es evidente a través de sus volúmenes récord de exportación de líquidos de gas natural (LGN) y el proyecto en curso Flexport NGL Export Expansion en su terminal de Nederland, que se espera que agregue 250.000 barriles por día de capacidad de exportación de LGN. La empresa anticipa la prestación de servicios de exportación de etileno y ve una fuerte demanda internacional de etano, propano y butano. Además, Energy Transfer está explorando activamente oportunidades en otros países para expandir sus capacidades de exportación y tiene la capacidad de obtener gas de múltiples cuencas.","[{'name': 'et-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/et-FY24-10-K.html'}]",37830920,USD,SMART,STK
STO,ENE_12,energy and utilities,energy_exports,AU000000STO6,SANTOS LIMITED,7,Desempeña un papel importante en los mercados energéticos mundiales a través de la producción y exportación de diversas materias primas energéticas.,,,4109694,AUD,SMART,STK
KMI,ENE_12,energy and utilities,energy_exports,US49456B1017,KINDER MORGAN INC,8,"Facilita el transporte y almacenamiento de diversos productos energéticos, incluidos gas natural y productos petrolíferos refinados, permitiendo su exportación a mercados globales.","El compromiso de Kinder Morgan con el tema de Exportaciones de Energía es significativo, impulsado por el papel crucial de la empresa en el transporte de gas natural y su posicionamiento estratégico en regiones con alta demanda de gas alimentador de GNL. La empresa transporta una parte sustancial del gas natural de Estados Unidos y está expandiendo activamente su infraestructura para capitalizar las crecientes oportunidades de exportación de GNL, incluidos proyectos enfocados en satisfacer la demanda de energía. Los ejecutivos enfatizan la importancia de las exportaciones de GNL como un importante motor de crecimiento, señalando la posición de EE. UU. como uno de los principales exportadores de GNL y la creciente demanda de la UE y Asia.",,83975037,USD,SMART,STK
NEXT,ENE_12,energy and utilities,energy_exports,US65342K1051,NEXTDECADE CORP,9,"Desarrolla y opera instalaciones de exportación de gas natural licuado (GNL) a gran escala, contribuyendo significativamente al comercio y suministro global de energía.",,,283766043,USD,SMART,STK
OXY,ENE_12,energy and utilities,energy_exports,US6745991058,OCCIDENTAL PETROLEUM CORP,10,"Se dedica a la exploración, desarrollo y producción de petróleo crudo y gas natural, destinando una porción significativa de su producción a los mercados internacionales a través de exportaciones.",,,10880,USD,SMART,STK
