type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
energy and utilities,renewable_energy_equipment,US3364331070,FIRST SOLAR INC,1,"Se especializa en la fabricación de módulos solares avanzados de película delgada, contribuyendo significativamente a la industria de equipos de energía renovable.","El fuerte compromiso de First Solar con el tema de Equipos de Energía Renovable es evidente en su negocio principal de diseño, fabricación y venta de módulos solares de CdTe, que convierten la luz solar en electricidad. La empresa es un fabricante líder de módulos solares fotovoltaicos, particularmente conocida como el mayor fabricante mundial de módulos solares fotovoltaicos de película delgada y el mayor fabricante de módulos solares fotovoltaicos en el hemisferio occidental. Esto se ve reforzado por su continua expansión de la capacidad de fabricación en instalaciones en EE. UU., India, Malasia y Vietnam, con planes de alcanzar más de 25 GW de capacidad anual para 2026, e inversiones en I+D para mejorar el rendimiento de los módulos.","[{'name': 'fslr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q324-10-Q.html'}, {'name': 'fslr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q225-10-Q.html'}, {'name': 'fslr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fslr-FY24-10-K.html'}, {'name': 'fslr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q125-10-Q.html'}]",41622169,USD,FSLR,SMART,STK,True
energy and utilities,renewable_energy_equipment,US36828A1016,GE VERNOVA INC,2,"Desarrolla y fabrica una cartera integral de equipos y tecnologías esenciales para la generación, transmisión y distribución de energía renovable.","El compromiso de GE Vernova con el tema de Equipos de Energía Renovable es evidente a través de su segmento de Energía Eólica, que se enfoca en tecnologías de generación eólica, incluidas turbinas eólicas y palas terrestres y marinas. Además, el segmento de Electrificación de la empresa aporta tecnologías para soluciones de red, conversión de energía, software de electrificación y soluciones solares y de almacenamiento, facilitando la transmisión, distribución, conversión, almacenamiento y orquestación de electricidad. La empresa también señala una fuerte demanda de equipos relacionados con la transmisión a gran escala, esenciales para interconectar energías renovables y mover energía a granel.","[{'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}]",691984365,USD,GEV,SMART,STK,True
energy and utilities,renewable_energy_equipment,US29355A1079,ENPHASE ENERGY INC,3,"Desarrolla y fabrica microinversores y sistemas de almacenamiento de baterías, que son componentes esenciales para instalaciones de energía solar residenciales y comerciales, impulsando así la adopción y eficiencia de la energía renovable.","El negocio de Enphase Energy se centra en el suministro de equipos para energías renovables, con un enfoque en soluciones de energía solar. Las ofertas principales de la empresa incluyen microinversores, baterías IQ y sistemas integrados para la generación, almacenamiento y comunicación solar. Enphase ha enviado millones de microinversores a nivel mundial, lo que destaca el papel significativo de la empresa en el mercado de equipos de energía renovable. Sus microinversores inteligentes son compatibles con prácticamente todos los paneles solares y están diseñados para maximizar la producción de energía, lo que demuestra un fuerte compromiso con el avance de las tecnologías de energía renovable.","[{'name': 'enph-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/enph-FY24-10-K.html'}, {'name': 'enph-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q324-10-Q.html'}, {'name': 'enph-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q125-10-Q.html'}]",105368327,USD,ENPH,SMART,STK,True
energy and utilities,renewable_energy_equipment,US65290E1010,NEXTPOWER INC-CL A,4,"Desarrolla y proporciona soluciones de seguimiento solar que optimizan la generación de energía para proyectos solares a escala de servicios públicos, contribuyendo a la eficiencia y adopción de equipos de energía renovable.","El negocio principal de Nextracker gira en torno a la provisión de componentes esenciales para proyectos de energía renovable, en particular seguidores solares, cimientos y soluciones de software relacionadas. Como proveedor líder de sistemas integrados de seguidores solares, los productos de Nextracker optimizan el rendimiento de las plantas de energía solar fotovoltaica al permitir que los paneles sigan al sol. Esto se ve aún más enfatizado por la adquisición de Bentek, un fabricante de infraestructura eléctrica para plantas solares, y Ojjo, Inc., que se especializa en tecnología de cimientos, lo que demuestra el compromiso de la empresa de expandir sus ofertas en el sector de equipos de energía renovable.","[{'name': 'nxt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q325-10-Q.html'}, {'name': 'nxt-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q126-10-Q.html'}, {'name': 'nxt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q225-10-Q.html'}]",613058308,USD,NXT,SMART,STK,True
energy and utilities,renewable_energy_equipment,US83417M1045,SOLAREDGE TECHNOLOGIES INC,5,"Desarrolla y fabrica sistemas de inversores optimizados y soluciones de energía inteligente para instalaciones fotovoltaicas solares, contribuyendo a la eficiencia y gestión de equipos de energía renovable.","La participación de la empresa en el tema de Equipos de Energía Renovable es evidente a través de su diseño, desarrollo y venta de soluciones inteligentes de inversores destinadas a maximizar la generación de energía a nivel de módulo fotovoltaico. Su línea de productos incluye optimizadores de potencia, inversores, plataformas de monitoreo basadas en la nube y baterías para aplicaciones fotovoltaicas, abordando los mercados fotovoltaicos residenciales, comerciales y a gran escala. Han enviado millones de optimizadores de potencia e inversores, y están expandiendo las capacidades de fabricación de baterías, lo que subraya su papel significativo en el suministro de componentes clave para sistemas de energía renovable.","[{'name': 'sedg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sedg-Q125-10-Q.html'}, {'name': 'sedg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sedg-Q225-10-Q.html'}, {'name': 'sedg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sedg-FY24-10-K.html'}, {'name': 'sedg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sedg-Q324-10-Q.html'}]",188625650,USD,SEDG,SMART,STK,True
energy and utilities,renewable_energy_equipment,DK0061539921,VESTAS WIND SYSTEMS A/S,6,"Fabrica y presta servicios de aerogeneradores y componentes relacionados, sirviendo como un proveedor líder de equipos centrales para la generación de energía renovable a nivel mundial.",,,481449559,DKK,VWS,SMART,STK,False
energy and utilities,renewable_energy_equipment,US88160R1014,TESLA INC,7,"Desarrolla y fabrica productos de generación de energía solar y sistemas de almacenamiento de baterías a gran escala, contribuyendo significativamente a la infraestructura y el despliegue de energía renovable.",,,76792991,USD,TSLA,SMART,STK,True
energy and utilities,renewable_energy_equipment,CA1366351098,CANADIAN SOLAR INC,8,"Desarrolla y fabrica módulos solares fotovoltaicos y proporciona soluciones integrales de energía solar, contribuyendo significativamente al despliegue global de equipos de energía renovable.","La participación de CSIQ en el tema de Equipos de Energía Renovable es evidente a través de su fabricación y entrega de módulos solares y sistemas de almacenamiento de energía, destacada por la entrega de 7.9 gigavatios de módulos en el segundo trimestre de 2025. La empresa está expandiendo activamente su capacidad de fabricación tanto de módulos solares como de celdas de batería, y espera entregar volúmenes de módulos entre 5 y 5.3 gigavatios en el tercer trimestre de 2025. Esta expansión, junto con entregas sustanciales de módulos, subraya el papel de la empresa en el suministro de equipos de energía renovable.",,41498671,USD,CSIQ,SMART,STK,False
energy and utilities,renewable_energy_equipment,US04271T1007,ARRAY TECHNOLOGIES INC,9,Diseña y fabrica sistemas de seguimiento solar que mejoran el rendimiento y la eficiencia de las instalaciones de energía renovable.,"El compromiso de Array Technologies con el tema de equipos de energía renovable es evidente en el diseño, fabricación y suministro de soluciones de rastreadores, componentes esenciales para plantas de energía solar. El enfoque de la empresa se destaca por su creciente cartera de productos, que incluye sistemas de inclinación fija y soluciones de rastreadores de contenido nacional, junto con plataformas innovadoras como OmniTrack y SkyLink diseñadas para simplificar la instalación. Esto está respaldado además por su compromiso con la mitigación de condiciones climáticas extremas a través de soluciones de software y hardware, y una red sustancial de más de 50 proveedores en EE. UU., lo que demuestra un fuerte enfoque estratégico en el avance de equipos de energía renovable.",,450042702,USD,ARRY,SMART,STK,False
energy and utilities,renewable_energy_equipment,DE000A0D6554,NORDEX SE,10,"Desarrolla y fabrica turbinas eólicas, contribuyendo a la infraestructura global de generación de energía renovable.",,,34029401,EUR,NDX1,SMART,STK,False
