type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
technology,semiconductor_manufacturing,US5128073062,LAM RESEARCH CORP,1,"Proporciona equipos críticos y procesos avanzados esenciales para la fabricación de semiconductores, permitiendo la producción de chips de vanguardia en toda la industria.","La conexión de Lam Research con el tema de la Fabricación de Semiconductores es evidente a través de su papel como proveedor global de equipos y servicios de fabricación de obleas para la industria de semiconductores. Los ingresos de la empresa están estrechamente ligados al gasto en equipos de los clientes en diversos segmentos del mercado, incluida la memoria y la fundición. Lam Research enfatiza su enfoque en la intensidad de deposición y grabado debido a la mayor complejidad de los dispositivos semiconductores, y está estratégicamente posicionada para capitalizar las inflexiones tecnológicas como el gate-all-around, la distribución de energía trasera y el empaquetado avanzado, respaldado por importantes inversiones en I+D en procesos de vanguardia.","[{'name': 'lrcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q125-10-Q.html'}, {'name': 'lrcx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lrcx-FY25-10-K.html'}, {'name': 'lrcx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q325-10-Q.html'}, {'name': 'lrcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q225-10-Q.html'}]",732440574,USD,LRCX,SMART,STK,True
technology,semiconductor_manufacturing,US0382221051,APPLIED MATERIALS INC,2,"Proporciona equipos de fabricación, servicios y software esenciales que permiten la producción de prácticamente todos los chips nuevos y pantallas avanzadas en todo el mundo.","El negocio de Applied Materials se centra en gran medida en la fabricación de semiconductores, ya que proporciona equipos, servicios y software a la industria de semiconductores. El segmento de Sistemas de Semiconductores de la empresa, centrado en equipos de capital utilizados para fabricar chips semiconductores, es un importante contribuyente a sus ingresos. Los semiconductores avanzados son centrales para las operaciones y el crecimiento futuro de Applied Materials, permitiendo las principales tendencias tecnológicas y sustentando el crecimiento secular a largo plazo de la industria.","[{'name': 'amat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q324-10-Q.html'}, {'name': 'amat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amat-FY24-10-K.html'}, {'name': 'amat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q225-10-Q.html'}, {'name': 'amat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q125-10-Q.html'}]",266093,USD,AMAT,SMART,STK,True
technology,semiconductor_manufacturing,US4824801009,KLA CORP,3,Proporciona soluciones críticas de control de procesos y gestión de rendimiento que son esenciales para avanzar en los procesos de fabricación de semiconductores y garantizar la producción de chips de alta calidad.,"KLA está profundamente involucrada en la fabricación de semiconductores, principalmente a través de sus soluciones de control de procesos y gestión de rendimiento. Los productos y servicios de la empresa son esenciales para la I+D y la fabricación de circuitos integrados, obleas y retículas, desempeñando un papel crucial en la medición, detección y resolución de defectos del producto. Las soluciones de KLA son vitales para gestionar los desafíos del proceso de fabricación y mejorar los rendimientos del producto, y el segmento de control de procesos de semiconductores contribuye con una parte significativa de los ingresos totales de la empresa. Además, el enfoque de KLA en lógica de vanguardia, memoria de alto ancho de banda y empaquetado avanzado demuestra su compromiso de apoyar las necesidades cambiantes de la industria de semiconductores, particularmente en áreas que impulsan la infraestructura de IA.","[{'name': 'klac-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q325-10-Q.html'}, {'name': 'klac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q225-10-Q.html'}, {'name': 'klac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q125-10-Q.html'}, {'name': 'klac-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/klac-FY25-10-K.html'}]",270957,USD,KLAC,SMART,STK,True
technology,semiconductor_manufacturing,US4581401001,INTEL CORP,4,"Participa en el diseño, desarrollo y fabricación de microprocesadores y otros dispositivos semiconductores, incluyendo servicios de fundición para clientes externos.","El compromiso de Intel con la Fabricación de Semiconductores es evidente a través de su Fundición Intel dedicada, que abarca el desarrollo de tecnología, la fabricación y los servicios de fundición destinados a la entrega de sistemas avanzados. La empresa enfatiza su herencia y experiencia en el desarrollo de tecnología de semiconductores, considerándolo un activo vital en su estrategia para transformar la fabricación en un sólido negocio de fundición. Este compromiso se demuestra aún más por el enfoque de Intel en el proceso de silicio y las tecnologías de empaquetado avanzadas, junto con inversiones en capacidad de fabricación geográficamente equilibrada y sostenible, incluidas instalaciones en EE. UU., Irlanda e Israel, y el desarrollo de nodos de proceso como Intel 4, Intel 3 e Intel 18A.","[{'name': 'intc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q324-10-Q.html'}, {'name': 'intc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/intc-FY24-10-K.html'}, {'name': 'intc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q225-10-Q.html'}, {'name': 'intc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/intc-Q125-10-Q.html'}]",270639,USD,INTC,SMART,STK,True
technology,semiconductor_manufacturing,US29362U1043,ENTEGRIS INC,5,Realiza contribuciones esenciales a los procesos e infraestructura de la industria de fabricación de semiconductores.,"La empresa se identifica como un proveedor líder de materiales avanzados y soluciones de procesos críticos para la industria de semiconductores y otras industrias de alta tecnología, con sus productos utilizados en Taiwán, China, Corea del Sur y Japón. El segmento de Soluciones de Materiales proporciona soluciones basadas en materiales que permiten a los clientes lograr un mejor rendimiento de los dispositivos y un tiempo de producción más rápido, mientras que el segmento de Soluciones de Alta Pureza ofrece soluciones que mejoran el rendimiento, la fiabilidad de los dispositivos y el costo de los clientes al garantizar la pureza de las químicas líquidas y los gases críticos utilizados en los procesos de fabricación de semiconductores. La empresa está expandiendo instalaciones en Kaohsiung, Taiwán y Colorado, y abrió un nuevo Centro Tecnológico de Corea.","[{'name': 'entg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/entg-Q125-10-Q.html'}, {'name': 'entg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/entg-Q324-10-Q.html'}, {'name': 'entg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/entg-Q225-10-Q.html'}, {'name': 'entg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/entg-FY24-10-K.html'}]",9653775,USD,ENTG,SMART,STK,True
technology,semiconductor_manufacturing,TW0002330008,TAIWAN SEMICONDUCTOR MANUFAC,6,"Fabrica una amplia gama de semiconductores como la fundición independiente dedicada más grande del mundo, sustentando la producción de componentes electrónicos críticos para las industrias globales.",,,37928709,TWD,2330,TWSE,STK,False
technology,semiconductor_manufacturing,NL0010273215,ASML HOLDING NV,7,"Proporciona equipos avanzados de fotolitografía esenciales para la producción de circuitos integrados, permitiendo la fabricación de dispositivos semiconductores modernos.",,,117589399,EUR,ASML,SMART,STK,False
technology,semiconductor_manufacturing,KR7005930003,SAMSUNG ELECTRONICS CO LTD,8,"Fabrica una amplia gama de semiconductores, incluyendo chips de memoria y productos de integración a gran escala de sistemas, sirviendo a diversas aplicaciones desde electrónica de consumo hasta soluciones empresariales.",,,17382528,KRW,005930,KSE,STK,False
technology,semiconductor_manufacturing,US5951121038,MICRON TECHNOLOGY INC,9,"Diseña y fabrica productos semiconductores avanzados de memoria y almacenamiento, desempeñando un papel fundamental en el ecosistema más amplio de fabricación de semiconductores.","La fabricación de semiconductores es fundamental para las operaciones de la empresa, ya que fabrican productos en instalaciones de propiedad total y utilizan subcontratistas para ciertos procesos. Están realizando importantes inversiones para desarrollar tecnología de productos y procesos patentados, lo que generalmente aumenta la densidad de bits por oblea y reduce los costos de fabricación por bit. Para respaldar la demanda de memoria proyectada, la empresa está expandiendo la capacidad de producción en Taiwán para productos DRAM y HBM e invirtiendo en sitios de fabricación de memoria de vanguardia en Idaho y Nueva York, basándose en el apoyo de la Ley CHIPS a través de subvenciones y créditos fiscales por inversión.","[{'name': 'mu-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mu-FY24-10-K.html'}, {'name': 'mu-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mu-Q325-10-Q.html'}]",9939,USD,MU,SMART,STK,True
technology,semiconductor_manufacturing,US55306N1046,MKS INC,10,"Proporciona instrumentos, subsistemas y soluciones de control de procesos críticos esenciales para diversas etapas de la fabricación de dispositivos semiconductores.","MKS Instruments mantiene una sólida posición en la industria de fabricación de semiconductores, proporcionando soluciones críticas y tecnología fundamental. Los productos de la empresa son parte integral de los principales pasos del procesamiento de semiconductores, incluyendo deposición, grabado, limpieza, litografía, metrología e inspección. MKS caracteriza su amplia oferta como Surround the Wafer®, lo que refleja su habilitación tecnológica en casi todos los procesos importantes de fabricación de semiconductores y aborda una parte significativa del mercado de equipos de fabricación de obleas. Aproximadamente el 42% de los ingresos netos de la empresa se derivan de las ventas a clientes en el mercado de semiconductores.","[{'name': 'mksi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q125-10-Q.html'}, {'name': 'mksi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q225-10-Q.html'}, {'name': 'mksi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mksi-FY24-10-K.html'}, {'name': 'mksi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q324-10-Q.html'}]",4814955,USD,MKSI,SMART,STK,True
