type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,clothing_and_accessories,US6541061031,NIKE INC -CL B,1,"Diseña, desarrolla, comercializa y vende calzado deportivo, ropa, equipamiento y accesorios a nivel mundial, estableciéndose como una marca líder en la industria de la ropa y los accesorios.","La participación de NIKE en el tema de Ropa y Accesorios es evidente a través de sus operaciones globales, donde diseña, desarrolla, comercializa y vende ropa y accesorios deportivos. La empresa se enfoca en crear productos innovadores y codiciados para atletas específicos, con ejemplos como la Colección de Firma de A'ja Wilson que demuestran el éxito en esta área. El compromiso de NIKE se extiende a reequilibrar las líneas de ropa deportiva y de rendimiento y a escalar la producción para satisfacer la creciente demanda del mercado, solidificando aún más su posición en el mercado de ropa y accesorios.","[{'name': 'nke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q125-10-Q.html'}, {'name': 'nke-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nke-Q225-10-Q.html'}, {'name': 'nke-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nke-FY25-10-K.html'}]",10291,USD,NKE,SMART,STK,True,CL2
consumer and retail,clothing_and_accessories,US5500211090,LULULEMON ATHLETICA INC,2,"Diseña, fabrica y vende ropa y accesorios deportivos, ofreciendo una amplia gama de productos para yoga, running, entrenamiento y otras actividades a un mercado global.","El negocio de Lululemon se centra fundamentalmente en ropa y accesorios, ya que la empresa es principalmente un diseñador, distribuidor y minorista de ropa deportiva técnica, calzado y accesorios. La empresa ofrece una línea completa de ropa y accesorios comercializados bajo la marca Lululemon, que incluye artículos como pantalones, shorts, tops y chaquetas diseñados para diversas actividades. Lululemon destaca constantemente la importancia de la innovación de productos y la novedad en su surtido de ropa y accesorios para impulsar el crecimiento, enfatizando líneas de productos específicas y nuevos lanzamientos.","[{'name': 'lulu-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lulu-FY24-10-K.html'}, {'name': 'lulu-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lulu-Q324-10-Q.html'}, {'name': 'lulu-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lulu-Q224-10-Q.html'}]",45157951,USD,LULU,SMART,STK,True,CL2
consumer and retail,clothing_and_accessories,US9182041080,VF CORP,3,"Diseña, fabrica y comercializa una cartera diversa de ropa, calzado y accesorios de estilo de vida de marca, contribuyendo significativamente al mercado mundial de ropa y accesorios.","El negocio de VF Corporation está significativamente ligado a la industria de la Ropa y los Accesorios, como lo demuestra su diversa cartera de marcas reconocidas como The North Face, Vans, Timberland y Dickies, que ofrecen una amplia gama de prendas de vestir, calzado y accesorios en sus segmentos Outdoor, Active y Work. La empresa reconoce explícitamente la importancia de la demanda de los consumidores por estos productos y se enfoca en la innovación de productos, particularmente en la ropa de estilo de vida, para impulsar el crecimiento de la marca. Además, el enfoque estratégico de VF en mujeres y jóvenes, ejemplificado por la respuesta positiva a productos como las Vans Super Low Pro, subraya aún más su participación en el mercado de la ropa y los accesorios.","[{'name': 'vfc-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q126-10-Q.html'}, {'name': 'vfc-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q325-10-Q.html'}, {'name': 'vfc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vfc-Q225-10-Q.html'}, {'name': 'vfc-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vfc-FY25-10-K.html'}]",13440,USD,VFC,SMART,STK,True,CL2
consumer and retail,clothing_and_accessories,US6936561009,PVH CORP,4,"Opera como una empresa de moda global, propietaria y comercializadora de una cartera diversa de marcas icónicas de ropa y accesorios que marcan tendencias y elecciones de los consumidores en todo el mundo.","La participación de PVH en el tema de Ropa y Accesorios es sustancial, como lo demuestra el modelo de negocio principal de la empresa centrado en el diseño, distribución y venta de una amplia gama de prendas de vestir y productos relacionados. PVH genera ventas netas de la distribución mayorista de ropa deportiva de marca, jeans, ropa de rendimiento, lencería, ropa interior, trajes de baño, camisas de vestir, bolsos, accesorios y calzado. Las marcas icónicas globales de estilo de vida de la empresa, TOMMY HILFIGER y Calvin Klein, generan juntas una parte significativa de los ingresos de PVH, con categorías específicas como ropa interior y mezclilla para Calvin Klein y estilos icónicos para Tommy Hilfiger impulsando el rendimiento. El enfoque estratégico de la empresa en estas categorías de productos, junto con diseños innovadores y campañas de marketing, subraya la importancia de la ropa y los accesorios para el negocio general de PVH.","[{'name': 'pvh-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pvh-Q224-10-Q.html'}, {'name': 'pvh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pvh-Q324-10-Q.html'}, {'name': 'pvh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pvh-FY24-10-K.html'}, {'name': 'pvh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pvh-Q125-10-Q.html'}]",90794895,USD,PVH,SMART,STK,True,CL2
consumer and retail,clothing_and_accessories,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,5,"Abarca numerosas marcas prestigiosas especializadas en ropa de alta gama, artículos de cuero y accesorios de moda, posicionándose como un conglomerado de lujo líder a nivel mundial que da forma significativamente al mercado.",,,29612150,EUR,MC,SMART,STK,False,CL2
consumer and retail,clothing_and_accessories,ES0148396007,INDUSTRIA DE DISENO TEXTIL,6,"Se dedica al diseño, producción y distribución de textiles para indumentaria y accesorios, sirviendo a un mercado global.",,,162084958,EUR,ITX,SMART,STK,False,CL2
consumer and retail,clothing_and_accessories,US52736R1023,LEVI STRAUSS & CO- CLASS A,7,"Opera como un diseñador y comercializador global de ropa y accesorios de marca, particularmente conocido por sus productos de mezclilla, que son fundamentales para el sector de la ropa y los accesorios.","Levi Strauss & Co. está fuertemente involucrada en la industria de la ropa y los accesorios, diseñando, comercializando y vendiendo una amplia gama de prendas para hombres, mujeres y niños bajo marcas como Levi’s®, Dockers® y Beyond Yoga®. La gama de productos de la empresa incluye jeans, pantalones, ropa deportiva, tops y accesorios. Levi's está evolucionando más allá de sus raíces de mezclilla para convertirse en una marca de estilo de vida de ropa de pies a cabeza, impulsando el crecimiento en categorías como tops, vestidos y ropa de abrigo, con un enfoque particular en la expansión de sus ofertas para mujeres, que ahora representan una parte significativa de los ingresos netos.","[{'name': 'levi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/levi-Q125-10-Q.html'}, {'name': 'levi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/levi-Q225-10-Q.html'}, {'name': 'levi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/levi-FY24-10-K.html'}]",358053635,USD,LEVI,SMART,STK,False,CL2
consumer and retail,clothing_and_accessories,FR0000121485,KERING,8,"Opera como un grupo de lujo global que abarca casas de renombre que diseñan, fabrican y distribuyen ropa, artículos de cuero y otros accesorios.",,,29612178,EUR,KER,SMART,STK,False,CL2
consumer and retail,clothing_and_accessories,VGG1890L1076,CAPRI HOLDINGS LTD,9,"Se enfoca en la creación y venta de ropa, calzado y accesorios de lujo a través de su cartera de marcas globales de renombre.","Capri Holdings, un grupo mundial de moda de lujo, demuestra su enfoque en el tema de Ropa y Accesorios a través de sus marcas icónicas: Versace, Jimmy Choo y Michael Kors. Estas marcas generan ingresos a través de la venta de prêt-à-porter, accesorios y calzado. La empresa diseña productos excepcionales e innovadores, que cubren todo el espectro de categorías de moda de lujo, incluidas líneas de productos específicas como bolsos y colecciones de prêt-à-porter para Michael Kors y Jimmy Choo.","[{'name': 'cpri-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpri-Q126-10-Q.html'}, {'name': 'cpri-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpri-Q325-10-Q.html'}, {'name': 'cpri-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cpri-FY25-10-K.html'}, {'name': 'cpri-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpri-Q225-10-Q.html'}]",347409760,USD,CPRI,SMART,STK,True,CL2
consumer and retail,clothing_and_accessories,US7512121010,RALPH LAUREN CORP,10,"Diseña, comercializa y distribuye productos de estilo de vida premium, incluyendo ropa, accesorios y fragancias, estableciéndose como un actor global prominente dentro de la industria de la moda.","El compromiso de Ralph Lauren con el tema de Ropa y Accesorios es evidente a través de su liderazgo mundial en el diseño, marketing y distribución de estos productos, que se mencionan explícitamente como parte de su oferta de estilo de vida de lujo. Los productos principales de la compañía, incluidos artículos icónicos como las camisas Polo de malla, los suéteres de punto trenzado y las gorras Polo, representan una parte importante de su negocio. Además, Ralph Lauren interactúa activamente con los consumidores a través de la moda, patrocinios de celebridades e inversiones estratégicas de marketing, enfatizando el estilo atemporal y la autenticidad de la marca. Este compromiso se ve reforzado por las prioridades estratégicas de la compañía, que incluyen impulsar las ventas de productos principales y expandirse a categorías de alto potencial como la ropa de mujer y los bolsos.","[{'name': 'rl-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rl-Q126-10-Q.html'}, {'name': 'rl-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rl-Q325-10-Q.html'}, {'name': 'rl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rl-Q225-10-Q.html'}, {'name': 'rl-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rl-FY25-10-K.html'}]",92306678,USD,RL,SMART,STK,True,CL2
