type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,original_content,US64110L1061,NETFLIX INC,1,"Se enfoca en la producción y distribución de una amplia gama de contenido original en diversos géneros, estableciéndose como una plataforma de entretenimiento global líder.","El enfoque de Netflix en el contenido original es evidente a través de su inversión significativa y continua en contenido global, particularmente en programación original, lo que impacta su liquidez. Esta inversión se destaca por el aumento de la amortización de contenido y una sólida lista de títulos nuevos y recurrentes, que incluyen 'El juego del calamar', 'Miércoles' y 'Stranger Things'. La estrategia de la empresa implica producir y poseer contenido original, lo que requiere más efectivo inicial en comparación con el contenido licenciado, y tienen un flujo constante de programas y películas originales, con numerosos programas nominados a los Emmy, lo que demuestra un compromiso con la calidad a escala.","[{'name': 'nflx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q225-10-Q.html'}, {'name': 'nflx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nflx-Q324-10-Q.html'}, {'name': 'nflx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nflx-FY24-10-K.html'}]",15124833,USD,NFLX,SMART,STK,True,ORI
entertainment and media,original_content,US2546871060,WALT DISNEY CO/THE,2,"Es un creador y distribuidor global líder de una amplia gama de contenido original, que abarca películas, series de televisión y producciones animadas en su diversa cartera de estudios y plataformas de transmisión.","El enfoque de Disney en el contenido original es evidente a través de su importante inversión en la producción y licenciamiento de programación de cine y televisión, lo que impulsa los ingresos en sus segmentos de Redes Lineales, Directo al Consumidor y Ventas/Licenciamiento de Contenido. La compañía asigna fondos sustanciales a contenido producido y gestiona deterioros de contenido relacionados con cambios estratégicos en la curación de contenido, con costos de programación y producción detallados tanto para Redes Lineales como para plataformas Directo al Consumidor como Disney+ y Hulu. Esta inversión es crucial para atraer y retener suscriptores, así como para lanzamientos cinematográficos, destacada por menciones de películas específicas y distribución de contenido episódico, lo que demuestra la importancia estratégica del contenido original para el modelo de negocio de Disney.","[{'name': 'dis-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q325-10-Q.html'}, {'name': 'dis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q225-10-Q.html'}, {'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}]",6459,USD,DIS,SMART,STK,True,ORI
entertainment and media,original_content,US9344231041,WARNER BROS DISCOVERY INC,3,"Un importante productor y distribuidor de películas originales, series de televisión y contenido de streaming, central para su estrategia global de entretenimiento y ofertas de plataformas.","La participación de Warner Bros. Discovery en Contenido Original es evidente en su creación y distribución de una cartera diversa de contenido de marca en plataformas de televisión, cine, streaming y videojuegos. La empresa enfatiza la narración original de alta calidad, ejemplificada por títulos como 'White Lotus' y 'House of the Dragon', como un impulsor clave de la demanda de sus servicios de streaming. Este enfoque se extiende a la producción de series originales y largometrajes, lo que pone de relieve la importancia estratégica del contenido original para el ecosistema de entretenimiento general de Warner Bros. Discovery.","[{'name': 'wbd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q324-10-Q.html'}, {'name': 'wbd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wbd-FY24-10-K.html'}]",554208351,USD,WBD,SMART,STK,True,ORI
entertainment and media,original_content,US0231351067,AMAZON.COM INC,4,"Produce y distribuye una diversa cartera de películas exclusivas, series de televisión y documentales para su servicio de streaming global, influyendo significativamente en el panorama de la producción y las opciones de entretenimiento del consumidor.",,,3691937,USD,AMZN,SMART,STK,True,ORI
entertainment and media,original_content,US20030N1019,COMCAST CORP-CLASS A,5,"Produce y distribuye una amplia gama de contenido original a través de sus estudios de cine y televisión, incluidas plataformas de streaming, desempeñando un papel importante en la industria del entretenimiento.","El compromiso de Comcast con el Contenido Original es evidente a través de su enfoque estratégico en Peacock, donde invierte en series y películas originales para atraer suscriptores, como lo destaca el éxito de 'Love Island USA'. El segmento de Estudios de la compañía juega un papel crucial en la producción de contenido cinematográfico y televisivo original, licenciándolo al segmento de Medios, incluido Peacock, y generando ingresos a través de la concesión de licencias de contenido. Además, Comcast está invirtiendo en contenido premium dentro de sus estudios, ejemplificado por el éxito de 'Wicked', que se convirtió en la película Pay-One más vista de Peacock, demostrando un compromiso con el contenido original como motor de crecimiento de suscriptores y participación en la plataforma.","[{'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}, {'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}]",267748,USD,CMCSA,SMART,STK,True,ORI
entertainment and media,original_content,US0378331005,APPLE INC,6,"Desarrolla y distribuye un portafolio de series de televisión y películas exclusivas, expandiendo su presencia en el mercado de streaming de contenido original.",,,265598,USD,AAPL,SMART,STK,True,ORI
entertainment and media,original_content,JP3435000009,SONY GROUP CORP,7,"Es una fuerza líder en el sector de Contenido Original, demostrando una influencia y contribución significativas al tema.",,,13905705,JPY,6758,SMART,STK,False,ORI
entertainment and media,original_content,US69932A2042,PARAMOUNT SKYDANCE CL B,8,"Implica el desarrollo, la producción y la distribución de contenido propietario para diversas audiencias y plataformas.","La estrategia de Paramount depende en gran medida del contenido original para impulsar el crecimiento y la participación de los suscriptores, particularmente a través de Paramount+. La empresa enfatiza una estrategia de contenido centrada en 'series originales menos, más grandes y rompedoras', con títulos exitosos como Landman, 1923, Dexter Original Sin y Yellowjackets impulsando la participación. Paramount+ tiene una participación significativa en los principales originales de SVOD y está expandiendo franquicias como Yellowstone, lo que demuestra la importancia del contenido original para su crecimiento y rentabilidad.",,804144296,USD,PSKY,SMART,STK,True,ORI
entertainment and media,original_content,US8740541094,TAKE-TWO INTERACTIVE SOFTWRE,9,"Se enfoca en el desarrollo y publicación de títulos de videojuegos propietarios, ofreciendo narrativas y experiencias de juego originales que son fundamentales para su presencia en el mercado del entretenimiento interactivo.","La empresa enfatiza la propiedad intelectual desarrollada internamente como un elemento clave de su estrategia, posicionándose financiera y competitivamente. Este enfoque les permite crear franquicias de entretenimiento interactivo de alta calidad y atractivas con historias y personajes convincentes. Al combinar tecnología avanzada con creatividad e innovación, la empresa tiene como objetivo diferenciar sus productos y ofrecer experiencias de juego únicas, mejoradas aún más a través de secuelas, moneda virtual, contenido adicional y compras dentro del juego.","[{'name': 'ttwo-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q325-10-Q.html'}]",6478131,USD,TTWO,SMART,STK,True,ORI
entertainment and media,original_content,US65249B1098,NEWS CORP - CLASS A,10,Participa en la creación y distribución de contenido original.,"News Corp enfatiza su papel en la provisión de contenido para IA generativa, destacando su contenido como 'invaluable' y vital en el panorama de la IA. Esto se ve reforzado por la inclusión del contenido de News Corp en el nuevo producto de operador de OpenAI, lo que garantiza la prominencia de su periodismo dentro de la IA agentiva. La empresa también se mantiene vigilante en la protección de su propiedad intelectual, especialmente contra la IA degenerativa, lo que demuestra aún más su enfoque en el contenido original.",,129348126,USD,NWSA,SMART,STK,True,ORI
