industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
IN,IND_11,GWW,industrial,industrial_distribution,US3848021040,WW GRAINGER INC,1,"Opera como un distribuidor principal de productos y servicios de mantenimiento, reparación y operación, sirviendo a una amplia gama de clientes industriales y comerciales.","El compromiso de Grainger con el tema de la Distribución Industrial es evidente a través de sus operaciones comerciales principales como distribuidor de línea amplia, de empresa a empresa, de productos y servicios de mantenimiento, reparación y operación (MRO), sirviendo a clientes en América del Norte, Japón y el Reino Unido. La empresa utiliza una combinación de soluciones de alto contacto y negocios de surtido infinito para apoyar a sus clientes, permitiéndoles mantener operaciones seguras, sostenibles y productivas. Grainger monitorea activamente las condiciones económicas, incluidas las políticas comerciales y los desafíos de la cadena de suministro, para mantener la competitividad en el mercado, al tiempo que trabaja en estrecha colaboración con los socios proveedores para comprender y mitigar el impacto de los aranceles.","[{'name': 'gww-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q125-10-Q.html'}, {'name': 'gww-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q225-10-Q.html'}]",7867,USD,SMART,STK
IN,IND_11,FAST,industrial,industrial_distribution,US3119001044,FASTENAL CO,2,"Opera una vasta red para la distribución de suministros industriales y de construcción, sirviendo a una amplia base de clientes.","El negocio de Fastenal se centra en la distribución industrial, ya que son un líder mundial en la distribución mayorista de suministros industriales y de construcción, distribuyendo estos suministros a través de una gran red de ubicaciones. También se centran en la identificación de tecnologías, capacidades y soluciones de cadena de suministro únicas. Fastenal ayuda a los clientes con sus necesidades de cadena de suministro compartiendo las tácticas que están implementando para mejorar la cadena de suministro.","[{'name': 'fast-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fast-Q125-10-Q.html'}, {'name': 'fast-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fast-Q324-10-Q.html'}, {'name': 'fast-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fast-Q225-10-Q.html'}, {'name': 'fast-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fast-FY24-10-K.html'}]",269120,USD,SMART,STK
IN,IND_11,RXL,industrial,industrial_distribution,FR0010451203,REXEL SA,3,"Sirve como líder mundial en la distribución de productos y servicios eléctricos, esenciales para aplicaciones industriales, comerciales y residenciales.",,,43625869,EUR,SMART,STK
IN,IND_11,GPC,industrial,industrial_distribution,US3724601055,GENUINE PARTS CO,4,"Opera como un participante importante en el sector de la distribución industrial, sirviendo como un enlace crítico en la cadena de suministro para diversos productos industriales.","Genuine Parts Company participa en la distribución industrial, como lo demuestran las operaciones de su Industrial Parts Group en varios países, incluidos EE. UU., Canadá, México, Australia, Nueva Zelanda, Indonesia y Singapur. El negocio industrial de la empresa representa una parte importante de sus ingresos, aproximadamente el 37% de los ingresos totales. Además, la empresa declara explícitamente su participación en la distribución global de piezas de repuesto tanto automotrices como industriales, destacando sus capacidades de distribución líderes y sus esfuerzos continuos para modernizar su cadena de suministro.","[{'name': 'gpc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpc-Q324-10-Q.html'}, {'name': 'gpc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gpc-FY24-10-K.html'}]",7745,USD,SMART,STK
IN,IND_11,WCC,industrial,industrial_distribution,US95082P1057,WESCO INTERNATIONAL INC,5,"Facilita el suministro de productos y servicios dentro del sector de distribución industrial, sirviendo como un eslabón crítico en la cadena de suministro para diversas operaciones industriales.","El enfoque de Wesco en el tema de la Distribución Industrial es evidente en sus operaciones comerciales principales, ya que la empresa se identifica como un proveedor líder de distribución, servicios de logística y soluciones de cadena de suministro de empresa a empresa. Con más de 700 sitios, incluidos centros de distribución y cumplimiento en aproximadamente 50 países, Wesco proporciona tanto una presencia local como una red global. Si bien no se indica explícitamente un porcentaje de ingresos específico, este aspecto fundamental de las operaciones de Wesco subraya la importancia del tema de la distribución industrial para la empresa.","[{'name': 'wcc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wcc-Q324-10-Q.html'}, {'name': 'wcc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wcc-FY24-10-K.html'}]",6608665,USD,SMART,STK
IN,IND_11,STAG,industrial,industrial_distribution,US85254J1025,STAG INDUSTRIAL INC,6,Proporciona propiedades industriales que son críticas para las operaciones logísticas y de la cadena de suministro de las empresas de distribución industrial.,"La participación de STAG Industrial en la distribución industrial es evidente a través de su negocio principal de adquisición, propiedad y operación de propiedades industriales en los Estados Unidos, con un enfoque en propiedades utilizadas para la distribución. Esto se ve reforzado por el arrendamiento de propiedades a inquilinos en industrias como 'Empresas Comerciales y Distribución (Bienes Industriales)' y 'Distribuidores (Bienes de Consumo)', que en conjunto representan una parte de los ingresos anuales totales de alquiler base. Además, la adquisición de edificios por parte de la empresa que sirven como instalaciones de distribución nacional, junto con las discusiones sobre mercados de distribución a granel, sugiere un compromiso general con el panorama de la distribución industrial. El creciente atractivo de los Estados Unidos como ubicación de fabricación y distribución también subraya la conexión de la empresa con este tema.","[{'name': 'stag-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q324-10-Q.html'}, {'name': 'stag-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q125-10-Q.html'}, {'name': 'stag-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q225-10-Q.html'}, {'name': 'stag-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/stag-FY24-10-K.html'}]",86792819,USD,SMART,STK
IN,IND_11,RS,industrial,industrial_distribution,US7595091023,RELIANCE INC,7,Contribuye al tema de Distribución Industrial a través de sus extensas operaciones en el suministro de una amplia gama de bienes y servicios industriales.,,,11735,USD,SMART,STK
IN,IND_11,MANH,industrial,industrial_distribution,US5627501092,MANHATTAN ASSOCIATES INC,8,Proporciona soluciones avanzadas de software de gestión de inventario y cadena de suministro que optimizan y agilizan las operaciones para las redes de distribución industrial.,"El enfoque de la empresa en el desarrollo de soluciones de software para la gestión de cadenas de suministro, inventario y operaciones omnicanal se extiende a mayoristas, fabricantes y proveedores de logística. Esto está respaldado además por el compromiso de la empresa de invertir en soluciones de cadena de suministro en la nube, inventario y comercio omnicanal, alineándose con la transformación digital de las empresas en fabricación y venta al por mayor. Sin embargo, no hay evidencia explícita de contribución a los ingresos.","[{'name': 'manh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q225-10-Q.html'}]",4814485,USD,SMART,STK
IN,IND_11,AIT,industrial,industrial_distribution,US03820C1053,APPLIED INDUSTRIAL TECH INC,9,"Se dedica a la distribución de productos y servicios industriales, sirviendo como un enlace crítico en la cadena de suministro para diversos sectores industriales.","Applied Industrial Technologies se identifica como un distribuidor líder de valor agregado de productos industriales y soluciones técnicas. Esto está respaldado por el hecho de que los gastos de venta, distribución y administración de la empresa incluyen la gestión de almacenes y la cadena de suministro. Además, la empresa distribuye tecnologías industriales de movimiento, potencia fluida, control de flujo, automatización y suministros de mantenimiento relacionados.","[{'name': 'ait-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ait-Q225-10-Q.html'}]",4313,USD,SMART,STK
IN,IND_11,FLEX,industrial,industrial_distribution,SG9999000020,FLEX LTD,10,"Fabrica una amplia gama de productos y proporciona soluciones integrales de cadena de suministro, facilitando el flujo y la distribución eficientes de bienes industriales en diversos sectores.","El papel de Flex en la industria de Distribución Industrial se ve subrayado por su posición como proveedor global de soluciones de cadena de suministro, gestionando el diseño, la fabricación, el envío y el servicio de productos a través de una extensa red de aproximadamente 100 instalaciones en unos 30 países. La estrategia de la empresa se centra en ofrecer soluciones de cadena de suministro globales verticalmente integradas, lo que permite a los clientes diseñar, construir, enviar y dar servicio a productos completos empaquetados. Las capacidades de Flex se extienden a varios mercados, con una red de instalaciones de fabricación que dan servicio a importantes sectores de consumo y empresariales, lo que enfatiza su amplia participación en las actividades de la cadena de suministro.","[{'name': 'flex-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flex-Q126-10-Q.html'}]",4596077,USD,SMART,STK
