symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
6367,ENE,real estate,energy_efficient_homes,JP3481800005,DAIKIN INDUSTRIES LTD,1,"Proporciona soluciones avanzadas y energéticamente eficientes de calefacción, ventilación y aire acondicionado (HVAC) esenciales para establecer entornos residenciales sostenibles y respetuosos con el medio ambiente.",,13857203,JPY,SMART,STK,
SU,ENE,real estate,energy_efficient_homes,FR0000121972,SCHNEIDER ELECTRIC SE,2,"Proporciona soluciones avanzadas de gestión de energía, automatización del hogar inteligente y tecnologías sostenibles que permiten a los edificios residenciales optimizar el consumo de energía y mejorar la eficiencia.",,29612196,EUR,SMART,STK,
SIE,ENE,real estate,energy_efficient_homes,DE0007236101,SIEMENS AG-REG,3,"Contribuye significativamente a hogares energéticamente eficientes al proporcionar automatización avanzada de edificios, integración de redes inteligentes y soluciones digitales que optimizan el consumo y la gestión de energía en entornos residenciales.",,14217,EUR,SMART,STK,
TT,ENE,real estate,energy_efficient_homes,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,4,Ofrece una cartera de soluciones de control climático y gestión térmica diseñadas para mejorar significativamente el rendimiento energético y la sostenibilidad de los edificios residenciales.,"Trane Technologies enfatiza la importancia de las soluciones energéticamente eficientes en diversos sectores, incluidos hogares, edificios y transporte. La empresa se beneficia de la demanda de productos y soluciones energéticamente eficientes en los mercados comerciales de HVAC, particularmente en América y EMEA, y se enfoca en la instalación de estos productos y la descarbonización del entorno construido. Si bien los mercados residenciales en los Estados Unidos han mejorado, Trane Technologies reconoce posibles variaciones de la demanda a corto plazo debido a transiciones regulatorias e incertidumbres económicas. Trane Technologies proporciona soluciones sostenibles y eficientes a edificios, hogares y transporte a través de sus marcas estratégicas.",406709270,USD,SMART,STK,"[{'name': 'tt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q324-10-Q.html'}, {'name': 'tt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tt-FY24-10-K.html'}]"
CARR,ENE,real estate,energy_efficient_homes,US14448C1045,CARRIER GLOBAL CORP,5,"Desarrolla y proporciona sistemas y soluciones avanzadas de calefacción, ventilación y aire acondicionado (HVAC) que son fundamentales para mejorar la eficiencia energética y la sostenibilidad en entornos residenciales.","El enfoque de Carrier en hogares energéticamente eficientes se demuestra a través de la introducción de su primera bomba de calor comercial enfriada por aire en Europa, diseñada para ofrecer altas temperaturas, mayor eficiencia energética, reducción de ruido y un rendimiento operativo mejorado. La empresa también se está asociando con Google para integrar la tecnología HEMS de Carrier con la IA y el análisis de Google Cloud, con el objetivo de mejorar la resiliencia de la red y apoyar una gestión energética más inteligente aumentando la eficiencia de la infraestructura energética existente, reduciendo la congestión de la red y disminuyendo los costos de energía para los propietarios. Además, la introducción de Profi de Viessmann tiene como objetivo acelerar y expandir las ventas de HEMS en Europa, aprovechando los mayores beneficios de ventas asociados con las bombas de calor en comparación con las calderas.",410755397,USD,SMART,STK,
OC,ENE,real estate,energy_efficient_homes,US6907421019,OWENS CORNING,6,"Proporciona productos de aislamiento esenciales que mejoran la eficiencia energética de los hogares, lo que contribuye a reducir el consumo de energía y mejorar el rendimiento térmico.","Owens Corning demuestra su enfoque en hogares energéticamente eficientes a través de su compromiso con la sostenibilidad y la fabricación de soluciones energéticamente eficientes. La empresa declara explícitamente su dedicación a construir un futuro sostenible a través de la innovación de materiales, ofreciendo productos que brindan soluciones duraderas, sostenibles y energéticamente eficientes tanto para edificios residenciales como comerciales. Esto está respaldado además por sus productos de aislamiento y sus actividades de retechado y remodelación residencial, que son componentes clave de los hogares energéticamente eficientes.",41289692,USD,SMART,STK,"[{'name': 'oc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oc-Q125-10-Q.html'}, {'name': 'oc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oc-Q324-10-Q.html'}]"
RUN,ENE,real estate,energy_efficient_homes,US86771W1053,SUNRUN INC,7,"Proporciona sistemas residenciales de energía solar y servicios relacionados que permiten a los propietarios generar electricidad limpia, reducir el consumo de energía y contribuir a la eficiencia energética general del hogar.","El negocio de Sunrun está estrechamente alineado con los hogares energéticamente eficientes, como lo demuestra su enfoque en la electrificación del hogar y las soluciones de energía renovable asequibles. La empresa tiene como objetivo ser el principal proveedor de electrificación del hogar limpia y confiable, ofreciendo ofertas de servicios solares personalizadas adaptadas a cada hogar del cliente. Sunrun instala sistemas de energía solar, lo que contribuye a reducir el consumo de energía, y ve oportunidades adicionales en la electrificación de los hogares de EE. UU. con energía renovable, incluidos los servicios de gestión de energía del hogar y otros productos de electrificación.",202225016,USD,SMART,STK,"[{'name': 'run-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/run-Q324-10-Q.html'}, {'name': 'run-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/run-FY24-10-K.html'}]"
ENPH,ENE,real estate,energy_efficient_homes,US29355A1079,ENPHASE ENERGY INC,8,"Proporciona soluciones integradas de energía solar, almacenamiento de baterías y gestión de energía que permiten a los propietarios optimizar el consumo de energía y mejorar la eficiencia de sus residencias.",,105368327,USD,SMART,STK,
SEDG,ENE,real estate,energy_efficient_homes,US83417M1045,SOLAREDGE TECHNOLOGIES INC,9,"Proporciona soluciones optimizadas de inversores y sistemas inteligentes de gestión de energía que permiten la generación de energía solar residencial, contribuyendo directamente a operaciones domésticas energéticamente eficientes y a un menor consumo de electricidad.",,188625650,USD,SMART,STK,
BLD,ENE,real estate,energy_efficient_homes,US89055F1030,TOPBUILD CORP,10,Desempeña un papel crucial en la habilitación de hogares energéticamente eficientes al proporcionar e instalar aislamiento y otros productos de construcción que mejoran el rendimiento térmico y reducen el consumo de energía.,"El negocio de TopBuild se centra en la instalación y distribución de aislamiento, un componente clave para mejorar la eficiencia térmica, reducir el consumo de energía y disminuir las emisiones de carbono tanto en hogares nuevos como existentes. La empresa destaca que sus productos de aislamiento impulsan la eficiencia térmica y reducen el uso de energía en los hogares, alineándose fuertemente con el tema de los hogares energéticamente eficientes. TopBuild también anticipa que la demanda de viviendas se verá respaldada por el fortalecimiento de los requisitos de eficiencia energética. Como instalador y distribuidor líder de aislamiento, las operaciones principales de TopBuild contribuyen directamente a la creación de viviendas energéticamente eficientes.",196616907,USD,SMART,STK,"[{'name': 'bld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bld-Q324-10-Q.html'}, {'name': 'bld-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bld-FY24-10-K.html'}]"
