type   , link_type    , key         , name                        , rank, description                                                                                                                                                                                                                                                                  , evidence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , evidenceSources                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , conid    , currency, symbol, exchange, assetType, navigable
industrial, electrical_components_and_equipment, US36828A1016, GE VERNOVA INC              ,    1, "Desarrolla, fabrica y presta servicios a una cartera integral de componentes y equipos eléctricos esenciales para la generación, transmisión y distribución de energía en diversos sectores energéticos."                                                                   , "El enfoque de GE Vernova en la industria de Componentes y Equipos Eléctricos es evidente a través de su segmento de Electrificación, particularmente Grid Solutions y Power Conversion & Storage, que demuestra un compromiso con los aparamentas, transformadores y soluciones de corriente continua de alto voltaje. La compañía está invirtiendo $ 600 millones y añadiendo 1.500 nuevos empleos en la fabricación estadounidense como parte de su compromiso global de $ 9 mil millones para I + D y CapEx acumulativamente hasta 2028. Esto está respaldado además por un fuerte crecimiento de los pedidos de productos de aparamentas en Europa y Asia, y la ejecución por parte de la compañía de planes de expansión de capacidad para aumentar la producción."                                                                                                                                                                                                                                                                   , "[{'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}, {'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}, {'name': 'gev-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q125-10-Q.html'}]"                                                                                                                                            , 691984365, USD     , GEV   , SMART   , STK      , True
industrial, electrical_components_and_equipment, IE00B8KQN827, EATON CORP PLC              ,    2, "Es un contribuyente principal a la industria de Componentes y Equipos Eléctricos, proporcionando productos y soluciones esenciales que sustentan el desarrollo y la funcionalidad del sector."                                                                              , "Eaton Corporation participa en la industria de componentes y equipos eléctricos a través de varias vías. El enfoque de Eaton en la gestión de energía es evidente a través de su desarrollo de soluciones de gestión de energía para GPUs de alta densidad, su experiencia en arquitectura de distribución de energía y su expansión de capacidad en equipos de conmutación y utilidades. Esto está respaldado además por adquisiciones como Exertherm, un proveedor de soluciones de monitoreo térmico para equipos eléctricos, y Fibrebond Corporation, un diseñador y constructor de recintos de energía modulares preintegrados. Además, la adquisición por parte de Eaton de Resilient Power y su tecnología de transformadores de estado sólido demuestra un compromiso con la innovación en el sector."                                                                                                                                                                                                                             , "[{'name': 'etn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q225-10-Q.html'}, {'name': 'etn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q125-10-Q.html'}]"                                                                                                                                                                                                                                                                                , 118017864, EUR     , 3EC   , SMART   , STK      , True
industrial, electrical_components_and_equipment, DE0007236101, SIEMENS AG-REG              ,    3, "Desarrolla y fabrica una amplia gama de componentes y equipos eléctricos para la generación, transmisión, distribución y aplicaciones industriales de energía, impulsando avances en la electrificación y la automatización."                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,     14217, EUR     , SIE   , SMART   , STK      , False
industrial, electrical_components_and_equipment, CH0012221716, ABB LTD-REG                 ,    4, "Fabrica una amplia gama de componentes y equipos eléctricos cruciales para redes eléctricas, automatización industrial y soluciones de electrificación en diversos sectores."                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,   2682965, CHF     , ABBN  , SMART   , STK      , False
industrial, electrical_components_and_equipment, FR0000121972, SCHNEIDER ELECTRIC SE       ,    5, "Desarrolla y suministra una cartera integral de soluciones de distribución eléctrica, automatización industrial y gestión de energía, esenciales para la infraestructura moderna y la transformación digital en diversas industrias."                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,  29612196, EUR     , SU    , SMART   , STK      , False
industrial, electrical_components_and_equipment, US8825081040, TEXAS INSTRUMENTS INC       ,    6, "Es un proveedor clave de semiconductores de procesamiento analógico y embebido, que son componentes eléctricos fundamentales críticos para la funcionalidad de equipos y sistemas electrónicos modernos."                                                                   , "La participación de la empresa en el tema de Componentes y Equipos Eléctricos se deriva de su diseño y fabricación de semiconductores, que luego se venden a diseñadores y fabricantes de productos electrónicos a nivel mundial. Si bien la tecnología es la base de la empresa, sus semiconductores atienden a mercados importantes como el industrial, lo que refleja su papel en el suministro de componentes eléctricos. La empresa se centra en el crecimiento a través del flujo de caja libre por acción, con semiconductores implícitamente esenciales para sus operaciones."                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "[{'name': 'txn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/txn-Q225-10-Q.html'}]"                                                                                                                                                                                                                                                                                                                                                                                                                    ,     13096, USD     , TXN   , SMART   , STK      , True
industrial, electrical_components_and_equipment, IE000IVNQZ81, TE CONNECTIVITY PLC         ,    7, Diseña y fabrica una amplia gama de soluciones de conectividad y sensores esenciales para sistemas y equipos eléctricos en diversas industrias.                                                                                                                              , "La participación de TE Connectivity en la industria de Componentes y Equipos Eléctricos es evidente a través de sus soluciones de conectividad y sensores, que facilitan la distribución de energía, señal y datos en diversos sectores. La adquisición por parte de la empresa de Richards Manufacturing, un productor de productos de distribución eléctrica y de gas aéreos y subterráneos, solidifica aún más su presencia en este dominio, particularmente dentro del negocio de energía de su segmento de Soluciones Industriales. Además, TE Connectivity está capitalizando el crecimiento en aplicaciones de energía donde se necesitan sus productos, lo que refleja la importancia de los componentes y equipos eléctricos para la empresa."                                                                                                                                                                                                                                                                                    , "[{'name': 'tel-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tel-Q325-10-Q.html'}, {'name': 'tel-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tel-FY24-10-K.html'}]"                                                                                                                                                                                                                                                                                , 731466402, MXN     , TEL1 N, MEXI    , STK      , True
industrial, electrical_components_and_equipment, JP3902400005, MITSUBISHI ELECTRIC CORP    ,    8, "Desarrolla y fabrica una gama completa de componentes y equipos eléctricos, sirviendo a diversas aplicaciones en los mercados industrial, de infraestructura y de consumo a nivel mundial."                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,  13905675, JPY     , 6503  , SMART   , STK      , False
industrial, electrical_components_and_equipment, JP3734800000, NIDEC CORP                  ,    9, "Un fabricante líder de motores y componentes eléctricos, que proporciona soluciones esenciales en diversas aplicaciones industriales y comerciales."                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,  14016790, JPY     , 6594  , SMART   , STK      , False
industrial, electrical_components_and_equipment, US5218652049, LEAR CORP                   ,   10, "Fabrica sistemas de distribución eléctrica y componentes electrónicos, que son esenciales para las arquitecturas de vehículos y las funcionalidades automotrices avanzadas."                                                                                                , "La participación de Lear Corporation en el tema de la industria de Componentes y Equipos Eléctricos es significativa, principalmente a través de su negocio E-Systems. Lear diseña, desarrolla, diseña y fabrica una amplia gama de componentes eléctricos, incluidos sistemas completos de distribución y conexión eléctrica, productos de distribución de energía de alto voltaje (como Unidades de Desconexión de Batería) y productos de distribución de energía de bajo voltaje con controladores electrónicos. Estos productos E-Systems se suministran a los principales fabricantes de automóviles a nivel mundial, lo que destaca el papel clave de la empresa en la provisión de soluciones eléctricas esenciales para la industria automotriz."                                                                                                                                                                                                                                                                                 , "[{'name': 'lea-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lea-Q324-10-Q.html'}, {'name': 'lea-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lea-FY24-10-K.html'}]"                                                                                                                                                                                                                                                                                ,  70152668, USD     , LEA   , SMART   , STK      , True
