type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,car_rental_integration,US42806J7000,HERTZ GLOBAL HLDGS INC,1,"Implica la gestión estratégica e integración de una vasta flota global de vehículos, facilitando el acceso sin interrupciones y soluciones de movilidad a corto plazo para clientes en todo el mundo.","Las operaciones de Hertz se basan fundamentalmente en la integración del alquiler de coches, ya que la empresa se dedica principalmente al negocio del alquiler de vehículos a través de sus marcas Hertz, Dollar y Thrifty. Los ingresos de la empresa se derivan principalmente de los alquileres y cargos relacionados, con un enfoque en la excelencia en la ejecución de las operaciones de alquiler a nivel mundial. Además, Hertz está invirtiendo en tecnología y una experiencia del cliente digital primero para seguir siendo un actor central en el ecosistema de la movilidad moderna, lo que demuestra su compromiso de optimizar el proceso de alquiler de coches.","[{'name': 'htz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/htz-FY24-10-K.html'}, {'name': 'htz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htz-Q324-10-Q.html'}, {'name': 'htz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htz-Q225-10-Q.html'}]",500289391,USD,HTZ,SMART,STK,True,CA1
transportation and logistics,car_rental_integration,US09857L1089,BOOKING HOLDINGS INC,2,"Integra opciones de alquiler de coches en sus extensas plataformas de viajes en línea, lo que permite a los usuarios combinar fácilmente las necesidades de transporte con otras reservas de viajes.","El compromiso de Booking Holdings con el tema de Integración de Alquiler de Coches es evidente a través del crecimiento en los días de alquiler de coches reservados a través de sus servicios, impulsado principalmente por Booking.com y Priceline. La empresa ofrece servicios de reserva de alquiler de coches y está trabajando para desarrollar opciones de transporte terrestre como parte de su visión de Viaje Conectado. Si bien las reservas brutas de alquiler de coches aumentaron, la empresa no enfatiza la integración de alquiler de coches como un foco estratégico importante, lo que sugiere que no es una inversión de primer nivel.","[{'name': 'bkng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q225-10-Q.html'}, {'name': 'bkng-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q324-10-Q.html'}, {'name': 'bkng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkng-Q125-10-Q.html'}, {'name': 'bkng-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkng-FY24-10-K.html'}]",308728373,USD,BKNG,SMART,STK,True,CA1
transportation and logistics,car_rental_integration,US0537741052,AVIS BUDGET GROUP INC,3,"Opera una red global de alquiler de coches, centrándose en la integración de sus servicios en diversas plataformas y ofreciendo reservas digitales fluidas y acceso para satisfacer diversas necesidades de transporte de los clientes.","El enfoque de Avis Budget Group en la integración de alquiler de coches es evidente a través de la operación de marcas reconocidas a nivel mundial como Avis, Budget y Zipcar, y su estrategia para transformar el negocio mediante mejoras tecnológicas y de sistemas. La introducción de 'Avis First', un servicio de alquiler de coches premium, subraya este enfoque al tener como objetivo proporcionar una experiencia de cliente fluida a través de servicios de conserjería, vehículos preacondicionados y procesos de devolución simplificados. Esta iniciativa integra la tecnología para coordinar grupos de trabajo y adaptar los procesos en cada aeropuerto, mejorando el viaje del cliente desde la llegada hasta el alquiler del coche, y representa un gran esfuerzo para redefinir la experiencia de alquiler de coches a través de una mayor integración de servicios y tecnología.","[{'name': 'car-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/car-Q324-10-Q.html'}, {'name': 'car-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/car-FY24-10-K.html'}, {'name': 'car-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/car-Q225-10-Q.html'}, {'name': 'car-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/car-Q125-10-Q.html'}]",40673933,USD,CAR,SMART,STK,True,CA1
transportation and logistics,car_rental_integration,US30212P3038,EXPEDIA GROUP INC,4,"Integra servicios de alquiler de coches en su extensa plataforma de viajes en línea, lo que permite a los viajeros reservar vehículos sin problemas junto con vuelos y alojamientos, agilizando así el proceso de planificación de viajes.","La participación de Expedia Group en la integración de alquiler de coches es evidente a través de su propiedad de CarRentals.com, que figura como una de las marcas de consumo dentro de su segmento B2C. Demostrando aún más su compromiso, Expedia lanzó su primer socio en su API de alquiler de coches y planea implementar líneas de negocio adicionales, lo que sugiere una iniciativa estratégica para expandir sus ofertas. Si bien los servicios de alquiler de coches forman parte de la cartera más amplia de Expedia, se incluyen en los ingresos 'Otros', lo que indica que no es el enfoque principal.","[{'name': 'expe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expe-Q225-10-Q.html'}]",98542021,USD,EXPE,SMART,STK,True,CA1
transportation and logistics,car_rental_integration,DE0007231326,SIXT SE,5,"Facilita la integración fluida de sus servicios de alquiler de coches en diversas plataformas digitales y ecosistemas de movilidad, mejorando la accesibilidad y la comodidad para los clientes a nivel mundial.",,,15163,EUR,SIX2,SMART,STK,False,CA1
transportation and logistics,car_rental_integration,US90353T1007,UBER TECHNOLOGIES INC,6,"Integra servicios de alquiler de automóviles en su plataforma, ofreciendo opciones flexibles de acceso a vehículos para conductores y usuarios.",,,365207014,USD,UBER,SMART,STK,True,CA1
transportation and logistics,car_rental_integration,JP3200450009,ORIX CORP,7,Impulsa los esfuerzos de Integración de Alquiler de Automóviles dentro de la industria.,,,14018711,JPY,8591,SMART,STK,False,CA1
transportation and logistics,car_rental_integration,BRRENTACNOR4,LOCALIZA RENT A CAR,8,"Implica la operación y expansión de servicios de alquiler de automóviles, contribuyendo a la integración más amplia de soluciones de movilidad de vehículos dentro del mercado.",,,51283336,BRL,RENT3,B3,STK,False,CA1
transportation and logistics,car_rental_integration,US55087P1049,LYFT INC-A,9,"Integra servicios de alquiler de coches directamente en su plataforma, ofreciendo a los usuarios una opción conveniente para alquilar vehículos para uso personal junto con los servicios tradicionales de transporte compartido.","La integración de Lyft con la industria del alquiler de automóviles es evidente a través de su programa Express Drive, que permite a los conductores alquilar vehículos y contribuye a las reservas brutas de la empresa. Esto se apoya aún más en la inclusión de Flexdrive Services, LLC, una subsidiaria de propiedad total que genera ingresos de alquiler a través de arrendamientos y subarrendamientos, así como los costos relacionados con Flexdrive incluidos en el costo de los ingresos. Además, las reservas brutas de Lyft incluyen montos facturados por alquileres de vehículos de Express Drive, lo que indica que la empresa proporciona o facilita el alquiler de vehículos como parte de sus ofertas de servicios. Si bien estas iniciativas demuestran la participación de Lyft en la integración del alquiler de automóviles, no es el enfoque principal de su negocio.","[{'name': 'lyft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyft-Q125-10-Q.html'}, {'name': 'lyft-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lyft-FY24-10-K.html'}, {'name': 'lyft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyft-Q225-10-Q.html'}]",359130923,USD,LYFT,SMART,STK,False,CA1
transportation and logistics,car_rental_integration,US2172041061,COPART INC,10,Facilita la enajenación de vehículos de flota retirados o dañados para empresas de alquiler de coches a través de su plataforma de subastas en línea.,,,4728523,USD,CPRT,SMART,STK,True,CA1
