type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
technology,enterprise_ai_integration,US5949181045,MICROSOFT CORP,1,"Ofrece un conjunto completo de servicios, plataformas y soluciones integradas de IA dentro de sus ofertas de software empresarial y en la nube, lo que permite a las empresas adoptar y aprovechar la inteligencia artificial en sus operaciones.","Microsoft enfatiza su compromiso de hacer que la IA esté ampliamente disponible a través de sus plataformas y herramientas, como lo demuestra el crecimiento de Azure y otros servicios en la nube, que vieron una contribución significativa de los servicios de IA. La plataforma Foundry de la empresa es utilizada por desarrolladores en numerosas empresas para diseñar, personalizar y administrar sus aplicaciones y agentes de IA. Microsoft también se centra en los cambios impulsados por la IA en el mercado de aplicaciones empresariales, con Dynamics 365 ganando cuota de mercado en diversas industrias. Además, Microsoft está introduciendo agentes para cada rol y proceso de negocio, incluyendo ventas y servicio al cliente, para facilitar la colaboración humano-agente.","[{'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True
technology,enterprise_ai_integration,US79466L3024,SALESFORCE INC,2,"Integra inteligencia artificial directamente en su plataforma empresarial de Gestión de Relaciones con Clientes (CRM), lo que permite a las empresas automatizar flujos de trabajo, personalizar interacciones con clientes y mejorar la toma de decisiones basada en datos.","El enfoque de Salesforce en la integración de IA empresarial es evidente a través de sus iniciativas estratégicas y mejoras de plataforma. La empresa está integrando activamente la IA en sus ofertas de software empresarial a través de la plataforma Agentforce, incorporando capacidades impulsadas por IA en Sales Cloud, Service Cloud, Marketing Cloud y otros productos. Esta integración tiene como objetivo automatizar tareas, mejorar la toma de decisiones y mejorar las interacciones con los clientes, con la visión de transformar las empresas en 'empresas agentivas' donde humanos y agentes de IA colaboren. Además, el marco ADAM (agentes, datos, aplicaciones, metadatos) de Salesforce y las adquisiciones estratégicas, como Informatica, subrayan su compromiso de ofrecer experiencias de IA integrales para las empresas, consolidando su posición en el panorama impulsado por la IA.","[{'name': 'crm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q325-10-Q.html'}, {'name': 'crm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q225-10-Q.html'}, {'name': 'crm-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crm-FY25-10-K.html'}]",29624264,USD,CRM,SMART,STK,True
technology,enterprise_ai_integration,US67066G1040,NVIDIA CORP,3,"Proporciona las plataformas de hardware y software fundamentales que permiten a las empresas desarrollar, implementar y escalar soluciones de inteligencia artificial en sus operaciones.","La participación de NVIDIA en la integración de IA empresarial es evidente a través de sus plataformas de computación y redes de centros de datos, que impulsan el crecimiento de los ingresos con soluciones de computación acelerada e IA. El enfoque de la empresa se destaca por la introducción del servicio NVIDIA AI Foundry y los microservicios de inferencia NIM, diseñados para acelerar la IA generativa para empresas. Los microservicios NeMo de NVIDIA son utilizados por empresas líderes, incluidas Cisco, NASDAQ y Shell, para construir, optimizar y escalar aplicaciones de IA, lo que demuestra el papel de la empresa en la integración de IA en diversas plataformas empresariales. Esto está respaldado además por asociaciones con empresas como Yum! Brands, que llevan NVIDIA AI a sus restaurantes.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}]",4815747,USD,NVDA,SMART,STK,True
technology,enterprise_ai_integration,US81762P1021,SERVICENOW INC,4,"Integra capacidades de inteligencia artificial directamente en su plataforma de automatización de flujos de trabajo empresariales, lo que permite a las empresas mejorar la eficiencia operativa y ofrecer soluciones inteligentes.","La participación de ServiceNow con la integración de empresas de IA es evidente en su Now Platform, que la empresa identifica explícitamente como la plataforma de IA para la transformación digital. La Now Platform automatiza los procesos comerciales en toda la empresa al integrar todo el stack tecnológico con cualquier sistema, LLM o fuente de datos, reuniendo los datos en un modelo único. Esta plataforma está diseñada para impulsar acciones y resultados comerciales, aprovechando agentes de IA para ejecutar tareas en diversos procesos comerciales y se está adoptando para transformar las operaciones de seguridad y mejorar el control de los activos de TI. ServiceNow también está ampliando sus capacidades de CRM con soluciones impulsadas por IA, dirigidas a clientes con sistemas heredados y ofreciendo un motor de flujo de trabajo moderno y basado en IA.","[{'name': 'now-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/now-FY24-10-K.html'}, {'name': 'now-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q125-10-Q.html'}, {'name': 'now-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q225-10-Q.html'}, {'name': 'now-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q324-10-Q.html'}]",109911821,USD,NOW,SMART,STK,True
technology,enterprise_ai_integration,US02079K3059,ALPHABET INC-CL A,5,"Proporciona soluciones y servicios integrales de IA a través de Google Cloud, lo que permite a las empresas integrar capacidades avanzadas de aprendizaje automático, análisis de datos e IA generativa en sus operaciones y aplicaciones.","El enfoque de Google en la Integración Empresarial de IA es evidente a través de sus continuas inversiones en investigación y desarrollo destinadas a implementar rápidamente la IA en sus negocios. Esto se destaca por la Plataforma Cloud de Google, que ofrece soluciones de IA como infraestructura de IA, la plataforma Vertex AI y Gemini para Google Cloud, junto con las funciones integradas de Google Workspace como Gemini. Además, la plataforma Vertex AI de Google, que proporciona más de 200 modelos fundacionales, junto con herramientas como Agent Development Kit y Agent Designer, facilita la integración de IA para clientes como Lowe's y KPMG, lo que demuestra el compromiso de Google para permitir soluciones empresariales impulsadas por IA.","[{'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}]",208813719,USD,GOOGL,SMART,STK,True
technology,enterprise_ai_integration,US4592001014,INTL BUSINESS MACHINES CORP,6,"Desarrolla e implementa soluciones integrales de inteligencia artificial diseñadas para integrar sin problemas las capacidades de IA en las operaciones empresariales, mejorando la automatización, la toma de decisiones y la eficiencia para empresas de todo el mundo.","El compromiso de IBM con la Integración Empresarial de IA es evidente a través de sus iniciativas estratégicas y la integración de IA en diversas funciones comerciales. La empresa está integrando IA en más de 70 flujos de trabajo y tiene un libro de negocios de GenAI que supera los $7.5 mil millones. El portafolio de IA de IBM está diseñado para proporcionar a los clientes un conjunto completo de herramientas para implementar IA dentro de su empresa, incluyendo asistentes de IA, agentes y middleware, particularmente en entornos híbridos. Además, IBM está expandiendo su ecosistema de socios para ofrecer IA a escala y está invirtiendo en innovación en IA, nube híbrida y computación cuántica.","[{'name': 'ibm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q225-10-Q.html'}, {'name': 'ibm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q324-10-Q.html'}]",8314,USD,IBM,SMART,STK,True
technology,enterprise_ai_integration,US0231351067,AMAZON.COM INC,7,"Facilita la integración de la inteligencia artificial en las operaciones empresariales a través de su extensa plataforma de computación en la nube, AWS, que ofrece una amplia gama de herramientas y servicios de IA y aprendizaje automático.","El enfoque de Amazon en la integración empresarial de IA es evidente a través del desarrollo y la implementación de herramientas y servicios impulsados por IA. AWS Transform, un agente de AWS, reduce significativamente los plazos de modernización de mainframes, mientras que Kiro, un nuevo agente de codificación de entorno de desarrollo integrado Agente, mejora la eficiencia de la codificación. Además, Amazon está aprovechando la IA en aplicaciones como software de centro de llamadas (Connect) y utilizando AgentCore para la implementación segura y escalable de agentes, lo que demuestra un compromiso para integrar la IA en diversas funciones empresariales para mejorar la experiencia del cliente y los procesos internos.",,3691937,USD,AMZN,SMART,STK,True
technology,enterprise_ai_integration,US68389X1054,ORACLE CORP,8,Proporciona infraestructura en la nube integral y aplicaciones empresariales que incorporan capacidades de inteligencia artificial para optimizar los procesos empresariales y mejorar la toma de decisiones basada en datos para las organizaciones.,"Oracle está profundamente involucrada en la integración empresarial de IA, como lo demuestra su desarrollo de suites de aplicaciones integradas basadas en agentes de IA en varios sectores, incluyendo ERP, EPM, cadena de suministro, fabricación, recursos humanos, compromiso del cliente, atención médica, banca, servicios públicos, comercio minorista y hostelería. La adición de más de 100 agentes de IA resalta la inversión de Oracle en esta área, con Oracle 23 AI sirviendo como una plataforma de datos de IA para permitir a las empresas aprovechar sus datos y modelos de IA. Las aplicaciones de Oracle están diseñadas para hacer que los datos sean accesibles a los modelos de IA, reforzando su posición como un habilitador clave para la adopción de IA dentro de las empresas.",,272800,USD,ORCL,SMART,STK,True
technology,enterprise_ai_integration,US0079031078,ADVANCED MICRO DEVICES,9,Soporta la integración de capacidades de inteligencia artificial dentro de entornos empresariales.,"La participación de AMD en la integración empresarial de IA es evidente a través de varias iniciativas estratégicas y despliegues de productos. La empresa está expandiendo sus inversiones en software de IA full-stack y soluciones de centros de datos, destacada por la adquisición de ZT Systems para proporcionar soluciones de IA a nivel de rack listas para desplegar. Los procesadores EPYC de AMD son utilizados por IBM para potenciar su System 6000 de escala de almacenamiento para análisis empresariales y cargas de trabajo de IA, y también están siendo adoptados en varios sectores, con un aumento significativo en instancias en la nube impulsadas por EPYC entre las empresas Forbes 2000. Demostrando aún más su compromiso, AMD adquirió Silo AI para acelerar el desarrollo y despliegue de modelos de IA en su hardware.","[{'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}]",4391,USD,AMD,SMART,STK,True
technology,enterprise_ai_integration,IE00B4BNMY34,ACCENTURE PLC-CL A,10,"Desempeña un papel crucial para permitir que las empresas integren la inteligencia artificial en sus operaciones, ofreciendo servicios integrales de consultoría e implementación para soluciones de IA en toda la empresa.","Accenture demuestra un fuerte enfoque en la integración empresarial de IA a través de su apoyo integral a los clientes en diversas etapas de adopción de IA. Los ingresos por consultoría de la empresa se impulsan significativamente al ayudar a los clientes con transformaciones digitales lideradas por tecnología, datos e IA, incluida la incorporación de IA responsable en toda la empresa. Accenture se enfoca en la reinvención empresarial necesaria para desbloquear verdaderamente el valor de la IA avanzada y está ayudando a los clientes a modernizar su infraestructura de datos, implementar IA en muchas facetas de su negocio y construir capacidades centradas en la IA. La plataforma AI Refinery de Accenture apoya a los clientes en la habilitación de casos de uso de alto valor en la participación del cliente, la gestión de riesgos y la capacitación de la fuerza laboral, y los servicios administrados también contribuyen a través de transformaciones operativas impulsadas por tecnología, datos e IA.","[{'name': 'acn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q125-10-Q.html'}]",67889930,USD,ACN,SMART,STK,True
