type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
transportation and logistics,global_logistics,US9113121068,UNITED PARCEL SERVICE-CL B,1,"Ofrece soluciones integrales de entrega de paquetes y cadena de suministro a nivel mundial, facilitando el comercio internacional y conectando empresas y consumidores en todo el mundo.","La participación de UPS en la Logística Global es fundamental para sus operaciones, como lo demuestran sus operaciones globales de paquetes pequeños y su red integrada que abarca más de 200 países. La empresa se enfoca estratégicamente en los mercados internacionales, gestionando los cambios en las rutas comerciales y adaptándose a las políticas comerciales cambiantes, así como expandiendo sus centros aéreos para capitalizar estos cambios. Este compromiso se demuestra aún más a través de adquisiciones como Frigo-Trans y MNX Global Logistics, destinadas a mejorar las capacidades en logística de cadena de frío y expandir su cartera de servicios en Europa y Asia.","[{'name': 'ups-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q125-10-Q.html'}, {'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}, {'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}, {'name': 'ups-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q225-10-Q.html'}]",6231002,USD,UPS,SMART,STK,True
transportation and logistics,global_logistics,US31428X1063,FEDEX CORPORATION,2,"Proporciona amplios servicios globales de envío y logística, conectando mercados y facilitando el comercio internacional a través de su vasta red.","La participación de FedEx en la logística global es evidente a través de su extensa red global, que conecta una parte significativa del comercio mundial al mover billones de dólares en bienes anualmente y llegar a millones de consumidores en numerosos países. El segmento FedEx Logistics de la compañía apoya aún más esto al proporcionar soluciones integradas de gestión de la cadena de suministro, corretaje de aduanas y transporte de carga marítima y aérea global. FedEx aprovecha su estrategia 'Tricolor' para mejorar las soluciones de extremo a extremo para clientes globales y está creciendo estratégicamente en el mercado global de carga aérea, incluido el ajuste de la capacidad para capturar ingresos en rutas clave como Asia a Europa.","[{'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}, {'name': 'fdx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fdx-FY25-10-K.html'}]",5100583,USD,FDX,SMART,STK,True
transportation and logistics,global_logistics,US12541W2098,C.H. ROBINSON WORLDWIDE INC,3,"Proporciona soluciones logísticas globales integrales, que incluyen transporte de carga, corretaje de aduanas y gestión de la cadena de suministro, facilitando el movimiento eficiente de mercancías a través de las fronteras internacionales.","La importante participación de C.H. Robinson en el tema de Logística Global es evidente a través de su autoidentificación como uno de los mayores proveedores de logística global del mundo. La empresa ofrece soluciones logísticas, reimagina las cadenas de suministro y resuelve desafíos logísticos para más de 83.000 clientes a nivel mundial. Esto se logra a través de su experiencia, escala y soluciones personalizadas, que ayudan a los clientes a navegar por cadenas de suministro globales cada vez más complejas, incluidos servicios de transporte global, carga marítima y aérea, y servicios aduaneros.","[{'name': 'chrw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q125-10-Q.html'}, {'name': 'chrw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q225-10-Q.html'}, {'name': 'chrw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q324-10-Q.html'}, {'name': 'chrw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chrw-FY24-10-K.html'}]",36320731,USD,CHRW,SMART,STK,True
transportation and logistics,global_logistics,US8718291078,SYSCO CORP,4,"Opera una extensa red de distribución global de productos alimenticios, contribuyendo significativamente al movimiento y entrega de bienes dentro del marco de la logística global.","El compromiso de Sysco con la logística global es evidente a través de su división estratégica de adquisiciones globales, que le otorga una ventaja estratégica para comprender la comunidad de proveedores en cientos de países. La empresa gestiona activamente los aranceles de productos de origen internacional como los aguacates de México y ha establecido un grupo de trabajo de gestión de aranceles que se reúne a diario para garantizar la disponibilidad de productos y defenderse contra el aumento de precios. Este grupo de trabajo también identifica fuentes de productos alternativas y colabora con los clientes en alternativas de menú. Además, el segmento internacional de Sysco ha demostrado un crecimiento constante de las ganancias de dos dígitos, lo que refleja el enfoque de la empresa en expandir su negocio internacional.",,12581,USD,SYY,SMART,STK,True
transportation and logistics,global_logistics,CH0025238863,KUEHNE + NAGEL INTL AG-REG,5,"Proporciona soluciones logísticas globales integrales, que incluyen logística marítima, aérea, terrestre y por contrato, facilitando el comercio internacional y la gestión de la cadena de suministro en diversas industrias.",,,39106394,CHF,KNIN,SMART,STK,False
transportation and logistics,global_logistics,US14149Y1082,CARDINAL HEALTH INC,6,"Aprovecha su infraestructura integral de cadena de suministro para facilitar la distribución global de bienes esenciales para la atención médica, desempeñando un papel crucial en el movimiento de productos farmacéuticos y médicos.",Cardinal Health participa en la logística global a través de esfuerzos para optimizar su huella global y aumentar la resiliencia de la cadena de suministro. Esto incluye mitigar los impactos arancelarios al aumentar la capacidad de fabricación en EE. UU. y diversificar proactivamente la red de proveedores. La empresa también se centra en reducir la dependencia de jurisdicciones de mayor riesgo.,,5407,USD,CAH,SMART,STK,True
transportation and logistics,global_logistics,US3021301094,EXPEDITORS INTL WASH INC,7,"Proporciona un conjunto integral de servicios de logística global, que incluyen transporte de carga, corretaje de aduanas y soluciones de cadena de suministro, facilitando el comercio internacional y el comercio.","Expeditors se identifica como un proveedor de servicios de logística global, operando a través de una red mundial de oficinas y agentes. La empresa proporciona un conjunto completo de estos servicios, que incluyen la consolidación y el transporte de carga aérea y marítima, el corretaje de aduanas y otras soluciones de la cadena de suministro. Expeditors gestiona su empresa en cinco áreas geográficas de responsabilidad, lo que indica que la logística global es una parte clave de su estrategia. Esto abarca servicios como carga aérea y marítima, corretaje de aduanas, almacenamiento y soluciones de la cadena de suministro.","[{'name': 'expd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expd-Q224-10-Q.html'}, {'name': 'expd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expd-Q324-10-Q.html'}, {'name': 'expd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expd-Q125-10-Q.html'}, {'name': 'expd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/expd-FY24-10-K.html'}]",269082,USD,EXPD,SMART,STK,True
transportation and logistics,global_logistics,US74340W1036,PROLOGIS INC,8,"Proporciona bienes raíces logísticos esenciales, incluidos centros de distribución y almacenes, que son críticos para el funcionamiento eficiente de las cadenas de suministro globales.","El compromiso de Prologis con la logística global es evidente en su huella global y su diversificado alquiler, lo que lo posiciona para navegar en un mundo desconectado que requiere más espacio de almacén. La empresa ha visto un aumento en los niveles de actividad entre sus clientes globales, específicamente dentro del transporte, alimentos y bebidas, productos de consumo y electrónica. Si bien Prologis reconoce posibles interrupciones en la logística y las cadenas de suministro debido a la inestabilidad y los aranceles, también reconoce oportunidades en regiones como México y Brasil, adaptándose a las cambiantes decisiones de abastecimiento y fabricación.",,88819288,USD,PLD,SMART,STK,True
transportation and logistics,global_logistics,DK0060079531,DSV A/S,9,"Proporciona servicios integrales de transporte y logística a nivel mundial, incluyendo carga aérea, marítima, terrestre y ferroviaria, junto con logística de contratos, para facilitar las operaciones de la cadena de suministro en todo el mundo.",,,44165865,DKK,DSV,SMART,STK,False
transportation and logistics,global_logistics,US0394831020,ARCHER-DANIELS-MIDLAND CO,10,Desempeña un papel crucial en la logística global al gestionar el transporte y la distribución de productos agrícolas y alimentos procesados en todo el mundo.,"ADM opera como un gestor global de la cadena de suministro agrícola, utilizando su base de activos para originar y transportar materias primas a más de 190 países. La empresa aprovecha sus capacidades de exportación en EE. UU., Argentina y Brasil a través de su red de origen. ADM también está optimizando su red, incluyendo la salida de operaciones de comercio nacional en China y Dubai, así como la consolidación de almacenes de granos, al tiempo que aborda desafíos operativos en América del Norte.","[{'name': 'adm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q324-10-Q.html'}]",4165,USD,ADM,SMART,STK,True
