symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
AMZN,technology,internet_infrastructure,US0231351067,AMAZON.COM INC,1,"Proporciona amplios servicios de computación en la nube a través de Amazon Web Services (AWS), formando un componente fundamental de la infraestructura global de Internet para empresas y gobiernos de todo el mundo.","El compromiso de Amazon con el tema de la Infraestructura de Internet es evidente a través de sus importantes inversiones en tecnología e infraestructura, particularmente para apoyar a Amazon Web Services (AWS) y otros negocios de Amazon. Los costos de infraestructura de la compañía abarcan servidores, equipos de red y gastos de centros de datos, lo que refleja un compromiso sustancial con esta área. Además, Amazon está invirtiendo activamente en iniciativas como el desarrollo de una red de satélites para el servicio global de banda ancha, demostrando un enfoque prospectivo para expandir el acceso y las capacidades de Internet. Amazon también reconoce que los avances en tecnología, específicamente la mejora de la conectividad inalámbrica, continuarán mejorando la experiencia de los usuarios en Internet y aumentarán su ubicuidad en la vida de las personas.","[{'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}, {'name': 'amzn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q225-10-Q.html'}, {'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}]",3691937,USD,SMART,STK,True,IN1
VRSN,technology,internet_infrastructure,US92343E1029,VERISIGN INC,2,"Gestiona componentes críticos del sistema de direccionamiento de Internet, incluidos los dominios de nivel superior y las operaciones de los servidores de nombres raíz, garantizando la navegabilidad global de Internet.","Verisign está profundamente integrada en el tema de Infraestructura de Internet, principalmente a través de su papel como proveedor global de infraestructura crítica de Internet y servicios de registro de nombres de dominio. La empresa se identifica explícitamente como tal, destacando su función en la habilitación de la navegación por Internet para muchos de los nombres de dominio más reconocidos del mundo. Las operaciones de Verisign incluyen la prestación de Servicios de Mantenimiento de la Zona Raíz, la operación de dos de los trece servidores raíz globales de Internet, y la prestación de servicios de registro y resolución autorizada para los dominios genéricos de nivel superior .com y .net, que soportan la mayoría del comercio electrónico global. Además, Verisign garantiza la seguridad, estabilidad y resiliencia del Sistema de Nombres de Dominio e Internet.","[{'name': 'vrsn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrsn-Q324-10-Q.html'}, {'name': 'vrsn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrsn-Q125-10-Q.html'}, {'name': 'vrsn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vrsn-FY24-10-K.html'}, {'name': 'vrsn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vrsn-Q225-10-Q.html'}]",4173050,USD,SMART,STK,True,IN1
MSFT,technology,internet_infrastructure,US5949181045,MICROSOFT CORP,3,"Proporciona servicios esenciales de computación en la nube y una red global de centros de datos que forman un componente fundamental de la infraestructura de Internet, permitiendo operaciones en línea y transformación digital para empresas de todo el mundo.",,,272093,USD,SMART,STK,True,IN1
NET,technology,internet_infrastructure,US18915M1071,CLOUDFLARE INC - CLASS A,4,"Proporciona un conjunto completo de servicios que incluyen entrega de contenido, seguridad y optimización del rendimiento, esenciales para la fiabilidad y eficiencia de la infraestructura global de Internet.","La participación de Cloudflare en el tema de Infraestructura de Internet es central para su misión de construir un mejor Internet, como lo demuestra su red global que ofrece una amplia gama de servicios a las empresas. Esta red sirve como un plano de control unificado, brindando seguridad, rendimiento y fiabilidad en diversas aplicaciones, y su naturaleza distribuida está animando a los clientes a construir sus aplicaciones sobre ella. Cloudflare tiene la intención de continuar realizando inversiones sustanciales en su infraestructura de red global, negociando acuerdos con los ISP para colocar equipos directamente en centros de datos, lo que resalta el compromiso de la empresa de expandir y mantener su infraestructura de Internet.","[{'name': 'net-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/net-Q125-10-Q.html'}, {'name': 'net-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/net-Q225-10-Q.html'}, {'name': 'net-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/net-FY24-10-K.html'}]",382633646,USD,SMART,STK,False,IN1
GOOGL,technology,internet_infrastructure,US02079K3059,ALPHABET INC-CL A,5,"Opera una extensa infraestructura global de Internet, que incluye enormes centros de datos, servicios de computación en la nube y una vasta red de fibra óptica, fundamentales para potenciar una parte significativa de los servicios y aplicaciones de Internet a nivel mundial.",,,208813719,USD,SMART,STK,True,IN1
EQIX,technology,internet_infrastructure,US29444U7000,EQUINIX INC,6,"Proporciona infraestructura crítica de centros de datos y servicios de interconexión que forman la columna vertebral fundamental de Internet global, permitiendo el intercambio seguro y eficiente de información digital.","Equinix contribuye significativamente al tema de Infraestructura de Internet a través de la operación de una plataforma global de centros de datos e interconexión, que son componentes esenciales. La reciente expansión de la compañía incluye la apertura de nuevos centros de datos IBX, adquisiciones e inversiones en centros de datos xScaleTM, aumentando su huella global a 268 IBX en 74 mercados. La Plataforma Equinix® de Equinix permite la interconexión directa y segura a redes, nubes y contenido, apoyando la economía digital global impulsada por la información.","[{'name': 'eqix-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eqix-FY24-10-K.html'}]",181764593,USD,SMART,STK,True,IN1
CSCO,technology,internet_infrastructure,US17275R1023,CISCO SYSTEMS INC,7,"Proporciona hardware, software y servicios de red que forman los componentes fundamentales de la infraestructura de Internet global, permitiendo la conectividad y el intercambio de datos.",,,268084,USD,SMART,STK,True,IN1
VZ,technology,internet_infrastructure,US92343V1044,VERIZON COMMUNICATIONS INC,8,"Opera y mantiene una extensa infraestructura de red, incluyendo fibra óptica y tecnologías inalámbricas, fundamental para proporcionar acceso a Internet y conectividad a una amplia base de clientes.","La participación de Verizon en la infraestructura de Internet es evidente en sus inversiones estratégicas de capital destinadas a adquirir espectro inalámbrico, mejorar la capacidad de la red y evolucionar su infraestructura. La estrategia de la empresa incluye inversiones en fibra para respaldar su negocio y mantener sus redes. Verizon cree que su espectro de Banda C, junto con sus tenencias de espectro de onda milimétrica, su red 4G LTE y su infraestructura de fibra, impulsarán productos y servicios innovadores y estimularán el crecimiento, lo que resalta la importancia de la infraestructura de Internet para la empresa.","[{'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}]",4901,USD,SMART,STK,True,IN1
9432,technology,internet_infrastructure,JP3735400008,"NTT,INC",9,"Sirve como un proveedor fundamental de infraestructura de Internet global, ofreciendo servicios y tecnologías de red esenciales que sustentan la conectividad digital.",,,13906070,JPY,SMART,STK,False,IN1
T,technology,internet_infrastructure,US00206R1023,AT&T INC,10,"Desarrolla y mantiene una vasta infraestructura de red, incluidas tecnologías de fibra y inalámbricas, que es fundamental para la entrega de conectividad a Internet y servicios relacionados a consumidores y empresas.",,,37018770,USD,SMART,STK,True,IN1
