symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
STLD,MA1,industrial,metal_manufacturing,US8581191009,STEEL DYNAMICS INC,1,Produce productos de acero esenciales que sirven como insumos fundamentales para diversos procesos de fabricación de metales en numerosas industrias.,"La compañía participa en la fabricación de metales a través de sus New Millennium Building Systems, que incluyen plantas de viguetas y cubiertas ubicadas en todo Estados Unidos y el norte de México. Estas plantas generan ingresos por la fabricación de vigas, viguetas de acero y cubiertas de acero utilizadas en la industria de la construcción no residencial. El equipo de fabricación de acero de la compañía logró un ingreso operativo, y la plataforma de fabricación de acero proporciona un soporte de volumen significativo para las operaciones de acero, especialmente en entornos de demanda más débiles, lo que permite una mayor utilización de acero a través del ciclo en comparación con sus competidores. La compañía cree que ha alcanzado un punto de inflexión en las ganancias para la Fabricación de Acero con expectativas de una mayor rentabilidad.","[{'name': 'stld-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stld-Q324-10-Q.html'}, {'name': 'stld-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stld-Q225-10-Q.html'}, {'name': 'stld-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stld-Q125-10-Q.html'}, {'name': 'stld-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/stld-FY24-10-K.html'}]",6478095,USD,SMART,STK
005490,MA1,industrial,metal_manufacturing,KR7005490008,POSCO HOLDINGS INC,2,Fabrica y suministra productos de acero que son materias primas críticas para la industria de la fabricación de metales.,,,17382512,KRW,KSE,STK
5401,MA1,industrial,metal_manufacturing,JP3381000003,NIPPON STEEL CORP,3,Suministra productos de acero esenciales que sirven como materias primas fundamentales para diversos procesos de fabricación de metales en numerosas industrias.,,,13905555,JPY,SMART,STK
LECO,MA1,industrial,metal_manufacturing,US5339001068,LINCOLN ELECTRIC HOLDINGS,4,"Ofrece una cartera integral de productos de soldadura por arco, equipos de corte y soluciones de automatización que son fundamentales para diversos procesos de fabricación de metales en diversas industrias.","La participación de Leco en el tema de Fabricación de Metales es evidente a través de su posición como el diseñador y fabricante más grande del mundo de productos de soldadura y corte por arco, que son esenciales para la fabricación de metales. Su oferta de productos incluye fuentes de energía para soldadura por arco, cortadoras de control numérico por computadora y plasma, sistemas de alimentación de alambre, paquetes de soldadura robótica y electrodos consumibles, todos vitales para los procesos de fabricación de metales. Además, la fabricación general se identifica como uno de los principales mercados de usuarios finales de la empresa, y la empresa anticipa que los fabricantes más pequeños se beneficiarán de la relocalización y la necesidad de automatización.","[{'name': 'leco-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/leco-Q324-10-Q.html'}, {'name': 'leco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/leco-FY24-10-K.html'}]",4814179,USD,SMART,STK
ITW,MA1,industrial,metal_manufacturing,US4523081093,ILLINOIS TOOL WORKS,5,"Juega un papel importante en la industria de Fabricación de Metales, contribuyendo a sus avances y capacidades operativas.","ITW participa en la industria de la fabricación de metales a través de varios de sus segmentos de negocio. El segmento de Soldadura produce equipos y consumibles de soldadura por arco para una variedad de aplicaciones industriales, incluida la fabricación y la construcción naval. Además, el segmento de OEM automotriz fabrica componentes metálicos y sujetadores para automóviles y camionetas, mientras que el segmento de Productos de Construcción produce sujetadores y herramientas relacionadas tanto para aplicaciones de madera como de metal, así como componentes de cerchas de placas metálicas.","[{'name': 'itw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q324-10-Q.html'}, {'name': 'itw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q225-10-Q.html'}, {'name': 'itw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/itw-FY24-10-K.html'}]",8620,USD,SMART,STK
NUE,MA1,industrial,metal_manufacturing,US6703461052,NUCOR CORP,6,"Sirve como un productor líder de acero y productos de acero, que son insumos esenciales para una amplia gama de procesos de fabricación de metales en diversas industrias.",,,10557,USD,SMART,STK
ESAB,MA1,industrial,metal_manufacturing,US29605J1060,ESAB CORP,7,"Proporciona equipos esenciales, consumibles y soluciones de automatización que apoyan y avanzan la industria de la fabricación de metales a nivel mundial.","ESAB apoya a la industria de la fabricación de metales a través del suministro de equipos, EPP y consumibles, ejemplificado por sus contribuciones a un laboratorio de soldadura y el establecimiento de un instituto de formación en soldadura en la zona rural de Tamil Nadu. Estas iniciativas tienen como objetivo cultivar talento a nivel de base, ofreciendo trayectorias profesionales sostenibles en soldadura y automatización. Además, ESAB está cambiando estratégicamente su cartera hacia equipos, automatización ligera y control de gas, reforzando su plataforma de consumibles dentro del sector de la fabricación de metales.",,550617891,USD,SMART,STK
RS,MA1,industrial,metal_manufacturing,US7595091023,RELIANCE INC,8,Sus actividades comerciales se centran en la industria de la fabricación de metales.,"La participación de Reliance en el tema de la Fabricación de Metales es evidente a través de la provisión de soluciones de procesamiento de metales de valor agregado a los clientes e inversiones en equipos de procesamiento avanzados. La adquisición de Mid-West Materials, un proveedor de productos de acero para el mercado de fabricación de metales, apoya aún más esta conexión. Además, Southern Steel ofrece piezas cortadas con láser y fabricadas, lo que indica una presencia en el sector de fabricación de metales, mientras que el tubo de acero al carbono, la placa y los productos estructurales contribuyen a las ventas en el mercado de la construcción no residencial.","[{'name': 'rs-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rs-Q324-10-Q.html'}]",11735,USD,SMART,STK
TKA,MA1,industrial,metal_manufacturing,DE0007500001,THYSSEN-KRUPP AG,9,"Participa en extensas actividades de procesamiento y fabricación de metales, proporcionando materiales, componentes y soluciones de ingeniería cruciales para diversas aplicaciones industriales.",,,4465866,EUR,SMART,STK
HWM,MA1,industrial,metal_manufacturing,US4432011082,HOWMET AEROSPACE INC,10,Utiliza sofisticadas técnicas de fabricación de metales para entregar productos de ingeniería avanzada críticos para aplicaciones de alto rendimiento en industrias como la aeroespacial.,,,403121976,USD,SMART,STK
VOE,MA1,industrial,metal_manufacturing,AT0000937503,VOESTALPINE AG,11,"Se dedica ampliamente a la fabricación de metales, ofreciendo materiales de acero especializados y tecnologías de procesamiento integrales para diversas aplicaciones industriales.",,,3306495,EUR,SMART,STK
CRS,MA1,industrial,metal_manufacturing,US1442851036,CARPENTER TECHNOLOGY,12,Proporciona aleaciones especiales avanzadas y materiales de ingeniería esenciales para procesos de fabricación de metales de alto rendimiento en industrias críticas.,"La empresa demuestra su participación en el tema de la industria de Fabricación de Metales a través del procesamiento de materias primas, como níquel, cobalto, titanio, manganeso, cromo y molibdeno. Este procesamiento implica instalaciones de fusión, conformado en caliente y trabajo en frío para producir productos terminados como tochos, barras, varillas, alambres y flejes estrechos. Además, la empresa produce polvos y piezas metálicas, lo que pone de manifiesto su participación en la conformación y el ensamblaje de componentes metálicos.","[{'name': 'crs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q225-10-Q.html'}, {'name': 'crs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q125-10-Q.html'}]",6077,USD,SMART,STK
SZG,MA1,industrial,metal_manufacturing,DE0006202005,SALZGITTER AG,13,Proporciona productos de acero que son insumos fundamentales para diversas aplicaciones de fabricación de metales.,,,4811835,EUR,SMART,STK
VMI,MA1,industrial,metal_manufacturing,US9202531011,VALMONT INDUSTRIES,14,Se enfoca en dar forma y procesar metales para crear diversos componentes y estructuras.,,,275665,USD,SMART,STK
MLI,MA1,industrial,metal_manufacturing,US6247561029,MUELLER INDUSTRIES INC,15,"Fabrica y suministra una amplia gama de productos de cobre, latón y aluminio, sirviendo como componente fundamental para diversos procesos de fabricación de metales en diversas industrias.","El compromiso de la empresa con el tema de la fabricación de metales es evidente a través de su fabricación de una diversa gama de productos metálicos, que incluyen tubos y accesorios de cobre, varillas, barras y perfiles de latón, forjas de aluminio y latón, y extrusiones de impacto de aluminio. La empresa se identifica explícitamente como un fabricante líder de productos de cobre, latón y aluminio, y su segmento de Metales Industriales se dedica a la fabricación y venta de productos relacionados. Estas operaciones implican dar forma y ensamblar piezas metálicas, utilizando procesos como corte, doblado y soldadura, lo que resalta el enfoque de la empresa en la fabricación de metales como actividad comercial principal.","[{'name': 'mli-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mli-Q225-10-Q.html'}, {'name': 'mli-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mli-Q125-10-Q.html'}, {'name': 'mli-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mli-Q324-10-Q.html'}]",9680,USD,SMART,STK
CMC,MA1,industrial,metal_manufacturing,US2017231034,COMMERCIAL METALS CO,16,"Se dedica a la fabricación y procesamiento de diversos productos metálicos, sirviendo como un contribuyente clave a la industria de la fabricación de metales.",,,5811,USD,SMART,STK
PRLB,MA1,industrial,metal_manufacturing,US7437131094,PROTO LABS INC,17,"Ofrece servicios de fabricación de metales, contribuyendo a la industria en general.","Proto Labs identifica la Fabricación de Chapa Metálica y el Mecanizado CNC como líneas de productos de fabricación primarias, con ingresos por Mecanizado CNC experimentando un crecimiento significativo, incluido un segundo trimestre récord y ganancias sustanciales en EE. UU. La empresa utiliza la fabricación de chapa metálica para fabricar piezas personalizadas, y sus ingresos por chapa metálica consisten en ventas de piezas y ensamblajes personalizados de chapa metálica fabricada. Además, el servicio de impresión 3D de metales de la empresa es valioso para los clientes que buscan piezas duraderas y ligeras, y fabrica piezas de producción listas para volar a través de instalaciones certificadas AS9100.","[{'name': 'prlb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prlb-Q125-10-Q.html'}, {'name': 'prlb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prlb-Q324-10-Q.html'}, {'name': 'prlb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/prlb-FY24-10-K.html'}, {'name': 'prlb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/prlb-Q225-10-Q.html'}]",103111184,USD,SMART,STK
WOR,MA1,industrial,metal_manufacturing,US9818111026,WORTHINGTON ENTERPRISES INC,18,"Participa en diversos aspectos de la fabricación de metales, proporcionando productos y servicios esenciales en diversas industrias.",,,276179,USD,SMART,STK
