symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
GEV,IND_16,industrial,industrial_gas_turbine,US36828A1016,GE VERNOVA INC,1,"Es un proveedor global líder de turbinas de gas industriales, que desempeña un papel fundamental en la generación de energía en diversas industrias.","El compromiso de GE Vernova con el tema de las turbinas de gas industriales es significativo, como lo demuestra su importante participación en la tecnología de turbinas de gas. El segmento de Energía de la compañía incluye tecnologías de gas, que proporcionan una base crítica de energía despachable y confiable, respaldada por una gran base instalada de aproximadamente 7,000 unidades de turbinas de gas. Esto se ve reforzado aún más por contratos sustanciales y acuerdos de reserva de ranuras, con 50 gigavatios de turbinas de gas bajo contrato o con reserva de ranuras. La compañía reservó 20 turbinas de gas de servicio pesado, incluidas 7 unidades HA, y aseguró pedidos de 27 unidades aeroderivadas, lo que demuestra una fuerte presencia en el mercado y un enfoque estratégico en el sector de las turbinas de gas.","[{'name': 'gev-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q125-10-Q.html'}, {'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}, {'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}]",691984365,USD,SMART,STK
ENR,IND_16,industrial,industrial_gas_turbine,DE000ENER6Y0,SIEMENS ENERGY AG,2,Desarrolla y suministra turbinas de gas industriales para la generación de energía y otras aplicaciones industriales.,,,447545380,EUR,SMART,STK
7011,IND_16,industrial,industrial_gas_turbine,JP3900000005,MITSUBISHI HEAVY INDUSTRIES,3,"Desarrolla, fabrica y da servicio a turbinas de gas industriales avanzadas, proporcionando soluciones críticas de generación de energía para diversas aplicaciones en todo el mundo.",,,13905782,JPY,SMART,STK
CAT,IND_16,industrial,industrial_gas_turbine,US1491231015,CATERPILLAR INC,4,"Fabrica turbinas de gas y equipos relacionados para la generación de energía para aplicaciones industriales, satisfaciendo diversas necesidades de energía y accionamiento mecánico.","La participación de Caterpillar en el tema de Turbinas de Gas Industriales es evidente a través de su segmento de Energía y Transporte, que incluye turbinas y servicios relacionados con turbinas. La empresa ha notado una fuerte demanda dentro de la Generación de Energía para turbinas y servicios relacionados, y una sólida cartera de pedidos tanto en Petróleo y Gas como en Generación de Energía. Si bien las ventas de turbinas en la generación de energía experimentaron una ligera disminución debido a la temporalidad, las ventas generales de petróleo y gas aumentaron, impulsadas por las turbinas y los servicios relacionados.","[{'name': 'cat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cat-Q125-10-Q.html'}]",5437,USD,SMART,STK
BKR,IND_16,industrial,industrial_gas_turbine,US05722G1004,BAKER HUGHES CO,5,"Desarrolla, fabrica y repara turbinas de gas industriales, proporcionando tecnología y soluciones críticas para aplicaciones de generación de energía y accionamiento mecánico en diversas industrias.","El compromiso de Baker Hughes con el tema de las turbinas de gas industriales es evidente a través de múltiples pedidos de sus turbinas de gas NovaLT, particularmente para soluciones de energía para centros de datos. La compañía obtuvo un pedido de Turbine-X Energy para turbinas de gas NovaLT, engranajes y tecnología de generación de energía para soluciones de microrredes para alimentar centros de datos, y también recibió un pedido de 16 turbinas de gas NovaLT para los centros de datos de Frontier. Además, IET reservó 69 unidades NovaLT este trimestre, con más del 70% asignado a proyectos de centros de datos, y obtuvo un premio por 4 turbinas NovaLT para respaldar el gasoducto Master Gas System III de Aramco, lo que demuestra el papel de la compañía en la habilitación del crecimiento de la infraestructura digital y el apoyo a proyectos de infraestructura de gas.","[{'name': 'bkr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q125-10-Q.html'}]",281316445,USD,SMART,STK
WWD,IND_16,industrial,industrial_gas_turbine,US9807451037,WOODWARD INC,6,Desarrolla y suministra sistemas y componentes de control cruciales para la operación y el rendimiento de turbinas de gas industriales.,"La participación de Woodward en el tema de Turbinas de Gas Industriales es evidente a través de varias actividades, incluida la entrega del primer sistema de control avanzado de turbinas de gas MicroNet XT de producción para destructores de la Marina de los EE. UU., con un contrato para entregas adicionales. Los productos industriales de la compañía se utilizan en diversos equipos impulsados por turbinas en todo el mundo, y han experimentado una mayor demanda de aplicaciones de generación de energía que involucran turbinas de gas de marco pesado, derivadas de aero y pequeñas. Además, Woodward se ha enfocado en mejorar sus sistemas de turbinas de gas, aumentando la producción en varias corrientes de valor y enfocando su transformación lean en mejoras de capacidad y tiempo de entrega en su línea de producción de válvulas de control de turbinas de gas modelo; sin embargo, la compañía también se deshizo de su línea de productos de piezas de combustión de turbinas de gas de servicio pesado.","[{'name': 'wwd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wwd-Q225-10-Q.html'}, {'name': 'wwd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wwd-FY24-10-K.html'}, {'name': 'wwd-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wwd-Q325-10-Q.html'}]",6761574,USD,SMART,STK
HWM,IND_16,industrial,industrial_gas_turbine,US4432011082,HOWMET AEROSPACE INC,7,Proporciona componentes y materiales avanzados esenciales para la fabricación y operación de turbinas de gas industriales.,"La participación de Howmet en el tema de las turbinas de gas industriales (IGT) es evidente a través de varios factores clave. La empresa está construyendo activamente nueva capacidad para componentes de IGT, incluidas las álabes de turbina, con expectativas de desarrollo durante 2026 y 2027, y una parte significativa del gasto de capital se asigna al negocio de motores que apoya el crecimiento en IGT. Esto se ve reforzado por el hecho de que los mercados industriales y otros crecieron un saludable 17%, impulsados por el petróleo y el gas, un 26%, y las IGT, un 25%. El segmento de productos de motores también experimentó un crecimiento de ventas atribuido al mercado de turbinas de gas industriales, y se espera que la mayor demanda continúe.","[{'name': 'hwm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwm-Q324-10-Q.html'}, {'name': 'hwm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hwm-FY24-10-K.html'}, {'name': 'hwm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwm-Q225-10-Q.html'}, {'name': 'hwm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hwm-Q125-10-Q.html'}]",403121976,USD,SMART,STK
HON,IND_16,industrial,industrial_gas_turbine,US4385161066,HONEYWELL INTERNATIONAL INC,8,Desarrolla y fabrica componentes y sistemas de control esenciales para la operación y optimización de turbinas de gas industriales en diversas aplicaciones.,,,4350,USD,SMART,STK
RTX,IND_16,industrial,industrial_gas_turbine,US75513E1010,RTX CORP,9,"Desarrolla y fabrica turbinas de gas para aplicaciones industriales, contribuyendo a la generación de energía y otras soluciones energéticas.",,,415342104,USD,SMART,STK
CRS,IND_16,industrial,industrial_gas_turbine,US1442851036,CARPENTER TECHNOLOGY,10,Contribuye al sector de las turbinas de gas industriales.,"La participación de Carpenter Technology en el tema de las turbinas de gas industriales (IGT) es evidente a través de su suministro de materiales a la industria de generación de energía, donde estos materiales se utilizan tanto en turbinas de gas industriales nuevas como reacondicionadas. La empresa está activamente involucrada con la cadena de suministro de generación de energía, colaborando con fabricantes de equipos originales (OEM) y fabricantes de piezas, considerando este submercado como una valiosa ventaja estratégica. Además, las aleaciones que Carpenter Technology produce para aplicaciones de generación de energía, particularmente turbinas de gas industriales, comparten similitudes con sus materiales aeroespaciales, lo que resulta en márgenes altos comparables y compiten por tiempo en activos similares. Esto se refleja en un aumento de las ventas a clientes de generación de energía y una mayor demanda en el submercado de generación de energía para reacondicionamientos de turbinas de gas industriales.","[{'name': 'crs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crs-Q125-10-Q.html'}, {'name': 'crs-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crs-FY25-10-K.html'}]",6077,USD,SMART,STK
