industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TE,HYB,IBM,technology,hybrid_cloud_computing,US4592001014,INTL BUSINESS MACHINES CORP,1,"Ofrece una amplia cartera de plataformas de nube híbrida y servicios de consultoría, facilitando la integración y gestión sin problemas de entornos locales y multicloud para grandes empresas.","El enfoque de IBM en la computación híbrida en la nube es evidente en sus iniciativas estratégicas y soluciones. La estrategia de la empresa gira en torno a la nube híbrida y la IA, con IBM Z encarnando estas capacidades. La cartera de software de IBM se está reposicionando en torno a la nube híbrida, la automatización, los datos y el procesamiento de transacciones, y el crecimiento de Red Hat se ve impulsado por la demanda de soluciones de nube híbrida. El éxito de la estrategia de nube híbrida de IBM se refleja en su rendimiento general, particularmente en el crecimiento de los ingresos de software, impulsado por Red Hat, la automatización y los datos y la IA.","[{'name': 'ibm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q125-10-Q.html'}, {'name': 'ibm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q324-10-Q.html'}, {'name': 'ibm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q225-10-Q.html'}]",8314,USD,SMART,STK
TE,HYB,MSFT,technology,hybrid_cloud_computing,US5949181045,MICROSOFT CORP,2,"Proporciona una plataforma integral de nube híbrida a través de Azure, lo que permite una integración perfecta de entornos locales y de nube pública para diversas necesidades empresariales.","La participación de Microsoft en la Computación en la Nube Híbrida es evidente a través del crecimiento de los ingresos de Microsoft Cloud, que aumentaron significativamente, impulsados por Azure y otros servicios en la nube. El compromiso de la empresa se demuestra aún más por las inversiones sustanciales en ingeniería de la nube e IA, reflejadas en un aumento de los gastos operativos y de investigación y desarrollo. Además, la escalada de la infraestructura de IA, si bien afecta los márgenes brutos, subraya el enfoque de Microsoft en mejorar sus ofertas en la nube. La presencia en entornos multicloud, como lo indica el ingreso por productos de servidor influenciado por las licencias que se ejecutan en estos entornos, también contribuye a la participación de Microsoft en soluciones de nube híbrida.","[{'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}]",272093,USD,SMART,STK
TE,HYB,AMZN,technology,hybrid_cloud_computing,US0231351067,AMAZON.COM INC,3,"Proporciona una amplia infraestructura y servicios en la nube, lo que permite a las empresas integrar sin problemas sistemas locales con capacidades de nube pública para implementaciones de nube híbrida.",,,3691937,USD,SMART,STK
TE,HYB,DELL,technology,hybrid_cloud_computing,US24703L2025,DELL TECHNOLOGIES -C,4,Contribuye al ecosistema de computación en la nube híbrida proporcionando infraestructura fundamental y soluciones de gestión.,,,346218218,USD,SMART,STK
TE,HYB,GOOGL,technology,hybrid_cloud_computing,US02079K3059,ALPHABET INC-CL A,5,"Ofrece un conjunto integral de servicios en la nube, incluidas soluciones para entornos híbridos y multicloud, lo que permite a las organizaciones administrar e implementar aplicaciones en infraestructura local y nubes públicas.",,,208813719,USD,SMART,STK
TE,HYB,HPE,technology,hybrid_cloud_computing,US42824C1099,HEWLETT PACKARD ENTERPRISE,6,"Proporciona una cartera integral de soluciones y servicios que permiten a las organizaciones construir, administrar y asegurar entornos de nube híbrida, integrando la infraestructura local con plataformas de nube pública y privada.","El enfoque de HPE en soluciones de nube híbrida es evidente a través de sus iniciativas estratégicas y su desempeño financiero. La empresa reconoce la creciente demanda del mercado de nube híbrida, reflejada en el crecimiento de los ingresos netos de su segmento de Nube Híbrida. HPE está fortaleciendo sus ofertas principales de servidores y almacenamiento y expandiendo su plataforma de nube HPE GreenLake para ofrecer todo su portafolio como servicio, con el objetivo de convertirse en una empresa de borde a nube. Este compromiso se demuestra aún más con el lanzamiento del software HPE Hybrid Cloud Ops Suite, que integra Morpheus, VM Essentials, OpsRamp y Zerto, y la introducción de GreenLake Intelligence, un marco para implementar agentes de IA en la nube y la infraestructura para simplificar las operaciones de TI híbridas.","[{'name': 'hpe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q324-10-Q.html'}, {'name': 'hpe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q225-10-Q.html'}, {'name': 'hpe-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hpe-FY24-10-K.html'}, {'name': 'hpe-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q125-10-Q.html'}]",209411798,USD,SMART,STK
TE,HYB,AVGO,technology,hybrid_cloud_computing,US11135F1012,BROADCOM INC,7,"Proporciona software y componentes de hardware de infraestructura esenciales que permiten la implementación, gestión y optimización de entornos de nube híbrida para empresas.","El compromiso de Broadcom con la computación en nube híbrida es evidente en sus soluciones de software de infraestructura, que están diseñadas para modernizar, optimizar y asegurar entornos de nube privada e híbrida complejos. Estas soluciones permiten a los clientes planificar, desarrollar, entregar, automatizar, administrar y asegurar aplicaciones en diversas plataformas, incluidas las nubes privadas e híbridas. La cartera de software de infraestructura y seguridad de Broadcom se enfoca en permitir la escalabilidad, agilidad, automatización, información, resiliencia y seguridad, facilitando la ejecución de cargas de trabajo críticas en estos entornos.","[{'name': 'avgo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q225-10-Q.html'}, {'name': 'avgo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q324-10-Q.html'}, {'name': 'avgo-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q224-10-Q.html'}]",313130367,USD,SMART,STK
TE,HYB,SAP,technology,hybrid_cloud_computing,DE0007164600,SAP SE,8,Proporciona soluciones de software empresarial y plataformas en la nube que permiten a las organizaciones gestionar sus procesos de negocio y datos en diversos entornos de nube híbrida.,,,14204,EUR,SMART,STK
TE,HYB,ORCL,technology,hybrid_cloud_computing,US68389X1054,ORACLE CORP,9,"Ofrece una experiencia de nube unificada que extiende sus servicios de nube pública directamente a los centros de datos de los clientes, facilitando las estrategias de TI híbridas.","El compromiso de Oracle con la computación en nube híbrida es evidente en su provisión de productos y servicios que atienden a entornos de TI empresariales a través de varios modelos de implementación, incluyendo soluciones locales, basadas en la nube y híbridas. La compañía enfatiza la flexibilidad de implementación y las ofertas multicloud, lo que permite a los clientes ejecutar bases de datos de Oracle en diferentes entornos como Oracle Cloud, Microsoft Azure, la nube de Amazon o Google Cloud. Oracle tomó decisiones de ingeniería que se adaptaban mejor a las necesidades de los clientes empresariales, lo que resultó en menores costos para ellos y les dio flexibilidad de implementación.","[{'name': 'orcl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/orcl-Q324-10-Q.html'}]",272800,USD,SMART,STK
TE,HYB,CRWD,technology,hybrid_cloud_computing,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,10,"Proporciona una plataforma de ciberseguridad nativa de la nube que asegura cargas de trabajo y datos en entornos de nube híbrida, permitiendo a las organizaciones adoptar y operar de forma segura infraestructuras complejas.",,,370757467,USD,SMART,STK
TE,HYB,PANW,technology,hybrid_cloud_computing,US6974351057,PALO ALTO NETWORKS INC,11,"Proporciona soluciones integrales de ciberseguridad adaptadas a entornos de nube híbrida, permitiendo operaciones seguras en diversas implementaciones de infraestructura.","Palo Alto Networks ofrece seguridad integral para entornos de computación en la nube híbrida a través de varias ofertas clave. La plataforma Prisma Cloud Code to Cloud asegura entornos multi-nube e híbridos, protegiendo aplicaciones, datos y la pila tecnológica nativa de la nube durante todo el ciclo de vida del desarrollo. Además, la empresa proporciona firewalls virtuales VM-Series y CN-Series para seguridad de red en línea en estos entornos. Cortex Cloud también asegura entornos multi-nube e híbridos para aplicaciones, datos y ecosistemas GenAI.","[{'name': 'panw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q324-10-Q.html'}, {'name': 'panw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q125-10-Q.html'}, {'name': 'panw-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q325-10-Q.html'}, {'name': 'panw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/panw-FY24-10-K.html'}]",110619459,USD,SMART,STK
