industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,beverage_manufacturing,US2283681060,CROWN HOLDINGS INC,1,"Suministra soluciones de envasado críticas, incluidas latas para bebidas, que son fundamentales para la contención, el transporte y la comercialización de productos dentro del sector de fabricación de bebidas.","El compromiso de Crown Holdings con la industria de fabricación de bebidas es evidente a través de sus operaciones globales e inversiones estratégicas. La empresa fabrica latas y tapas de aluminio para bebidas en sus segmentos de América, Europa y Asia Pacífico, abasteciendo a una base de clientes diversa. Para satisfacer la creciente demanda mundial de latas de bebidas, Crown Holdings ha invertido aproximadamente $2 mil millones en nuevas instalaciones de fabricación y líneas de producción adicionales. Este énfasis en la producción de latas de bebidas, junto con el aumento de las ventas en los sectores de bebidas de América del Norte y Europa, resalta la importancia de este tema de la industria para la empresa.","[{'name': 'cck-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cck-Q324-10-Q.html'}, {'name': 'cck-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cck-Q125-10-Q.html'}, {'name': 'cck-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cck-FY24-10-K.html'}]",5513,USD,CCK,SMART,STK,True,BEV
industrial,beverage_manufacturing,US7134481081,PEPSICO INC,2,"Se enfoca en la extensa fabricación, comercialización y distribución de una amplia gama de refrescos carbonatados, jugos y otras bebidas no alcohólicas en todo el mundo.","El compromiso de PepsiCo en la fabricación de bebidas es evidente a través de su operación en varios canales, incluidos embotelladores autorizados y fabricantes por contrato, para producir y distribuir una amplia gama de bebidas. La participación directa de la empresa se destaca aún más por sus embotelladores propios, particularmente dentro de los segmentos PBNA y EMEA, que contribuyen con un porcentaje notable a los ingresos netos consolidados. Además, el enfoque de PepsiCo en las operaciones de bebidas se demuestra a través de discusiones sobre cambios en el volumen y los ingresos en diferentes categorías de bebidas y regiones geográficas, lo que solidifica la importancia de la fabricación de bebidas para la empresa.","[{'name': 'pep-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q125-10-Q.html'}, {'name': 'pep-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pep-FY24-10-K.html'}, {'name': 'pep-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q225-10-Q.html'}, {'name': 'pep-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q324-10-Q.html'}]",11017,USD,PEP,SMART,STK,True,BEV
industrial,beverage_manufacturing,US1912161007,COCA-COLA CO/THE,3,"Se enfoca en la fabricación, comercialización y distribución global de una amplia gama de bebidas no alcohólicas, que incluyen refrescos carbonatados, agua, bebidas deportivas, jugos y café.","El compromiso de Coca-Cola con el tema de Fabricación de Bebidas es evidente a través de sus operaciones comerciales principales. La empresa funciona como una empresa total de bebidas, realizando operaciones a través de líneas de concentrados y productos terminados. Esto se demuestra además por la participación activa de la empresa en la gestión de su huella de fabricación a través de la compra y venta de participaciones de propiedad en socios embotelladores, así como la refranquicia de operaciones de embotellado en varios territorios. El compromiso de la empresa con el control de calidad, la seguridad del producto y la innovación en opciones de bebidas subraya la importancia estratégica de la fabricación de bebidas para su modelo de negocio general.","[{'name': 'ko-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q324-10-Q.html'}, {'name': 'ko-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q225-10-Q.html'}, {'name': 'ko-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ko-FY24-10-K.html'}]",8894,USD,KO,SMART,STK,True,BEV
industrial,beverage_manufacturing,US0584981064,BALL CORP,4,"Suministra soluciones esenciales de envasado de aluminio, lo que permite la producción y distribución de diversas bebidas dentro del sector manufacturero.","La conexión de Ball Corporation con la industria de fabricación de bebidas está impulsada principalmente por su papel como proveedor líder de envases de aluminio, con un enfoque en grandes empresas multinacionales de bebidas. El rendimiento financiero de la empresa se refleja en sus segmentos informables, que incluyen envases de bebidas en América del Norte y Central, EMEA y América del Sur. Si bien Ball ha cesado la producción en algunas de sus plantas de fabricación de latas de aluminio para bebidas, todavía se espera que la industria mundial de envases de aluminio para bebidas crezca, lo que refuerza la alineación estratégica de la empresa con el sector de las bebidas a través de sus relaciones a largo plazo con empresas de bebidas.","[{'name': 'bll-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bll-Q324-10-Q.html'}, {'name': 'bll-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bll-FY24-10-K.html'}]",5052,USD,BALL,SMART,STK,True,BEV
industrial,beverage_manufacturing,US67098H1041,O-I GLASS INC,5,Fabrica envases de vidrio que son fundamentales para las necesidades de envasado de la industria de fabricación de bebidas.,"O-I Glass fabrica envases de vidrio para la industria de bebidas, con un enfoque en cerveza, licores y vino. El rendimiento de la empresa está directamente relacionado con los volúmenes de envío a estas categorías de bebidas tanto en América como en Europa, como lo demuestran las discusiones sobre tendencias del mercado y variaciones de rendimiento en diferentes regiones. Por ejemplo, se informaron mayores ventas netas debido a mayores envíos a clientes de cerveza y vino, mientras que menores envíos a clientes de cerveza, vino y licores provocaron menores ventas netas en otros períodos. La empresa también reconoce las preferencias de los clientes por el vidrio en sus carteras de bebidas, lo que destaca la importancia del sector de bebidas para el negocio general de O-I Glass.","[{'name': 'oi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oi-Q125-10-Q.html'}, {'name': 'oi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oi-Q324-10-Q.html'}, {'name': 'oi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oi-Q225-10-Q.html'}]",396135117,USD,OI,SMART,STK,True,BEV
industrial,beverage_manufacturing,JE00BJ1F3079,AMCOR PLC,6,"Proporciona soluciones de embalaje esenciales para el sector de fabricación de bebidas, apoyando la integridad del producto y la entrega al mercado.","La participación de Amcor en la industria de fabricación de bebidas es evidente a través de su desarrollo y producción de soluciones de envasado para bebidas. La empresa se identifica como líder mundial en la provisión de estas soluciones en diversos materiales. Esto se ve respaldado por menciones del negocio de bebidas de América del Norte, incluidas categorías específicas como licores, vinos y cervezas dentro de envases especiales. Si bien el negocio de bebidas de América del Norte ha enfrentado desafíos con una demanda débil y variable, la presencia de Amcor tanto en envases flexibles como rígidos para el sector de bebidas demuestra su compromiso con esta industria.","[{'name': 'amcr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amcr-Q225-10-Q.html'}, {'name': 'amcr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amcr-Q125-10-Q.html'}]",364845429,USD,AMCR,SMART,STK,True,BEV
industrial,beverage_manufacturing,BE0974293251,ANHEUSER-BUSCH INBEV SA/NV,7,"Es un productor y distribuidor global líder de bebidas alcohólicas y no alcohólicas, incluida una amplia cartera de cervezas, en numerosos mercados internacionales.",,,251259604,EUR,ABI,SMART,STK,False,BEV
industrial,beverage_manufacturing,US61174X1090,MONSTER BEVERAGE CORP,8,"Fabrica y distribuye una cartera diversa de bebidas energéticas y otras bebidas no alcohólicas, desempeñando un papel importante en el sector global de fabricación de bebidas.","Monster Beverage Corporation se dedica a la fabricación de bebidas a través del desarrollo, marketing y distribución de bebidas energéticas, cervezas artesanales y otras bebidas. La empresa opera a través de varios segmentos, incluidos Monster Energy Drinks y Alcohol Brands, y el segmento de Monster Energy Drinks representa una parte importante de las ventas netas. Si bien la empresa externaliza parte de la producción a través de co-fabricantes, también mantiene sus propias instalaciones de producción, incluida una cervecería y una instalación de sabores y concentrados. La empresa está expandiendo su negocio a nuevos sectores, como el sector de bebidas alcohólicas, y ha realizado gastos de capital en equipos de producción y vehículos promocionales.","[{'name': 'mnst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mnst-FY24-10-K.html'}, {'name': 'mnst-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mnst-Q324-10-Q.html'}, {'name': 'mnst-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mnst-Q125-10-Q.html'}]",196986496,USD,MNST,SMART,STK,True,BEV
industrial,beverage_manufacturing,GB0002374006,DIAGEO PLC,9,Participa ampliamente en la fabricación y distribución global de una cartera diversa de bebidas alcohólicas.,,,3310674,GBP,DGE,SMART,STK,False,BEV
industrial,beverage_manufacturing,FR0000120693,PERNOD-RICARD SA,10,"Fabrica y distribuye una cartera diversa de bebidas alcohólicas premium, incluidos licores y vinos, a un mercado global.",,,917758,EUR,RI,SMART,STK,False,BEV
