type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,media_networks,US20030N1019,COMCAST CORP-CLASS A,1,"Opera y posee una amplia cartera de redes de medios, que abarcan la creación, distribución y transmisión de contenido, desempeñando un papel central en el panorama mediático.","La participación de Comcast en el tema de las Redes de Medios es evidente a través de la operación de diversas plataformas de transmisión y digitales, incluidas redes de televisión como NBC, Telemundo y Sky Sports, así como el servicio de transmisión Peacock. La empresa genera ingresos por la distribución de redes de televisión, y los ingresos de las redes internacionales consisten principalmente en los ingresos generados por las redes que operan fuera de los Estados Unidos, incluidas las redes de Sky Sports. La combinación de clase mundial de contenido de entretenimiento y deportes y eventos en vivo de la empresa continúa impulsando los resultados en NBC y Peacock.","[{'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}, {'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}, {'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}]",267748,USD,CMCSA,SMART,STK,True,ME2
entertainment and media,media_networks,US2546871060,WALT DISNEY CO/THE,2,"Gestiona una amplia gama de redes de televisión, canales de cable y plataformas de streaming, desempeñando un papel central en la entrega de contenido y el alcance de la audiencia en el panorama de las redes de medios.","El compromiso de Disney con el tema de Redes de Medios es evidente a través de su negocio de Redes Lineales, que genera ingresos por tarifas de afiliación y publicidad. La empresa discute los ingresos y el ingreso operativo de las Redes Lineales, incluidos los costos de programación y producción para redes de medios nacionales e internacionales. El segmento de Entretenimiento también genera ingresos de las Redes Lineales, junto con las ventas/licencias de contenido y directas al consumidor. Además, los gastos de capital dentro del segmento de Entretenimiento reflejan inversiones en tecnología e instalaciones destinadas a expandir y mejorar centros de transmisión e instalaciones de producción.","[{'name': 'dis-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q125-10-Q.html'}, {'name': 'dis-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q325-10-Q.html'}, {'name': 'dis-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dis-FY24-10-K.html'}, {'name': 'dis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dis-Q225-10-Q.html'}]",6459,USD,DIS,SMART,STK,True,ME2
entertainment and media,media_networks,US9344231041,WARNER BROS DISCOVERY INC,3,"Opera una amplia cartera de redes de televisión y plataformas de streaming, distribuyendo una gran variedad de contenidos de entretenimiento, noticias y deportes a nivel mundial, desempeñando así un papel central en el panorama de las redes de medios.","Warner Bros. Discovery se identifica como una empresa líder mundial de medios y entretenimiento con una cartera integral de contenido distribuido en plataformas de televisión y streaming. Las operaciones de la compañía se clasifican en tres segmentos informables: Streaming, Estudios y Redes Lineales Globales, con una parte significativa de los ingresos derivada de las redes de medios. El segmento de Redes, que consta de redes de televisión nacionales e internacionales, es un componente principal de las operaciones de la compañía, y Warner Bros. Discovery posee y opera numerosas plataformas de transmisión y digitales, incluidas varias redes como Discovery Channel, CNN, HBO, TNT Sports, Food Network, TLC y TBS.","[{'name': 'wbd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q125-10-Q.html'}, {'name': 'wbd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q324-10-Q.html'}, {'name': 'wbd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wbd-Q224-10-Q.html'}, {'name': 'wbd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wbd-FY24-10-K.html'}]",554208351,USD,WBD,SMART,STK,True,ME2
entertainment and media,media_networks,US64110L1061,NETFLIX INC,4,"Opera un servicio global de streaming directo al consumidor que produce y distribuye una amplia gama de contenido original y licenciado, influyendo significativamente en la evolución del consumo y la distribución de medios digitales.",,,15124833,USD,NFLX,SMART,STK,True,ME2
entertainment and media,media_networks,US65336K1034,NEXSTAR MEDIA GROUP INC,5,"Opera como un actor prominente en la industria de redes de medios, poseyendo y operando un vasto portafolio de estaciones de televisión y propiedades de medios digitales.","La fuerte conexión de Nexstar con el tema de las Redes de Medios es evidente a través de su significativa propiedad y operación de varias plataformas de transmisión y digitales. Una parte sustancial de los ingresos de Nexstar se deriva de la distribución y la publicidad relacionadas con estas redes. La compañía posee una participación importante en The CW Network y opera NewsNation, junto con otras redes como Antenna TV y REWIND TV, lo que demuestra un compromiso de proporcionar una programación diversa a una amplia audiencia en múltiples plataformas.","[{'name': 'nxst-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxst-FY24-10-K.html'}, {'name': 'nxst-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxst-Q225-10-Q.html'}, {'name': 'nxst-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxst-Q324-10-Q.html'}]",26904818,USD,NXST,SMART,STK,True,ME2
entertainment and media,media_networks,US35137L1052,FOX CORP - CLASS A,6,"Opera una cartera de redes de televisión abierta y por cable, entregando contenido de noticias, deportes y entretenimiento a audiencias en diversas plataformas.","Fox Corporation opera como una empresa de noticias, deportes y entretenimiento con una participación significativa en redes de medios a través de sus segmentos de Programación de Redes por Cable y Televisión. El segmento de Programación de Redes por Cable es responsable de producir y licenciar contenido de noticias y deportes para sistemas de cable tradicionales, operadores de satélite, MVPD virtuales y otras plataformas digitales, principalmente en los EE. UU. El segmento de Televisión se enfoca en producir, adquirir, comercializar y distribuir programación a través de la cadena de transmisión FOX, lo que demuestra aún más la inversión de la empresa en redes de medios.","[{'name': 'foxa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/foxa-FY24-10-K.html'}, {'name': 'foxa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/foxa-Q225-10-Q.html'}]",356858008,USD,FOXA,SMART,STK,True,ME2
entertainment and media,media_networks,US69932A2042,PARAMOUNT SKYDANCE CL B,7,"Opera una importante cartera de redes de medios, abarcando la creación, distribución y transmisión de contenido a través de diversas plataformas.","La participación de Paramount en Redes de Medios es evidente a través de su segmento de Medios de TV, que utiliza estratégicamente inversiones en contenido deportivo, de noticias y de entretenimiento en plataformas lineales y de streaming. La empresa se enfoca en asegurar ingresos a través de acuerdos de afiliación y aumentar la eficiencia de costos. La capacidad de CBS para ofrecer consistentemente grandes audiencias en deportes y entretenimiento subraya aún más la sólida posición de Paramount en redes de medios, respaldada por programación de gran atractivo en plataformas de transmisión, cable, cine y streaming.",,804144296,USD,PSKY,SMART,STK,True,ME2
entertainment and media,media_networks,US65249B1098,NEWS CORP - CLASS A,8,Desarrolla y opera redes de medios que brindan servicios de noticias e información.,"La participación de News Corporation en el tema de Redes de Medios es evidente a través de su segmento de Medios de Noticias, que incluye News Corp Australia, News UK y el New York Post. Este segmento abarca varios medios de comunicación como The Times, The Sun y Sky News Australia, un servicio de noticias multicanal de 24 horas. La transición de Talk en el Reino Unido a streaming y la contribución de ingresos de Sky News resaltan la participación de la empresa en métodos modernos de entrega de medios, a pesar de que los ingresos del segmento de Medios de Noticias experimentaron una ligera disminución.","[{'name': 'nwsa-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nwsa-Q225-10-Q.html'}]",129348126,USD,NWSA,SMART,STK,True,ME2
entertainment and media,media_networks,US87901J1051,TEGNA INC,9,"Opera una cartera de estaciones de televisión de radiodifusión y plataformas digitales, ofreciendo noticias locales, entretenimiento y contenido deportivo como parte central de la industria de las redes de medios.","La participación de TEGNA en Redes de Medios es evidente a través de la operación de 64 estaciones de televisión y dos estaciones de radio en 51 mercados de EE. UU., posicionándola como el mayor propietario de afiliados de las principales cadenas en mercados importantes, llegando a aproximadamente el 39% de los hogares con televisión de EE. UU. La cartera de la compañía incluye redes multicanal líderes como True Crime Network y Quest, lo que demuestra aún más su inversión en redes de medios. Además, una parte sustancial de los ingresos de TEGNA se deriva de los ingresos de suscripción y AMS relacionados con la transmisión de medios a través de estas redes.","[{'name': 'tgna-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgna-Q225-10-Q.html'}, {'name': 'tgna-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgna-Q324-10-Q.html'}, {'name': 'tgna-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tgna-FY24-10-K.html'}, {'name': 'tgna-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgna-Q125-10-Q.html'}]",196887976,USD,TGNA,SMART,STK,True,ME2
entertainment and media,media_networks,US8299331004,SIRIUS XM HOLDINGS INC,10,"Proporciona una red de medios integral para contenido de audio, ofreciendo servicios de radio y streaming por suscripción con una amplia gama de programación.","El negocio de SiriusXM está fuertemente involucrado en la industria de las Redes de Medios, como lo demuestra su operación de plataformas de transmisión y digitales que ofrecen programación diversa, que incluye noticias, entretenimiento, deportes y contenido de estilo de vida, a una amplia audiencia. La empresa opera SiriusXM y Pandora, que ofrecen servicios de transmisión de música, comedia y podcasts, siendo las tarifas de suscripción la principal fuente de ingresos para SiriusXM. La expansión de SiriusXM en el podcasting, reforzada por acuerdos con creadores de contenido como Stephen A. Smith y Trevor Noah, y su posición como la red de podcasts número 1 en alcance de oyentes mensuales, solidifican aún más su papel en el panorama mediático.","[{'name': 'siri-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/siri-FY24-10-K.html'}]",727785544,USD,SIRI,SMART,STK,False,ME2
