industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TE,BUS,CSCO,unclassified,business_networks,US17275R1023,CISCO SYSTEMS INC,1,"Proporciona infraestructura y soluciones de red esenciales, que sustentan operaciones digitales seguras y escalables para empresas de todo el mundo.","La participación de Cisco en Redes Empresariales es evidente a través de sus tecnologías de red centrales, que abarcan switching, routing, inalámbrico y servidores. Los pedidos de productos de red de la empresa experimentaron un crecimiento de dos dígitos, impulsados por la infraestructura webscale, el enrutamiento empresarial, el switching y los productos IoT industriales. Cisco enfatiza su cartera de redes seguras líder en el mercado, diseñada para conectar y proteger inversiones de capital intensivo a escala. Si bien los pedidos de productos empresariales han mostrado un crecimiento sustancial en varios segmentos geográficos, la categoría de productos de Redes ha experimentado fluctuaciones en los ingresos, lo que refleja los patrones de gasto de los clientes y los plazos de implementación.","[{'name': 'csco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q225-10-Q.html'}, {'name': 'csco-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q125-10-Q.html'}, {'name': 'csco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csco-FY24-10-K.html'}, {'name': 'csco-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csco-Q325-10-Q.html'}]",268084,USD,SMART,STK
TE,BUS,AVGO,unclassified,business_networks,US11135F1012,BROADCOM INC,2,"Proporciona soluciones esenciales de semiconductores y software que sustentan la infraestructura de redes empresariales y centros de datos de alto rendimiento, permitiendo la conectividad avanzada y la gestión de datos.","La participación de Broadcom en redes empresariales es evidente a través de sus productos utilizados en redes empresariales y de centros de datos. El portafolio de redes de la compañía, que incluye switches Tomahawk, routers Jericho y NICs, soporta clústeres de IA en hiperescaladores, aunque los ingresos de redes empresariales han experimentado descensos secuenciales en algunos trimestres. A pesar de estos descensos, Broadcom anticipa un crecimiento en redes empresariales, junto con su desarrollo de soluciones basadas en Ethernet como la serie Tomahawk, diseñadas para clústeres de cómputo de IA y centros de datos.","[{'name': 'avgo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q324-10-Q.html'}, {'name': 'avgo-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/avgo-Q224-10-Q.html'}]",313130367,USD,SMART,STK
TE,BUS,FTNT,unclassified,business_networks,US34959E1091,FORTINET INC,3,Proporciona una plataforma integral de ciberseguridad que integra funciones de red y seguridad para proteger y optimizar entornos de red empresariales.,"El compromiso de Fortinet con el tema de Redes Empresariales es evidente a través de sus soluciones de Redes Seguras, que enfatizan la convergencia de redes y seguridad a través de FortiOS. Este sistema operativo es la base de la plataforma Security Fabric de Fortinet, que admite numerosas funciones entregables a través de varios medios, incluidas soluciones físicas, virtuales, en la nube y SaaS. Las soluciones de la empresa incluyen firewalls FortiGate, SD-WAN, FortiSwitches y FortiAPs, y han desplazado a los proveedores de SD-WAN heredados al demostrar cómo FortiOS simplifica las operaciones, reduce el costo total de propiedad y unifica las funciones de seguridad y redes en una sola plataforma. Fortinet es reconocido como líder del mercado en SD-WAN y el proveedor de firewalls número 1 desplegado a nivel mundial, con su FortiOS integrado que permite una alineación perfecta con la infraestructura de seguridad existente.","[{'name': 'ftnt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q324-10-Q.html'}, {'name': 'ftnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ftnt-FY24-10-K.html'}, {'name': 'ftnt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ftnt-Q225-10-Q.html'}]",70236214,USD,SMART,STK
TE,BUS,MSFT,unclassified,business_networks,US5949181045,MICROSOFT CORP,4,"Proporciona un conjunto completo de soluciones basadas en la nube y locales para redes empresariales, que abarcan infraestructura, seguridad, gestión de identidades y plataformas de comunicación para permitir operaciones comerciales seguras y eficientes.",,,272093,USD,SMART,STK
TE,BUS,CMCSA,unclassified,business_networks,US20030N1019,COMCAST CORP-CLASS A,5,"Ofrece un conjunto integral de servicios de redes empresariales, permitiendo a las empresas establecer infraestructuras digitales sólidas y seguras.","La participación de Comcast en el tema de Redes Empresariales es evidente a través de su enfoque en el crecimiento del segmento de Conectividad de Servicios Empresariales, donde ofrece servicios competitivos, incluidas soluciones empresariales. Esto está respaldado además por el aumento de los ingresos de las ofertas de soluciones empresariales y la adquisición de Nitel en abril de 2025. La empresa se enfoca en el crecimiento de sus negocios de conectividad de mayor margen, incluidas las soluciones empresariales.","[{'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}, {'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}]",267748,USD,SMART,STK
TE,BUS,HPE,unclassified,business_networks,US42824C1099,HEWLETT PACKARD ENTERPRISE,6,"Ofrece un portafolio integral de soluciones de redes, que incluyen infraestructura cableada e inalámbrica, redes definidas por software y seguridad de redes, para permitir una conectividad segura y de alto rendimiento para las empresas.","La participación de HPE en el tema de Redes Empresariales está significativamente influenciada por sus iniciativas estratégicas y posicionamiento en el mercado. La adquisición de Juniper Networks por $14 mil millones subraya el compromiso de HPE de ofrecer un portafolio de productos y servicios de redes moderno, seguro y basado en IA, desde el borde hasta la nube, con expectativas de sinergias anuales de $450 millones. HPE está experimentando una fuerte demanda en redes de campus y sucursales, impulsada por la renovación de redes cableadas e inalámbricas, SASE y conmutación de centros de datos, lo que solidifica aún más su enfoque en proporcionar soluciones integrales de redes empresariales, así como la introducción de nuevas capacidades con HPE Aruba Networking Central para expandir las soluciones universales de acceso a redes de confianza cero.","[{'name': 'hpe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hpe-Q225-10-Q.html'}]",209411798,USD,SMART,STK
TE,BUS,T,unclassified,business_networks,US00206R1023,AT&T INC,7,"Proporciona soluciones integrales de redes y servicios gestionados a empresas, permitiendo una conectividad segura y fiable, transformación digital y capacidades de comunicación avanzadas para clientes empresariales.","El segmento Business Wireline de AT&T participa en Enterprise Networking a través de su provisión de servicios avanzados de fibra basados en Ethernet, IP Voice, servicios inalámbricos fijos y servicios profesionales gestionados a clientes empresariales. Estos servicios incluyen servicios tradicionales de voz y datos y equipos relacionados. Si bien AT&T ofrece soluciones de red a clientes empresariales, no hay una mención explícita de una división dedicada a redes empresariales.","[{'name': 't-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q125-10-Q.html'}, {'name': 't-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q324-10-Q.html'}]",37018770,USD,SMART,STK
TE,BUS,ANET,unclassified,business_networks,US0404132054,ARISTA NETWORKS INC,8,"Desarrolla y entrega soluciones de redes de alto rendimiento para grandes empresas, permitiendo infraestructuras de red escalables y eficientes para centros de datos y campus.","Arista Networks se identifica como líder en la industria de redes basadas en datos, proporcionando soluciones de cliente a nube para entornos grandes de IA, centros de datos, campus y enrutamiento. El enfoque de la empresa en redes empresariales se ve subrayado por sus estratégicas implementaciones de conmutación de campus, incluida la obtención de una importante agencia civil y la entrega de transformación digital a través de diseños de campus resilientes con preparación para Wi-Fi y una profunda integración de CloudVision. Además, la adquisición de VeloCloud por parte de Arista mejora la conectividad a los sitios de los clientes, complementando su cartera de centros de datos y cableado/inalámbrico de campus, y la empresa se enfoca en aumentar las ventas en los mercados empresariales de conmutación/enrutamiento Ethernet de centros de datos y de espacios de trabajo de campus. Aproximadamente el 35% de los ingresos de Arista provienen de clientes empresariales, lo que destaca la importancia financiera de este sector.","[{'name': 'anet-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/anet-Q225-10-Q.html'}, {'name': 'anet-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/anet-FY24-10-K.html'}, {'name': 'anet-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/anet-Q125-10-Q.html'}, {'name': 'anet-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/anet-Q324-10-Q.html'}]",740948854,USD,SMART,STK
TE,BUS,GOOGL,unclassified,business_networks,US02079K3059,ALPHABET INC-CL A,9,"Proporciona soluciones de red integrales a través de su plataforma Google Cloud, lo que permite a las empresas construir, asegurar y escalar su infraestructura y conectividad de red global.",,,208813719,USD,SMART,STK
TE,BUS,VZ,unclassified,business_networks,US92343V1044,VERIZON COMMUNICATIONS INC,10,"Proporciona soluciones y servicios de redes integrales a empresas, facilitando la comunicación segura y eficiente, la gestión de datos y las iniciativas de transformación digital.","La participación de Verizon en Redes Empresariales es evidente a través de su Verizon Business Group, que ofrece soluciones de redes corporativas, seguridad y servicios de red gestionados. La empresa está ampliando activamente su negocio de redes privadas, como lo demuestran el cierre de múltiples acuerdos, incluidos los de AdventHealth y Nucor. Además, Verizon aseguró un acuerdo significativo para desplegar redes de fibra privadas en Thames Freeport, y sus ofertas de AI Connect también están generando un interés considerable.","[{'name': 'vz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q225-10-Q.html'}, {'name': 'vz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q125-10-Q.html'}, {'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}]",4901,USD,SMART,STK
TE,BUS,NVDA,unclassified,business_networks,US67066G1040,NVIDIA CORP,11,Ofrece soluciones e infraestructura de redes de alta velocidad que facilitan el procesamiento avanzado de datos y la comunicación dentro de entornos empresariales.,"La participación de NVIDIA en la Redes Empresariales es evidente a través de sus ingresos récord en redes, impulsados por las crecientes demandas de los clústeres de computación de IA de soluciones de alta eficiencia y baja latencia. Las soluciones Ethernet Spectrum-X de la compañía, incluido el Spectrum-XGS Ethernet, están diseñadas para unificar centros de datos y proporcionar el mayor rendimiento para cargas de trabajo de IA Ethernet, con ingresos anualizados que superan los 10 mil millones de dólares. Esto está respaldado además por la amplia adopción de la plataforma de redes Ethernet NVIDIA Spectrum-X por parte de proveedores de servicios en la nube, proveedores de nubes de GPU y empresas.","[{'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}, {'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}]",4815747,USD,SMART,STK
TE,BUS,ZS,unclassified,business_networks,US98980G1022,ZSCALER INC,12,"Proporciona una plataforma de seguridad nativa en la nube que transforma la red empresarial al asegurar el acceso a aplicaciones y datos desde cualquier ubicación, permitiendo una fuerza laboral moderna y distribuida.",,,310621426,USD,SMART,STK
TE,BUS,PANW,unclassified,business_networks,US6974351057,PALO ALTO NETWORKS INC,13,"Proporciona plataformas y servicios avanzados de ciberseguridad que protegen las redes empresariales, salvaguardando la infraestructura crítica y los datos frente a amenazas en constante evolución.","Palo Alto Networks ofrece soluciones de redes empresariales a través de su completa plataforma de seguridad de red, que incluye hardware, software y servicios entregados en la nube, como Next-Generation Firewalls y Secure Access Service Edge (SASE). Los productos de la empresa satisfacen diversas necesidades organizacionales, desde pequeñas oficinas hasta centros de datos a gran escala, e incorporan un amplio conjunto de funciones integradas de redes y seguridad. Además, Palo Alto Networks ayuda a los clientes a acelerar la adopción y transformación de la nube al ofrecer productos y plataformas de seguridad integrados.","[{'name': 'panw-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q325-10-Q.html'}, {'name': 'panw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/panw-FY24-10-K.html'}, {'name': 'panw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q324-10-Q.html'}]",110619459,USD,SMART,STK
TE,BUS,SIE,unclassified,business_networks,DE0007236101,SIEMENS AG-REG,14,Contribuye al desarrollo e implementación de soluciones dentro del sector de redes empresariales.,,,14217,EUR,SMART,STK
TE,BUS,NOC,unclassified,business_networks,US6668071029,NORTHROP GRUMMAN CORP,15,"Proporciona soluciones avanzadas y seguras de redes empresariales críticas para operaciones de seguridad y defensa nacional, abarcando complejos sistemas de comunicación e infraestructura de datos.",El enfoque de Northrop Grumman en Redes Empresariales es evidente a través de su autoidentificación como un proveedor líder de soluciones de redes y comunicaciones. La empresa enfatiza su papel en la prestación de estos servicios como un elemento central de sus ofertas. Esto está respaldado aún más por la dedicación de la empresa a las redes y las comunicaciones dentro de su cartera global de tecnología aeroespacial y de defensa.,"[{'name': 'noc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q125-10-Q.html'}]",10376,USD,SMART,STK
