type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
transportation and logistics,mobility_solutions,US90353T1007,UBER TECHNOLOGIES INC,1,"Ofrece una plataforma global líder que conecta a los consumidores con diversos servicios de transporte y entrega, impactando significativamente la evolución de las soluciones de movilidad en todo el mundo.","La conexión de Uber de consumidores con proveedores de servicios de transporte sustenta su participación en Soluciones de Movilidad. La plataforma de la empresa impulsa el movimiento del punto A al punto B, lo cual es fundamental para sus operaciones, como lo demuestra el crecimiento de las Reservas Brutas de Movilidad e ingresos. Uber está expandiendo activamente sus soluciones de movilidad al introducir nuevos productos, como Moto (vehículos de 2 ruedas), y al dirigirse a diferentes grupos demográficos, incluidos adolescentes y personas mayores, para fomentar una mayor participación tanto en Movilidad como en Entrega. Esto está respaldado además por el enfoque de la empresa en expandirse a mercados nuevos y menos densos, lo que indica un compromiso con diversas opciones de transporte.","[{'name': 'uber-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q225-10-Q.html'}, {'name': 'uber-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q125-10-Q.html'}, {'name': 'uber-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q324-10-Q.html'}]",365207014,USD,UBER,SMART,STK,True
transportation and logistics,mobility_solutions,US88160R1014,TESLA INC,2,"Impulsa la innovación en el sector de soluciones de movilidad mediante el desarrollo de vehículos eléctricos, almacenamiento de energía y tecnologías de conducción autónoma que remodelan el transporte personal y público.",,,76792991,USD,TSLA,SMART,STK,True
transportation and logistics,mobility_solutions,US0537741052,AVIS BUDGET GROUP INC,3,"Proporciona servicios de alquiler de vehículos y uso compartido de automóviles, contribuyendo significativamente a opciones de transporte flexibles dentro del panorama más amplio de soluciones de movilidad.","El compromiso de la empresa con el tema de Soluciones de Movilidad es evidente a través de la operación de marcas reconocidas a nivel mundial como Avis, Budget y Zipcar. La empresa se identifica explícitamente como operadora en el mercado de soluciones de movilidad, ofreciendo servicios de alquiler de vehículos en América del Norte, Europa y Australasia. Además, Avis está trabajando activamente para expandir su presencia en el ecosistema de movilidad más amplio aprovechando su experiencia en gestión de flotas y a través de asociaciones como la de Waymo, así como lanzando productos innovadores como Avis First.","[{'name': 'car-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/car-Q225-10-Q.html'}, {'name': 'car-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/car-FY24-10-K.html'}, {'name': 'car-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/car-Q125-10-Q.html'}, {'name': 'car-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/car-Q324-10-Q.html'}]",40673933,USD,CAR,SMART,STK,True
transportation and logistics,mobility_solutions,JP3633400001,TOYOTA MOTOR CORP,4,"Desarrolla e integra tecnologías y servicios automotrices avanzados, con el objetivo de proporcionar soluciones de movilidad integrales que aborden diversas necesidades de transporte y mejoren el movimiento social.",,,13905804,JPY,7203,SMART,STK,False
transportation and logistics,mobility_solutions,CNE100000296,BYD CO LTD-H,5,"Ofrece una cartera integral de vehículos eléctricos, incluidos automóviles de pasajeros, autobuses y camiones, junto con soluciones integradas de baterías y tren motriz, impulsando avances en el transporte sostenible y la movilidad urbana.",,,46652429,HKD,1211,SEHK,STK,False
transportation and logistics,mobility_solutions,DE0007664005,VOLKSWAGEN AG,6,Se dedica a desarrollar e implementar iniciativas dentro del tema de Soluciones de Movilidad.,,,14232,EUR,VOW,SMART,STK,False
transportation and logistics,mobility_solutions,US0126531013,ALBEMARLE CORP,7,"Suministra recursos críticos de litio que son fundamentales para la fabricación de baterías de vehículos eléctricos, permitiendo así avances en transporte y movilidad sostenibles.","Albemarle se identifica como líder mundial en la transformación de recursos esenciales en ingredientes críticos para la movilidad, sirviendo a mercados finales como el automotriz y aeroespacial. La empresa menciona explícitamente la movilidad como un elemento clave, asociándose para ser pionera en nuevas formas de moverse, potenciar, conectar y proteger. Albemarle cree que el mercado mundial de baterías de litio y almacenamiento de energía, especialmente para vehículos eléctricos, sigue siendo sólido.","[{'name': 'alb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q225-10-Q.html'}, {'name': 'alb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/alb-FY24-10-K.html'}, {'name': 'alb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q125-10-Q.html'}]",4347,USD,ALB,SMART,STK,True
transportation and logistics,mobility_solutions,JE00BTDN8H13,APTIV PLC,8,"Desarrolla tecnologías y soluciones avanzadas que permiten una movilidad más segura, ecológica y conectada en la industria automotriz.","El compromiso de Aptiv con las Soluciones de Movilidad es evidente en la entrega de soluciones de movilidad de extremo a extremo, que permiten la transición de los clientes hacia un futuro más electrificado y definido por software. Este enfoque se extiende a habilitar y ofrecer soluciones de movilidad inteligente de extremo a extremo, acelerando la comercialización de tecnologías de seguridad activa y conducción autónoma, y proporcionando experiencias de usuario mejoradas y servicios conectados. La importancia estratégica de Aptiv en las soluciones de movilidad se ve aún más subrayada por su dedicación a apoyar a los clientes en su transición.","[{'name': 'aptv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aptv-FY24-10-K.html'}]",748351585,USD,APTV,SMART,STK,True
transportation and logistics,mobility_solutions,KR7005380001,HYUNDAI MOTOR CO,9,"Desarrolla y proporciona servicios y productos de transporte avanzados, incluidos conceptos de movilidad futura, para remodelar el movimiento de personas y bienes.",,,17382507,KRW,005380,KSE,STK,False
transportation and logistics,mobility_solutions,US55087P1049,LYFT INC-A,10,"Se enfoca en proporcionar servicios de transporte compartido que conectan a los pasajeros con los conductores, ofreciendo una opción de transporte flexible y accesible dentro del mercado más amplio de soluciones de movilidad.","El negocio principal de Lyft gira en torno a la provisión de diversas soluciones de movilidad a través de su red de transporte multimodal en los Estados Unidos, Canadá y otros mercados internacionales. La plataforma de la empresa conecta a pasajeros y conductores para servicios a pedido y admite varios modos de transporte, incluidos viajes compartidos, taxis, uso compartido de automóviles, bicicletas y scooters. Lyft se enfoca en expandir su alcance al dirigirse a nuevos grupos demográficos con servicios como Lyft Silver, ingresar a nuevas regiones geográficas a través de adquisiciones como FREENOW y aumentar su presencia en Canadá. Estas iniciativas estratégicas, junto con un compromiso con la innovación y las asociaciones, subrayan la dedicación de la empresa a ofrecer un 'modo para cada estado de ánimo' y mejorar la accesibilidad del transporte.","[{'name': 'lyft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyft-Q225-10-Q.html'}, {'name': 'lyft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyft-Q125-10-Q.html'}]",359130923,USD,LYFT,SMART,STK,False
transportation and logistics,mobility_solutions,US60741F1049,MOBILEYE GLOBAL INC-A,11,"Desarrolla y suministra sistemas avanzados de asistencia al conductor (ADAS) y tecnologías de conducción autónoma, desempeñando un papel crucial en la configuración del futuro de las soluciones de movilidad inteligente.","El enfoque de Mobileye en el desarrollo y la implementación de tecnologías ADAS y de conducción autónoma demuestra su participación en soluciones de movilidad. La cartera de tecnologías de software y hardware de la empresa ofrece capacidades críticas, mejorando la seguridad vial y revolucionando la experiencia de conducción, así como el movimiento de personas y bienes a nivel mundial. Las tecnologías de Mobileye contribuyen a las soluciones de movilidad al mejorar la seguridad y la eficiencia del transporte.","[{'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}]",593660024,USD,MBLY,SMART,STK,False
transportation and logistics,mobility_solutions,KYG4124C1096,GRAB HOLDINGS LTD - CL A,12,"Proporciona un conjunto completo de servicios de transporte de pasajeros y otras opciones de transporte, desempeñando un papel importante en la movilidad urbana en el sudeste asiático.","Las soluciones de movilidad son fundamentales para las operaciones de Grab, como lo demuestra el crecimiento interanual del 23% en las transacciones de movilidad. La empresa está reinvirtiendo activamente las economías de escala para ampliar la accesibilidad y aumentar el uso de la plataforma, incluida la expansión de los viajes de transporte Saver y la adopción de tecnologías autoadaptativas en ciudades más pequeñas. Este compromiso se extiende a la colaboración con los gobiernos para apoyar el turismo a través de soluciones de transporte, y la empresa se centra en atraer nuevos usuarios y mejorar la retención, enfatizando la asequibilidad y aumentando la frecuencia de uso.",,530319709,USD,GRAB,SMART,STK,False
transportation and logistics,mobility_solutions,US42806J7000,HERTZ GLOBAL HLDGS INC,13,"Proporciona servicios de alquiler de vehículos, ofreciendo opciones de transporte flexibles que son integrales para las soluciones de movilidad global tanto para individuos como para empresas.","Hertz aspira a ser un actor central en el ecosistema de movilidad moderna a través de inversiones en tecnología, movilidad compartida y una experiencia del cliente digital primero, basándose en la fortaleza de su marca y sus capacidades globales de gestión de flotas. La empresa se enfoca en optimizar la economía de la flota y en consolidar su liderazgo en viajes compartidos. Si bien la empresa se compromete a ofrecer experiencias de cliente inigualables, su estrategia se enfoca en la excelencia en la ejecución de lo básico. La empresa espera implementar planes para respaldar un ecosistema de movilidad moderno.","[{'name': 'htz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htz-Q225-10-Q.html'}, {'name': 'htz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/htz-Q125-10-Q.html'}]",500289391,USD,HTZ,SMART,STK,True
transportation and logistics,mobility_solutions,US37045V1008,GENERAL MOTORS CO,14,"Desarrolla e invierte en una gama de servicios y tecnologías de transporte avanzadas, incluyendo conducción autónoma, plataformas de vehículos conectados y ecosistemas de vehículos eléctricos, para redefinir la movilidad personal.",,,80986742,USD,GM,SMART,STK,True
transportation and logistics,mobility_solutions,US7835491082,RYDER SYSTEM INC,15,"Proporciona servicios integrales de gestión de flotas, arrendamiento de camiones y alquiler, ofreciendo soluciones de transporte flexibles y eficientes que son integrales para la movilidad empresarial.","La participación de la compañía en Soluciones de Movilidad es evidente a través de la provisión de servicios de transporte y logística en sus segmentos de negocio SCS y DTS, así como la gestión de flotas a través de FMS. La compañía se beneficia de tendencias seculares a largo plazo en soluciones de logística y transporte, aunque actualmente está experimentando vientos en contra en las ventas a corto plazo. Esto está aún más respaldado por el enfoque de la compañía en soluciones de logística y transporte, que contribuyen a mejorar la eficiencia y la sostenibilidad tanto en la movilidad personal como comercial.","[{'name': 'r-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/r-FY24-10-K.html'}, {'name': 'r-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/r-Q225-10-Q.html'}, {'name': 'r-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/r-Q324-10-Q.html'}]",11478,USD,R,SMART,STK,True
transportation and logistics,mobility_solutions,US3453708600,FORD MOTOR CO,16,"Participa en el desarrollo de tecnologías de vehículos conectados y autónomos, contribuyendo a futuros servicios de transporte y ecosistemas de movilidad inteligente.",,,9599491,USD,F,SMART,STK,True
transportation and logistics,mobility_solutions,DE0005190003,BAYERISCHE MOTOREN WERKE AG,17,"Desarrolla y ofrece una gama de servicios y tecnologías innovadoras destinadas a mejorar la movilidad urbana, incluyendo el coche compartido, plataformas de transporte de pasajeros y servicios de vehículos conectados.",,,14094,EUR,BMW,SMART,STK,False
transportation and logistics,mobility_solutions,US70959W1036,PENSKE AUTOMOTIVE GROUP INC,18,"Soporta el ecosistema de soluciones de movilidad a través de sus extensas operaciones de venta minorista automotriz, proporcionando ventas de vehículos, mantenimiento y repuestos, así como ofreciendo servicios de arrendamiento y alquiler de vehículos comerciales.","Penske Automotive Group participa en soluciones de movilidad principalmente a través de su propiedad parcial de Penske Transportation Solutions (PTS), que proporciona soluciones de transporte y cadena de suministro. Roger Penske mencionó que la movilidad en el Reino Unido es un producto afectado por los cambios en los programas de crédito de movilidad de los principales OEM como Audi, BMW y Mercedes, y que PTS administra una gran flota de camiones en América del Norte. Si bien Penske reconoce que navega en un panorama automotriz en rápida evolución, su participación directa en soluciones de movilidad parece limitarse a las ofertas de PTS y al impacto de los programas de crédito de movilidad en sus operaciones del Reino Unido.","[{'name': 'pag-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pag-FY24-10-K.html'}]",45006145,USD,PAG,SMART,STK,True
transportation and logistics,mobility_solutions,IE00B8KQN827,EATON CORP PLC,19,"Proporciona tecnologías y soluciones de gestión de energía que mejoran la eficiencia, la seguridad y la fiabilidad de diversas aplicaciones de transporte y movilidad.","La participación de Eaton en Soluciones de Movilidad se refleja en la producción de productos relacionados, como se destaca en varias secciones. La empresa fabrica productos para mercados de movilidad y sus ventas netas de eMobility han alcanzado los 162 millones de dólares. Si bien Eaton identifica el mercado de la movilidad como uno de sus mercados objetivo, la empresa también reconoce debilidades en la región de América del Norte dentro de su segmento de eMobility.","[{'name': 'etn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q125-10-Q.html'}, {'name': 'etn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q324-10-Q.html'}, {'name': 'etn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q225-10-Q.html'}]",118017864,EUR,3EC,SMART,STK,True
transportation and logistics,mobility_solutions,IE000IVNQZ81,TE CONNECTIVITY PLC,20,"Proporciona soluciones de conectividad y sensores críticos esenciales para aplicaciones avanzadas de automoción, transporte comercial y otras aplicaciones de movilidad, permitiendo sistemas fiables y de alto rendimiento.","El segmento de Soluciones de Transporte de TE Connectivity, que abarca los mercados finales de automoción y transporte comercial, impulsa el compromiso de la empresa con las soluciones de movilidad. Esto está respaldado por las soluciones de conectividad y sensores de la empresa, que facilitan la distribución de energía, señal y datos para avanzar en el transporte de próxima generación. Además, el aumento de las ventas en el mercado final de automoción dentro del segmento de Soluciones de Transporte resalta la participación de la empresa en esta área. Como líder mundial en tecnología industrial, TE Connectivity contribuye a la creación de soluciones de transporte más seguras, sostenibles, productivas y conectadas.","[{'name': 'tel-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tel-FY24-10-K.html'}, {'name': 'tel-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tel-Q125-10-Q.html'}, {'name': 'tel-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tel-Q225-10-Q.html'}]",731466402,MXN,TEL1 N,MEXI,STK,True
