industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,esports_and_gaming,US5949181045,MICROSOFT CORP,1,"Da forma al sector de Esports y Videojuegos desarrollando consolas de juegos líderes, ofreciendo un amplio servicio de suscripción e integrando importantes estudios de desarrollo de juegos en su cartera.","La implicación de Microsoft en el tema de los eSports y los videojuegos es evidente a través de sus ingresos por juegos y su contenido y servicios de Xbox. La adquisición de Activision Blizzard ha impactado significativamente en los ingresos por juegos y los gastos relacionados, incluyendo investigación y desarrollo, ventas y marketing, y costos generales y administrativos. Si bien los ingresos por contenido y servicios de Xbox han aumentado en general, impulsados por factores como la adquisición de Activision Blizzard y Xbox Game Pass, ha habido descensos en los ingresos por hardware de Xbox. Microsoft también está integrando IA en Xbox, con iniciativas como Copilot para Gaming y el modelo Muse, lo que indica un desarrollo continuo en esta área.","[{'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,ESP
entertainment and media,esports_and_gaming,JP3435000009,SONY GROUP CORP,2,"Impulsa la industria de los esports y los videojuegos a través de su plataforma PlayStation, ofreciendo un ecosistema integral de consolas, juegos y servicios de red que respaldan los juegos competitivos y la participación de los jugadores.",,,13905705,JPY,6758,SMART,STK,False,ESP
entertainment and media,esports_and_gaming,US67066G1040,NVIDIA CORP,3,"Proporciona unidades de procesamiento gráfico de alto rendimiento y plataformas de software que son fundamentales para los esports competitivos, las experiencias de juego avanzadas y el desarrollo de mundos virtuales inmersivos.","La participación de NVIDIA en Esports y Juegos es evidente a través de su arquitectura de GPU, que admite diversas aplicaciones, incluido el mercado de juegos. Los ingresos de la compañía por juegos experimentaron aumentos, impulsados por las ventas de GPUs GeForce RTX 40 Series y SoCs de consolas de juegos. NVIDIA también anunció nuevos títulos RTX y DLSS y expandió el servicio GeForce NOW, solidificando aún más su posición en el sector de los juegos.","[{'name': 'nvda-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q225-10-Q.html'}, {'name': 'nvda-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nvda-FY25-10-K.html'}, {'name': 'nvda-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nvda-Q325-10-Q.html'}]",4815747,USD,NVDA,SMART,STK,True,ESP
entertainment and media,esports_and_gaming,JP3756600007,NINTENDO CO LTD,4,"Desarrolla y publica franquicias de videojuegos icónicas y consolas de juegos dedicadas, contribuyendo significativamente a la industria mundial de los videojuegos y apoyando el juego competitivo a través de títulos con comunidades de esports establecidas.",,,14017724,JPY,7974,SMART,STK,False,ESP
entertainment and media,esports_and_gaming,US0231351067,AMAZON.COM INC,5,"Impulsa la participación y la creación de contenido dentro de la comunidad de esports y videojuegos a través de su destacada plataforma de transmisión en vivo, sirviendo como un centro clave para eventos competitivos y transmisiones de creadores.",,,3691937,USD,AMZN,SMART,STK,True,ESP
entertainment and media,esports_and_gaming,US2855121099,ELECTRONIC ARTS INC,6,"Desarrolla y publica una amplia cartera de títulos de videojuegos populares, muchos de los cuales son integrales para los esports competitivos y el panorama general de los videojuegos.","La conexión de EA con el tema de los Esports y los Videojuegos es evidente a través de su cartera de títulos populares, incluyendo Apex Legends, EA SPORTS FC y EA SPORTS Madden NFL, que son impulsores clave de ingresos y aparecen de forma destacada en eventos de esports y videojuegos competitivos. La empresa se centra en la creación de juegos y experiencias que hacen crecer comunidades online globales en torno a estas franquicias clave, con una parte importante de los ingresos netos históricamente derivada de su franquicia de fútbol global y otros títulos. Además, el modo Ultimate Team asociado a las franquicias deportivas, donde los jugadores crean y compiten con equipos personalizados, demuestra aún más la participación de EA en el ecosistema de los esports.","[{'name': 'ea-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q126-10-Q.html'}, {'name': 'ea-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q325-10-Q.html'}, {'name': 'ea-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q225-10-Q.html'}]",268995,USD,EA,SMART,STK,True,ESP
entertainment and media,esports_and_gaming,US91332U1016,UNITY SOFTWARE INC,7,"Ofrece una plataforma de desarrollo fundamental ampliamente utilizada para crear y operar videojuegos, sirviendo como un motor crítico para la industria más amplia de los esports y los videojuegos.",,,445423543,USD,U,SMART,STK,False,ESP
entertainment and media,esports_and_gaming,US7710491033,ROBLOX CORP -CLASS A,8,"Opera una plataforma global que permite a los usuarios crear, compartir y jugar una amplia gama de experiencias inmersivas e interactivas, contribuyendo significativamente al panorama general de los videojuegos y fomentando el juego competitivo.","La conexión de Roblox con el tema de Esports y Juegos es evidente en el diseño de su plataforma y sus objetivos estratégicos. La plataforma se inspira en los juegos y tiene como objetivo capturar una mayor parte del mercado mundial de juegos al empoderar a los creadores y desarrolladores para que creen experiencias de juego atractivas. Esto se ve respaldado además por el programa de intercambio de desarrolladores, que permite a los desarrolladores ganar Robux a través de la venta de acceso a sus experiencias.","[{'name': 'rblx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rblx-Q225-10-Q.html'}, {'name': 'rblx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rblx-FY24-10-K.html'}, {'name': 'rblx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rblx-Q125-10-Q.html'}]",476026060,USD,RBLX,SMART,STK,True,ESP
entertainment and media,esports_and_gaming,US8740541094,TAKE-TWO INTERACTIVE SOFTWRE,9,"Desarrolla y publica una cartera diversa de títulos de entretenimiento interactivo que son fundamentales para los esports globales y el panorama general de los videojuegos, incluidas franquicias muy populares con componentes competitivos en línea.","La conexión de Take-Two Interactive con los Esports y los Videojuegos se debe en gran medida a su participación en la NBA 2K League, a través de su sello 2K. La empresa ha ampliado su relación con la NBA a través de la NBA 2K League. Esta participación indica una presencia e inversión en los esports.","[{'name': 'ttwo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q225-10-Q.html'}, {'name': 'ttwo-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q325-10-Q.html'}]",6478131,USD,TTWO,SMART,STK,True,ESP
entertainment and media,esports_and_gaming,US02079K3059,ALPHABET INC-CL A,10,"Proporciona infraestructura y plataformas esenciales para la distribución de juegos, la transmisión de contenido y el desarrollo, apoyando significativamente el ecosistema más amplio de esports y juegos.",,,208813719,USD,GOOGL,SMART,STK,True,ESP
