type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
industrial,sustainable_infrastructure,US65339F1012,NEXTERA ENERGY INC,1,"Desarrolla, posee y opera una amplia cartera de instalaciones de generación de energía renovable e infraestructura de transmisión asociada, contribuyendo significativamente a la expansión de los sistemas de energía sostenible.",,75960201,USD,NEE,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,IT0003128367,ENEL SPA,2,"Se centra en el desarrollo y la operación de infraestructura de energía sostenible, incluyendo generación de energía renovable, redes inteligentes y soluciones energéticas avanzadas, para impulsar la transición energética global.",,29816333,EUR,ENEL,SMART,STK,False,,SU1
industrial,sustainable_infrastructure,FR0000124141,VEOLIA ENVIRONNEMENT,3,"Ofrece soluciones integrales de gestión de agua, residuos y energía cruciales para la construcción y el mantenimiento de infraestructuras sostenibles a nivel mundial.",,29612206,EUR,VIE,SMART,STK,False,,SU1
industrial,sustainable_infrastructure,ES0144580Y14,IBERDROLA SA.,4,"Impulsa el desarrollo y la operación de la generación de energía renovable y la infraestructura de red inteligente, cruciales para avanzar en los sistemas globales de energía sostenible.",,46586284,EUR,IBE,SMART,STK,False,,SU1
industrial,sustainable_infrastructure,GB0007908733,SSE PLC,5,"Invierte, desarrolla y opera infraestructura de generación, transmisión y distribución de energía renovable, desempeñando un papel crucial en el avance de los sistemas de energía sostenible.",,2570998,GBP,SSE,SMART,STK,False,,SU1
industrial,sustainable_infrastructure,US74762E1029,QUANTA SERVICES INC,6,"Proporciona soluciones integrales de infraestructura esenciales para el desarrollo y mantenimiento de proyectos de energía renovable, la modernización de redes y los sistemas de servicios públicos sostenibles.",,6608432,USD,PWR,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,7,"Se enfoca en la creación de soluciones de construcción inteligentes, saludables y sostenibles que mejoran la eficiencia energética y contribuyen a una infraestructura resiliente.","Johnson Controls se identifica como líder mundial en edificios inteligentes, seguros, saludables y sostenibles, ofreciendo productos, servicios y soluciones diseñadas para mejorar la seguridad, el confort y la inteligencia de los espacios. La empresa enfatiza su compromiso de ayudar a los clientes a mejorar la eficiencia energética, aumentar la seguridad, crear entornos saludables y reducir las emisiones de gases de efecto invernadero. Johnson Controls busca capitalizar la creciente demanda de productos y servicios que permitan edificios inteligentes, eficientes y sostenibles, impulsada por incentivos fiscales gubernamentales, estándares de rendimiento de edificios y regulaciones destinadas a limitar las emisiones y combatir el cambio climático. La empresa desarrolla tecnologías y soluciones para crear edificios inteligentes, sostenibles y saludables, con un enfoque estratégico en los edificios.",244164913,USD,JCI,SMART,STK,True,"[{'name': 'jci-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q325-10-Q.html'}, {'name': 'jci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q125-10-Q.html'}, {'name': 'jci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q225-10-Q.html'}, {'name': 'jci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jci-FY24-10-K.html'}]",SU1
industrial,sustainable_infrastructure,US00766T1007,AECOM,8,"Proporciona servicios de diseño, ingeniería y construcción para proyectos de infraestructura sostenible a nivel mundial, contribuyendo al desarrollo resiliente y ambientalmente responsable.","La participación de ACM en Infraestructura Sostenible se refleja en sus inversiones globales en los sectores de infraestructura, sostenibilidad, resiliencia y energía. El enfoque de la empresa en la sostenibilidad y la resiliencia, si bien no se cuantifica en términos de ingresos o personal, destaca su exposición conocida a la infraestructura sostenible. Aunque ACM demuestra un compromiso con estas áreas, no hay indicios de estrategias únicas o tecnología propietaria que impulsen su enfoque.",43980401,USD,ACM,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US26441C2044,DUKE ENERGY CORP,9,Se enfoca en modernizar la infraestructura energética integrando fuentes de energía renovable y mejorando la resiliencia de la red para avanzar en soluciones energéticas sostenibles.,,110176011,USD,DUK,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US0255371017,AMERICAN ELECTRIC POWER,10,"Invierte y desarrolla infraestructura de energía sostenible, incluida la generación de energía renovable y proyectos de modernización de redes, para ofrecer energía confiable y ambientalmente responsable.",,4211,USD,AEP,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US46982L1089,JACOBS SOLUTIONS INC,11,"Impulsa el desarrollo de infraestructura sostenible a través de sus servicios integrales, que incluyen asesoramiento, diseño y entrega de proyectos resilientes y ambientalmente responsables en todo el mundo.",,582332987,USD,J,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US98389B1008,XCEL ENERGY INC,12,"Se enfoca en el desarrollo y la modernización de infraestructura de energía sostenible, incluyendo fuentes de energía renovable, mejoras de la red y soluciones de energía limpia.",,10517,USD,XEL,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US30161N1019,EXELON CORP,13,"Opera e invierte en infraestructura crítica para la generación y entrega de energía limpia, apoyando la transición hacia un futuro energético sostenible.",,11000,USD,EXC,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,NL0015001FS8,FERROVIAL SE,14,"Desarrolla, financia y opera proyectos de infraestructura, integrando prácticas sostenibles y responsabilidad ambiental en sus operaciones principales para contribuir al bienestar social a largo plazo.",,636678546,EUR,FER,SMART,STK,False,,SU1
industrial,sustainable_infrastructure,US69351T1060,PPL CORPORATION,15,"Invierte y opera infraestructura energética moderna, incluida la modernización de la red y la integración de energías renovables, para ofrecer energía confiable y sostenible.",,661547,USD,PPL,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US3364331070,FIRST SOLAR INC,16,"Contribuye a la infraestructura sostenible a través de la fabricación de paneles solares, proporcionando soluciones de energía limpia para diversos proyectos.",,41622169,USD,FSLR,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US00130H1059,AES CORP,17,"Se enfoca en desarrollar y operar infraestructura sostenible, particularmente en la generación de energía renovable y la modernización de redes eléctricas.",,2560358,USD,AES,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US02361E1082,AMERESCO INC-CL A,18,"Proporciona soluciones integradas para la generación de energía renovable y la eficiencia energética, contribuyendo al desarrollo y mejora de la infraestructura sostenible.",,77456695,USD,AMRC,SMART,STK,False,,SU1
industrial,sustainable_infrastructure,US41068X1000,HA SUSTAINABLE INFRASTRUCTUR,19,"Invierte, financia y desarrolla una cartera diversa de activos de infraestructura sostenible, contribuyendo al avance y la expansión de proyectos ambientalmente sólidos.","El negocio principal de la empresa gira en torno a las inversiones en activos de infraestructura sostenible, con una cartera de más de 13.000 millones de dólares en activos gestionados. Esto está respaldado por un equipo de más de 150 profesionales en inversiones, operaciones y técnicos de energía limpia. Las inversiones de la empresa se centran estratégicamente en activos Behind-the-Meter (BTM), Grid-Connected (GC) y Fuels, Transport, and Nature (FTN), todos ellos dirigidos a reducir las emisiones y ofrecer beneficios medioambientales, aprovechando el creciente mercado de infraestructura sostenible impulsado por las preocupaciones sobre el cambio climático y la necesidad de resiliencia de la red.",125815462,USD,HASI,SMART,STK,True,"[{'name': 'hasi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hasi-Q225-10-Q.html'}, {'name': 'hasi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hasi-FY24-10-K.html'}]",SU1
industrial,sustainable_infrastructure,US29355A1079,ENPHASE ENERGY INC,20,"Proporciona microinversores solares, almacenamiento de baterías y soluciones de carga para vehículos eléctricos, contribuyendo al desarrollo y despliegue de infraestructura de energía sostenible.",,105368327,USD,ENPH,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US2091151041,CONSOLIDATED EDISON INC,21,Contribuye a la infraestructura sostenible a través del desarrollo y la gestión de sistemas de servicios públicos esenciales.,,6691,USD,ED,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US69331C1080,P G & E CORP,22,Se enfoca en modernizar y mejorar la resiliencia de su infraestructura de servicios públicos para apoyar la integración de fuentes de energía sostenibles y mejorar la confiabilidad de la red.,,2586035,USD,PCG,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US88162G1031,TETRA TECH INC,23,"Ofrece servicios de consultoría e ingeniería para la planificación, diseño e implementación de proyectos de infraestructura sostenible, contribuyendo a un desarrollo resiliente y ambientalmente responsable.","El enfoque de Tetra Tech en la infraestructura sostenible es evidente en su papel como proveedor global de servicios de consultoría e ingeniería, donde destaca explícitamente la infraestructura sostenible como un área clave. El compromiso de la empresa se demuestra aún más a través de su segmento GSG, que apoya a las agencias del gobierno de EE. UU. con servicios de infraestructura sostenible, y su segmento CIG, que proporciona servicios similares a clientes comerciales y gobiernos locales en diversas regiones. Además, el crecimiento de los ingresos refleja un aumento de las actividades relacionadas con la energía renovable y la infraestructura sostenible internacional, lo que subraya la participación activa y la inversión de la empresa en esta área.",275920,USD,TTEK,SMART,STK,True,"[{'name': 'ttek-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttek-Q125-10-Q.html'}, {'name': 'ttek-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ttek-FY24-10-K.html'}, {'name': 'ttek-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttek-Q325-10-Q.html'}, {'name': 'ttek-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttek-Q225-10-Q.html'}]",SU1
industrial,sustainable_infrastructure,US6866881021,ORMAT TECHNOLOGIES INC,24,"Se enfoca en el desarrollo, construcción y operación de plantas de energía geotérmica y de recuperación de energía, junto con la provisión de soluciones de almacenamiento de energía, contribuyendo así al avance global de infraestructura sostenible y resiliente.",,32006502,USD,ORA,SMART,STK,True,,SU1
industrial,sustainable_infrastructure,US7234841010,PINNACLE WEST CAPITAL,25,"Invierte en la modernización de la infraestructura energética para apoyar la generación renovable, mejorar la confiabilidad de la red y promover prácticas energéticas sostenibles dentro de su territorio de servicio.",,11257,USD,PNW,SMART,STK,True,,SU1
