type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
transportation and logistics,industrial_transportation,US9113121068,UNITED PARCEL SERVICE-CL B,1,"Desempeña un papel central en el transporte industrial al proporcionar servicios globales de entrega de paquetes y logística, facilitando el movimiento de mercancías para empresas y consumidores en todo el mundo.",,6231002,USD,UPS,SMART,STK,True,
transportation and logistics,industrial_transportation,US31428X1063,FEDEX CORPORATION,2,"Proporciona soluciones integrales de transporte, logística y comercio electrónico a nivel mundial, sirviendo como un facilitador crítico de las cadenas de suministro industriales y el comercio en todo el mundo.",,5100583,USD,FDX,SMART,STK,True,
transportation and logistics,industrial_transportation,DK0010244508,AP MOLLER-MAERSK A/S-B,3,"Opera como una empresa de logística de contenedores integrada a nivel mundial, proporcionando soluciones de transporte de extremo a extremo que son cruciales para el comercio internacional y las cadenas de suministro.",,12605265,DKK,MAERSK.B,SMART,STK,False,
transportation and logistics,industrial_transportation,CH0025238863,KUEHNE + NAGEL INTL AG-REG,4,"Aprovecha una extensa red global para proporcionar servicios esenciales de logística y transitarios a través de mar, aire, carretera y ferrocarril, sustentando así el sector del transporte industrial.",,39106394,CHF,KNIN,SMART,STK,False,
transportation and logistics,industrial_transportation,US9078181081,UNION PACIFIC CORP,5,"Desempeña un papel crucial en el transporte industrial al proporcionar amplios servicios de transporte ferroviario de mercancías, conectando diversas industrias y facilitando el movimiento de bienes a través de una vasta red.","El enfoque de Union Pacific en el transporte industrial es evidente en sus ingresos por carga, que constituyen una parte importante de sus ingresos totales. Los ingresos por carga de la empresa están influenciados por los volúmenes de vagones y los ingresos promedio por vagón, que a su vez se ven afectados por los precios, la mezcla de tráfico y los recargos por combustible. El negocio principal de la empresa gira en torno al transporte de productos de tres grupos principales de productos básicos.",13284,USD,UNP,SMART,STK,True,"[{'name': 'unp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/unp-FY24-10-K.html'}]"
transportation and logistics,industrial_transportation,US9297401088,WABTEC CORP,6,"Proporciona equipos, sistemas y soluciones digitales críticos para las industrias ferroviarias de carga y tránsito, permitiendo un transporte industrial eficiente y seguro.",,661633,USD,WAB,SMART,STK,True,
transportation and logistics,industrial_transportation,DK0060079531,DSV A/S,7,"Proporciona soluciones integrales de transporte y logística industrial, que abarcan transporte aéreo, marítimo, terrestre y de proyectos, esenciales para el comercio global y la gestión de la cadena de suministro.",,44165865,DKK,DSV,SMART,STK,False,
transportation and logistics,industrial_transportation,US1264081035,CSX CORP,8,Proporciona una extensa red ferroviaria y servicios cruciales para el movimiento eficiente de bienes y materiales industriales en toda América del Norte.,"CSX, como empresa de transporte industrial, genera una parte importante de sus ingresos a partir de mercancías, intermodales y carbón, que son componentes clave del transporte industrial. Los ingresos totales de la empresa experimentaron una disminución debido a factores como una menor recuperación de combustible y menores ingresos por carbón, influenciados por tasas de referencia globales más bajas. Además, CSX facilita el transporte 'Intermodal', descrito como un método flexible para mover carga a través de varios modos como carretera, ferrocarril y agua sin descargar el contenedor original.",6150,USD,CSX,SMART,STK,True,"[{'name': 'csx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csx-FY24-10-K.html'}]"
transportation and logistics,industrial_transportation,US9837931008,XPO INC,9,"Opera como un proveedor destacado de servicios de transporte de carga, gestionando cadenas de suministro complejas y facilitando el movimiento de mercancías para clientes industriales.",,93957038,USD,XPO,SMART,STK,True,
transportation and logistics,industrial_transportation,US6558441084,NORFOLK SOUTHERN CORP,10,"Proporciona amplios servicios de transporte ferroviario de mercancías, actuando como un enlace fundamental para que las industrias de toda América del Norte muevan bienes y materias primas de manera eficiente.",,10497,USD,NSC,SMART,STK,True,
transportation and logistics,industrial_transportation,US49456B1017,KINDER MORGAN INC,11,"Opera una extensa red de oleoductos y terminales para el transporte y almacenamiento de gas natural, productos petrolíferos refinados, petróleo crudo y CO2, facilitando el movimiento de energía industrial en toda América del Norte.","La participación de Kinder Morgan en el transporte industrial es evidente a través de sus gasoductos de gas natural, oleoductos de productos y terminales, que son integrales para la industria. La empresa genera ingresos por transporte y otros servicios de midstream. Su segmento de Terminales maneja toneladas de transbordo a granel de materiales como coque de petróleo, fertilizantes y acero. Además, sus oleoductos transportan diversas materias primas, lo que contribuye al transporte industrial.",83975037,USD,KMI,SMART,STK,True,"[{'name': 'kmi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kmi-Q324-10-Q.html'}, {'name': 'kmi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kmi-FY24-10-K.html'}]"
