type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,industrial_electronics,US8825081040,TEXAS INSTRUMENTS INC,1,"Proporciona semiconductores esenciales de procesamiento analógico y embebido que son fundamentales para una amplia gama de aplicaciones de electrónica industrial, permitiendo soluciones avanzadas de automatización, control y gestión de energía.","Texas Instruments mantiene exposición al tema de la electrónica industrial a través de su énfasis estratégico en el mercado industrial más amplio, donde diseña, fabrica y vende semiconductores. El enfoque de la compañía en el mercado industrial se deriva de su creencia de que representa las mejores oportunidades de crecimiento a largo plazo. Si bien no detalla explícitamente la electrónica industrial, los informes de la compañía indican un crecimiento dentro del sector industrial en todos los sectores.","[{'name': 'txn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/txn-FY24-10-K.html'}]",13096,USD,TXN,SMART,STK,True,IN6
industrial,industrial_electronics,CH0012221716,ABB LTD-REG,2,"Sirve como líder mundial en el suministro de productos y soluciones electrónicas industriales que sustentan la automatización, la electrificación y la transformación digital en diversas industrias.",,,2682965,CHF,ABBN,SMART,STK,False,IN6
industrial,industrial_electronics,DE0007236101,SIEMENS AG-REG,3,"Un proveedor líder de tecnologías de automatización industrial, digitalización y electrificación, fundamentales para el avance y la operación de la electrónica industrial en diversos sectores.",,,14217,EUR,SIE,SMART,STK,False,IN6
industrial,industrial_electronics,US0326541051,ANALOG DEVICES INC,4,"Desarrolla y suministra una amplia cartera de circuitos integrados analógicos, de señal mixta y de gestión de energía, esenciales para la automatización industrial avanzada, los sistemas de control y la instrumentación.",,,4157,USD,ADI,SMART,STK,True,IN6
industrial,industrial_electronics,US2910111044,EMERSON ELECTRIC CO,5,Se especializa en Electrónica Industrial.,,,6842,USD,EMR,SMART,STK,True,IN6
industrial,industrial_electronics,US49338L1035,KEYSIGHT TECHNOLOGIES IN,6,"Proporciona soluciones avanzadas de prueba y medición que son esenciales para el diseño, validación y optimización de componentes y sistemas electrónicos utilizados en aplicaciones industriales.","El segmento EISG de Keysight atiende a una amplia gama de mercados finales, incluyendo electrónica general, soluciones de semiconductores, automoción y energía, lo que indica su participación en el sector de la electrónica industrial. Si bien las soluciones de EISG respaldan la simulación, el diseño, la validación, la fabricación, la instalación y la optimización de equipos electrónicos, los ingresos de EISG disminuyeron en 2024 debido a desafíos macroeconómicos que afectaron las inversiones en fabricación. Sin embargo, hubo un aumento en los ingresos de medición de electrónica general, aunque fue parte de una demanda mixta en los mercados industriales electrónicos.","[{'name': 'keys-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/keys-FY24-10-K.html'}, {'name': 'keys-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/keys-Q225-10-Q.html'}]",170167160,USD,KEYS,SMART,STK,True,IN6
industrial,industrial_electronics,IE00B8KQN827,EATON CORP PLC,7,"Proporciona una cartera integral de componentes, sistemas y soluciones de gestión de energía y control eléctrico esenciales para la operación y optimización de aplicaciones electrónicas industriales.","La relación de Eaton con la electrónica industrial se demuestra a través de sus productos para los mercados industrial y de fabricación de máquinas, así como la adquisición de Ultra PCS Limited, que produce controles electrónicos, sensores, expulsión de almacenamiento y soluciones de procesamiento de datos. Ultra PCS, ahora parte del segmento de negocio aeroespacial de Eaton, proporciona estas soluciones a clientes aeroespaciales globales. La empresa fabrica controles electrónicos y soluciones de detección.","[{'name': 'etn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q225-10-Q.html'}]",118017864,EUR,3EC,SMART,STK,True,IN6
industrial,industrial_electronics,FR0000121972,SCHNEIDER ELECTRIC SE,8,"Desarrolla y proporciona una cartera integral de soluciones de electrónica industrial, que incluyen automatización, sistemas de control y componentes de distribución de energía, esenciales para optimizar los procesos de fabricación y la eficiencia de la infraestructura.",,,29612196,EUR,SU,SMART,STK,False,IN6
industrial,industrial_electronics,JP3902400005,MITSUBISHI ELECTRIC CORP,9,"Desarrolla y suministra una amplia gama de productos y soluciones electrónicas industriales, contribuyendo significativamente a la automatización, la gestión de la energía y el desarrollo de infraestructura en diversas industrias.",,,13905675,JPY,6503,SMART,STK,False,IN6
industrial,industrial_electronics,US0320951017,AMPHENOL CORP-CL A,10,Sirve como un proveedor fundamental dentro del sector de la electrónica industrial.,"El compromiso de la empresa con el tema de la Electrónica Industrial es evidente a través de su segmento de Soluciones para Entornos Difíciles, que diseña y fabrica productos de interconexión robustos para el mercado industrial. Este segmento, que representa aproximadamente el 26% de las ventas netas, experimentó un crecimiento impulsado por el mercado industrial. Además, los segmentos de Soluciones de Comunicaciones y Sistemas de Interconexión y Sensores también contribuyen al mercado industrial al ofrecer conectores, sistemas de interconexión y sensores.","[{'name': 'aph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aph-Q225-10-Q.html'}]",4493,USD,APH,SMART,STK,True,IN6
