type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,video_games,US8740541094,TAKE-TWO INTERACTIVE SOFTWRE,1,"Sirve como desarrollador y editor líder de entretenimiento interactivo, dando forma significativamente a la industria de los videojuegos.","Take-Two Interactive está profundamente involucrada en la industria de los videojuegos, como lo demuestra su posición como desarrollador, editor y comercializador líder de entretenimiento interactivo para consolas, PC y plataformas móviles. Este enfoque está respaldado por el desarrollo y la publicación de títulos importantes a través de Rockstar Games, 2K y Zynga, incluidas franquicias conocidas como Grand Theft Auto, NBA 2K y Borderlands. La empresa obtiene prácticamente todos sus ingresos del contenido de entretenimiento interactivo, y tanto las plataformas de consolas como las móviles contribuyen significativamente a los ingresos netos, lo que resalta la importancia de los videojuegos para su desempeño financiero general. Además, Take-Two tiene una sólida cartera de próximos lanzamientos, incluidos títulos muy esperados como Grand Theft Auto VI, lo que indica una inversión continua y significativa en el sector de los videojuegos.","[{'name': 'ttwo-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q126-10-Q.html'}, {'name': 'ttwo-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q325-10-Q.html'}, {'name': 'ttwo-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ttwo-FY25-10-K.html'}, {'name': 'ttwo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q225-10-Q.html'}]",6478131,USD,TTWO,SMART,STK,True,EM_VID
entertainment and media,video_games,US2855121099,ELECTRONIC ARTS INC,2,"Desarrolla y publica un amplio portafolio de títulos de videojuegos populares en múltiples géneros y plataformas, dando forma significativamente al panorama del entretenimiento interactivo a nivel mundial.","El compromiso de Electronic Arts con la industria de los videojuegos está profundamente arraigado en su negocio principal, ya que la empresa desarrolla, comercializa, publica y entrega juegos en diversas plataformas, incluidas consolas, PC y dispositivos móviles. Identificándose como líder mundial en entretenimiento interactivo digital, el enfoque de EA se extiende a la creación de juegos y experiencias innovadoras que impulsan la participación en una red global de cientos de millones de jugadores. Con una cartera que incluye marcas conocidas, como Apex Legends, Battlefield y The Sims, la empresa se dedica a escalar comunidades masivas en línea y a superar los límites del entretenimiento interactivo a través de nuevos lanzamientos y una innovación continua.","[{'name': 'ea-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q325-10-Q.html'}, {'name': 'ea-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q225-10-Q.html'}, {'name': 'ea-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q126-10-Q.html'}]",268995,USD,EA,SMART,STK,True,EM_VID
entertainment and media,video_games,US5949181045,MICROSOFT CORP,3,"Contribuye significativamente al sector de los videojuegos mediante el desarrollo y la publicación de juegos, la fabricación de consolas y la oferta de un servicio de suscripción líder a través de su división Xbox.","El compromiso de Microsoft con el tema de los videojuegos es evidente a través del crecimiento de los ingresos por juegos, impulsado significativamente por el contenido y los servicios de Xbox. La adquisición de Activision Blizzard ha impulsado aún más este crecimiento, impactando sustancialmente los ingresos de contenido y servicios de Xbox. Esto se ve subrayado por las menciones constantes del crecimiento de los ingresos por juegos y los ingresos de servicios de contenido de Xbox en los informes de la empresa, lo que destaca la importancia estratégica de los videojuegos para Microsoft.","[{'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,EM_VID
entertainment and media,video_games,JP3756600007,NINTENDO CO LTD,4,"Desarrolla y comercializa una amplia gama de consolas y software de videojuegos, contribuyendo significativamente a la evolución y popularidad mundial de la industria de los videojuegos.",,,14017724,JPY,7974,SMART,STK,False,EM_VID
entertainment and media,video_games,US67066G1040,NVIDIA CORP,5,Impulsa el avance de gráficos realistas y experiencias inmersivas en la industria de los videojuegos a través de sus GPUs de alto rendimiento y plataformas de software asociadas.,,,4815747,USD,NVDA,SMART,STK,True,EM_VID
entertainment and media,video_games,JP3435000009,SONY GROUP CORP,6,"Desarrolla y publica una amplia gama de títulos de videojuegos y mantiene una plataforma de consola líder, contribuyendo significativamente al ecosistema global de juegos y la participación de los jugadores.",,,13905705,JPY,6758,SMART,STK,False,EM_VID
entertainment and media,video_games,US7710491033,ROBLOX CORP -CLASS A,7,"Opera una plataforma global inmersiva en 3D donde los usuarios pueden crear y jugar millones de juegos y experiencias generados por usuarios en diversos dispositivos, contribuyendo significativamente a la industria de los videojuegos a través de su enfoque único de metaverso.","Roblox opera una plataforma de videojuegos con un fuerte énfasis en el contenido generado por el usuario, ejemplificado por el éxito de juegos como 'Grow a Garden', 'Steal a Brainrot' y 'Brookhaven'. El enfoque de la empresa en el rendimiento de la plataforma, el descubrimiento de contenido y el crecimiento de la comunidad de creadores ha llevado a aumentos sustanciales en los ingresos y las reservas. Esto se ve respaldado aún más por la presencia de cinco experiencias que superan los 10 millones de usuarios activos diarios y la expansión a géneros como RPG, deportes y carreras, lo que demuestra el amplio atractivo de la plataforma y su compromiso con el mercado de videojuegos, ya que la empresa apunta al 10% del mercado mundial de contenido de juegos.",,476026060,USD,RBLX,SMART,STK,True,EM_VID
entertainment and media,video_games,US91332U1016,UNITY SOFTWARE INC,8,Proporciona una plataforma líder de desarrollo 3D en tiempo real utilizada ampliamente por creadores para construir y operar videojuegos en múltiples plataformas.,"El enfoque de Unity en la industria de los videojuegos es evidente en su conjunto de herramientas diseñadas para crear, comercializar y hacer crecer juegos en las principales plataformas, incluyendo móviles, PC, consolas y realidad extendida (XR). La plataforma de la empresa, que comprende Soluciones de Creación y Soluciones de Crecimiento, junto con servicios de monetización, proporciona a los desarrolladores la infraestructura y la experiencia para lanzar y gestionar sus juegos. Esta dedicación al desarrollo y distribución de juegos destaca el importante papel y la inversión de la empresa en la industria de los videojuegos.","[{'name': 'u-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/u-FY24-10-K.html'}, {'name': 'u-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/u-Q225-10-Q.html'}]",445423543,USD,U,SMART,STK,False,EM_VID
entertainment and media,video_games,US0378331005,APPLE INC,9,"Facilita la distribución de videojuegos a través de su App Store y ofrece un servicio de suscripción de juegos, compatible con un catálogo diverso de títulos en su ecosistema de hardware.",,,265598,USD,AAPL,SMART,STK,True,EM_VID
entertainment and media,video_games,US02079K3059,ALPHABET INC-CL A,10,"Proporciona un ecosistema integral para los juegos móviles a través de su sistema operativo Android y Google Play Store, junto con contribuciones significativas a la distribución de juegos, publicidad y transmisión de contenido a través de YouTube.",,,208813719,USD,GOOGL,SMART,STK,True,EM_VID
