symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
GWW,IN,IND_10,industrial,industrial_supplies,US3848021040,WW GRAINGER INC,1,"Sirve como un distribuidor líder de productos y servicios de mantenimiento, reparación y operación (MRO), cruciales para diversas operaciones industriales y comerciales.","El negocio de Grainger se centra en la distribución de productos y servicios de mantenimiento, reparación y operación (MRO), lo que se alinea directamente con el tema de suministros industriales. La compañía atiende a clientes en todo el mundo, proporcionando productos y servicios que les permiten operar de manera segura, sostenible y productiva. Grainger enfatiza su papel como socio de confianza, ayudando a los clientes a pedir, organizar y gestionar su inventario MRO.","[{'name': 'gww-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q125-10-Q.html'}, {'name': 'gww-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q324-10-Q.html'}, {'name': 'gww-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q225-10-Q.html'}, {'name': 'gww-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gww-FY24-10-K.html'}]",7867,USD,SMART,STK
SIE,IN,IND_10,industrial,industrial_supplies,DE0007236101,SIEMENS AG-REG,2,"Proporciona una gama completa de componentes, sistemas y soluciones críticas esenciales para la producción industrial y la eficiencia operativa en diversos sectores.",,,14217,EUR,SMART,STK
MMM,IN,IND_10,industrial,industrial_supplies,US88579Y1010,3M CO,3,"Proporciona una amplia gama de productos esenciales para procesos de fabricación, mantenimiento y operativos en numerosas industrias.",,,9720,USD,SMART,STK
HON,IN,IND_10,industrial,industrial_supplies,US4385161066,HONEYWELL INTERNATIONAL INC,4,"Proporciona una cartera integral de productos industriales, software y servicios diseñados para mejorar la seguridad, la productividad y la eficiencia operativa en una amplia gama de sectores industriales.",,,4350,USD,SMART,STK
FAST,IN,IND_10,industrial,industrial_supplies,US3119001044,FASTENAL CO,5,"Funciona como un distribuidor líder de suministros industriales y de construcción, apoyando las necesidades operativas de diversas industrias con su completa cartera de productos.","El enfoque de Fastenal en el tema de la industria de Suministros Industriales es evidente, ya que la empresa se identifica como líder mundial en la distribución mayorista de suministros industriales y de construcción, distribuyendo estos suministros a través de una red de más de 3.500 ubicaciones en el mercado. Sus líneas de productos incluyen sujetadores, suministros de seguridad, herramientas, suministros de limpieza y herramientas de corte. Dada su posición de liderazgo en América del Norte, los suministros industriales son una parte central del negocio de Fastenal.","[{'name': 'fast-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fast-Q125-10-Q.html'}, {'name': 'fast-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fast-Q324-10-Q.html'}, {'name': 'fast-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fast-FY24-10-K.html'}, {'name': 'fast-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fast-Q225-10-Q.html'}]",269120,USD,SMART,STK
SU,IN,IND_10,industrial,industrial_supplies,FR0000121972,SCHNEIDER ELECTRIC SE,6,Permite el movimiento y la distribución eficientes de una amplia gama de productos esenciales para las operaciones industriales a través de su completa red de transporte y logística.,,,29612196,EUR,SMART,STK
ITW,IN,IND_10,industrial,industrial_supplies,US4523081093,ILLINOIS TOOL WORKS,7,"Contribuye al sector de suministros industriales al proporcionar herramientas, sujetadores y consumibles esenciales que apoyan las operaciones de fabricación y mantenimiento en diversas industrias.","La participación de ITW en el tema de Suministros Industriales es evidente a través de sus diversos segmentos de negocio. El segmento de Soldadura fabrica equipos de soldadura por arco, consumibles y accesorios, mientras que el segmento de Polímeros y Fluidos produce fluidos químicos, lubricantes y toallitas para manos para aplicaciones industriales. Además, el segmento de Prueba y Medición y Electrónica ofrece soluciones de prueba y medición, fabricación electrónica y MRO, demostrando aún más la participación de ITW en el suministro de suministros industriales.","[{'name': 'itw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q324-10-Q.html'}, {'name': 'itw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q225-10-Q.html'}, {'name': 'itw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/itw-FY24-10-K.html'}]",8620,USD,SMART,STK
GPC,IN,IND_10,industrial,industrial_supplies,US3724601055,GENUINE PARTS CO,8,Sus operaciones están profundamente integradas en el sector de suministros industriales.,"El enfoque de GPC en el tema de Suministros Industriales es evidente a través de su importante negocio Industrial, que representa el 37% de los ingresos totales y opera en varios países, incluidos EE. UU., Canadá, México, Australia, Nueva Zelanda, Indonesia y Singapur. El negocio principal de MRO (mantenimiento, reparación y operaciones) y mantenimiento de la empresa, que representa aproximadamente el 80% de las ventas de Motion, subraya aún más su participación en suministros industriales, demostrando una fortaleza continua con clientes de cuentas nacionales. Si bien faltan detalles explícitos de inversión monetaria, el enfoque en MRO y mantenimiento implica inherentemente suministros industriales, lo que indica una inversión continua en esta área.","[{'name': 'gpc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gpc-FY24-10-K.html'}]",7745,USD,SMART,STK
SWK,IN,IND_10,industrial,industrial_supplies,US8545021011,STANLEY BLACK & DECKER INC,9,Proporciona herramientas y equipos esenciales que son componentes fundamentales del mercado de suministros industriales.,"Stanley Black & Decker es un proveedor global de herramientas y soluciones de sujeción de ingeniería, que son suministros industriales esenciales. El segmento de sujeción de ingeniería de la empresa proporciona varios productos de ingeniería, incluidos sujetadores y acoplamientos, mientras que su negocio de herramientas y exteriores ofrece una amplia gama de herramientas eléctricas, herramientas manuales y accesorios relacionados. Estas herramientas manuales incluyen herramientas de medición, nivelación, trazado, martillos, herramientas de demolición y herramientas industriales y automotrices, lo que solidifica aún más el papel de la empresa en el suministro de suministros industriales.","[{'name': 'swk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/swk-Q324-10-Q.html'}, {'name': 'swk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/swk-Q225-10-Q.html'}, {'name': 'swk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/swk-FY24-10-K.html'}]",73354293,USD,SMART,STK
PH,IN,IND_10,industrial,industrial_supplies,US7010941042,PARKER HANNIFIN CORP,10,"Fabrica y suministra productos críticos de movimiento y control, sirviendo como suministros industriales fundamentales para un amplio espectro de industrias en todo el mundo.",,,11094,USD,SMART,STK
