industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
energy and utilities,energy_solutions,IT0003128367,ENEL SPA,1,"Impulsa el avance e implementación global de diversas soluciones energéticas, desempeñando un papel de liderazgo en la optimización de los sistemas energéticos y fomentando la transición hacia una gestión de energía sostenible y eficiente.",,29816333,EUR,ENEL,SMART,STK,False,,EN5
energy and utilities,energy_solutions,US29355A1079,ENPHASE ENERGY INC,2,"Desarrolla sistemas solares y de baterías basados en microinversores, lo que permite la generación, el almacenamiento y la gestión eficientes de energía para aplicaciones residenciales y comerciales dentro del sector de soluciones energéticas.","El negocio de Enphase se centra en proporcionar soluciones energéticas integrales a través de su plataforma integrada que gestiona la generación solar, el almacenamiento y la comunicación. Su Sistema de Energía Enphase permite el autoconsumo y maximiza el potencial energético de un hogar con capacidades avanzadas de monitoreo y mantenimiento remoto. La empresa ofrece un portafolio completo de microinversores, baterías, cargadores de vehículos eléctricos y software inteligente de gestión de energía del hogar, con sistemas desplegados en más de 160 países y alimentando a millones de hogares en todo el mundo. Este enfoque integrado de soluciones energéticas, junto con un enfoque en la mejora de la eficiencia energética y la reducción de los costos de instalación, posiciona a Enphase como un actor clave en el mercado de soluciones energéticas.",105368327,USD,ENPH,SMART,STK,True,"[{'name': 'enph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q225-10-Q.html'}, {'name': 'enph-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/enph-FY24-10-K.html'}, {'name': 'enph-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q125-10-Q.html'}, {'name': 'enph-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/enph-Q324-10-Q.html'}]",EN5
energy and utilities,energy_solutions,US65339F1012,NEXTERA ENERGY INC,3,"Proporciona soluciones energéticas integrales a través de sus filiales, centrándose en la generación de energía limpia a escala de servicios públicos, la transmisión y las tecnologías de redes inteligentes para satisfacer las cambiantes demandas energéticas.",,75960201,USD,NEE,SMART,STK,True,,EN5
energy and utilities,energy_solutions,IE00B8KQN827,EATON CORP PLC,4,"Proporciona tecnologías y sistemas esenciales de gestión de energía que permiten una distribución eficiente de la energía, la modernización de la red y la integración de diversas fuentes de energía.","Eaton demuestra su enfoque en soluciones energéticas a través de su asociación con Siemens Energy para ofrecer energía distribuida flexible e independiente de la red, ofreciendo plazos de proyecto más cortos y mayor flexibilidad operativa. Esta colaboración aborda las limitaciones de energía para los operadores de centros de datos e incorpora la tecnología de transformadores de estado sólido de Resilient Power Systems, que es crucial para los diseños de centros de IA de alta potencia, la carga de vehículos eléctricos y el almacenamiento de baterías. Además, Eaton tiene como objetivo acelerar la transición a fuentes de energía renovables y resolver desafíos urgentes de gestión de energía para construir una sociedad más sostenible.",118017864,EUR,3EC,SMART,STK,True,"[{'name': 'etn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q324-10-Q.html'}]",EN5
energy and utilities,energy_solutions,US0382221051,APPLIED MATERIALS INC,5,"Proporciona equipos de fabricación y soluciones de procesos críticos que permiten la producción de materiales y dispositivos avanzados esenciales para la generación de energía renovable, el almacenamiento de energía y las tecnologías de eficiencia energética.","La participación de Applied Materials en Soluciones de Energía es evidente en su enfoque en avanzar la IA energéticamente eficiente a través de importantes inflexiones en la arquitectura de dispositivos, que son críticas para reducir el consumo de energía de transferencia de datos dentro de los centros de datos y las pérdidas de energía de la red a los centros de datos. La empresa enfatiza su fuerte liderazgo en electrónica de potencia y su posicionamiento en áreas de mercado de rápido crecimiento esenciales para la IA energéticamente eficiente. Además, Applied Materials está permitiendo avances en tecnologías de semiconductores fundamentales para impactar significativamente la reducción de energía y costos a nivel de sistema en los centros de datos de IA.",266093,USD,AMAT,SMART,STK,True,,EN5
energy and utilities,energy_solutions,FR0000121972,SCHNEIDER ELECTRIC SE,6,"Proporciona una cartera integral de soluciones digitales de gestión y automatización de energía, lo que permite la eficiencia, la sostenibilidad y la resiliencia en diversas industrias e infraestructuras.",,29612196,EUR,SU,SMART,STK,False,,EN5
energy and utilities,energy_solutions,ES0144580Y14,IBERDROLA SA.,7,"Se enfoca en la provisión de servicios energéticos sostenibles y eficientes, incluyendo generación renovable, redes inteligentes y soluciones energéticas integradas para clientes, contribuyendo significativamente a los esfuerzos de descarbonización y electrificación.",,46586284,EUR,IBE,SMART,STK,False,,EN5
energy and utilities,energy_solutions,DK0060094928,ORSTED A/S,8,"Desarrolla y opera proyectos de energía renovable, particularmente energía eólica marina, contribuyendo significativamente al suministro de energía sostenible y a la acción climática.",,242060078,DKK,ORSTED,SMART,STK,False,,EN5
energy and utilities,energy_solutions,US88160R1014,TESLA INC,9,"Proporciona soluciones integradas de generación de energía solar y almacenamiento avanzado de baterías para aplicaciones residenciales, comerciales y a escala de servicios públicos, contribuyendo a la transición global hacia la energía sostenible.",,76792991,USD,TSLA,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US4385161066,HONEYWELL INTERNATIONAL INC,10,"Ofrece una cartera integral de tecnologías y servicios diseñados para optimizar la eficiencia energética, mejorar la confiabilidad de la red y facilitar transiciones energéticas sostenibles en diversos sectores industriales y comerciales.","La participación de Honeywell en Soluciones Energéticas es evidente a través de su segmento dedicado a Soluciones de Energía y Sostenibilidad, que es uno de sus cuatro segmentos de negocio reportables. Este segmento reportó unas ventas netas sustanciales, con $1.837 millones para los tres meses finalizados el 30 de junio de 2025 y $3.398 millones para los seis meses finalizados el 30 de junio de 2025, lo que demuestra un enfoque en productos y servicios relacionados con la energía, integrales para facilitar la transición energética mundial. Además, Honeywell está mejorando activamente sus capacidades en esta área a través de adquisiciones, como Li-ion Tamer y el negocio de Tecnologías de Catalizadores de Johnson Matthey, para servir mejor a su base de clientes con soluciones en metanol sostenible, combustible de aviación sostenible, hidrógeno y amoníaco.",4350,USD,HON,SMART,STK,True,"[{'name': 'hon-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q324-10-Q.html'}, {'name': 'hon-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q125-10-Q.html'}, {'name': 'hon-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hon-Q225-10-Q.html'}, {'name': 'hon-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hon-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,DE0007236101,SIEMENS AG-REG,11,"Desarrolla y proporciona tecnologías y soluciones integradas para la generación, transmisión, distribución y gestión inteligente de energía, desempeñando un papel fundamental en la modernización de la infraestructura energética global y facilitando la transición energética.",,14217,EUR,SIE,SMART,STK,False,,EN5
energy and utilities,energy_solutions,US83417M1045,SOLAREDGE TECHNOLOGIES INC,12,"Desarrolla y proporciona sistemas de inversores optimizados para instalaciones fotovoltaicas solares, contribuyendo significativamente al avance y la eficiencia de las soluciones de energía renovable.","El enfoque de SolarEdge en Soluciones Energéticas es evidente a través de su desarrollo, fabricación y venta de productos dentro del segmento solar, abordando diversos segmentos del mercado energético. La empresa ofrece soluciones integrales, que incluyen soluciones fotovoltaicas residenciales, comerciales y a gran escala, gestión de energía del hogar, servicios de red y plantas de energía virtual. El compromiso de SolarEdge se demuestra aún más por su enfoque en soluciones de sistemas completos, que combinan inversores, optimizadores, cargadores de vehículos eléctricos, sistemas de almacenamiento y software de gestión de energía, con el objetivo de maximizar el valor y el retorno para los clientes.",188625650,USD,SEDG,SMART,STK,True,"[{'name': 'sedg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sedg-Q225-10-Q.html'}, {'name': 'sedg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sedg-Q125-10-Q.html'}, {'name': 'sedg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sedg-Q324-10-Q.html'}, {'name': 'sedg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sedg-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,US21037T1097,CONSTELLATION ENERGY,13,"Proporciona servicios integrales de gestión de energía y soluciones sostenibles, capacitando a los clientes para optimizar el consumo, gestionar los costos y cumplir sus objetivos de sostenibilidad.","Constellation Energy está significativamente involucrada en soluciones energéticas, particularmente energía limpia y confiable, lo que considera una ventaja estratégica duradera. La empresa enfatiza la rentabilidad, confiabilidad y sostenibilidad de sus ofertas de energía, especialmente a través de su parque nuclear y la adquisición de Calpine, posicionándose como un proveedor clave en la economía de datos y apoyando el desarrollo de centros de datos. Constellation destaca sus soluciones de energía limpia y confiable como una ventaja competitiva, especialmente en el contexto de apoyar el desarrollo de centros de datos y tecnologías de IA, y se enfoca en satisfacer la demanda con energía limpia, creyendo que sus ofertas para generación limpia y confiable son mucho más atractivas desde el punto de vista del tiempo y el precio que cualquier opción competidora. La empresa vende electricidad, gas natural, otros productos relacionados con la energía y soluciones sostenibles.",538132976,USD,CEG,SMART,STK,True,"[{'name': 'ceg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ceg-FY24-10-K.html'}, {'name': 'ceg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q324-10-Q.html'}, {'name': 'ceg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q225-10-Q.html'}]",EN5
energy and utilities,energy_solutions,US00130H1059,AES CORP,14,"Ofrece una gama de soluciones energéticas, que incluyen generación de energía renovable y tecnologías de almacenamiento de energía, para apoyar las transiciones energéticas sostenibles y los esfuerzos de modernización de la red.",,2560358,USD,AES,SMART,STK,True,,EN5
energy and utilities,energy_solutions,DK0061539921,VESTAS WIND SYSTEMS A/S,15,"Desarrollo, fabricación, instalación y servicio de turbinas eólicas, proporcionando soluciones integrales de energía limpia para satisfacer las necesidades energéticas mundiales.",,481449559,DKK,VWS,SMART,STK,False,,EN5
energy and utilities,energy_solutions,US3364331070,FIRST SOLAR INC,16,"Ofrece tecnología fotovoltaica solar avanzada, que es fundamental para desarrollar e implementar soluciones de energía sostenible.",,41622169,USD,FSLR,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US26884L1098,EQT CORP,17,"Proporciona gas natural como fuente de energía crítica, apoyando la transición a energía con menor contenido de carbono y garantizando un suministro confiable para la generación de energía y las necesidades industriales.","EQT está estratégicamente enfocada en soluciones energéticas, lo que se demuestra por su búsqueda activa de oportunidades de demanda dentro de la cuenca, incluyendo la generación de energía a gas y proyectos de centros de datos. La empresa tiene como objetivo proporcionar soluciones energéticas rentables, confiables y de bajas emisiones, participando en discusiones con múltiples proyectos de energía propuestos para suministro de gas firme y de midstream. Esta estrategia incluye mejorar la eficiencia energética y reducir el consumo a través de prácticas sostenibles, con un enfoque en ofrecer la mejor combinación de costo, confiabilidad y una baja huella de carbono.",57698865,USD,EQT,SMART,STK,True,,EN5
energy and utilities,energy_solutions,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,18,"Proporciona soluciones innovadoras para edificios energéticamente eficientes, centrándose en tecnologías sostenibles de control climático y gestión térmica que reducen el consumo de energía y el impacto ambiental.","Trane Technologies demuestra un fuerte enfoque en soluciones energéticas, particularmente dentro de su segmento de Américas, que abarca 'servicios y soluciones energéticas'. La empresa enfatiza su estrategia impulsada por un propósito al abordar la creciente demanda mundial de energía y el significativo desperdicio de energía en los edificios, estimando que un edificio promedio desperdicia el 30% de la energía después del medidor. Sus soluciones tienen como objetivo ayudar a los clientes a ahorrar energía, reducir las emisiones y disminuir los costos operativos, ofreciendo atractivos retornos de la inversión. El CEO destaca las inmensas oportunidades para abordar el desperdicio de energía, con soluciones diseñadas para ahorrar energía y reducir las emisiones, al tiempo que señala la fortaleza de los mercados de HVAC comerciales debido a la demanda de productos energéticamente eficientes y la descarbonización.",406709270,USD,TT,SMART,STK,True,"[{'name': 'tt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tt-Q324-10-Q.html'}, {'name': 'tt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tt-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,19,Ofrece sistemas y servicios integrales centrados en optimizar el consumo y la eficiencia energética en diversos entornos de edificios e industriales.,,244164913,USD,JCI,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US3687361044,GENERAC HOLDINGS INC,20,"Proporciona un conjunto completo de soluciones de generación de energía y almacenamiento de energía, incluidos generadores de respaldo y tecnologías de energía limpia, lo que contribuye a una gestión de energía resiliente y sostenible para clientes residenciales y comerciales.","El compromiso de Generac con las Soluciones Energéticas es evidente a través de su completa cartera de productos de tecnología energética y su misión de promover soluciones energéticas resilientes, eficientes y sostenibles. La empresa ofrece una diversa gama de productos, que incluyen equipos de generación de energía, sistemas de almacenamiento de energía y dispositivos de gestión de energía, dirigidos a mercados residenciales, comerciales e industriales. Generac se enfoca en expandir sus ofertas de tecnología energética y construir ecosistemas de productos y servicios de tecnología energética para hogares y empresas, con el objetivo de empoderar a los usuarios para gestionar sus costos y necesidades energéticas.",72529783,USD,GNRC,SMART,STK,True,"[{'name': 'gnrc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gnrc-Q125-10-Q.html'}, {'name': 'gnrc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gnrc-FY24-10-K.html'}, {'name': 'gnrc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gnrc-Q225-10-Q.html'}, {'name': 'gnrc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gnrc-Q324-10-Q.html'}]",EN5
