type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
defense and aerospace,defense_technology,US5398301094,LOCKHEED MARTIN CORP,1,"Desarrolla y fabrica sistemas de defensa avanzados, incluyendo aeronaves, defensa antimisiles y tecnologías espaciales, sirviendo como un innovador y proveedor líder en el sector de defensa global.","El compromiso de Lockheed Martin con el tema de Tecnología de Defensa es evidente en su negocio principal como empresa aeroespacial y de defensa global, que implica la investigación, diseño, desarrollo, fabricación, integración y mantenimiento de sistemas de tecnología avanzada. La empresa está integrando activamente satélites, aeronaves, barcos, lanzadores de misiles y sistemas de mando y control existentes y nuevos con tecnologías digitales constantemente actualizables, al tiempo que invierte en tecnologías innovadoras para abordar requisitos de misión en rápida evolución, como las contramedidas contra la guerra de drones. El enfoque de Lockheed Martin en la innovación y el desarrollo de tecnologías avanzadas para programas clave, incluidos los sistemas de misiles y los sensores infrarrojos de próxima generación, subraya su compromiso con el avance de las capacidades de defensa.","[{'name': 'lmt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q125-10-Q.html'}, {'name': 'lmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q324-10-Q.html'}, {'name': 'lmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lmt-FY24-10-K.html'}, {'name': 'lmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q225-10-Q.html'}]",611191,USD,LMT,SMART,STK,True,DE1
defense and aerospace,defense_technology,US6668071029,NORTHROP GRUMMAN CORP,2,"Desarrolla y entrega tecnologías de defensa avanzadas, incluyendo sistemas autónomos, soluciones de ciberseguridad, disuasión estratégica y sistemas aeroespaciales, que son integrales para la seguridad global y las capacidades de defensa nacional.","Northrop Grumman se identifica como una empresa líder mundial en tecnología aeroespacial y de defensa, que ofrece un amplio espectro de productos, servicios y soluciones principalmente al Departamento de Defensa de EE. UU. y a la comunidad de inteligencia. Las capacidades principales de la empresa abarcan sistemas espaciales, aeronaves militares, defensa antimisiles, armas avanzadas, disuasión estratégica y tecnologías innovadoras, incluidas la IA, la computación avanzada y la ciberseguridad, que se alinean con las prioridades de seguridad nacional. Además, Northrop Grumman enfatiza su compromiso de introducir nuevas tecnologías y conceptos para satisfacer las necesidades de los clientes, respaldado por inversiones en instalaciones de producción de última generación y la integración de tecnologías avanzadas como la IA y la ingeniería de sistemas basada en modelos.","[{'name': 'noc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q225-10-Q.html'}, {'name': 'noc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q324-10-Q.html'}, {'name': 'noc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/noc-FY24-10-K.html'}, {'name': 'noc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q125-10-Q.html'}]",10376,USD,NOC,SMART,STK,True,DE1
defense and aerospace,defense_technology,US75513E1010,RTX CORP,3,"Desarrolla y fabrica sistemas de defensa avanzados y tecnologías aeroespaciales, incluyendo misiles, radares, soluciones de ciberseguridad y armas de precisión, sirviendo a clientes militares y gubernamentales a nivel mundial.","La participación de RTX en la industria de tecnología de defensa es evidente a través de su papel como proveedor global de sistemas de productos y servicios de alta tecnología para los sectores aeroespacial y de defensa. El portafolio de la empresa aprovecha tecnologías de próxima generación en varios dominios, posicionándola para ofrecer soluciones como la iniciativa Iron Dome para América. RTX enfatiza su compromiso con la tecnología de defensa a través de programas como la propulsión adaptativa de próxima generación, radares LTAMDS y defensa antimisiles de defensa nacional, y también a través de contratos como la reserva de $1.9 mil millones de Raytheon para la producción inicial de baja velocidad de LTAMDS para el Ejército de EE. UU. y Polonia.","[{'name': 'rtx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q125-10-Q.html'}, {'name': 'rtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q324-10-Q.html'}, {'name': 'rtx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q225-10-Q.html'}, {'name': 'rtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rtx-FY24-10-K.html'}]",415342104,USD,RTX,SMART,STK,True,DE1
defense and aerospace,defense_technology,US5024311095,L3HARRIS TECHNOLOGIES INC,4,Desarrolla y proporciona soluciones tecnológicas avanzadas críticas para las operaciones de seguridad nacional y defensa.,"El compromiso de L3Harris con el tema de Tecnología de Defensa es evidente a través de su posición como 'Disruptor de Confianza' que ofrece soluciones tecnológicas de extremo a extremo en los dominios espacial, aéreo, terrestre, marítimo y cibernético para la seguridad nacional y global. El enfoque de la compañía en ofrecer soluciones ágiles para abordar amenazas actuales y futuras está respaldado por inversiones aceleradas en arquitecturas basadas en el espacio, sistemas de misiles, plataformas autónomas y capacidades definidas por software. L3Harris está alineado con las prioridades del DoD y se enfoca en proporcionar las capacidades necesarias para el futuro, incluidas las tecnologías de advertencia, seguimiento y discriminación de misiles, así como el apoyo a iniciativas como Golden Dome.","[{'name': 'lhx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lhx-FY24-10-K.html'}, {'name': 'lhx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q225-10-Q.html'}, {'name': 'lhx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q125-10-Q.html'}, {'name': 'lhx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q324-10-Q.html'}]",371886040,USD,LHX,SMART,STK,True,DE1
defense and aerospace,defense_technology,GB0002634946,BAE SYSTEMS PLC,5,"Desarrolla y entrega tecnologías avanzadas de defensa, aeroespacial y seguridad, abarcando los dominios terrestre, marítimo, aéreo y cibernético, para abordar complejos desafíos de seguridad global.",,,908964,GBP,BA.,SMART,STK,False,DE1
defense and aerospace,defense_technology,US3695501086,GENERAL DYNAMICS CORP,6,"Desarrolla y fabrica sistemas y tecnologías de defensa avanzados para aplicaciones militares, contribuyendo a la seguridad nacional y a las capacidades de defensa globales.","General Dynamics demuestra su compromiso con la Tecnología de Defensa a través de varias áreas clave. El segmento de Tecnologías proporciona soluciones C5ISR, mientras que el grupo de Tecnologías se enfoca en tecnología avanzada que habilita plataformas autónomas, municiones inteligentes, guerra submarina y disuasión estratégica. Además, Mission Systems invierte en áreas como cifrado de alta velocidad, disuasivos estratégicos y espacio disputado, y la compañía enfatiza la evolución de sus productos para abordar un entorno de amenazas que cambia rápidamente, lo que indica la importancia de la tecnología de defensa para su negocio de defensa en EE. UU.","[{'name': 'gd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gd-FY24-10-K.html'}, {'name': 'gd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q225-10-Q.html'}, {'name': 'gd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q324-10-Q.html'}]",7496,USD,GD,SMART,STK,True,DE1
defense and aerospace,defense_technology,US0970231058,BOEING CO/THE,7,"Proporciona tecnologías de defensa sofisticadas, incluyendo aeronaves militares, misiles y sistemas espaciales, contribuyendo a iniciativas globales de defensa y seguridad.",,,4762,USD,BA,SMART,STK,True,DE1
defense and aerospace,defense_technology,DE0007030009,RHEINMETALL AG,8,Se enfoca en desarrollar y proporcionar soluciones avanzadas dentro de la industria de Tecnología de Defensa.,,,15085,EUR,RHM,SMART,STK,False,DE1
defense and aerospace,defense_technology,IT0003856405,LEONARDO SPA,9,"Desarrolla e integra tecnologías y sistemas de defensa avanzados, contribuyendo significativamente a la seguridad nacional y a las capacidades militares en diversos dominios.",,,35162453,EUR,LDO,SMART,STK,False,DE1
defense and aerospace,defense_technology,FR0000121329,THALES SA,10,"Proporciona soluciones y sistemas tecnológicos avanzados vitales para aplicaciones de defensa, apoyando la seguridad nacional y las capacidades militares a nivel mundial.",,,917799,EUR,HO,SMART,STK,False,DE1
