industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
telecommunications,wireless_services,US92343V1044,VERIZON COMMUNICATIONS INC,1,"Proporciona amplios servicios e infraestructura de comunicación inalámbrica, sirviendo a millones de clientes e impulsando avances en la conectividad móvil.","El enfoque de Verizon en los servicios inalámbricos es evidente a través de su extensa red inalámbrica en los EE. UU., ofrecida a través del segmento de Consumo. Tanto el segmento de Consumo como el de Empresas brindan servicios de comunicaciones inalámbricas, y los ingresos por servicios inalámbricos experimentan un crecimiento. La empresa enfatiza sus redes de alto rendimiento, incluidas 5G y 4G, y tiene como objetivo mantener su liderazgo a través del despliegue continuo de nueva arquitectura y tecnologías de red.","[{'name': 'vz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q225-10-Q.html'}, {'name': 'vz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q125-10-Q.html'}, {'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}]",4901,USD,VZ,SMART,STK,True,WI1
telecommunications,wireless_services,US00206R1023,AT&T INC,2,"Proporciona amplios servicios de comunicación inalámbrica, incluyendo voz, datos y mensajería, a una gran base de suscriptores en varios mercados, estableciendo su papel significativo dentro de la industria.","El enfoque de AT&T en Servicios Inalámbricos es evidente a través de su unidad de negocio de Movilidad, que proporciona servicio inalámbrico y equipos en todo el país. La empresa anticipa un crecimiento de los ingresos en su negocio inalámbrico, impulsado por la demanda de los clientes de conectividad instantánea y velocidades más altas facilitadas por el despliegue de 5G y la expansión de la red de fibra. El compromiso de AT&T se demuestra aún más con la adición de clientes de teléfonos pospago y el crecimiento de los ingresos por servicios de movilidad, con un crecimiento de suscriptores cada vez más impulsado por clientes que contratan servicios inalámbricos y de banda ancha. El segmento de Comunicaciones, que incluye Movilidad, representa una parte significativa de los ingresos operativos de AT&T, lo que destaca la importancia de los servicios inalámbricos para el rendimiento general de la empresa.","[{'name': 't-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q125-10-Q.html'}, {'name': 't-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/t-FY24-10-K.html'}, {'name': 't-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q324-10-Q.html'}, {'name': 't-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q225-10-Q.html'}]",37018770,USD,T,SMART,STK,True,WI1
telecommunications,wireless_services,US8725901040,T-MOBILE US INC,3,"Se enfoca en proporcionar servicios integrales de comunicación inalámbrica, incluyendo voz, mensajería y datos, a través de su extensa red 5G a una gran base de clientes.","El negocio de T-Mobile se centra fundamentalmente en la prestación de servicios de comunicación inalámbrica, como lo demuestra su extensa discusión sobre los ingresos pospagados y prepagados, las adiciones de clientes y las tasas de abandono. Esto se ve aún más evidenciado por sus iniciativas estratégicas, incluida la adquisición planificada de las operaciones inalámbricas y los activos de espectro de UScellular por aproximadamente $4.4 mil millones, lo que destaca una inversión importante en el sector inalámbrico. T-Mobile enfatiza constantemente el crecimiento de su base de clientes inalámbricos, estableciendo récords de adiciones netas pospagadas y liderando la industria en crecimiento de clientes, lo que subraya la dedicación de la empresa a expandir su red, base de clientes y ofertas de servicios dentro de la industria inalámbrica. La empresa define explícitamente a sus clientes como aquellos con un número de SIM asociado a una cuenta que genera ingresos, calificados para servicio pospago o prepago utilizando teléfonos, módems de Internet de alta velocidad, dispositivos de Internet móvil, wearables y otros dispositivos conectados.","[{'name': 'tmus-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q324-10-Q.html'}, {'name': 'tmus-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q225-10-Q.html'}, {'name': 'tmus-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q125-10-Q.html'}, {'name': 'tmus-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmus-FY24-10-K.html'}]",125980227,USD,TMUS,SMART,STK,True,WI1
telecommunications,wireless_services,DE0005557508,DEUTSCHE TELEKOM AG-REG,4,"Es un proveedor líder de servicios inalámbricos, que contribuye significativamente al desarrollo y la expansión de las redes de comunicación móvil a nivel mundial.",,,2254332,EUR,DTE,SMART,STK,False,WI1
telecommunications,wireless_services,US03027X1000,AMERICAN TOWER CORP,5,"Proporciona infraestructura esencial, incluidas torres de telefonía móvil y centros de datos, que sustenta la entrega y expansión de servicios inalámbricos para operadores de redes móviles.","El compromiso de American Tower con la industria de Servicios Inalámbricos está profundamente arraigado en su modelo de negocio principal, ya que la operación principal de la empresa implica el arrendamiento de espacio en sitios de comunicaciones a proveedores de servicios inalámbricos. Esta actividad impulsa directamente la gran mayoría de sus ingresos del segmento de propiedades, que a su vez constituye una parte significativa de sus ingresos totales. Además, el negocio de arrendamiento de torres de la empresa se beneficia directamente de la creciente demanda de redes móviles y del creciente consumo de datos móviles, lo que destaca el papel integral de los servicios inalámbricos en el impulso del desempeño financiero y el enfoque estratégico de la empresa.","[{'name': 'amt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q225-10-Q.html'}, {'name': 'amt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q324-10-Q.html'}, {'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,AMT,SMART,STK,True,WI1
telecommunications,wireless_services,GB00BH4HKS39,VODAFONE GROUP PLC,6,"Proporciona amplios servicios de comunicación inalámbrica a nivel mundial, conectando a millones de clientes y empresas a través de su completa infraestructura de red.",,,140148322,GBP,VOD,SMART,STK,False,WI1
telecommunications,wireless_services,US16119P1084,CHARTER COMMUNICATIONS INC-A,7,"Proporciona servicios inalámbricos móviles a sus suscriptores de banda ancha, integrando la conectividad celular con su extensa red Wi-Fi para mejorar las ofertas a los clientes.","El compromiso de Charter con los Servicios Inalámbricos es evidente a través de sus ofertas de Spectrum Mobile, que incluyen servicios de Internet, TV, Móvil y Voz. La empresa se enfoca en expandir sus servicios móviles, lo que se demuestra con la adición de 500,000 líneas de Spectrum Mobile en un solo trimestre y más de 2.1 millones de líneas en el último año, y es reconocida como el proveedor de telefonía móvil de más rápido crecimiento en los Estados Unidos. Este crecimiento está respaldado por iniciativas como el paquete Spectrum One y una relación MVNO a largo plazo con T-Mobile, diseñadas para mejorar la conectividad y acelerar el crecimiento móvil.","[{'name': 'chtr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q324-10-Q.html'}, {'name': 'chtr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q225-10-Q.html'}, {'name': 'chtr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q125-10-Q.html'}, {'name': 'chtr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chtr-FY24-10-K.html'}]",233674866,USD,CHTR,SMART,STK,True,WI1
telecommunications,wireless_services,US7475251036,QUALCOMM INC,8,"Proporciona chipsets esenciales y propiedad intelectual que sustentan la infraestructura y los dispositivos para los servicios inalámbricos globales, incluidas las tecnologías 5G y 4G.","El negocio de Qualcomm está significativamente ligado a la industria de servicios inalámbricos, ya que desarrollan y comercializan tecnologías y productos fundamentales utilizados en dispositivos móviles y otros productos inalámbricos. La empresa genera ingresos de productos de circuitos integrados y licencias de propiedad intelectual, incluidas patentes y otros derechos, relacionados con productos RFFE 4G, 5G sub 6 y 5G de onda milimétrica. Qualcomm dedica recursos a trabajar con participantes de la industria inalámbrica y gobiernos para promover un entorno competitivo e innovador, y han celebrado acuerdos de licencia integrales 4G y 5G con empresas como Transsion.","[{'name': 'qcom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q225-10-Q.html'}, {'name': 'qcom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q125-10-Q.html'}, {'name': 'qcom-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/qcom-Q325-10-Q.html'}]",273544,USD,QCOM,SMART,STK,True,WI1
telecommunications,wireless_services,US78410G1040,SBA COMMUNICATIONS CORP,9,Facilita la entrega de servicios inalámbricos al proporcionar infraestructura esencial de comunicaciones inalámbricas a los operadores.,"SBA Communications exhibe una fuerte conexión con la industria de Servicios Inalámbricos, principalmente a través de su negocio de arrendamiento de sitios, que atiende a proveedores de servicios inalámbricos. Los ingresos de la empresa se derivan significativamente del arrendamiento de espacio en sus torres a estos proveedores, quienes utilizan la infraestructura para brindar servicios inalámbricos. Además, SBA ayuda a estos proveedores en el desarrollo y mantenimiento de sus redes, lo que indica un papel crucial en el apoyo a la infraestructura inalámbrica. La empresa también se beneficia de la continua inversión de los operadores de redes móviles en sitios de macro-torres, que son esenciales para avanzar en la cobertura inalámbrica, desplegar nuevo espectro e implementar tecnologías como 5G y acceso inalámbrico fijo.","[{'name': 'sbac-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q324-10-Q.html'}, {'name': 'sbac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q125-10-Q.html'}, {'name': 'sbac-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbac-FY24-10-K.html'}, {'name': 'sbac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbac-Q225-10-Q.html'}]",262397910,USD,SBAC,SMART,STK,True,WI1
telecommunications,wireless_services,US20030N1019,COMCAST CORP-CLASS A,10,"Proporciona servicios inalámbricos a consumidores y empresas, aprovechando su extensa infraestructura de red para ofrecer opciones de conectividad móvil.","El enfoque de Comcast en los servicios inalámbricos es evidente a través de sus iniciativas estratégicas y su desempeño financiero. La compañía enfatiza los servicios inalámbricos como un área clave de crecimiento, ofreciendo internet gigabit y servicios inalámbricos a una gran cantidad de hogares y empresas. Este énfasis está respaldado por el aumento de los ingresos inalámbricos nacionales, impulsado por un aumento en las líneas de clientes y las ventas de dispositivos, y el enfoque de la compañía en aumentar los ingresos de conectividad residencial a través del crecimiento de los servicios inalámbricos nacionales. Comcast aprovecha sus servicios inalámbricos para profundizar las relaciones con los clientes, reducir la rotación y mejorar el valor de vida del cliente, como lo demuestra la adición de una cantidad significativa de líneas inalámbricas y la introducción de planes ilimitados premium.","[{'name': 'cmcsa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cmcsa-FY24-10-K.html'}, {'name': 'cmcsa-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q125-10-Q.html'}, {'name': 'cmcsa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cmcsa-Q324-10-Q.html'}]",267748,USD,CMCSA,SMART,STK,True,WI1
