industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,electronic_commerce_logistics,US0231351067,AMAZON.COM INC,1,Opera una extensa red global de logística y cumplimiento que sustenta sus operaciones de comercio electrónico dominantes y establece estándares de la industria para la entrega minorista en línea.,"El compromiso de Amazon con la logística de comercio electrónico es evidente a través de sus importantes inversiones y mejoras continuas en su red de distribución. La empresa se enfoca en mejorar la velocidad y eficiencia de entrega reestructurando su red de entrada de EE. UU. en una estructura regional, ubicando estratégicamente el inventario más cerca de los clientes y aumentando la participación de los pedidos que se mueven a través de carriles directos. Amazon también está expandiendo sus sitios de entrega el mismo día, su red de entrega rural e incorporando robótica y automatización para mejorar la eficiencia y reducir los costos, lo que demuestra un compromiso con la optimización de sus operaciones logísticas.","[{'name': 'amzn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q125-10-Q.html'}, {'name': 'amzn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amzn-FY24-10-K.html'}, {'name': 'amzn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amzn-Q324-10-Q.html'}]",3691937,USD,AMZN,SMART,STK,True,EL1
technology,electronic_commerce_logistics,US31428X1063,FEDEX CORPORATION,2,"Impulsa el sector global de logística de comercio electrónico al proporcionar servicios críticos de envío, entrega y gestión de la cadena de suministro para minoristas en línea y consumidores.","El compromiso de FedEx con la logística del comercio electrónico es evidente a través de varias iniciativas clave. Los servicios de paquetes nacionales de EE. UU. de la empresa están experimentando un crecimiento, impulsado por una mayor participación en el mercado nacional de EE. UU., y se están preparando activamente para la integración del nuevo negocio de Amazon, anticipando un mayor crecimiento de los ingresos nacionales de EE. UU. con un enfoque en paquetes más grandes y pesados. FedEx enfatiza su propuesta de valor de comercio electrónico, incluido el programa de fidelización FedEx Rewards diseñado para mejorar la experiencia del cliente para pequeñas y medianas empresas. La cartera de la empresa incluye servicios de transporte, comercio electrónico y negocios, que proporcionan soluciones empresariales integradas a través de su red global.","[{'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fdx-FY25-10-K.html'}]",5100583,USD,FDX,SMART,STK,True,EL1
technology,electronic_commerce_logistics,US9113121068,UNITED PARCEL SERVICE-CL B,3,"Proporciona amplios servicios de logística y entrega cruciales para el movimiento eficiente de bienes comprados a través de plataformas de comercio electrónico, permitiendo que empresas y consumidores se conecten a nivel mundial.","El compromiso de UPS con la logística del comercio electrónico es evidente en varios aspectos de sus operaciones. La empresa capta crecimiento a través de clientes adicionales de comercio electrónico y PYMES que aprovechan el Programa de Acceso Digital, al tiempo que experimenta un aumento en el volumen de negocio a consumidor debido a clientes adicionales de comercio electrónico. Esto se ve aún más respaldado por el aumento del volumen de SurePost de nuevos clientes de comercio electrónico, lo que impulsa los volúmenes residenciales terrestres en general. UPS también se enfoca en la calidad de los ingresos en el volumen de comercio electrónico, como lo demuestra la introducción de Ground Saver, que reemplazó a SurePost, para aumentar los rendimientos del volumen de comercio electrónico.","[{'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}, {'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}]",6231002,USD,UPS,SMART,STK,True,EL1
technology,electronic_commerce_logistics,KYG017191142,ALIBABA GROUP HOLDING LTD,4,"Impulsa la innovación en la logística del comercio electrónico a través de su Red Cainiao, proporcionando soluciones logísticas inteligentes integradas que optimizan el almacenamiento, el transporte y la entrega de última milla para su vasto ecosistema de comercio electrónico y clientes externos.",,,391638829,HKD,9988,SEHK,STK,False,EL1
technology,electronic_commerce_logistics,US58733R1023,MERCADOLIBRE INC,5,Opera una red logística integral esencial para la entrega de bienes vendidos a través de su extensa plataforma de comercio electrónico en América Latina.,"MercadoLibre enfatiza que su solución logística, Mercado Envíos, es integral para su propuesta de valor, reduciendo la fricción para compradores y vendedores y permitiendo entregas más rápidas. La compañía ha invertido significativamente en esta área, incluyendo $290 millones en instalaciones y oficinas de envío en Brasil, México y Argentina. Esta red logística se construye en torno a centros de cumplimiento, que manejan más de la mitad de los envíos de la compañía, e incluye aviones, camiones y furgonetas de entrega de última milla dedicados, con la compañía desplegando activamente un gran número de centros de cumplimiento para apoyar el crecimiento del negocio.","[{'name': 'meli-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q125-10-Q.html'}, {'name': 'meli-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q225-10-Q.html'}, {'name': 'meli-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meli-FY24-10-K.html'}]",45602025,USD,MELI,SMART,STK,False,EL1
technology,electronic_commerce_logistics,US22266T1097,COUPANG INC,6,Opera una extensa red logística interna para proporcionar servicios de entrega rápidos y confiables para sus operaciones de comercio electrónico.,"La participación de Coupang en la Logística de Comercio Electrónico es evidente en su enfoque en mejorar la experiencia del cliente a través de la entrega. El segmento de Comercio de Productos de la compañía se centra en ampliar la selección, reducir los precios y mejorar la entrega, lo que ha impulsado un crecimiento sostenido. El servicio Rocket Delivery de Coupang, habilitado por su exclusiva red integrada de extremo a extremo de cumplimiento, logística y tecnología, ofrece entrega gratuita al día siguiente. Además, Fulfillment and Logistics by Coupang (FLC) fortalece la experiencia de entrega de los productos del mercado y acelera el crecimiento de los vendedores, y Coupang invierte significativamente en la mejora de las herramientas y servicios de FLC.","[{'name': 'cpng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpng-Q225-10-Q.html'}]",475686899,USD,CPNG,SMART,STK,False,EL1
technology,electronic_commerce_logistics,KYG8208B1014,JD.COM INC-CLASS A,7,"Opera una extensa red logística patentada, que incluye servicios de almacenamiento y entrega de última milla, para respaldar sus operaciones de comercio electrónico a gran escala y mejorar la experiencia del cliente.",,,426228059,HKD,9618,SEHK,STK,False,EL1
technology,electronic_commerce_logistics,US36262G1013,GXO LOGISTICS INC,8,"Proporciona soluciones integrales de logística de comercio electrónico, que incluyen servicios de almacenamiento, cumplimiento y distribución, para respaldar las crecientes demandas del comercio minorista en línea.","GXO Logistics demuestra su participación en la logística del comercio electrónico a través de varias actividades clave. La compañía declara explícitamente que proporciona servicios de comercio electrónico, cumplimiento de pedidos y soluciones de cadena de suministro relacionadas, enfatizando su capacidad para ofrecer soluciones personalizadas y habilitadas por la tecnología. Este compromiso se ve aún más resaltado por la adquisición de PFSweb, una empresa de cumplimiento de pedidos de comercio electrónico, y el despliegue de aplicaciones de IA para mejorar las funciones del almacén para operaciones de comercio electrónico. Además, GXO ha experimentado un crecimiento sustancial en su sector de comercio electrónico, notando un aumento significativo año tras año en nuevos negocios ganados y un resurgimiento de proyectos de cumplimiento electrónico en varias regiones, con el 42% de las nuevas victorias provenientes del comercio electrónico.","[{'name': 'gxo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q225-10-Q.html'}, {'name': 'gxo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q324-10-Q.html'}, {'name': 'gxo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gxo-FY24-10-K.html'}, {'name': 'gxo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q125-10-Q.html'}]",502252244,USD,GXO,SMART,STK,True,EL1
technology,electronic_commerce_logistics,CH0025238863,KUEHNE + NAGEL INTL AG-REG,9,"Proporciona soluciones logísticas integrales que facilitan el almacenamiento, transporte y entrega de mercancías para minoristas en línea, apoyando el ecosistema global de comercio electrónico.",,,39106394,CHF,KNIN,SMART,STK,False,EL1
technology,electronic_commerce_logistics,JP3940000007,YAMATO HOLDINGS CO LTD,10,Proporciona servicios logísticos integrales que son esenciales para el funcionamiento eficiente y el crecimiento del sector del comercio electrónico.,,,13906040,JPY,9064,SMART,STK,False,EL1
