type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
agriculture,agribusiness,CH1300646267,BUNGE GLOBAL SA,1,"Desempeña un papel fundamental en la cadena de suministro global de agroindustria, conectando a los agricultores con los consumidores a través de sus extensas operaciones en el abastecimiento, procesamiento y distribución de productos básicos agrícolas como oleaginosas, granos, azúcar y biocombustibles.","La fuerte conexión de Bunge Global SA con el tema de los Agonegocios es evidente a través de sus operaciones comerciales principales. La empresa se identifica como un agroindustria global líder con operaciones integradas que abarcan desde el agricultor hasta el consumidor, participando activamente en la compra, almacenamiento, transporte, procesamiento y venta de materias primas agrícolas. Esto se ve reforzado aún más por la organización de la empresa en tres segmentos informables: Agribusiness, Refined and Specialty Oils y Milling, con el desempeño del segmento Agribusiness destacado de manera constante, incluidas sus ventas netas y EBIT. Además, la adquisición de Viterra por parte de Bunge, un importante actor del agroindustria, demuestra un movimiento estratégico para fortalecer su posición y abordar las necesidades de agricultores y consumidores en los mercados de alimentos, piensos y combustibles.","[{'name': 'bg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q324-10-Q.html'}, {'name': 'bg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q125-10-Q.html'}, {'name': 'bg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bg-Q225-10-Q.html'}, {'name': 'bg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bg-FY24-10-K.html'}]",663174498,USD,BG,SMART,STK,True
agriculture,agribusiness,US0394831020,ARCHER-DANIELS-MIDLAND CO,2,"Desempeña un papel central en el sector mundial de la agroindustria a través del procesamiento, transporte y comercialización de productos agrícolas.","La participación de ADM en el Agribusiness es evidente a través de su papel como gestor y procesador esencial de la cadena de suministro agrícola mundial, conectando las necesidades locales con las capacidades globales. La empresa origina y transporta productos agrícolas, llegando a mercados en más de 190 países, y procesa maíz, oleaginosas y trigo en diversos productos. Además, las operaciones de ADM se estructuran en tres segmentos, que incluyen Ag Services and Oilseeds y Carbohydrate Solutions, que son negocios principalmente basados en productos agrícolas. ADM también integra su modelo de negocio para generar valor en todo el ecosistema de producción.","[{'name': 'adm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q125-10-Q.html'}, {'name': 'adm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adm-FY24-10-K.html'}, {'name': 'adm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q225-10-Q.html'}, {'name': 'adm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q324-10-Q.html'}]",4165,USD,ADM,SMART,STK,True
agriculture,agribusiness,US2441991054,DEERE & CO,3,"Fabrica y distribuye una amplia gama de maquinaria y equipos agrícolas, sirviendo como proveedor fundamental de tecnología y soluciones para operaciones agrícolas y producción de alimentos a nivel mundial.","La conexión de Deere & Company con el tema de los Agribusiness es evidente a través de su negocio principal como líder mundial en la producción de equipos y soluciones agrícolas, sirviendo a clientes que proporcionan alimentos, combustible, ropa, vivienda e infraestructura. Las operaciones de la empresa se gestionan a través de segmentos como producción y agricultura de precisión, lo que pone de relieve un enfoque en la integración de la tecnología para mejorar la rentabilidad, la productividad y la sostenibilidad para sus clientes. El compromiso de Deere se demuestra aún más mediante inversiones en el desarrollo de nuevos productos, tecnologías de vanguardia y fabricación avanzada, junto con el reconocimiento de la importancia de la agricultura en las políticas comerciales.","[{'name': 'de-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q225-10-Q.html'}, {'name': 'de-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q125-10-Q.html'}, {'name': 'de-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q324-10-Q.html'}]",6393,USD,DE,SMART,STK,True
agriculture,agribusiness,US22052L1044,CORTEVA INC,4,"Desarrolla y comercializa productos de semillas y protección de cultivos, contribuyendo a la productividad agrícola y a la producción sostenible de alimentos a nivel mundial.","El negocio de Corteva está fundamentalmente ligado a la agroindustria, principalmente a través de sus segmentos de Semillas y Protección de Cultivos. La empresa se dedica a desarrollar y suministrar germoplasma y rasgos avanzados, ofreciendo soluciones de protección de cultivos y proporcionando soluciones digitales para mejorar la productividad y la rentabilidad de los agricultores. Este enfoque es evidente en las iniciativas estratégicas de Corteva, sus carteras de productos y su rendimiento en el mercado, con un claro énfasis en ofrecer innovación a los agricultores para fortalecer la seguridad alimentaria mundial y ayudarles a abordar los impactos del cambio climático. Las operaciones de la empresa abarcan toda la cadena de valor agrícola, desde el desarrollo de semillas hasta la protección de cultivos, lo que refleja su participación integral en la agroindustria.","[{'name': 'ctva-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctva-Q125-10-Q.html'}, {'name': 'ctva-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ctva-FY24-10-K.html'}, {'name': 'ctva-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctva-Q324-10-Q.html'}, {'name': 'ctva-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctva-Q225-10-Q.html'}]",366239371,USD,CTVA,SMART,STK,True
agriculture,agribusiness,US61945C1036,MOSAIC CO/THE,5,"Proporciona nutrientes esenciales para cultivos como la potasa y los fosfatos, que son fundamentales para la productividad agrícola mundial y la seguridad alimentaria.","El compromiso de Mosaic con el tema de la Agribusiness es evidente en sus operaciones principales, que abarcan la producción, distribución y venta de nutrientes para cultivos como fosfato y potasa. Las actividades de la compañía abarcan toda la cadena de valor agrícola, desde la extracción de materias primas hasta la fabricación y distribución de fertilizantes terminados a través de segmentos como Mosaic Fertilizantes. Con un fuerte enfoque en los fundamentos de los fertilizantes y el acceso al mercado, Mosaic se beneficia de una sólida demanda global y precios en aumento, particularmente en regiones clave de cultivo como Brasil, donde está expandiendo sus operaciones y mejorando la eficiencia de la producción.","[{'name': 'mos-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mos-Q324-10-Q.html'}, {'name': 'mos-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mos-Q225-10-Q.html'}, {'name': 'mos-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mos-Q125-10-Q.html'}]",88292752,USD,MOS,SMART,STK,True
agriculture,agribusiness,US1252691001,CF INDUSTRIES HOLDINGS INC,6,"Desempeña un papel crucial en el agronegocio mediante la fabricación y distribución de fertilizantes nitrogenados, insumos esenciales para la producción de cultivos y el suministro mundial de alimentos.","CF Industries está significativamente comprometida con el sector agropecuario a través de su producción y suministro de fertilizantes nitrogenados, que son esenciales para la producción de cultivos. La empresa enfatiza la importancia del nitrógeno para maximizar los rendimientos de los cultivos y monitorea de cerca factores como las expectativas de siembra de maíz y la economía de los agricultores, particularmente en América del Norte. El enfoque de CF Industries en el equilibrio de la oferta y la demanda de nitrógeno y la necesidad de reponer las existencias mundiales de maíz demuestra la alineación de la empresa con el tema agropecuario.",,35447205,USD,CF,SMART,STK,True
agriculture,agribusiness,DE000BAY0017,BAYER AG-REG,7,"Desarrolla y proporciona soluciones agrícolas innovadoras, incluyendo productos para la protección de cultivos, semillas y herramientas de agricultura digital, para apoyar la producción sostenible de alimentos y mejorar los rendimientos de los cultivos a nivel mundial.",,,68598660,EUR,BAYN,SMART,STK,False
agriculture,agribusiness,US8115431079,SEABOARD CORP,8,"Impulsa el sector agroalimentario a través de su amplia participación en la producción y procesamiento de carne de cerdo, la molienda de granos y piensos, el refinado de azúcar y el comercio mundial de materias primas.","La participación de Seaboard en el agronegocio es evidente a través de su segmento CT&M, que proporciona servicios integrados de comercio, procesamiento y logística de productos agrícolas, obteniendo materias primas de diversos orígenes y entregándolas internacionalmente. El segmento de carne de cerdo de la empresa, que produce cerdos y vende productos de carne de cerdo, y su inversión en Butterball, un productor de pavos, contribuyen aún más a sus actividades de agronegocio. Además, el rendimiento financiero de Seaboard se ve influenciado por factores como los costos de las materias primas de granos y los precios de la carne de cerdo, lo que demuestra la relevancia del agronegocio para sus operaciones comerciales generales, particularmente dentro del segmento CT&M que maneja grandes envíos de granos.","[{'name': 'seb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/seb-FY24-10-K.html'}, {'name': 'seb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/seb-Q125-10-Q.html'}]",756577,USD,SEB,SMART,STK,False
agriculture,agribusiness,CA67077M1086,NUTRIEN LTD,9,"Desempeña un papel fundamental en la agroindustria mundial al proporcionar nutrientes esenciales para los cultivos, servicios y soluciones que apoyan la productividad agrícola y la producción sostenible de alimentos en todo el mundo.",,,301035664,CAD,NTR,SMART,STK,False
agriculture,agribusiness,US4778391049,JBT MAREL CORP,10,Se enfoca en la entrega de soluciones y equipos tecnológicos que apoyan la eficiencia y sostenibilidad de las operaciones de procesamiento de alimentos dentro del sector agroindustrial.,"JBT Marel Corporation está muy involucrada en el tema de Agribusiness, ya que se identifica como un proveedor líder mundial de soluciones tecnológicas para alimentos y bebidas. La empresa diseña, fabrica y presta servicios de tecnología, sistemas y software para una amplia gama de mercados finales de alimentos y bebidas. Esto se demuestra aún más con la adquisición de Marel hf., una empresa de procesamiento de alimentos centrada en las industrias avícola, cárnica, pesquera y de alimentos para mascotas, y la continua inversión en equipos de la industria avícola, el mercado final más grande de la empresa.","[{'name': 'jbtm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbtm-Q324-10-Q.html'}, {'name': 'jbtm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jbtm-FY24-10-K.html'}]",52619008,USD,JBTM,SMART,STK,True
