industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
EM,AUD,AAPL,entertainment and media,audio_solutions,US0378331005,APPLE INC,1,"Impulsa la innovación y la expansión del mercado en tecnologías de audio, ofreciendo experiencias de sonido integradas a través de una gama completa de soluciones de hardware y software.","La participación de Apple en Audio Solutions es evidente a través de la introducción de nuevas funciones en la última línea de AirPods, ampliando sus capacidades desde la grabación de audio con calidad de estudio hasta servir como control remoto de cámara. Estos avances tienen como objetivo proporcionar a los usuarios herramientas más potentes para la creación de contenido y la conectividad. Además, la compañía ha integrado funciones de salud auditiva en los AirPods Pro 2, lo que refleja un compromiso con la mejora de la experiencia de audio y la satisfacción general del usuario.",265598,USD,SMART,STK,
EM,AUD,005930,entertainment and media,audio_solutions,KR7005930003,SAMSUNG ELECTRONICS CO LTD,2,"Desarrolla y fabrica una amplia gama de dispositivos de audio y tecnologías de sonido integradas, contribuyendo significativamente al mercado global de soluciones de audio a través de productos como auriculares, barras de sonido y sistemas de audio inteligentes.",,17382528,KRW,KSE,STK,
EM,AUD,DLB,entertainment and media,audio_solutions,US25659T1079,DOLBY LABORATORIES INC-CL A,3,Desarrolla y licencia tecnologías de audio avanzadas que mejoran la calidad del sonido y las experiencias inmersivas en una amplia gama de plataformas de entretenimiento y comunicación.,"El negocio principal de Dolby se centra en soluciones de audio, como lo demuestra su enfoque en la invención e innovación de tecnologías que avanzan la captura, transmisión y reproducción de audio. Tecnologías emblemáticas como Dolby Atmos y códecs de audio de marca como DD+ y Dolby AC-4 son componentes clave de sus ofertas, lo que permite experiencias de audio atractivas en varios dispositivos y formatos de contenido. El enfoque de la empresa en expandir su liderazgo en soluciones de audio e imagen para contenido de entretenimiento premium es evidente a través de asociaciones con creadores, distribuidores y fabricantes de dispositivos, así como la integración de Dolby Atmos en música, deportes, películas, automoción y PC. Además, los códecs de audio de marca de Dolby tienen una amplia penetración en un conjunto diverso de dispositivos y mercados finales.",33205673,USD,SMART,STK,"[{'name': 'dlb-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlb-Q325-10-Q.html'}, {'name': 'dlb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlb-Q125-10-Q.html'}, {'name': 'dlb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dlb-Q225-10-Q.html'}, {'name': 'dlb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dlb-FY24-10-K.html'}]"
EM,AUD,6758,entertainment and media,audio_solutions,JP3435000009,SONY GROUP CORP,4,"Desarrolla y fabrica una amplia gama de productos de audio, incluyendo auriculares, altavoces y equipos de audio profesional, avanzando en la tecnología del sonido y la experiencia del usuario.",,13905705,JPY,SMART,STK,
EM,AUD,CRUS,entertainment and media,audio_solutions,US1727551004,CIRRUS LOGIC INC,5,"Desarrolla y suministra circuitos integrados y software de audio avanzados, lo que permite experiencias de audio de alto rendimiento en diversas aplicaciones de consumo y automotrices.","Cirrus Logic enfatiza su compromiso de mantener su posición de liderazgo en audio para smartphones, que es central para la estrategia a largo plazo de la empresa y un motor de ingresos principal. El enfoque de la empresa es evidente en su desarrollo y envío de productos de audio de nueva generación, como amplificadores potenciados personalizados y códecs inteligentes, y sus esfuerzos para expandirse a nuevos mercados como el automotriz y el de audio profesional. Además, la línea de productos de audio de la empresa ha mostrado ventas significativas, con un aumento notable impulsado por los productos de última generación y mayores volúmenes de smartphones, lo que destaca la importancia de las soluciones de audio para el negocio general de la empresa.",268057,USD,SMART,STK,"[{'name': 'crus-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crus-Q126-10-Q.html'}, {'name': 'crus-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crus-Q225-10-Q.html'}, {'name': 'crus-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crus-Q325-10-Q.html'}, {'name': 'crus-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crus-FY25-10-K.html'}]"
EM,AUD,SONO,entertainment and media,audio_solutions,US83570H1086,SONOS INC,6,"Ofrece una amplia gama de sistemas de sonido para el hogar inalámbricos multi-habitación, altavoces y componentes, permitiendo experiencias de audio inmersivas y soluciones de sonido inteligentes para los consumidores.","El negocio de Sonos se centra en gran medida en soluciones de audio, como lo demuestra su enfoque en altavoces Sonos, productos del sistema Sonos y auriculares. La compañía genera sustancialmente todos sus ingresos de estos productos y se identifica como una marca líder en experiencias de sonido, pionera en audio inalámbrico multi-habitación. Sonos continúa innovando en el espacio del audio, presentando productos como la barra de sonido Arc Ultra con tecnología Sound Motion y el subwoofer Sub 4, al tiempo que mantiene una sólida posición en poder de patentes para la electrónica de consumo.",328204984,USD,SMART,STK,"[{'name': 'sono-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sono-Q125-10-Q.html'}, {'name': 'sono-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sono-Q225-10-Q.html'}, {'name': 'sono-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sono-Q325-10-Q.html'}, {'name': 'sono-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sono-FY24-10-K.html'}]"
EM,AUD,SIRI,entertainment and media,audio_solutions,US8299331004,SIRIUS XM HOLDINGS INC,7,"Proporciona servicios de radio satelital y audio en streaming, ofreciendo una diversa gama de contenido de entretenimiento, noticias, deportes y tertulias a suscriptores en varias plataformas.","El compromiso de SiriusXM con las Soluciones de Audio es evidente a través de la operación de dos negocios principales de entretenimiento de audio, SiriusXM y Pandora. SiriusXM ofrece una diversa gama de contenido de audio, que incluye música, deportes, entretenimiento, comedia, talk shows, noticias, podcasts e infoentretenimiento, mientras que Pandora ofrece una plataforma de streaming de música, comedia y podcasts personalizada accesible a través de varios dispositivos. Además, SiriusXM está trabajando activamente para mejorar la representación del audio dentro de los modelos de mezcla de medios y está aprovechando réplicas de voz con IA para mejorar la creatividad de los anuncios de audio, demostrando un compromiso con el avance de las capacidades de publicidad de audio.",727785544,USD,SMART,STK,"[{'name': 'siri-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/siri-Q125-10-Q.html'}, {'name': 'siri-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/siri-Q225-10-Q.html'}]"
EM,AUD,KN,entertainment and media,audio_solutions,US49926D1090,KNOWLES CORP,8,Desarrolla y suministra soluciones avanzadas de microacústica y procesamiento de audio que permiten experiencias de audio de alto rendimiento en una amplia gama de dispositivos.,"La participación de Knowles en Soluciones de Audio es evidente a través de su papel como proveedor global, que fabrica altavoces de armadura balanceada y micrófonos medtech avanzados. El segmento MSA de la compañía diseña y fabrica estos altavoces y micrófonos, que son integrales para los mercados de salud auditiva y audio premium. Además, la compañía envía latas metálicas dentro del mercado de audio especializado, con aumentos de ingresos atribuidos a mayores volúmenes de envío en este sector. La dedicación de Knowles a las soluciones de audio también se refleja en el segmento MedTech & Specialty Audio, que ha experimentado un crecimiento de ingresos.",143926983,USD,SMART,STK,"[{'name': 'kn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kn-Q225-10-Q.html'}, {'name': 'kn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kn-Q324-10-Q.html'}, {'name': 'kn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kn-FY24-10-K.html'}, {'name': 'kn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kn-Q125-10-Q.html'}]"
EM,AUD,003550,entertainment and media,audio_solutions,KR7003550001,LG CORP,9,"Desarrolla y ofrece una variedad de productos y tecnologías de audio, contribuyendo al mercado general de soluciones de audio.",,17382442,KRW,KSE,STK,
EM,AUD,WMG,entertainment and media,audio_solutions,US9345502036,WARNER MUSIC GROUP CORP-CL A,10,"Juega un papel fundamental en la industria de las soluciones de audio a través de la producción, distribución y monetización de un vasto catálogo de música grabada en diversas plataformas.","El compromiso de WMG con Audio Solutions se refleja en el lanzamiento de WMG Pulse, una aplicación que proporciona información en tiempo real de los principales Proveedores de Servicios Digitales (DSP) y plataformas de redes sociales. Esta aplicación proporciona a los artistas datos transaccionales relacionados con sus álbumes, transmisiones, audiencias e ingresos, actuando como un copiloto para sus carreras. Al ofrecer retroalimentación basada en datos, WMG Pulse tiene como objetivo mejorar el sonido y la música, proporcionando a los artistas información valiosa para fundamentar sus decisiones creativas y estratégicas.",424890313,USD,SMART,STK,
