type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
agriculture,sustainable_agriculture,US2441991054,DEERE & CO,1,"Ofrece maquinaria y tecnología agrícola avanzada que permite a los agricultores implementar prácticas sostenibles, optimizar el uso de recursos y mejorar la productividad minimizando el impacto ambiental.",,6393,USD,DE,SMART,STK,True,
agriculture,sustainable_agriculture,DE000BAY0017,BAYER AG-REG,2,"Desarrolla y proporciona semillas innovadoras, productos para la protección de cultivos y soluciones de agricultura digital que apoyan prácticas agrícolas sostenibles, con el objetivo de mejorar la productividad, reducir el impacto ambiental y mejorar la seguridad alimentaria a nivel mundial.",,68598660,EUR,BAYN,SMART,STK,False,
agriculture,sustainable_agriculture,US0394831020,ARCHER-DANIELS-MIDLAND CO,3,"Impulsa la agricultura sostenible integrando prácticas ambientalmente responsables en toda su cadena de valor global, abarcando el abastecimiento, procesamiento y distribución de productos agrícolas.","La sostenibilidad es un componente clave de la estrategia de crecimiento de ADM, como lo demuestra su dedicación a la gestión responsable de la tierra y el apoyo a los agricultores. El compromiso de ADM incluye políticas de protección de bosques, biodiversidad y comunidades, junto con esfuerzos para conservar recursos, reducir emisiones y promover el desarrollo sostenible. La compañía tiene como objetivo liderar en sostenibilidad mediante la descarbonización de las cadenas de valor y la satisfacción de la demanda de los consumidores de ingredientes de origen sostenible, solidificando aún más su enfoque a través de la innovación y las acciones de cartera.",4165,USD,ADM,SMART,STK,True,"[{'name': 'adm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q225-10-Q.html'}, {'name': 'adm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adm-Q324-10-Q.html'}, {'name': 'adm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/adm-FY24-10-K.html'}]"
agriculture,sustainable_agriculture,CA67077M1086,NUTRIEN LTD,4,Proporciona insumos esenciales para cultivos y servicios agrícolas que permiten la producción sostenible de alimentos y optimizan la eficiencia de los recursos para los agricultores a nivel mundial.,,301035664,CAD,NTR,SMART,STK,False,
agriculture,sustainable_agriculture,US22052L1044,CORTEVA INC,5,Se enfoca en el desarrollo de soluciones y tecnologías agrícolas innovadoras que mejoran la productividad de los cultivos al tiempo que promueven la gestión ambiental y las prácticas agrícolas sostenibles a nivel mundial.,"Corteva se enfoca en la agricultura sostenible al ofrecer soluciones diferenciadas y con ventajas sostenibles a los agricultores, lo que fortalece la seguridad alimentaria mundial y ayuda a los agricultores a abordar los impactos del cambio climático. La empresa tiene como objetivo explícito proporcionar soluciones más sostenibles, demostrando un compromiso con las prácticas de agricultura sostenible. Esta estrategia refleja la intención de Corteva de mejorar el valor y la productividad para los agricultores a través de enfoques sostenibles.",366239371,USD,CTVA,SMART,STK,True,"[{'name': 'ctva-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ctva-FY24-10-K.html'}]"
agriculture,sustainable_agriculture,US7134481081,PEPSICO INC,6,Participa activamente en iniciativas para promover prácticas agrícolas ambientalmente responsables y asegurar una cadena de suministro sostenible para sus materias primas agrícolas.,"PepsiCo enfatiza su papel como líder en alimentos y agricultura mediante la inversión en agricultura regenerativa, programas de capacitación y tecnologías innovadoras para apoyar a los agricultores en la adaptación al cambio climático. Este enfoque se considera fundamental para fortalecer la cadena de suministro y mejorar la resiliencia de la empresa, lo que en última instancia posiciona a PepsiCo para ofrecer valor a largo plazo a sus accionistas. La participación directa de la empresa en la mejora de las prácticas agrícolas destaca su compromiso con la sostenibilidad y la resiliencia dentro de sus operaciones.",11017,USD,PEP,SMART,STK,True,"[{'name': 'pep-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pep-FY24-10-K.html'}]"
agriculture,sustainable_agriculture,CH1300646267,BUNGE GLOBAL SA,7,Integra principios de Agricultura Sostenible en sus operaciones.,,663174498,USD,BG,SMART,STK,True,
agriculture,sustainable_agriculture,NO0010208051,YARA INTERNATIONAL ASA,8,"Proporciona soluciones de nutrición de cultivos y herramientas de agricultura digital que permiten a los agricultores optimizar el uso de recursos, reducir el impacto ambiental y mejorar los rendimientos de manera sostenible.",,28069521,NOK,YAR,SMART,STK,False,
agriculture,sustainable_agriculture,US61945C1036,MOSAIC CO/THE,9,"Proporciona nutrientes esenciales para cultivos, incluyendo fosfatos y potasa, que son fundamentales para mejorar la salud del suelo y aumentar la productividad agrícola, apoyando así las prácticas agrícolas sostenibles a nivel mundial.",,88292752,USD,MOS,SMART,STK,True,
agriculture,sustainable_agriculture,US1252691001,CF INDUSTRIES HOLDINGS INC,10,Contribuye a la agricultura sostenible al proporcionar fertilizantes nitrogenados esenciales que mejoran los rendimientos de los cultivos y apoyan la producción mundial de alimentos.,,35447205,USD,CF,SMART,STK,True,
