symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
LMT,DA,MIL,defense and aerospace,military_applications,US5398301094,LOCKHEED MARTIN CORP,1,"Desarrolla y fabrica sistemas avanzados de defensa, aviones, misiles y tecnología espacial, sirviendo como un proveedor principal de aplicaciones militares a nivel mundial.","La empresa demuestra una fuerte conexión con aplicaciones militares, como lo demuestra su negocio principal como empresa aeroespacial y de defensa global dedicada a la investigación, diseño, desarrollo, fabricación y sostenimiento de sistemas, productos y servicios de tecnología avanzada tanto para clientes de EE. UU. como internacionales. Una parte importante de los ingresos de la empresa proviene del Gobierno de EE. UU., en particular del Departamento de Defensa, y su segmento de negocio de Aeronáutica participa activamente en el soporte y la mejora de aviones militares avanzados. Además, la empresa busca constantemente nuevas adjudicaciones de programas para fortalecer la defensa nacional y promover la seguridad global, con productos como JASSM y LRASM diseñados explícitamente para aplicaciones militares.","[{'name': 'lmt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q125-10-Q.html'}, {'name': 'lmt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lmt-Q324-10-Q.html'}, {'name': 'lmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lmt-FY24-10-K.html'}]",611191,USD,SMART,STK
GD,DA,MIL,defense and aerospace,military_applications,US3695501086,GENERAL DYNAMICS CORP,2,"Proporciona aplicaciones militares críticas, que abarcan sistemas de combate avanzados, buques navales, soluciones aeroespaciales y servicios de TI para la defensa global.","El compromiso de General Dynamics con las aplicaciones militares es evidente a través de su identidad como empresa aeroespacial y de defensa mundial, que ofrece una gama de productos y servicios que incluyen vehículos de combate terrestre, sistemas de armas y municiones. Una parte importante de los ingresos de la empresa, aproximadamente el 70%, se deriva del trabajo para el gobierno de EE. UU., en particular del gasto en defensa. Esto está respaldado además por la participación de la empresa en la construcción e ingeniería de barcos de la Armada de EE. UU., así como en varios programas militares en sus segmentos, con una mayor demanda de productos de artillería y un mayor volumen en los programas de submarinos que contribuyen al crecimiento de los ingresos.","[{'name': 'gd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q125-10-Q.html'}, {'name': 'gd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q324-10-Q.html'}, {'name': 'gd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gd-FY24-10-K.html'}, {'name': 'gd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gd-Q225-10-Q.html'}]",7496,USD,SMART,STK
NOC,DA,MIL,defense and aerospace,military_applications,US6668071029,NORTHROP GRUMMAN CORP,3,"Desarrolla y fabrica sistemas de defensa avanzados, aeronaves y tecnologías críticas para la seguridad nacional y las operaciones militares a nivel mundial.","El fuerte alineamiento de Northrop Grumman con las aplicaciones militares es evidente en su papel como una empresa líder mundial en tecnología aeroespacial y de defensa, que ofrece una amplia gama de productos, servicios y soluciones principalmente al Departamento de Defensa de EE. UU. y a la comunidad de inteligencia. La cartera de la empresa está estratégicamente alineada con las prioridades de seguridad nacional, equipando a los clientes con capacidades esenciales y apoyando una fuerte disuasión y defensa. La experiencia de Northrop Grumman en áreas como el espacio, C4ISR, defensa antimisiles, armas avanzadas y disuasión estratégica la posiciona como un proveedor clave de soluciones para amenazas actuales y futuras, solidificando aún más su enfoque en aplicaciones militares.","[{'name': 'noc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/noc-FY24-10-K.html'}, {'name': 'noc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/noc-Q324-10-Q.html'}]",10376,USD,SMART,STK
RTX,DA,MIL,defense and aerospace,military_applications,US75513E1010,RTX CORP,4,"Proporciona sistemas, productos y servicios avanzados esenciales para las operaciones globales de defensa, seguridad y militares, cubriendo un amplio espectro desde soluciones aeroespaciales hasta de inteligencia.","El fuerte compromiso de RTX con las aplicaciones militares es evidente a través de su negocio de defensa, que opera como contratista principal o subcontratista para una amplia cartera de programas de defensa que sirven a clientes gubernamentales nacionales e internacionales. Esto se ve respaldado además por importantes pedidos, incluidos los del Centro de Operaciones Aéreas Supervivientes de próxima generación de la Fuerza Aérea de EE. UU. y varios programas de Pratt & Whitney como el sostenimiento de F117 y F135. Además, una parte sustancial de las ventas netas totales de RTX está directamente ligada a aplicaciones militares a través de ventas al gobierno de EE. UU., ventas militares extranjeras y ventas comerciales directas a gobiernos extranjeros.","[{'name': 'rtx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rtx-Q324-10-Q.html'}, {'name': 'rtx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rtx-FY24-10-K.html'}]",415342104,USD,SMART,STK
BA.,DA,MIL,defense and aerospace,military_applications,GB0002634946,BAE SYSTEMS PLC,5,"Proporciona una amplia gama de soluciones avanzadas de defensa y seguridad, incluidas plataformas militares, sistemas electrónicos y servicios de ciberseguridad, cruciales para la defensa nacional y las operaciones militares a nivel mundial.",,,908964,GBP,SMART,STK
HO,DA,MIL,defense and aerospace,military_applications,FR0000121329,THALES SA,6,"Proporciona sistemas, equipos y servicios avanzados que son críticos para las operaciones militares y las capacidades de defensa en varias naciones.",,,917799,EUR,SMART,STK
RHM,DA,MIL,defense and aerospace,military_applications,DE0007030009,RHEINMETALL AG,7,"Desarrolla y fabrica una cartera integral de productos de defensa, que incluyen vehículos, armas, municiones y sistemas electrónicos, al servicio de las fuerzas militares a nivel mundial.",,,15085,EUR,SMART,STK
LHX,DA,MIL,defense and aerospace,military_applications,US5024311095,L3HARRIS TECHNOLOGIES INC,8,"Desarrolla e integra sistemas y tecnologías avanzadas de defensa y aeroespacial, desempeñando un papel crucial en las operaciones militares y la seguridad nacional en todo el mundo.","El compromiso de L3Harris Technologies con el tema de Aplicaciones Militares es evidente en su enfoque en la entrega de soluciones tecnológicas de extremo a extremo en los dominios espacial, aéreo, terrestre, marítimo y cibernético, específicamente en interés de la seguridad nacional y global. La empresa se identifica explícitamente como un 'Disruptor de Confianza' dentro de la industria de defensa, enfatizando su compromiso con las necesidades críticas de las misiones de los clientes. Una parte significativa de los ingresos de la empresa se deriva de las ventas a clientes del gobierno de EE. UU., lo que solidifica aún más su posición en aplicaciones militares, ya que la empresa apoya a clientes gubernamentales en más de 100 países, incluidos varios departamentos y agencias del gobierno de EE. UU., sus contratistas principales y aliados internacionales.","[{'name': 'lhx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q324-10-Q.html'}, {'name': 'lhx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lhx-Q125-10-Q.html'}, {'name': 'lhx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lhx-FY24-10-K.html'}]",371886040,USD,SMART,STK
BA,DA,MIL,defense and aerospace,military_applications,US0970231058,BOEING CO/THE,9,"Diseña, fabrica y da soporte a una cartera integral de aviones militares avanzados, sistemas de defensa y tecnologías relacionadas, desempeñando un papel fundamental en aplicaciones militares globales.","La participación de Boeing en el tema de Aplicaciones Militares es evidente a través del diseño, desarrollo, fabricación, venta, servicio y soporte de aeronaves militares, así como su participación en aeronaves militares, satélites, defensa antimisiles y sistemas de lanzamiento. La empresa es líder del mercado mundial en aeronaves militares y ve una demanda estable, lo que refleja el importante papel que sus productos y servicios desempeñan en la garantía de la seguridad nacional. Programas militares específicos como el KC-46A Tanker, P-8A Poseidon, F/A-18, F-15, T-7A Red Hawk, CH-47 Chinook y AH-64 Apache destacan la aplicación de la tecnología aeroespacial de Boeing para fines militares, aunque una interrupción laboral que afectó la producción del KC-46A Tanker y el P-8A Poseidon ha afectado las entregas y el rendimiento financiero.","[{'name': 'ba-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ba-Q324-10-Q.html'}, {'name': 'ba-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ba-FY24-10-K.html'}]",4762,USD,SMART,STK
LDO,DA,MIL,defense and aerospace,military_applications,IT0003856405,LEONARDO SPA,10,"Es un contribuyente significativo al tema de Aplicaciones Militares, proporcionando soluciones y sistemas avanzados vitales para las operaciones de defensa y seguridad a nivel mundial.",,,35162453,EUR,SMART,STK
