industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
TL,MA1,MAERSK.B,unclassified,maritime_routes,DK0010244508,AP MOLLER-MAERSK A/S-B,1,"Opera extensas rutas de envío globales como un componente central de su negocio de logística integrada, facilitando el comercio internacional y las cadenas de suministro.",,12605265,DKK,SMART,STK,
TL,MA1,1919,unclassified,maritime_routes,CNE1000002J7,COSCO SHIPPING HOLDINGS CO-H,2,"Opera una vasta red de rutas marítimas, sirviendo como un facilitador crítico del comercio internacional y la conectividad de la cadena de suministro global.",,46636761,HKD,SEHK,STK,
TL,MA1,9101,unclassified,maritime_routes,JP3753000003,NIPPON YUSEN KK,3,"Opera y gestiona una extensa red global de rutas marítimas, proporcionando servicios esenciales de transporte marítimo que sustentan el comercio internacional y las cadenas de suministro.",,13906045,JPY,SMART,STK,
TL,MA1,9104,unclassified,maritime_routes,JP3362700001,MITSUI OSK LINES LTD,4,"Opera una extensa red global de rutas de envío, facilitando el comercio internacional y conectando los principales puertos del mundo.",,13906050,JPY,SMART,STK,
TL,MA1,ZIM,unclassified,maritime_routes,IL0065100930,ZIM INTEGRATED SHIPPING SERV,5,"Opera extensas rutas de envío a nivel mundial, facilitando el comercio internacional y el movimiento de carga a través de diversas rutas marítimas.","ZIM, como empresa naviera de contenedores a nivel mundial, depende de rutas marítimas establecidas para sus operaciones, haciendo escala en más de 330 puertos y sirviendo a más de 30.000 clientes en todo el mundo con su flota de 126 buques portacontenedores. La empresa adapta activamente su red Transpacífica para tener en cuenta los cambios en el flujo de carga y ajusta su red y rotaciones de servicio en respuesta a las cambiantes condiciones del mercado. Las rutas comerciales globales y la realineación de la red de ZIM son cruciales, especialmente dado el impacto de eventos como la situación del Mar Rojo, que afecta la capacidad y requiere ajustes de red en varios comercios y rutas comerciales globales, incluida la red Transpacífica y América Latina.",468091282,USD,SMART,STK,
TL,MA1,MATX,unclassified,maritime_routes,US57686G1058,MATSON INC,6,"Opera rutas de envío esenciales, facilitando el transporte de mercancías y apoyando la logística de la cadena de suministro global.","El negocio de Matson se ve significativamente influenciado por las rutas de envío, como lo demuestra la gestión de su volumen de contenedores en ubicaciones clave como Hawái, China, Guam y Alaska. El enfoque de la compañía en servicios oceánicos acelerados como CLX y MAX en la región Transpacífica resalta su dependencia de estas rutas. Además, las expectativas financieras de Matson para el ingreso operativo de Transporte Oceánico están estrechamente ligadas a la normalización del flujo comercial en el Mar Rojo y otros factores geopolíticos, lo que demuestra la importancia de carriles de envío estables y eficientes para sus operaciones. El volumen de contenedores de la compañía en el servicio de Hawái en el tercer trimestre de 2024 fue un 2.2 por ciento menor año tras año.",108649896,USD,SMART,STK,"[{'name': 'matx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/matx-Q324-10-Q.html'}, {'name': 'matx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/matx-FY24-10-K.html'}]"
TL,MA1,STNG,unclassified,maritime_routes,MHY7542C1306,SCORPIO TANKERS INC,7,Gestiona una flota de buques que utilizan rutas de transporte marítimo globales para el transporte de diversos cargamentos líquidos.,,349869083,USD,SMART,STK,
TL,MA1,INSW,unclassified,maritime_routes,MHY410531021,INTERNATIONAL SEAWAYS INC,8,"Opera una flota de petroleros de crudo y productos, utilizando rutas de transporte marítimo globales establecidas para transportar materias primas energéticas en todo el mundo.","International Seaways reconoce la importancia de las rutas de transporte marítimo debido a su impacto en el comercio y la demanda de buques cisterna, ya que la empresa considera activamente los cambios en los patrones comerciales y el entorno geopolítico que afectan a estas rutas, incluidas las discusiones sobre el Estrecho de Ormuz. La perspectiva constructiva de la empresa sobre las rutas de transporte marítimo se ve respaldada por las discusiones sobre los impulsores de la demanda de buques cisterna y el transporte marítimo. Además, se considera la influencia del crecimiento de la capacidad de refinación al este de Suez en la demanda de toneladas-milla de productos refinados.",254791638,USD,SMART,STK,
TL,MA1,SBLK,unclassified,maritime_routes,MHY8162K2046,STAR BULK CARRIERS CORP,9,"Utiliza rutas de envío globales para el transporte de productos secos a granel, contribuyendo así a la infraestructura y funcionalidad del comercio marítimo internacional.",,236994457,USD,SMART,STK,
TL,MA1,D8EN,unclassified,maritime_routes,MHY2065G1219,DHT HOLDINGS INC,10,Opera una flota de buques cisterna de petróleo crudo que utilizan rutas marítimas globales para el transporte internacional de recursos energéticos.,,110322263,EUR,SMART,STK,
TL,MA1,LPG,unclassified,maritime_routes,MHY2106R1100,DORIAN LPG LTD,11,Opera una flota de modernos Graneleros de Gas (VLGC) que facilitan el transporte global de gas licuado de petróleo (GLP) a través de rutas marítimas clave.,,150632114,USD,SMART,STK,
TL,MA1,TNK,unclassified,maritime_routes,BMG8726X1065,TEEKAY TANKERS LTD-CLASS A,12,Opera una flota de buques cisterna a través de rutas de envío globales para el transporte de petróleo crudo y productos petrolíferos refinados.,,732027252,USD,SMART,STK,
TL,MA1,CMRE,unclassified,maritime_routes,MHY1771G1026,COSTAMARE INC,13,Implica la operación de una flota diversa de buques portacontenedores y de carga seca a granel que utilizan rutas marítimas globales para transportar mercancías.,,80627441,USD,SMART,STK,
TL,MA1,DAC,unclassified,maritime_routes,MHY1968P1218,DANAOS CORP,14,Utiliza rutas de envío globales como vías esenciales para sus actividades operativas.,"El compromiso de la empresa con el tema de las Rutas Marítimas es evidente a través de su monitoreo activo de las rutas marítimas globales en busca de interrupciones, aunque no se observaron nuevas interrupciones en el último trimestre. Este monitoreo incluye atención específica al paso del Mar Rojo, con expectativas de que no haya cambios significativos en la segunda mitad de 2025, lo que refleja una conciencia y preocupación por la estabilidad de las rutas marítimas.",362047735,USD,SMART,STK,
