industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
EU,ENE_15,WSP,energy and utilities,energy_consulting,CA92938W2022,WSP GLOBAL INC,1,"Proporciona experiencia global líder y servicios integrales de consultoría en todo el sector energético, influyendo en el desarrollo de proyectos críticos e iniciativas estratégicas.",,141225089,CAD,SMART,STK,
EU,ENE_15,J,energy and utilities,energy_consulting,US46982L1089,JACOBS SOLUTIONS INC,2,"Proporciona servicios integrales de consultoría en todo el sector energético, apoyando a los clientes en la navegación de desafíos complejos y la optimización del rendimiento para diversos proyectos e iniciativas energéticas.",,582332987,USD,SMART,STK,
EU,ENE_15,ACM,energy and utilities,energy_consulting,US00766T1007,AECOM,3,"Proporciona amplios servicios de consultoría en todo el sector energético, apoyando a los clientes en la planificación estratégica, el desarrollo de proyectos y la optimización operativa.","AECOM proporciona servicios de asesoramiento, planificación y consultoría a clientes públicos y privados en América y a nivel internacional, con un enfoque en los principales mercados finales como la energía. Los segmentos de América e Internacional de la empresa ofrecen estos servicios dentro del sector energético. Si bien AECOM proporciona servicios de asesoramiento en el mercado energético, no hay evidencia explícita de ofertas de consultoría únicas o contribuciones de ingresos específicas de estos servicios.",43980401,USD,SMART,STK,"[{'name': 'acm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acm-Q125-10-Q.html'}, {'name': 'acm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acm-Q325-10-Q.html'}, {'name': 'acm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acm-FY24-10-K.html'}]"
EU,ENE_15,TTEK,energy and utilities,energy_consulting,US88162G1031,TETRA TECH INC,4,"Proporciona servicios integrales de consultoría e ingeniería para proyectos energéticos críticos, que abarcan el desarrollo de energías renovables, la modernización de la infraestructura eléctrica y soluciones de eficiencia energética para clientes gubernamentales y comerciales.",,275920,USD,SMART,STK,
EU,ENE_15,ICFI,energy and utilities,energy_consulting,US44925C1036,ICF INTERNATIONAL INC,5,"Proporciona servicios de consultoría experta dentro del sector energético, abordando aspectos de políticas, eficiencia y transiciones energéticas sostenibles.","ICF demuestra su participación en la consultoría energética a través de sus servicios de asesoramiento energético, que incluyen análisis de restricciones de combustible y pronóstico de precios. Esto está respaldado además por un aumento secuencial de los ingresos en la práctica de asesoramiento energético de ICF, impulsado por proyectos de ingeniería de redes y nuevas adjudicaciones de negocios, que abarcan la planificación de la transformación de redes, el desarrollo de energías renovables y el apoyo a fusiones y adquisiciones. Reforzando este enfoque, ICF adquirió AEG, una empresa de tecnología y servicios de asesoramiento energético, por $59.9 millones, mejorando su oferta de servicios a empresas de servicios públicos de electricidad y gas, gobiernos estatales y locales, y oficinas de energía estatales.",40784309,USD,SMART,STK,"[{'name': 'icfi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/icfi-Q225-10-Q.html'}]"
EU,ENE_15,WLDN,energy and utilities,energy_consulting,US96924N1000,WILLDAN GROUP INC,6,"Proporciona servicios integrales de consultoría energética, incluidos programas de eficiencia energética, planificación de infraestructuras y cumplimiento normativo, a empresas de servicios públicos, municipios y clientes comerciales.","La empresa demuestra su compromiso con el tema de Consultoría Energética a través de la prestación de servicios profesionales, técnicos y de consultoría a empresas de servicios públicos, industrias privadas y agencias públicas, con un enfoque en la mejora de la eficiencia y la sostenibilidad en energía e infraestructura. Esto se ve reforzado por la adquisición de Enica, una empresa de eficiencia energética que ofrece una gama de servicios en torno a proyectos energéticos, medición y consultoría para impulsar la eficiencia energética, la descarbonización y la reducción del consumo de energía para sus clientes. El segmento de Energía de la empresa ofrece soluciones energéticas especializadas e integrales, ayudando a los clientes a optimizar el gasto en energía a través de estrategias personalizadas, eficientes y rentables, incluidos servicios de asesoramiento en políticas.",41147850,USD,SMART,STK,"[{'name': 'wldn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wldn-FY24-10-K.html'}]"
EU,ENE_15,AMRC,energy and utilities,energy_consulting,US02361E1082,AMERESCO INC-CL A,7,Ofrece servicios de consultoría energética como parte central de sus operaciones.,,77456695,USD,SMART,STK,
EU,ENE_15,CRAI,energy and utilities,energy_consulting,US12618T1051,CRA INTERNATIONAL INC,8,Ofrece experiencia y servicios de asesoramiento a clientes que operan en el sector energético.,,4728547,USD,SMART,STK,
EU,ENE_15,EXPO,energy and utilities,energy_consulting,US30214U1025,EXPONENT INC,9,Ofrece experiencia en el dominio de Consultoría Energética.,,4730398,USD,SMART,STK,
EU,ENE_15,JCI,energy and utilities,energy_consulting,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,10,Contribuye al tema de Consultoría Energética a través de sus operaciones comerciales.,"Johnson Controls ofrece consultoría en gestión de energía como parte de sus servicios técnicos a los clientes. Estos servicios incluyen mantenimiento, gestión, reparación, modernización y reemplazo de equipos en áreas como HVAC, refrigeración industrial, controles, seguridad y protección contra incendios. Si bien la empresa ofrece explícitamente consultoría en gestión de energía, no hay una cuantificación explícita de la contribución de ingresos, ni evidencia de un enfoque único o ventaja propietaria en esta área.",244164913,USD,SMART,STK,"[{'name': 'jci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jci-Q125-10-Q.html'}, {'name': 'jci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jci-FY24-10-K.html'}]"
EU,ENE_15,FLR,energy and utilities,energy_consulting,US3434121022,FLUOR CORP,11,"Proporciona servicios de ingeniería, adquisición y construcción, ofreciendo experiencia técnica y orientación estratégica a clientes en el sector energético.",,11218575,USD,SMART,STK,
EU,ENE_15,BKR,energy and utilities,energy_consulting,US05722G1004,BAKER HUGHES CO,12,Proporciona servicios de consultoría dentro del sector energético para ayudar a los clientes a optimizar las operaciones y la toma de decisiones estratégicas.,,281316445,USD,SMART,STK,
