type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
transportation and logistics,supply_chain_solutions,US9113121068,UNITED PARCEL SERVICE-CL B,1,"Ofrece servicios integrales de logística global, entrega de paquetes y fletes que son fundamentales para optimizar y gestionar cadenas de suministro complejas para empresas de diversas industrias.","La participación de UPS con Soluciones de la Cadena de Suministro es evidente a través de su segmento de negocio dedicado a Soluciones de la Cadena de Suministro, que abarca el transporte de carga global, la logística de atención médica y UPS Digital. La empresa aprovecha su cartera global y su tecnología de corretaje de próxima generación para ayudar a los clientes a navegar por los entornos comerciales y evitar interrupciones en las fronteras. UPS participa activamente en evaluaciones de mapeo de la cadena de suministro, con más de 600 proyectos destinados a ayudar a los clientes a optimizar sus cadenas de suministro globales, incluidas las oportunidades de nearshoring. Además, UPS reconfigura estratégicamente su red y gestiona activos para satisfacer las necesidades de los clientes, lo que demuestra su compromiso de facilitar cadenas de suministro eficientes y adaptables.","[{'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}, {'name': 'ups-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ups-Q324-10-Q.html'}]",6231002,USD,UPS,SMART,STK,True
transportation and logistics,supply_chain_solutions,US8718291078,SYSCO CORP,2,"Ofrece amplias soluciones de cadena de suministro cruciales para el sector de la restauración, abarcando el abastecimiento, el almacenamiento y la distribución oportuna de alimentos y productos relacionados para garantizar la eficiencia operativa de su amplia red de clientes.","El compromiso de Sysco con las Soluciones de Cadena de Suministro es evidente en su abastecimiento estratégico y enfoque en las mejoras de eficiencia de la logística de entrada, y la empresa también trabaja para mejorar los niveles de servicio de la cadena de suministro. Un grupo de trabajo de gestión de aranceles se reúne diariamente para garantizar la disponibilidad de productos, defenderse contra aumentos de precios y minimizar los impactos de costos para los clientes al encontrar fuentes de productos y alternativas de menú. Sysco compra más del 90% de sus productos dentro del país en el que opera, aprovechando proveedores de alimentos locales y mitigando la exposición a aranceles. La división global de liderazgo y adquisiciones de la empresa proporciona una ventaja estratégica para comprender y aprovechar las relaciones con los proveedores en cientos de países.",,12581,USD,SYY,SMART,STK,True
transportation and logistics,supply_chain_solutions,US36262G1013,GXO LOGISTICS INC,3,"Proporciona soluciones integrales para la cadena de suministro, aprovechando su experiencia en logística para optimizar las operaciones de diversas industrias.","GXO Logistics se identifica como el mayor proveedor de logística por contrato especializado, que ofrece una gama de servicios de cadena de suministro, que incluyen almacenamiento, distribución, cumplimiento de pedidos, comercio electrónico y logística inversa. La empresa enfatiza su capacidad para ofrecer soluciones personalizadas y habilitadas por la tecnología a escala, ayudando a las marcas a resolver desafíos complejos de la cadena de suministro. GXO destaca su papel en el movimiento eficiente de bienes a través de las cadenas de suministro de los clientes, desde el almacenamiento y la distribución hasta la gestión de productos devueltos.","[{'name': 'gxo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q324-10-Q.html'}]",502252244,USD,GXO,SMART,STK,True
transportation and logistics,supply_chain_solutions,US31428X1063,FEDEX CORPORATION,4,"Proporciona amplios servicios globales de transporte y logística, permitiendo la gestión de la cadena de suministro de extremo a extremo para empresas de todo el mundo.","El compromiso de FedEx con las Soluciones de Cadena de Suministro es evidente a través del segmento operativo FedEx Logistics, que es responsable de proporcionar soluciones integradas de gestión de la cadena de suministro. Este segmento también se encarga del transporte especializado, la intermediación aduanera y el transporte de carga marítima y aérea a nivel mundial. Si bien las soluciones de gestión de la cadena de suministro forman parte de la cartera de servicios de FedEx, no se menciona una contribución específica de ingresos, lo que sugiere que no es necesariamente una prioridad de primer nivel para la empresa.","[{'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}, {'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}]",5100583,USD,FDX,SMART,STK,True
transportation and logistics,supply_chain_solutions,US0231351067,AMAZON.COM INC,5,"Opera una extensa red global de logística y cumplimiento, ofreciendo servicios integrales de cadena de suministro tanto para sus propias operaciones como para vendedores externos.",,,3691937,USD,AMZN,SMART,STK,True
transportation and logistics,supply_chain_solutions,US12541W2098,C.H. ROBINSON WORLDWIDE INC,6,"Ofrece un conjunto integral de soluciones globales para la cadena de suministro, que incluyen servicios de transporte de carga y logística, para optimizar el movimiento de mercancías para empresas de todo el mundo.","La participación de C.H. Robinson en Soluciones de Cadena de Suministro es evidente a través de su conjunto integral de servicios destinados a optimizar las cadenas de suministro de los clientes. La empresa declara explícitamente su papel en ayudar a los clientes a trazar estrategias para mejorar la eficiencia y la rentabilidad de sus cadenas de suministro, enfatizando su compromiso de resolver desafíos logísticos y reimaginar las cadenas de suministro para empresas de todo el mundo. Esto se logra a través de capacidades avanzadas, soluciones personalizadas y un enfoque en servicios integrados de cadena de suministro, particularmente para clientes minoristas y de servicios de alimentos, garantizando la entrega fluida de bienes a través de industrias y continentes. Además, C.H. Robinson invierte en capacidades como remolques de entrega, transfronterizos y Robinson Managed Solutions, lo que demuestra un esfuerzo continuo para ofrecer soluciones líderes en la industria tanto a clientes como a transportistas, ayudándoles a navegar la complejidad y optimizar sus cadenas de suministro.","[{'name': 'chrw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q125-10-Q.html'}, {'name': 'chrw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q324-10-Q.html'}, {'name': 'chrw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q225-10-Q.html'}, {'name': 'chrw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chrw-FY24-10-K.html'}]",36320731,USD,CHRW,SMART,STK,True
transportation and logistics,supply_chain_solutions,US58155Q1031,MCKESSON CORP,7,"Gestiona y optimiza operaciones complejas de la cadena de suministro para productos de atención médica, garantizando una distribución y entrega eficientes a una amplia gama de proveedores de atención médica y farmacias.","McKesson demuestra su compromiso con las Soluciones de Cadena de Suministro a través de varias iniciativas clave. La empresa invierte en su red de distribución modernizando instalaciones e implementando tecnologías automatizadas como el almacenamiento y recuperación automatizados y sistemas de picking, mejorando la productividad, la calidad y la seguridad. Tanto el segmento de Soluciones Médico-Quirúrgicas, que proporciona servicios de distribución y logística de suministros médico-quirúrgicos a proveedores de atención médica, como el segmento de Soluciones de Tecnología de Recetas, que ofrece logística de terceros y soporte de distribución mayorista a clientes biofarmacéuticos, contribuyen a las capacidades de la cadena de suministro de McKesson. Además, McKesson se enfoca en fortalecer la distribución central a través de inversiones específicas en tecnología e infraestructura, al tiempo que enfatiza la excelencia operativa y el servicio al cliente.","[{'name': 'mck-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mck-Q126-10-Q.html'}, {'name': 'mck-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mck-FY25-10-K.html'}]",9657,USD,MCK,SMART,STK,True
transportation and logistics,supply_chain_solutions,US87151X1019,SYMBOTIC INC,8,Proporciona sistemas avanzados de robótica y automatización que optimizan y transforman la eficiencia de las operaciones de la cadena de suministro para las empresas.,"El compromiso de la empresa con las Soluciones de Cadena de Suministro es evidente en el desarrollo, comercialización y despliegue de soluciones tecnológicas destinadas a mejorar las operaciones de la cadena de suministro, particularmente la automatización de procesos dentro de grandes almacenes. Sus sistemas, que automatizan la despaletización, el almacenamiento, la selección y la paletización, representan una parte importante de sus ingresos. La visión de la empresa es mejorar la cadena de suministro para todos, y su objetivo es lograrlo ofreciendo soluciones tecnológicas integrales. La empresa también genera ingresos a través del diseño e instalación de sistemas de automatización de la cadena de suministro, incluyendo componentes de hardware y software, junto con el mantenimiento y soporte continuos.","[{'name': 'sym-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sym-Q225-10-Q.html'}]",566188877,USD,SYM,SMART,STK,False
transportation and logistics,supply_chain_solutions,US5627501092,MANHATTAN ASSOCIATES INC,9,"Ofrece soluciones de software integrales diseñadas para optimizar y gestionar operaciones complejas de la cadena de suministro, abarcando la gestión de almacenes, el transporte y el comercio omnicanal.","El negocio de Manhattan Associates se centra significativamente en soluciones de cadena de suministro, como lo demuestra el desarrollo, la venta, la implementación y el mantenimiento de software diseñado para administrar cadenas de suministro para una variedad de organizaciones. El enfoque principal de la empresa es crear e implementar software complejo de habilitación de comercio que optimiza las cadenas de suministro, con soluciones que respaldan cadenas de suministro globales de misión crítica. Manhattan Associates también es reconocida como líder en el ecosistema de comercio de la cadena de suministro por analistas de la industria y Google, lo que destaca su compromiso con la innovación y el éxito del cliente en este dominio.","[{'name': 'manh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q324-10-Q.html'}, {'name': 'manh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q225-10-Q.html'}, {'name': 'manh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/manh-FY24-10-K.html'}]",4814485,USD,MANH,SMART,STK,True
transportation and logistics,supply_chain_solutions,US14149Y1082,CARDINAL HEALTH INC,10,"Ofrece soluciones integradas de cadena de suministro a la industria de la salud, abarcando la distribución de productos farmacéuticos y médicos.","Cardinal Health enfatiza su papel en la mejora de la eficiencia del sistema de atención médica y la cadena de suministro a través de sus servicios y soluciones. La empresa optimiza su huella global y aumenta la resiliencia de la cadena de suministro para sus clientes, incluidas las inversiones en capacidad de distribución y automatización. Notablemente, el segmento OptiFreight Logistics apoya las necesidades de envío y logística de los proveedores de atención médica a través de soluciones tecnológicas integradas, lo que contribuye a los servicios de cadena de suministro de la empresa. Además, Cardinal Health está desarrollando un centro de distribución de última generación que aprovecha la robótica y la tecnología para mejorar la eficiencia, la calidad y la seguridad de los empleados en la cadena de suministro.","[{'name': 'cah-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cah-FY25-10-K.html'}, {'name': 'cah-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cah-Q125-10-Q.html'}]",5407,USD,CAH,SMART,STK,True
