industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,commercial_fleets,US3453708600,FORD MOTOR CO,1,"Fabrica y suministra una amplia gama de vehículos comerciales, incluidos camiones, furgonetas y cabinas con chasis, cruciales para diversas operaciones comerciales y de flotas a nivel mundial.","El compromiso de Ford con el tema de Flotas Comerciales es evidente a través de las actividades de su división Ford Pro, que experimentó un aumento en las ventas al por mayor impulsado por un mayor volumen de alquiler diario y las ventas de la familia de vehículos Transit. Ford Pro se enfoca en el tiempo de actividad para clientes comerciales y está explorando oportunidades para brindar servicios a flotas de robotaxis autónomos. Además, Ford Pro ofrece capacidades de Nivel 4 a algunos clientes comerciales en formato furgoneta y ve la gestión de flotas como una oportunidad, gestionando flotas digitalmente a través de software, que está experimentando crecimiento. El aumento de la cuota de mercado de Ford Pro tanto en EE. UU. como en Europa, junto con su extensa red de servicios, subraya su presencia establecida y su creciente participación en el sector de flotas comerciales.","[{'name': 'f-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q225-10-Q.html'}]",9599491,USD,F,SMART,STK,True,COM
transportation and logistics,commercial_fleets,SE0000115446,VOLVO AB-B SHS,2,"Proporciona una amplia gama de camiones, autobuses y equipos de construcción que son integrales para las flotas comerciales globales.",,,917920,SEK,VOLV.B,SMART,STK,False,COM
transportation and logistics,commercial_fleets,US96208T1043,WEX INC,3,"Proporciona soluciones de pago y tecnología financiera que permiten la gestión eficiente de gastos de combustible, mantenimiento y otros para flotas comerciales.","La fuerte conexión de WEX con el tema de la industria de Flotas Comerciales es evidente a través de su segmento de Movilidad, que ofrece soluciones de pago para flotas, procesamiento de transacciones y conocimientos basados en datos a una vasta red de más de 600.000 operadores y gestores de flotas a nivel mundial. Como líder en soluciones de pago para flotas, el segmento de Movilidad atiende diversas necesidades de flotas, atendiendo a empresas de todos los tamaños, desde pequeñas empresas hasta flotas gubernamentales y transportistas de carretera. La empresa aborda el mercado a través de Movilidad Norteamericana y de Carretera, que son centrales para la operación de las economías de servicios y de carga, respectivamente, en América del Norte y Movilidad Internacional, que es central para la operación de la economía de servicios fuera de América del Norte, incluyendo nuestras carteras de Flotas en Europa y Asia-Pacífico.","[{'name': 'wex-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wex-FY24-10-K.html'}, {'name': 'wex-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q324-10-Q.html'}, {'name': 'wex-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wex-Q225-10-Q.html'}]",115823351,USD,WEX,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US9113121068,UNITED PARCEL SERVICE-CL B,4,"Opera una de las flotas comerciales más grandes y extensas del mundo para servicios de entrega de paquetes y logística, dependiendo críticamente de estos vehículos para sus operaciones principales y alcance global.",,,6231002,USD,UPS,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US94106L1098,WASTE MANAGEMENT INC,5,"Gestiona amplias flotas comerciales para servicios de recolección de residuos y reciclaje, demostrando una dependencia operativa significativa y una contribución a la industria de flotas comerciales.","El compromiso de WM con las Flotas Comerciales se evidencia a través de sus inversiones en nuevos camiones destinadas a reducir el tiempo de inactividad y los costos de mantenimiento, lo que mejora directamente la eficiencia operativa de sus flotas comerciales existentes. Su flota conectada, que aprovecha la telemática en tiempo real, sirve como un diferenciador clave, permitiéndoles anticipar y resolver problemas de vehículos de manera más efectiva y optimizar la programación del mantenimiento. Estas inversiones e integraciones tecnológicas reflejan el enfoque de WM en modernizar el entorno de trabajo tanto para conductores como para técnicos, contribuyendo a la expansión de márgenes y al crecimiento de los ingresos en diversas líneas de negocio.",,13379,USD,WM,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US6937181088,PACCAR INC,6,"Suministra una amplia gama de camiones, motores y piezas y servicios relacionados para servicio pesado y mediano, esenciales para las operaciones y la eficiencia de las flotas comerciales en todo el mundo.","La participación de PACCAR con flotas comerciales es evidente a través de su segmento de Camiones, que diseña y fabrica camiones comerciales. El segmento de Servicios Financieros de la empresa apoya aún más este tema al financiar y arrendar productos PACCAR en varios continentes. Sin embargo, la empresa experimenta un aumento en las cancelaciones que incluyen grandes clientes de flotas en EE. UU., Canadá y Europa, lo que indica un segmento de clientes en lugar de un área de inversión central, y el segmento de Piezas distribuye piezas de posventa para camiones y vehículos comerciales relacionados.","[{'name': 'pcar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcar-Q324-10-Q.html'}, {'name': 'pcar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcar-Q125-10-Q.html'}, {'name': 'pcar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pcar-FY24-10-K.html'}]",272992,USD,PCAR,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US70959W1036,PENSKE AUTOMOTIVE GROUP INC,7,"Proporciona una amplia gama de vehículos comerciales nuevos y usados, junto con amplios servicios de leasing y mantenimiento, apoyando directamente las necesidades operativas de las flotas comerciales.","La participación de Penske Automotive Group en la industria de Flotas Comerciales es evidente a través de varios aspectos clave de su negocio. Penske posee una parte importante de Penske Transportation Solutions (PTS), que gestiona una de las flotas de camiones más grandes de América del Norte, con un número sustancial de camiones, tractores y remolques bajo contratos de arrendamiento, alquiler y mantenimiento. PTS también alquila camiones a clientes comerciales y vende un número significativo de unidades, incluidas flotas comerciales. Además, Premier Truck Group opera numerosas ubicaciones como un importante minorista de camiones comerciales para Daimler Trucks North America, contribuyendo con un porcentaje notable a los ingresos y beneficios brutos de la compañía, mientras que la compañía también genera ingresos por ventas a clientes de flotas.","[{'name': 'pag-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pag-Q125-10-Q.html'}, {'name': 'pag-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pag-Q225-10-Q.html'}, {'name': 'pag-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pag-Q324-10-Q.html'}, {'name': 'pag-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pag-FY24-10-K.html'}]",45006145,USD,PAG,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US31428X1063,FEDEX CORPORATION,8,"Mantiene una vasta red global de aeronaves comerciales y vehículos terrestres, esenciales para sus operaciones principales en la entrega de paquetes exprés y el transporte de carga.",,,5100583,USD,FDX,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US00912X3026,AIR LEASE CORP,9,"Proporciona aeronaves a operadores comerciales mediante arrendamiento, apoyando la expansión y modernización de las flotas comerciales globales.","La empresa demuestra su compromiso con el tema de las flotas comerciales a través de su modelo de negocio principal de arrendamiento de aviones a una base de clientes de aerolíneas globalmente diversificada. Esto está respaldado por la propiedad de la empresa de una flota sustancial de aviones comerciales, que se arriendan a aerolíneas. Además, la empresa proporciona servicios de gestión de flotas a inversores y propietarios de carteras de aeronaves.","[{'name': 'al-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/al-Q324-10-Q.html'}]",87254484,USD,AL,SMART,STK,True,COM
transportation and logistics,commercial_fleets,US7835491082,RYDER SYSTEM INC,10,"Proporciona soluciones integrales de gestión de flotas comerciales, leasing y alquiler, lo que permite a las empresas optimizar sus operaciones de transporte y logística.",,,11478,USD,R,SMART,STK,True,COM
