type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
telecommunications,telecommunications_infrastructure,US00206R1023,AT&T INC,1,"Construye, opera e invierte en una extensa infraestructura de telecomunicaciones, incluidas redes avanzadas inalámbricas y de fibra óptica, para proporcionar servicios de comunicación esenciales.","La participación de AT&T en el tema de la Infraestructura de Telecomunicaciones es evidente a través de sus inversiones estratégicas en la modernización y expansión de la red. La compañía se enfoca en el despliegue de fibra, con el objetivo de alcanzar más de 30 millones de ubicaciones para finales de 2025 y más de 50 millones para 2029, al mismo tiempo que moderniza su red inalámbrica con el despliegue de Open RAN. Esto se complementa con la retirada de la infraestructura de cobre heredada, demostrada por las presentaciones ante la FCC para descontinuar el servicio en una parte de sus centros de cableado, lo que señala una transición a servicios de conectividad 5G y fibra de próxima generación.","[{'name': 't-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q324-10-Q.html'}, {'name': 't-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q225-10-Q.html'}, {'name': 't-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/t-Q125-10-Q.html'}, {'name': 't-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/t-FY24-10-K.html'}]",37018770,USD,T,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US92343V1044,VERIZON COMMUNICATIONS INC,2,"Desarrolla, implementa y mantiene extensas redes inalámbricas y de fibra óptica, proporcionando servicios críticos que sustentan el panorama general de la infraestructura de telecomunicaciones.","La participación de Verizon en la infraestructura de telecomunicaciones es evidente en su despliegue continuo de nueva arquitectura y tecnologías de red para mantener su liderazgo en redes inalámbricas 5G y 4G. Este compromiso está respaldado por importantes inversiones de capital destinadas a adquirir espectro inalámbrico, mejorar la capacidad de la red e invertir en infraestructura de fibra. La estrategia de Verizon se centra en la evolución y el mantenimiento de sus redes, destacando el papel fundamental de la infraestructura de telecomunicaciones en sus operaciones como proveedor líder de servicios de comunicación, tecnología y streaming.","[{'name': 'vz-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q125-10-Q.html'}, {'name': 'vz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q225-10-Q.html'}, {'name': 'vz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vz-FY24-10-K.html'}, {'name': 'vz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vz-Q324-10-Q.html'}]",4901,USD,VZ,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US8725901040,T-MOBILE US INC,3,"Construye, opera y expande una vasta red 5G a nivel nacional, sirviendo como un componente crítico en el desarrollo y evolución continua de la infraestructura de telecomunicaciones.","T-Mobile demuestra un fuerte enfoque en la infraestructura de telecomunicaciones, impulsado por sus continuos esfuerzos para expandir y mejorar su red. La compañía está construyendo activamente su red 5G a nivel nacional, respaldada por importantes gastos de capital. Esto incluye construcciones nuevas con un plan para activar casi 4.000 sitios, y la adquisición prevista de UScellular, que se proyecta que aumentará significativamente la capacidad y la cobertura de sitios. T-Mobile también aprovecha la IA para optimizar la asignación de capital para mejoras de red y despliegues de nuevas torres, lo que refleja un enfoque basado en datos para el desarrollo de infraestructura.","[{'name': 'tmus-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmus-Q225-10-Q.html'}, {'name': 'tmus-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmus-FY24-10-K.html'}]",125980227,USD,TMUS,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US16119P1084,CHARTER COMMUNICATIONS INC-A,4,"Proporciona una extensa infraestructura de telecomunicaciones, que incluye servicios de banda ancha a Internet, video y voz, cruciales para conectar a millones de clientes en sus áreas de servicio.","Charter Communications demuestra un fuerte compromiso con la infraestructura de telecomunicaciones, como lo demuestran la evolución y las actualizaciones continuas de su red para ofrecer velocidades simétricas y de varios gigabits en toda su huella. La evolución de la red cableada de la empresa es efectivamente una adquisición de espectro de bajo costo, que agrega hasta 1 gigahertz de espectro adicional al pasar a 1.8 gigahertz, mejorando la capacidad de la red y permitiendo servicios de alta velocidad. Charter también se enfoca en expandir su red a áreas rurales y desplegar tecnologías como DOCSIS 4.0 y fibra a pedido, respaldado por importantes gastos de capital asignados a actualizaciones de red y extensiones de línea.","[{'name': 'chtr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q125-10-Q.html'}, {'name': 'chtr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chtr-Q225-10-Q.html'}]",233674866,USD,CHTR,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US17275R1023,CISCO SYSTEMS INC,5,Es un proveedor clave de equipos de red y soluciones de software cruciales para la construcción y el mantenimiento de redes de telecomunicaciones globales.,,,268084,USD,CSCO,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US22822V1017,CROWN CASTLE INC,6,"Proporciona infraestructura crítica de comunicaciones compartidas, incluyendo torres, celdas pequeñas y fibra, lo que permite el despliegue y la expansión de redes de telecomunicaciones inalámbricas y cableadas.","El compromiso de la empresa con la temática de Infraestructura de Telecomunicaciones es sustancial, ya que posee, opera y arrienda infraestructura de comunicaciones compartida en todo EE. UU. Esta infraestructura incluye una cartera significativa de más de 40.000 torres, aproximadamente 105.000 nodos de celdas pequeñas y aproximadamente 90.000 millas de fibra, que son esenciales para soportar celdas pequeñas y soluciones de fibra. El enfoque de la empresa en operar eficientemente el negocio de torres y maximizar su valor se demuestra además en sus planes de invertir entre 150 y 250 millones de dólares anuales en gastos de capital para modificar torres, comprar terrenos y mejorar la tecnología.","[{'name': 'cci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q125-10-Q.html'}, {'name': 'cci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q324-10-Q.html'}, {'name': 'cci-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cci-Q225-10-Q.html'}]",176571182,USD,CCI,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US29444U7000,EQUINIX INC,7,"Posee y opera una vasta red global de centros de datos interconectados, formando una base fundamental para las telecomunicaciones y la infraestructura digital.",,,181764593,USD,EQIX,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US03027X1000,AMERICAN TOWER CORP,8,"Proporciona infraestructura de telecomunicaciones esencial, incluyendo una vasta red de sitios de comunicación multi-inquilino, críticos para habilitar la conectividad inalámbrica y la transmisión de datos.","El negocio de American Tower Corporation se centra en la infraestructura de telecomunicaciones, ya que la compañía posee, opera y desarrolla bienes raíces de comunicaciones multitenant y posee intereses en infraestructura y propiedades de telecomunicaciones, arrendándolas principalmente a proveedores de servicios de comunicaciones y operadores de torres de terceros. Apoyando el despliegue de redes 5G, la compañía está experimentando una actividad de enmienda generalizada y signos tempranos de demanda de nuevos sitios orientados a la capacidad. Esto se alinea con los agresivos objetivos de los grandes operadores estadounidenses de completar sustancialmente las actualizaciones de equipos 5G en casi todas sus redes. Como resultado de la aceleración de la actividad de las torres, su negocio de servicios en EE. UU. entregó su trimestre más alto en ingresos y ganancias brutas desde 2021.","[{'name': 'amt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q225-10-Q.html'}, {'name': 'amt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amt-Q324-10-Q.html'}, {'name': 'amt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amt-FY24-10-K.html'}]",99831145,USD,AMT,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US11135F1012,BROADCOM INC,9,Ofrece productos avanzados de semiconductores y software vitales para mejorar el rendimiento y la escalabilidad de la infraestructura de telecomunicaciones.,,,313130367,USD,AVGO,SMART,STK,True,TC_TEL
telecommunications,telecommunications_infrastructure,US7475251036,QUALCOMM INC,10,"Proporciona soluciones de semiconductores fundamentales y propiedad intelectual que son críticas para el desarrollo y avance de la infraestructura de telecomunicaciones inalámbricas, incluidas las redes 5G.",,,273544,USD,QCOM,SMART,STK,True,TC_TEL
