type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
entertainment and media,full_load_services,US4990491049,KNIGHT-SWIFT TRANSPORTATION,1,"Sirve como proveedor líder e integral dentro de la industria de servicios de carga completa, ofreciendo soluciones de transporte esenciales.","Knight-Swift Transportation Holdings está significativamente involucrada en la industria de servicios de carga completa, proporcionando una gama de servicios de carga completa, que incluyen transporte de ruta irregular, dedicado, refrigerado, expedito, de plataforma y transfronterizo. Como una de las empresas de transporte de carga más grandes de América del Norte, Knight-Swift opera una flota sustancial, con un gran número de tractores de ruta irregular y dedicados. El enfoque de la empresa en el mercado de carga completa es evidente en sus discusiones sobre las condiciones del mercado, las negociaciones de tarifas y las estrategias relacionadas con sus marcas de carga completa, así como sus esfuerzos para mejorar la estructura de costos y gestionar su flota de equipos.","[{'name': 'knx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/knx-Q324-10-Q.html'}, {'name': 'knx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/knx-Q125-10-Q.html'}, {'name': 'knx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/knx-FY24-10-K.html'}]",288039996,USD,KNX,SMART,STK,True,ST2
entertainment and media,full_load_services,US80689H1023,SCHNEIDER NATIONAL INC-CL B,2,"Proporciona servicios integrales de carga completa, que incluyen transporte en furgón seco, dedicado e intermodal, sirviendo como un componente central del movimiento de carga.","Schneider es una empresa de transporte y logística que ofrece una cartera multimodal de soluciones, incluidos servicios de carga completa. Estos servicios de carga completa consisten en transporte de carga por carretera a través de varios tipos y configuraciones de remolques, incluidas opciones tanto de red como dedicadas. La empresa se enfoca en mejorar la resiliencia de las ganancias de su segmento de Carga Completa al cambiar hacia servicios Dedicados, que ahora representan una parte significativa de su flota de Carga Completa. Este énfasis se ve reforzado por la adquisición de Cowan Systems, un transportista de servicios dedicados, y el enfoque estratégico de la empresa en carga dedicada, intermodal y corretaje y logística.","[{'name': 'sndr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sndr-Q125-10-Q.html'}, {'name': 'sndr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sndr-Q324-10-Q.html'}, {'name': 'sndr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sndr-FY24-10-K.html'}]",271857752,USD,SNDR,SMART,STK,True,ST2
entertainment and media,full_load_services,US4456581077,HUNT (JB) TRANSPRT SVCS INC,3,"Proporciona servicios integrales de carga completa, aprovechando extensas redes de transporte y experiencia logística para entregar bienes de manera eficiente en diversas industrias.","El compromiso de J.B. Hunt con los servicios de transporte de carga completa es evidente a través de sus diversos segmentos operativos y ofertas de servicios. La empresa proporciona transporte de carga contenerizada de camión completo, utilizando equipos controlados por la empresa, conductores de la empresa, contratistas independientes y transportistas externos, y también emplea unidades de potencia contratadas para servicios tradicionales de entrega de carga completa por carretera. El segmento de Carga Completa (JBT) juega un papel, con fluctuaciones en los ingresos y un enfoque en el crecimiento metódico, la retención de clientes y la adquisición de nuevos clientes. Si bien los ingresos del segmento JBT han experimentado aumentos en algunos trimestres, impulsados por el volumen de carga, los costos de alquiler y transporte comprado han disminuido debido a las tarifas más bajas de los transportistas ferroviarios y de camiones, lo que indica una relación compleja pero presente con los servicios de carga completa.","[{'name': 'jbht-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbht-Q324-10-Q.html'}, {'name': 'jbht-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jbht-Q125-10-Q.html'}, {'name': 'jbht-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jbht-FY24-10-K.html'}]",270825,USD,JBHT,SMART,STK,True,ST2
entertainment and media,full_load_services,US12541W2098,C.H. ROBINSON WORLDWIDE INC,4,"Opera como un proveedor global líder dentro de la industria de servicios de carga completa, ofreciendo soluciones esenciales de transporte y logística.","El compromiso de C.H. Robinson con los servicios de carga completa es evidente a través de su segmento North American Surface Transportation (NAST), donde la empresa se enfoca en optimizar el volumen y el margen. La empresa ha demostrado un crecimiento de la cuota de mercado en servicios de carga completa y enfatiza los ajustes basados en datos y las capacidades digitales propias para mejorar la toma de decisiones. C.H. Robinson mueve una cantidad significativa de carga completa en América del Norte, y el rendimiento de la empresa se ve influenciado por los volúmenes y los precios de la carga completa, ya que gestionan activamente la capacidad y las adquisiciones para mejorar la rentabilidad.","[{'name': 'chrw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q225-10-Q.html'}, {'name': 'chrw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chrw-FY24-10-K.html'}, {'name': 'chrw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q125-10-Q.html'}, {'name': 'chrw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q324-10-Q.html'}]",36320731,USD,CHRW,SMART,STK,True,ST2
entertainment and media,full_load_services,US9507551086,WERNER ENTERPRISES INC,5,"Se centra en proporcionar servicios integrales de transporte de carga completa, desempeñando un papel importante en el movimiento de mercancías en diversas industrias.","El compromiso de Werner con el tema de los servicios de carga completa es evidente a través de su operación en los sectores de carga completa y logística de la industria del transporte. El segmento de Servicios de Transporte de Carga Completa (TTS) de la empresa, que incluye servicios de carga completa unidireccional y dedicada, genera ingresos por milla, abarcando diversos cargos como paradas, carga, descarga, detención y tarifas de reposicionamiento. Además, Werner se enfoca en hacer crecer su negocio principal en TTS mediante la expansión del tamaño de su flota y el aumento de las tarifas unidireccionales, complementado por la intermediación de carga completa para ofrecer a los clientes capacidad y flexibilidad adicionales, y también realizan inversiones de capital en tractores y remolques.","[{'name': 'wern-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wern-Q225-10-Q.html'}, {'name': 'wern-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wern-FY24-10-K.html'}, {'name': 'wern-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wern-Q324-10-Q.html'}, {'name': 'wern-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wern-Q125-10-Q.html'}]",276009,USD,WERN,SMART,STK,True,ST2
entertainment and media,full_load_services,US6795801009,OLD DOMINION FREIGHT LINE,6,"Proporciona amplios servicios de transporte de carga de camiones completos, apoyando las cadenas de suministro y facilitando el movimiento de diversos bienes a través de las regiones.","La participación de Old Dominion Freight Line en el tema de Servicios de Carga Completa (Truckload) se debe principalmente a su oferta de corretaje de carga completa como un servicio de valor agregado, junto con sus servicios principales de carga parcial (LTL). La compañía reconoce las dinámicas competitivas entre LTL y carga completa, incluyendo los cambios en la cuota de mercado y el comportamiento del cliente, y también señala que algunos clientes aprovechan las oportunidades de carga completa. Si bien Old Dominion facilita los servicios de carga completa a través del corretaje, no proporciona directamente el transporte, y el enfoque principal de la compañía sigue siendo los servicios de carga parcial (LTL).","[{'name': 'odfl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/odfl-Q324-10-Q.html'}, {'name': 'odfl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/odfl-Q125-10-Q.html'}, {'name': 'odfl-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/odfl-Q224-10-Q.html'}, {'name': 'odfl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/odfl-FY24-10-K.html'}]",272667,USD,ODFL,SMART,STK,True,ST2
entertainment and media,full_load_services,US9837931008,XPO INC,7,"Proporciona amplias soluciones de transporte y logística de carga completa, operando una flota significativa para mover carga a través de varias regiones.","La participación de XPO en la industria de servicios de carga completa (Truckload Services) es evidente a través de sus posiciones de liderazgo en geografías europeas clave, ya que la empresa es el bróker de carga completa número uno tanto en Francia como en Iberia, al mismo tiempo que es un proveedor de carga completa dedicada de primer nivel en el Reino Unido. Los servicios de transporte de mercancías de XPO en Europa incluyen carga completa dedicada y corretaje de carga completa, junto con servicios de carga fraccionada (less-than-truckload). Además, XPO se enfoca en optimizar sus operaciones de carga completa internalizando el transporte de línea y gestionando los costos de manera efectiva, como lo demuestra la adición de más de 5.000 tractores y 16.000 remolques a su red desde el lanzamiento de su plan de crecimiento de LTL en 2021 y la reducción de las millas de transporte de línea externalizadas.","[{'name': 'xpo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q225-10-Q.html'}, {'name': 'xpo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/xpo-FY24-10-K.html'}, {'name': 'xpo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q125-10-Q.html'}, {'name': 'xpo-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q324-10-Q.html'}]",93957038,USD,XPO,SMART,STK,True,ST2
entertainment and media,full_load_services,US5150981018,LANDSTAR SYSTEM INC,8,"Proporciona una amplia gama de soluciones de transporte de carga completa, aprovechando una extensa red de operadores independientes y proveedores de capacidad de terceros.","El negocio de Landstar está significativamente ligado a los servicios de carga completa (truckload), como lo demuestran las ofertas de servicios principales de la empresa en esta área. La empresa ofrece servicios de carga completa a través de equipos de furgoneta y equipos sin laterales/plataforma, con ingresos sustanciales generados por estas operaciones. El enfoque de Landstar en los servicios de carga completa se ve aún más resaltado por las discusiones sobre ingresos por camiones, volúmenes de carga completa, tarifas por carga completa y mejoras en los ingresos por camión por carga, junto con el trabajo fundamental para aprovechar el entorno de carga. La red BCO (Business Capacity Owner) de la empresa también es un componente clave de su capacidad de camiones, lo que enfatiza la importancia de los servicios de carga completa para el modelo de negocio de Landstar.","[{'name': 'lstr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lstr-Q225-10-Q.html'}, {'name': 'lstr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lstr-FY24-10-K.html'}, {'name': 'lstr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lstr-Q324-10-Q.html'}]",271344,USD,LSTR,SMART,STK,True,ST2
entertainment and media,full_load_services,US78709Y1055,SAIA INC,9,"Se enfoca en ofrecer extensos servicios de carga consolidada (LTL), contribuyendo significativamente al transporte de carga a través de una amplia red.","La participación de Saia en el tema de Servicios de Carga Completa (Truckload) es evidente a través de su provisión de servicios de carga completa no activos como parte de sus ofertas de servicios más amplias. Si bien la empresa se enfoca principalmente en envíos de carga inferior a la de camión completo (LTL), con más del 97% de sus ingresos derivados de este segmento, también satisface las necesidades de los clientes al ofrecer opciones de carga completa no activos. Esto se ve respaldado aún más por los gastos de transporte adquirido de la empresa, que abarcan tanto el volumen de carga completa no activo como las millas de transporte adquirido LTL, lo que indica una dependencia de los servicios de carga completa hasta cierto punto. El uso de millas de transporte adquirido en camión y ferrocarril por parte de la empresa, que constituyeron el 12,4% de las millas totales de línea principal en un trimestre reciente, también apunta a su participación en servicios de carga completa.","[{'name': 'saia-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/saia-Q324-10-Q.html'}, {'name': 'saia-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/saia-FY24-10-K.html'}]",40078069,USD,SAIA,SMART,STK,True,ST2
entertainment and media,full_load_services,US31428X1063,FEDEX CORPORATION,10,"Opera extensas redes terrestres y de carga, brindando servicios esenciales de carga completa para el transporte de diversos bienes en varias regiones.","El compromiso de FedEx con el tema de Servicios de Carga Completa es evidente a través de su filial FedEx Freight, un proveedor líder en Norteamérica de servicios de transporte de carga de carga parcial (LTL). Si bien no participa directamente en servicios de carga completa, FedEx se ve afectada por el mercado de carga completa, ya que la debilidad y el exceso de capacidad en ese mercado continúan presionando los resultados de FedEx Freight. Además, FedEx ofrece una gama de servicios de envío nacionales e internacionales para paquetes y carga, lo que demuestra aún más su presencia en el panorama general del transporte de carga.","[{'name': 'fdx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q125-10-Q.html'}, {'name': 'fdx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q325-10-Q.html'}, {'name': 'fdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fdx-Q225-10-Q.html'}]",5100583,USD,FDX,SMART,STK,True,ST2
