type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
energy and utilities,integration_of_renewable_energy,US36828A1016,GE VERNOVA INC,1,Lidera el desarrollo y la implementación de tecnologías esenciales para la integración de fuentes de energía renovable en las redes eléctricas a nivel mundial.,"La participación de GE Vernova en la Integración de Energías Renovables es evidente a través de sus tecnologías e innovación, que posicionan a la empresa para capitalizar la creciente demanda de alternativas de energía renovable y el cambio de la generación de carbón a fuentes de energía bajas en carbono. La empresa diseña, fabrica y ofrece servicios de tecnologías que contribuyen a un sistema de energía eléctrica más confiable y sostenible, permitiendo la electrificación y la descarbonización. Esto incluye el suministro de equipos a gran escala relacionados con la transmisión, cruciales para interconectar energías renovables y mover energía a granel, así como la integración de soluciones avanzadas de generación y almacenamiento que requieren actualizaciones de infraestructura obsoleta con nuevas soluciones de integración y automatización de redes. Las soluciones de red, la conversión de energía, el software de electrificación y las tecnologías de soluciones solares y de almacenamiento de la empresa facilitan la transmisión, distribución, conversión, almacenamiento y orquestación de electricidad.","[{'name': 'gev-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q225-10-Q.html'}, {'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}, {'name': 'gev-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q125-10-Q.html'}]",691984365,USD,GEV,SMART,STK,True,EU_REN
energy and utilities,integration_of_renewable_energy,US65339F1012,NEXTERA ENERGY INC,2,"Desempeña un papel fundamental en la integración de fuentes de energía renovable en la red eléctrica, contribuyendo significativamente a la expansión y fiabilidad del suministro de energía sostenible.",,,75960201,USD,NEE,SMART,STK,True,EU_REN
energy and utilities,integration_of_renewable_energy,US2333311072,DTE ENERGY COMPANY,3,Integra activamente fuentes de energía renovable en sus operaciones e infraestructura para promover soluciones de energía sostenible.,"DTE Energy demuestra un fuerte compromiso con la Integración de Energías Renovables a través de múltiples iniciativas. La empresa está en proceso de transición activa de las centrales eléctricas de carbón, reemplazándolas con fuentes de energía renovable, gas natural, almacenamiento de baterías e iniciativas de reducción de residuos energéticos. Esta transición está respaldada por importantes inversiones de capital, incluidos miles de millones asignados para generación más limpia y energías renovables. Además, DTE Energy se esfuerza por cumplir ambiciosos objetivos de reducción de emisiones de carbono y cumplir con la legislación estatal que exige la generación de energía renovable, con sus esfuerzos respaldados por planes de recursos integrados y la utilización de créditos fiscales a la inversión para proyectos renovables.","[{'name': 'dte-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dte-Q225-10-Q.html'}, {'name': 'dte-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dte-Q324-10-Q.html'}, {'name': 'dte-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dte-FY24-10-K.html'}]",6585,USD,DTE,SMART,STK,True,EU_REN
energy and utilities,integration_of_renewable_energy,DK0061539921,VESTAS WIND SYSTEMS A/S,4,"Como fabricante líder de turbinas eólicas, la empresa desempeña un papel crucial para permitir la generación e integración de energía renovable en los sistemas de energía globales.",,,481449559,DKK,VWS,SMART,STK,False,EU_REN
energy and utilities,integration_of_renewable_energy,DK0060094928,ORSTED A/S,5,"Desempeña un papel crucial en la integración de energías renovables en los sistemas de energía globales, contribuyendo significativamente a la transición hacia soluciones de energía sostenible.",,,242060078,DKK,ORSTED,SMART,STK,False,EU_REN
energy and utilities,integration_of_renewable_energy,US74762E1029,QUANTA SERVICES INC,6,"Desempeña un papel fundamental en la conexión de fuentes de energía renovable a la red, permitiendo la distribución y el uso eficientes de energía limpia.","La participación de PWR en el tema de Integración de Energías Renovables es evidente a través de la prestación de servicios de interconexión que son cruciales para conectar y transmitir electricidad generada a partir de fuentes renovables a los sistemas de entrega de energía existentes. Esto se ve aún más corroborado por la creciente demanda de los clientes de servicios públicos de mejoras en la infraestructura, incluida la transmisión, las subestaciones y la distribución, que son esenciales para transportar energía de manera confiable. El segmento de Energías Renovables de la empresa ha experimentado aumentos de ingresos, impulsados por la creciente demanda de servicios de generación y transmisión relacionados con proyectos de generación renovable. La transición hacia una economía con bajas emisiones de carbono, combinada con el aumento de la demanda de electricidad y la rentabilidad de la energía solar, eólica y el almacenamiento en baterías, continúa alimentando la necesidad de generación renovable y la infraestructura relacionada, destacando así la importancia de los servicios de PWR para facilitar la integración de fuentes de energía renovable.","[{'name': 'pwr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q125-10-Q.html'}, {'name': 'pwr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q324-10-Q.html'}, {'name': 'pwr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pwr-FY24-10-K.html'}]",6608432,USD,PWR,SMART,STK,True,EU_REN
energy and utilities,integration_of_renewable_energy,US26441C2044,DUKE ENERGY CORP,7,Se enfoca en modernizar la infraestructura de la red para integrar diversas fuentes de energía renovable y mejorar la confiabilidad y resiliencia general del sistema.,"Duke Energy está integrando fuentes de energía renovable en su red invirtiendo en la resiliencia de la red para habilitar las renovables y el almacenamiento de energía, así como el retiro de plantas de carbón. La compañía está trabajando activamente y abogando por la investigación, el desarrollo y el despliegue de recursos libres de carbono y despachables, incluido el almacenamiento de energía de mayor duración, para garantizar una energía confiable, asequible y más limpia. Estas iniciativas también incluyen inversiones en ofertas de eficiencia energética y la operación continua de plantas hidroeléctricas y nucleares con cero emisiones de CO2.","[{'name': 'duk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/duk-FY24-10-K.html'}]",110176011,USD,DUK,SMART,STK,True,EU_REN
energy and utilities,integration_of_renewable_energy,BMG162521014,BROOKFIELD INFRASTRUCTURE PA,8,Invierte y opera activos de infraestructura críticos que facilitan la integración y distribución de energía renovable en diversos mercados.,"Brookfield integra la energía renovable combinando combustibles convencionales con renovables para alimentar sitios, particularmente centros de datos. La compañía aprovecha las habilidades de su grupo de renovables junto con sus negocios de midstream y servicios públicos para obtener y completar transacciones. Este enfoque se aplica a activos que incluyen tanto infraestructura de energía tradicional como activos renovables, lo que refleja el papel de la compañía en la provisión de soluciones de energía integrales.",,48085842,USD,BIP,SMART,STK,False,EU_REN
energy and utilities,integration_of_renewable_energy,US98389B1008,XCEL ENERGY INC,9,Impulsa la integración de fuentes de energía renovable mediante la expansión de su capacidad de generación de energía limpia y el desarrollo de soluciones avanzadas de red para garantizar una entrega confiable a los clientes.,"Xcel Energy está activamente involucrada en la integración de energías renovables, como lo demuestra su estrategia de combinar energía eólica y solar con almacenamiento de energía y respaldo de gas para garantizar un suministro de energía confiable. Esto se evidencia aún más en la aprobación por parte de la MPUC de los términos para agregar 3.200 MW de energía eólica, 400 MW de energía solar y 600 MW de almacenamiento independiente para 2030. Su plan de recursos eléctricos también refleja la necesidad de 5-14 GW de nueva capacidad de generación hasta 2031, proveniente de recursos renovables y despachables, y pueden requerir entre 15 y 29 gigavatios de nueva generación antes de 2031, que podrían provenir de energía eólica y solar.","[{'name': 'xel-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xel-Q324-10-Q.html'}, {'name': 'xel-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xel-Q225-10-Q.html'}]",10517,USD,XEL,SMART,STK,True,EU_REN
energy and utilities,integration_of_renewable_energy,US5763231090,MASTEC INC,10,"Ofrece soluciones de infraestructura crítica para proyectos de energía renovable, lo que permite la integración perfecta de fuentes de energía limpia en las redes eléctricas existentes y los sistemas de energía más amplios.","La participación de MasTec en la Integración de Energías Renovables es evidente a través de sus operaciones comerciales estratégicas y adquisiciones. La transformación de la compañía incluyó la expansión de su escala y capacidad en energía renovable, junto con el monitoreo del nivel de actividad en proyectos de generación de energía de fuentes renovables. Esto se destaca aún más por la adquisición de IEA, un proveedor de soluciones de infraestructura a escala de servicios públicos con experiencia en energía renovable, lo que refleja el posicionamiento de MasTec para futuras oportunidades de crecimiento en el sector de la energía renovable. La compañía también reconoce que las fluctuaciones en los precios del mercado de las fuentes de energía pueden afectar el nivel de actividad en los proyectos de generación de energía, incluidos los de fuentes renovables.","[{'name': 'mtz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mtz-FY24-10-K.html'}]",2586246,USD,MTZ,SMART,STK,True,EU_REN
