industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,saas,US98138H1014,WORKDAY INC-CLASS A,1,"Proporciona software fundamental de gestión de capital humano y gestión financiera basado en la nube, sirviendo como un impulsor principal de la industria de software como servicio para grandes empresas.","El compromiso de Workday con el tema SaaS está profundamente arraigado en su modelo de negocio principal, como lo demuestra la entrega de aplicaciones basadas en la nube para la gestión financiera y del capital humano. La empresa obtiene la mayor parte de sus ingresos de servicios de suscripción, que brindan a los clientes acceso a estas aplicaciones en la nube. Workday es reconocido como un pionero temprano en la ola SaaS, lo que solidifica aún más su posición en la industria. El compromiso de la empresa con SaaS también se refleja en su integración de capacidades impulsadas por IA en sus ofertas basadas en la nube.","[{'name': 'wday-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wday-Q225-10-Q.html'}, {'name': 'wday-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wday-Q325-10-Q.html'}, {'name': 'wday-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wday-Q125-10-Q.html'}]",115324104,USD,WDAY,SMART,STK,True,SAA
technology,saas,US5949181045,MICROSOFT CORP,2,"Proporciona un conjunto completo de aplicaciones y plataformas de software basadas en la nube, que incluyen herramientas de productividad, aplicaciones empresariales y servicios de infraestructura, que son fundamentales para el ecosistema global de Software como Servicio.","El compromiso de Microsoft con el tema SaaS es evidente a través del crecimiento y la adopción de sus ofertas de Microsoft 365 y Dynamics 365. Microsoft 365 Copilot está experimentando una rápida adopción, superando a otras suites de Microsoft 365, mientras que Dynamics 365 ha ganado cuota de mercado. El compromiso de la empresa se demuestra aún más por el aumento de los ingresos en la nube comercial de Microsoft 365, impulsado por el crecimiento en pequeñas y medianas empresas, ofertas para trabajadores de primera línea e ingresos por usuario, así como por las inversiones en ingeniería de nube e IA. Estos productos SaaS se monetizan con capacidades de IA, utilizando lógica por usuario, precios escalonados y modelos basados en el consumo.","[{'name': 'msft-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q325-10-Q.html'}, {'name': 'msft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q125-10-Q.html'}, {'name': 'msft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msft-Q225-10-Q.html'}]",272093,USD,MSFT,SMART,STK,True,SAA
technology,saas,US81762P1021,SERVICENOW INC,3,Ofrece una plataforma integral nativa de la nube que proporciona soluciones de automatización de flujos de trabajo empresariales completamente a través de un modelo de software como servicio.,"La participación de ServiceNow en el tema SaaS es evidente a través de su Now Platform, una solución basada en la nube diseñada para digitalizar flujos de trabajo para organizaciones de diversos sectores. La empresa genera ingresos por suscripción tanto de ofertas de suscripción autoalojadas como basadas en la nube, reconociendo los ingresos de las ofertas basadas en la nube de forma prorrateada durante el plazo de la suscripción. Esta plataforma, con capacidades integradas de IA y aprendizaje automático, unifica y automatiza los procesos empresariales, destacando el enfoque de la empresa en la prestación de servicios a través de un modelo SaaS.","[{'name': 'now-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q324-10-Q.html'}, {'name': 'now-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q125-10-Q.html'}, {'name': 'now-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q225-10-Q.html'}]",109911821,USD,NOW,SMART,STK,True,SAA
technology,saas,US6974351057,PALO ALTO NETWORKS INC,4,"Ofrece una cartera integral de plataformas y servicios de seguridad nativos de la nube entregados como Software como Servicio, fundamentales para proteger redes empresariales, entornos de nube y activos digitales.","Palo Alto Networks demuestra su compromiso con SaaS a través de varias vías, incluidos sus servicios de seguridad entregados en la nube y los productos de la plataforma Cortex ofrecidos como suscripciones de SaaS o software. El enfoque de la empresa se evidencia aún más en su adquisición de los activos de SaaS de QRadar de IBM, destinados a acelerar el crecimiento de su negocio Cortex XSIAM. Palo Alto Networks también enfatiza la transición de los clientes a ofertas de SaaS como XSIAM y estructura acuerdos en torno a facturaciones anuales para simplificar la adquisición, con su solución SASE convirtiéndose de Palo Alto VPN a una solución SASE completa.","[{'name': 'panw-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q325-10-Q.html'}, {'name': 'panw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q125-10-Q.html'}, {'name': 'panw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/panw-FY24-10-K.html'}, {'name': 'panw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/panw-Q324-10-Q.html'}]",110619459,USD,PANW,SMART,STK,True,SAA
technology,saas,US79466L3024,SALESFORCE INC,5,Ofrece una amplia gama de aplicaciones de software basadas en la nube que son centrales para el ecosistema de Software como Servicio.,"El compromiso de Salesforce con el tema SaaS es evidente en sus ofertas de servicios en la nube, donde los clientes utilizan software multiinquilino sin poseerlo, pagando tarifas de suscripción para acceder a servicios empresariales de computación en la nube. Estos ingresos por suscripción y soporte, derivados de servicios en la nube, constituyen una parte importante de los ingresos totales de la empresa, representando aproximadamente el 94 por ciento durante los nueve meses finalizados el 31 de octubre de 2024. Este modelo de ingresos, donde los ingresos se reconocen a lo largo del plazo del contrato, se alinea con el marco SaaS, solidificando aún más el enfoque de la empresa en esta área.","[{'name': 'crm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crm-Q325-10-Q.html'}]",29624264,USD,CRM,SMART,STK,True,SAA
technology,saas,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,6,"Ofrece su plataforma integral de ciberseguridad nativa en la nube completamente a través de un modelo de Software como Servicio (SaaS), que es fundamental para sus operaciones y entrega de productos.","El compromiso de CrowdStrike con el tema SaaS es sustancial, como lo demuestra la entrega de soluciones de seguridad de endpoints basadas en la nube a través de un modelo SaaS. La plataforma Falcon de la compañía, ofrecida mediante suscripciones, impulsa la adopción de la plataforma y la experiencia del cliente, con ingresos por suscripción constituyendo una parte significativa de los ingresos totales de CrowdStrike. Además, CrowdStrike enfatiza la importancia de SaaS en su estrategia de protección de identidad de próxima generación, trabajando activamente para prevenir brechas en el mercado empresarial SaaS y extendiendo la protección de identidad a aplicaciones SaaS.","[{'name': 'crwd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crwd-Q125-10-Q.html'}, {'name': 'crwd-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crwd-FY23-10-K.html'}]",370757467,USD,CRWD,SMART,STK,True,SAA
technology,saas,US00724F1012,ADOBE INC,7,Opera un conjunto integral de soluciones creativas y de experiencia digital entregadas principalmente a través de un modelo de suscripción de Software como Servicio (SaaS).,"La participación de Adobe en el tema SaaS es evidente en su modelo de negocio, ya que la empresa ofrece sus aplicaciones y servicios principalmente a través de un modelo de suscripción. Esto se destaca por el hecho de que los ingresos por suscripción constituyen una parte importante de los ingresos totales de Adobe. La Creative Cloud de Adobe, una oferta basada en suscripción, proporciona servicios basados en la nube, lo que solidifica aún más la alineación de la empresa con SaaS. La empresa enfatiza el crecimiento de los ingresos por suscripción basados en software en toda su cartera, con aplicaciones de medios digitales disponibles como servicios basados en la nube.","[{'name': 'adbe-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q225-10-Q.html'}, {'name': 'adbe-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/adbe-Q324-10-Q.html'}]",265768,USD,ADBE,SMART,STK,True,SAA
technology,saas,US6792951054,OKTA INC,8,Proporciona soluciones de gestión de identidad y acceso que son fundamentales para la seguridad y la eficiencia operativa de las aplicaciones y plataformas de Software como Servicio (SaaS).,"Okta opera con un modelo de negocio SaaS, generando ingresos a través de suscripciones multianuales a sus ofertas basadas en la nube, con aproximadamente el 98% de los ingresos totales derivados de estas suscripciones. Miles de organizaciones utilizan las plataformas de Okta para acceder de forma segura a una amplia gama de aplicaciones SaaS. La empresa se identifica explícitamente como un proveedor SaaS, enfatizando que su modelo de negocio principal se centra en proporcionar acceso a aplicaciones en la nube, móviles, web y SaaS.","[{'name': 'okta-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/okta-Q126-10-Q.html'}, {'name': 'okta-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/okta-Q325-10-Q.html'}, {'name': 'okta-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/okta-FY25-10-K.html'}]",272356196,USD,OKTA,SMART,STK,True,SAA
technology,saas,US4435731009,HUBSPOT INC,9,"Proporciona soluciones de software basadas en la nube para marketing, ventas y servicio al cliente, encarnando el modelo de Software como Servicio.","La fuerte alineación de HubSpot con el tema SaaS es evidente, ya que su plataforma de clientes es un producto de software como servicio multitenant, disponible a nivel mundial y accesible a través de API, navegadores web y aplicaciones móviles. La empresa opera como una empresa SaaS, entregando sus aplicaciones a través de Internet mediante un modelo de suscripción, y los ingresos por suscripción representan una parte importante de sus ingresos totales. La plataforma de clientes de HubSpot proporciona soluciones de software para escalar empresas, y los clientes están consolidando sus pilas de comercialización en la plataforma de HubSpot.","[{'name': 'hubs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hubs-Q225-10-Q.html'}, {'name': 'hubs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hubs-FY24-10-K.html'}]",169544810,USD,HUBS,SMART,STK,False,SAA
technology,saas,US02079K3059,ALPHABET INC-CL A,10,"Proporciona un conjunto integral de soluciones de software como servicio (SaaS) basadas en la nube, que incluyen herramientas de productividad, plataformas de colaboración y aplicaciones empresariales, dirigidas a una amplia gama de negocios a nivel mundial.","El compromiso de Google con el tema SaaS es evidente a través de sus ofertas de Google Workspace y Google Cloud Platform, ambas operan con modelos basados en suscripción y consumo. Google Workspace proporciona herramientas de comunicación y colaboración basadas en la nube para empresas, incluyendo aplicaciones como Calendar, Gmail, Docs, Drive y Meet, mejoradas con funciones como Gemini. Google Cloud Platform genera ingresos a través de suscripciones y tarifas basadas en el consumo de infraestructura, plataforma y otros servicios, lo que demuestra el enfoque de Google en la entrega de soluciones de software a través de la nube.","[{'name': 'googl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q225-10-Q.html'}, {'name': 'googl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/googl-Q324-10-Q.html'}, {'name': 'googl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/googl-FY24-10-K.html'}]",208813719,USD,GOOGL,SMART,STK,True,SAA
