industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,industrial_products,US3724601055,GENUINE PARTS CO,1,"A través de su segmento Motion Industries, distribuye una amplia gama de productos y servicios de mantenimiento, reparación y operación industriales, apoyando diversas operaciones industriales.","La participación de Genuine Parts Company (GPC) en el tema de Productos Industriales es evidente a través de su distribución mundial de piezas de repuesto industriales. El negocio industrial, que opera en varios países, incluidos EE. UU., Canadá, México, Australia, Nueva Zelanda, Indonesia y Singapur, representa una parte importante de los ingresos totales de GPC, aproximadamente entre el 37% y el 38%. Además, el negocio principal de MRO y mantenimiento de la empresa, que constituye una parte sustancial de las ventas de Motion, también contribuye a su participación en el tema de Productos Industriales.","[{'name': 'gpc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gpc-FY24-10-K.html'}, {'name': 'gpc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpc-Q225-10-Q.html'}, {'name': 'gpc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpc-Q125-10-Q.html'}, {'name': 'gpc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpc-Q324-10-Q.html'}]",7745,USD,GPC,SMART,STK,True,IN3
industrial,industrial_products,US88579Y1010,3M CO,2,"Proporciona una amplia cartera de productos industriales, que incluyen abrasivos, adhesivos y materiales avanzados, esenciales para la fabricación, la infraestructura y diversas aplicaciones industriales a nivel mundial.","La participación de 3M en el tema de Productos Industriales es evidente a través de su segmento de Seguridad e Industrial, donde el crecimiento ha sido impulsado por adhesivos y cintas industriales, así como por los mercados eléctricos. La fortaleza en los mercados finales industriales generales y el aumento de las ventas en productos industriales específicos como adhesivos y cintas industriales, abrasivos, gránulos para techos y seguridad personal subrayan aún más este compromiso. La empresa ha experimentado un impulso continuo en los mercados finales de electrónica, industria general y seguridad, con soluciones de unión industrial y electrónica que contribuyen a través de ganancias de cuota en adhesivos estructurales.","[{'name': 'mmm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmm-Q125-10-Q.html'}, {'name': 'mmm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mmm-Q225-10-Q.html'}, {'name': 'mmm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mmm-FY24-10-K.html'}]",9720,USD,MMM,SMART,STK,True,IN3
industrial,industrial_products,IE000S9YS762,LINDE PLC,3,Suministra gases industriales fundamentales y tecnologías de ingeniería avanzadas que sirven como componentes y procesos vitales para la creación y optimización de una amplia gama de productos industriales.,"El compromiso de Linde con el tema de Productos Industriales es evidente a través de su extenso negocio de gases industriales, que incluye gases atmosféricos y gases de proceso. Las operaciones de la empresa abarcan múltiples segmentos geográficos, incluyendo América, EMEA y APAC, lo que indica una presencia global significativa en gases industriales. Sanjiv Lamba enfatiza la importancia de los gases industriales como una base crítica para la productividad global, reforzando el papel de Linde en el sector. Sin embargo, la disminución de las ventas en el segmento EMEA, impulsada por los mercados finales de metales y minería y manufactura, sugiere que, si bien está presente, la participación de la empresa en productos industriales puede no ser un motor de ingresos principal.","[{'name': 'lin-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lin-Q225-10-Q.html'}, {'name': 'lin-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lin-FY24-10-K.html'}]",617155599,USD,LIN,SMART,STK,True,IN3
industrial,industrial_products,US4523081093,ILLINOIS TOOL WORKS,4,"Desarrolla y fabrica una amplia gama de productos industriales, sirviendo a diversos mercados finales con equipos y soluciones especializadas.","La participación de ITW en el tema de la industria de productos industriales es evidente en sus operaciones comerciales principales, ya que la empresa se identifica como un fabricante global de una gama diversificada de productos y equipos industriales. Las operaciones de la empresa se estructuran en torno a ofertas de productos y mercados finales similares, gestionados a través de siete segmentos que incluyen Automoción OEM, Equipos de Alimentación, Medición y Electrónica, Soldadura, Polímeros y Fluidos, Productos de Construcción y Productos Especializados. Estos segmentos suministran a varios mercados industriales productos como sujetadores, equipos de soldadura, adhesivos y selladores, contribuyendo a las cadenas de suministro de materias primas y productos terminados.","[{'name': 'itw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q225-10-Q.html'}, {'name': 'itw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q125-10-Q.html'}, {'name': 'itw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/itw-FY24-10-K.html'}, {'name': 'itw-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/itw-Q324-10-Q.html'}]",8620,USD,ITW,SMART,STK,True,IN3
industrial,industrial_products,US3848021040,WW GRAINGER INC,5,"Contribuye significativamente al sector de Productos Industriales distribuyendo una amplia gama de suministros de mantenimiento, reparación y operación a diversas industrias.","El enfoque de W.W. Grainger en el tema de Productos Industriales es evidente a través de su negocio principal como distribuidor de línea completa de productos y servicios de mantenimiento, reparación y operación (MRO), principalmente en América del Norte, Japón y el Reino Unido. La empresa atiende a clientes de fabricación e industriales, ayudándoles a impulsar la eficiencia y mejorar la gestión de inventario. Grainger también enfatiza la colaboración con su red de proveedores para garantizar que los clientes reciban los productos correctos cuándo y dónde los necesiten, respaldado por una cadena de suministro de clase mundial e inversiones estratégicas en información de productos y capacidades digitales.","[{'name': 'gww-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gww-Q324-10-Q.html'}, {'name': 'gww-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gww-FY24-10-K.html'}]",7867,USD,GWW,SMART,STK,True,IN3
industrial,industrial_products,DE0007236101,SIEMENS AG-REG,6,"Como potencia tecnológica global, proporciona una cartera integral de productos, sistemas y soluciones industriales que son fundamentales para la automatización, la digitalización y la electrificación en diversas industrias a nivel mundial.",,,14217,EUR,SIE,SMART,STK,False,IN3
industrial,industrial_products,US8243481061,SHERWIN-WILLIAMS CO/THE,7,"Fabrica y suministra una cartera completa de pinturas, recubrimientos y productos relacionados cruciales para la protección, el rendimiento y la mejora estética de activos e infraestructuras industriales en diversos sectores.","La participación de Sherwin-Williams en el sector de productos industriales es evidente a través de su Performance Coatings Group, que incluye recubrimientos industriales generales, para bobinas y para envasado. La empresa atiende a clientes industriales y fabrica recubrimientos y resinas, componentes esenciales en la cadena de suministro de fabricación. Sin embargo, se espera una debilidad en la demanda en el segmento de productos industriales generales debido a tendencias negativas en la fabricación en América del Norte y Europa, y las ventas de madera industrial y productos industriales generales disminuyeron como se esperaba. Además, Sherwin-Williams está expuesta a productos industriales a través de materias primas, aranceles y la demanda de equipos pesados, y los aranceles afectan a materias primas como pigmentos, extensores y resinas industriales.","[{'name': 'shw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/shw-FY24-10-K.html'}]",12120,USD,SHW,SMART,STK,True,IN3
industrial,industrial_products,US1491231015,CATERPILLAR INC,8,"Fabrica y suministra una amplia gama de equipos industriales, motores y maquinaria, sirviendo como un proveedor fundamental dentro del sector de productos industriales.",,,5437,USD,CAT,SMART,STK,True,IN3
industrial,industrial_products,US6703461052,NUCOR CORP,9,Suministra acero y productos de acero que son materias primas esenciales para una amplia gama de aplicaciones industriales y procesos de fabricación.,"La participación de Nucor en el tema de Productos Industriales es evidente a través de su negocio principal de fabricación de acero y productos de acero, organizado en los segmentos de 'acerías', 'productos de acero' y 'materias primas'. El segmento de productos de acero de la empresa ofrece diversas soluciones, incluido el suministro a fabricantes estructurales para proyectos como centros de datos, almacenes, puentes y otras infraestructuras. Además, Nucor ha ampliado sus capacidades de productos de construcción a través de adquisiciones e inversiones de crecimiento orgánico, con plataformas como puertas seccionales, estanterías y paneles metálicos aislados que generan un EBITDA sustancial, y se espera un mayor crecimiento de nuevas instalaciones.","[{'name': 'nue-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nue-Q324-10-Q.html'}]",10557,USD,NUE,SMART,STK,True,IN3
industrial,industrial_products,US7739031091,ROCKWELL AUTOMATION INC,10,"Desarrolla y suministra una cartera integral de productos, sistemas y soluciones de software de automatización industrial e información que mejoran la productividad y la eficiencia en diversos sectores de fabricación e industriales.","La participación de Rockwell Automation en el tema de Productos Industriales es evidente a través de sus ofertas de hardware y software, que son centrales para su negocio. La demanda de estos productos está estrechamente ligada a las inversiones en instalaciones de fabricación y capacidad de producción de materiales básicos. El segmento de 'Dispositivos Inteligentes', con cifras de ventas sustanciales, se relaciona directamente con productos industriales, enfatizando aún más la participación de la compañía en esta área. Además, los productos de hardware y software de la compañía se ven influenciados por las inversiones en fabricación, incluidas nuevas instalaciones o líneas de producción, actualizaciones, modificaciones y expansiones de instalaciones o líneas de producción existentes.","[{'name': 'rok-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q325-10-Q.html'}]",11697,USD,ROK,SMART,STK,True,IN3
