industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TE,SE3,AMAT,technology,semiconductor_materials,US0382221051,APPLIED MATERIALS INC,1,"Proporciona equipos y soluciones críticas esenciales para el procesamiento de materiales semiconductores, permitiendo la fabricación de chips avanzados e impulsando la innovación en la industria de semiconductores.","El compromiso de Applied Materials con el tema de Materiales para Semiconductores es evidente en su enfoque en la ingeniería de materiales para arquitecturas de chips de próxima generación, donde la empresa tiene un liderazgo claro. Este énfasis se refleja en la creciente intensidad de la ingeniería de materiales en varios mercados, incluido ICAPS, impulsada por innovaciones en materiales. La estrategia de crecimiento a largo plazo de la empresa implica el desarrollo continuo de nuevas capacidades de ingeniería de materiales e innovaciones que involucran nuevas tecnologías, materiales y procesos, que son cruciales para expandirse a nuevos mercados y aumentar la cuota de mercado de equipos de fábricas de obleas.","[{'name': 'amat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q125-10-Q.html'}]",266093,USD,SMART,STK
TE,SE3,ASML,technology,semiconductor_materials,NL0010273215,ASML HOLDING NV,2,"Es fundamental para la industria de materiales semiconductores al suministrar sistemas avanzados de litografía esenciales para la fabricación de microchips, influyendo directamente en el desarrollo y consumo de materiales especializados.",,,117589399,EUR,SMART,STK
TE,SE3,WAF,technology,semiconductor_materials,DE000WAF3001,SILTRONIC AG,3,"Fabrica obleas de silicio de alta pureza, sirviendo como un proveedor crítico de materiales fundamentales para la industria global de semiconductores.",,,196889587,EUR,SMART,STK
TE,SE3,4063,technology,semiconductor_materials,JP3371200001,SHIN-ETSU CHEMICAL CO LTD,4,Juega un papel crucial en la industria de semiconductores al suministrar materiales esenciales críticos para la fabricación y el avance de dispositivos semiconductores.,,,13905438,JPY,SMART,STK
TE,SE3,ENTG,technology,semiconductor_materials,US29362U1043,ENTEGRIS INC,5,"Suministra materiales y soluciones críticas esenciales para la fabricación de semiconductores, permitiendo el desarrollo y la producción de tecnología avanzada dentro de la industria.","Entegris está profundamente involucrada en el tema de Materiales para Semiconductores, ya que se identifica como un proveedor líder de materiales avanzados críticos y soluciones de procesos para la industria de semiconductores. Esto está respaldado por el segmento de Soluciones de Materiales de la empresa, que proporciona soluciones basadas en materiales como materiales de deposición química en fase vapor, pastas y almohadillas CMP, y gases especiales, todos cruciales para la fabricación de semiconductores. Además, la experiencia de la empresa en ciencia de materiales y pureza de materiales es cada vez más valiosa para los clientes que buscan mejorar el rendimiento de los dispositivos y lograr rendimientos óptimos, con inversiones en I+D centradas en habilitar nuevas arquitecturas de dispositivos y la miniaturización.","[{'name': 'entg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/entg-Q125-10-Q.html'}, {'name': 'entg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/entg-Q225-10-Q.html'}, {'name': 'entg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/entg-FY24-10-K.html'}, {'name': 'entg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/entg-Q324-10-Q.html'}]",9653775,USD,SMART,STK
TE,SE3,LRCX,technology,semiconductor_materials,US5128073062,LAM RESEARCH CORP,6,"Proporciona equipos y servicios críticos de fabricación de obleas, esenciales para la deposición, el grabado y la limpieza de materiales, permitiendo directamente el procesamiento avanzado de materiales semiconductores.","La participación de Lam Research en el tema de Materiales Semiconductores es evidente a través de su herramienta Halo ALD Moly, que deposita molibdeno, un material semiconductor utilizado en aplicaciones NAND y de fundición/lógica. La empresa está liderando la transición de la industria a ALD Moly, esperando una mayor adopción a medida que los clientes conviertan la capacidad NAND a 200 capas y superiores. Además, Lam se centra en ofrecer soluciones críticas para la escalabilidad de dispositivos a nivel atómico, la innovación en nuevos materiales y la integración de empaquetado avanzado, con el objetivo de expandir su SAM dentro del mercado de WFE.",,732440574,USD,SMART,STK
TE,SE3,KLAC,technology,semiconductor_materials,US4824801009,KLA CORP,7,Juega un papel fundamental en la optimización de la calidad y eficiencia de los materiales semiconductores a través de sus soluciones avanzadas de control de procesos y gestión de rendimiento.,"La participación de KLA en el tema de Materiales para Semiconductores es evidente a través de la provisión de soluciones de control de procesos y gestión de rendimiento para la industria de semiconductores, con sus productos que respaldan la I+D y la fabricación de CI, obleas y retículas. Los productos, servicios y experiencia de la empresa son utilizados por los clientes para medir, detectar, analizar y resolver defectos del producto, ayudándoles así a gestionar los desafíos del proceso de fabricación. Además, la empresa reconoce que la creciente importancia del control de procesos se debe a la escalabilidad de los semiconductores, las nuevas arquitecturas y materiales, y el aumento de los diseños, así como a las inversiones de sus clientes en tecnologías avanzadas y nuevos materiales.","[{'name': 'klac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q225-10-Q.html'}, {'name': 'klac-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/klac-FY25-10-K.html'}, {'name': 'klac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q125-10-Q.html'}]",270957,USD,SMART,STK
TE,SE3,DD,technology,semiconductor_materials,US26614N1028,DUPONT DE NEMOURS INC,8,Proporciona materiales críticos y soluciones avanzadas vitales para el desarrollo y la producción dentro de la industria de materiales semiconductores.,"La fuerte conexión de ElectronicsCo con el tema de Materiales Semiconductores es evidente a través de su posición como proveedor líder de materiales y soluciones para las industrias de semiconductores y electrónica, con un enfoque en consumibles de fabricación de semiconductores como materiales CMP y microlitografía. El segmento de Electrónica e Industrial juega un papel crucial en la fabricación y el empaquetado de semiconductores y circuitos integrados, ofreciendo soluciones para la gestión térmica, el blindaje electromagnético y los procesos de metalización. Este segmento potencia las hojas de ruta tecnológicas de los clientes, permitiendo avances en inteligencia artificial, computación avanzada y conectividad al asociarse con los principales fabricantes de semiconductores y dispositivos avanzados. El crecimiento del volumen en Tecnologías de Semiconductores y Soluciones de Interconexión, impulsado por la recuperación de la demanda de semiconductores, subraya aún más la participación de la empresa en este tema.","[{'name': 'dd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dd-FY24-10-K.html'}, {'name': 'dd-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dd-Q225-10-Q.html'}]",365921621,USD,SMART,STK
TE,SE3,3436,technology,semiconductor_materials,JP3322930003,SUMCO CORP,9,Fabrica y suministra materiales críticos esenciales para la producción de semiconductores.,,,36844262,JPY,SMART,STK
TE,SE3,MKSI,technology,semiconductor_materials,US55306N1046,MKS INC,10,Proporciona soluciones críticas de control de procesos y sistemas de entrega de materiales esenciales para la fabricación y el procesamiento de materiales semiconductores.,"MKS Instruments demuestra su compromiso con el tema de los materiales semiconductores a través de varias vías. La empresa apoya la necesidad de una medición y control de procesos más estrictos impulsados por capas ultrafinas, dimensiones críticas más pequeñas, nuevos materiales y estructuras 3D. MKS también ve una recuperación secuencial de la demanda en aplicaciones NAND, DRAM y de lógica y fundición, con un fuerte desempeño en los negocios de soluciones de plasma y gas reactivo y potencia de RF. Además, MKS discute la necesidad de gases reactivos para aplicaciones avanzadas de limpieza húmeda en el mercado de semiconductores, y sus productos se utilizan en investigación y desarrollo relacionados con la ciencia de materiales.","[{'name': 'mksi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mksi-FY24-10-K.html'}]",4814955,USD,SMART,STK
