type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
industrial,chemical_manufacturing,US2605571031,DOW INC,1,Es un impulsor principal y líder mundial en la industria de fabricación de productos químicos.,"Las operaciones de Dow están profundamente arraigadas en la fabricación de productos químicos, como lo demuestra su estructura organizativa y sus actividades. La empresa funciona como una entidad química con operaciones en segmentos como Plásticos de Empaque y Especialidad, Intermedios Industriales e Infraestructura, y Materiales de Rendimiento y Recubrimientos, todos los cuales implican procesos de fabricación de productos químicos. El compromiso de Dow se demuestra aún más a través de proyectos como Path2Zero, cuyo objetivo es crear un complejo integrado de etileno y derivados con emisiones netas cero, a pesar de los ajustes en los planes de gastos de capital debido a las condiciones macroeconómicas. Si bien Dow atiende a varios mercados de alto crecimiento, su identidad fundamental y sus actividades comerciales principales giran en torno a la fabricación de productos químicos.","[{'name': 'dow-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dow-Q125-10-Q.html'}, {'name': 'dow-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dow-Q225-10-Q.html'}, {'name': 'dow-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dow-FY24-10-K.html'}]",356576040,USD,DOW,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,US30231G1022,EXXON MOBIL CORP,2,"Fabrica una cartera diversa de productos petroquímicos, que incluyen olefinas, poliolefinas y aromáticos, que sirven como componentes esenciales para numerosos productos industriales y de consumo a nivel mundial.","La participación de ExxonMobil en la fabricación de productos químicos es evidente a través de varios proyectos e instalaciones estratégicas. La empresa está aumentando activamente las operaciones en el Complejo Químico de China para suministrar productos químicos de alto valor al mercado chino, y el proyecto de Mejora de Residuos de Singapur utiliza nueva tecnología para convertir moléculas de bajo valor en productos de alto valor. ExxonMobil también ha iniciado operaciones en su planta química de escala mundial en China y está poniendo en marcha su segunda unidad de reciclaje avanzado en Baytown para reciclar residuos plásticos. Además, los proyectos estratégicos de la empresa incluyen el Complejo Químico de Corpus Christi, Baton Rouge Polypropylene y la Expansión Química de Baytown, lo que indica un enfoque sostenido en la fabricación de productos químicos.","[{'name': 'xom-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q324-10-Q.html'}, {'name': 'xom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q125-10-Q.html'}, {'name': 'xom-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q225-10-Q.html'}]",13977,USD,XOM,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,NL0009434992,LYONDELLBASELL INDU-CL A,3,"Opera como un líder mundial en la producción de productos químicos, plásticos y de refinación, contribuyendo significativamente a diversos mercados industriales y de consumo en todo el mundo.","Las operaciones de LyondellBasell están profundamente arraigadas en la fabricación de productos químicos, como lo demuestran las discusiones a lo largo de sus llamadas de resultados y presentaciones sobre diversos productos químicos, procesos de fabricación y dinámicas de mercado. La empresa transforma activamente materias primas en productos químicos, respaldada por importantes inversiones de capital y proyectos estratégicos como Flex 2, que convierte etileno en propileno. La participación de LyondellBasell en la fabricación de productos químicos se extiende a través de múltiples segmentos, incluidos Olefinas y Poliolefinas, Intermedios y Derivados, y Soluciones Avanzadas de Polímeros, con un enfoque en la optimización de las operaciones y la adaptación a las dinámicas del mercado. Además, el segmento de Tecnología de la empresa genera ingresos a través de la venta de catalizadores de poliolefina y la concesión de licencias de tecnologías de procesos químicos, lo que destaca su continua presencia en el panorama de la fabricación de productos químicos.","[{'name': 'lyb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyb-Q125-10-Q.html'}, {'name': 'lyb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lyb-FY24-10-K.html'}]",74866700,USD,LYB,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,DE000BASF111,BASF SE,4,"Opera como un productor global líder en varios segmentos de la industria de fabricación de productos químicos, proporcionando una amplia gama de productos y soluciones químicas.",,,77680640,EUR,BAS,SMART,STK,False,IN_CHE
industrial,chemical_manufacturing,IE000S9YS762,LINDE PLC,5,Opera dentro de la industria de fabricación de productos químicos.,"La participación de Linde en la industria de Fabricación Química es evidente a través de su diversa oferta de gases industriales, que incluyen gases atmosféricos como oxígeno y nitrógeno, así como gases de proceso como hidrógeno y dióxido de carbono, cruciales para los procesos químicos. La empresa atiende a una variedad de sectores, incluida la industria química, y ha visto aumentos en las ventas en el segmento de las Américas debido a mayores volúmenes de los mercados finales de productos químicos y energía, incluidas las puestas en marcha de proyectos. Sin embargo, los volúmenes de ventas también han disminuido en el segmento EMEA debido a un rendimiento más débil en los mercados finales de fabricación, productos químicos y energía, y la empresa anticipa un rendimiento más débil en productos químicos durante el resto del año, lo que indica una participación fluctuante pero presente en el sector químico.","[{'name': 'lin-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lin-Q225-10-Q.html'}, {'name': 'lin-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lin-Q125-10-Q.html'}, {'name': 'lin-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lin-FY24-10-K.html'}, {'name': 'lin-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lin-Q324-10-Q.html'}]",617155599,USD,LIN,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,JP3371200001,SHIN-ETSU CHEMICAL CO LTD,6,"Se dedica a la producción y suministro integral de diversos productos químicos, sirviendo como un contribuyente clave al sector mundial de la fabricación de productos químicos.",,,13905438,JPY,4063,SMART,STK,False,IN_CHE
industrial,chemical_manufacturing,US1252691001,CF INDUSTRIES HOLDINGS INC,7,"Opera como un fabricante líder de productos químicos a base de nitrógeno, desempeñando un papel crucial en el suministro de productos químicos esenciales para diversas aplicaciones industriales y agrícolas.","CF Industries demuestra una fuerte conexión con la industria de fabricación de productos químicos a través de sus operaciones principales. La empresa utiliza el proceso Haber-Bosch para producir amoníaco anhidro, que se vende directamente o se mejora a productos como urea granular, UAN y DEF. Este proceso de transformación de materias primas en diversos productos químicos es fundamental para su negocio, como lo demuestran las discusiones sobre volúmenes de producción, rendimiento operativo e iniciativas estratégicas relacionadas con los procesos de fabricación. Además, CF Industries está ampliando sus capacidades de producción de amoníaco a través de la empresa conjunta Blue Point, con un enfoque en amoníaco bajo en carbono para nuevas aplicaciones y contratos industriales, solidificando su posición en el sector de la fabricación de productos químicos.","[{'name': 'cf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cf-Q125-10-Q.html'}, {'name': 'cf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cf-Q324-10-Q.html'}]",35447205,USD,CF,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,US4595061015,INTL FLAVORS & FRAGRANCES,8,"Se especializa en la fabricación química de compuestos de sabores y fragancias, que son ingredientes esenciales para una amplia gama de productos de consumo.","La participación de IFF en la industria de Fabricación de Productos Químicos es evidente a través de la creación y fabricación de una amplia gama de productos, incluidos ingredientes naturales para la salud, utilizados en diversos bienes de consumo. El enfoque de la empresa se extiende a servir a fabricantes de múltiples sectores como alimentos, bebidas, cuidado personal y productos farmacéuticos. Además, el compromiso de IFF con la innovación se demuestra a través de su inversión en investigación y desarrollo, destinada a crear productos nuevos y mejorados y brindar soporte técnico de productos.","[{'name': 'iff-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q125-10-Q.html'}]",8385,USD,IFF,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,US0091581068,AIR PRODUCTS & CHEMICALS INC,9,Fabrica y suministra una cartera diversa de gases industriales y productos químicos especializados cruciales para numerosos procesos de producción en diversas industrias.,,,4487,USD,APD,SMART,STK,True,IN_CHE
industrial,chemical_manufacturing,US0126531013,ALBEMARLE CORP,10,"Se enfoca en la producción de productos químicos especializados, incluidos litio, bromo y catalizadores, que son componentes fundamentales para diversas aplicaciones industriales dentro del sector de fabricación de productos químicos.",,,4347,USD,ALB,SMART,STK,True,IN_CHE
