symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
AMZN,TL,LOG,transportation and logistics,logistics_network,US0231351067,AMAZON.COM INC,1,"Opera una extensa red logística global, integrando centros de cumplimiento, transporte y servicios de entrega de última milla para potenciar sus operaciones de comercio electrónico y garantizar una distribución eficiente de productos.","El enfoque de Amazon en su red logística es evidente a través de sus esfuerzos para reestructurar la red de entrada de EE. UU. en una estructura regional, lo que permite la ubicación del inventario más cerca de los clientes. La compañía también ha aumentado la proporción de pedidos que se mueven a través de carriles directos, reduciendo la distancia promedio que viajan los paquetes y disminuyendo los toques de manipulación por unidad. Estas mejoras en la red de transporte y la ubicación estratégica del inventario contribuyen a mejorar las velocidades de entrega y la eficiencia general de la red, lo que refleja el papel fundamental de la red logística en las operaciones de comercio electrónico de Amazon.",3691937,USD,SMART,STK,
CPNG,TL,LOG,transportation and logistics,logistics_network,US22266T1097,COUPANG INC,2,"Desarrolla y opera una red logística altamente integrada y propietaria, lo que permite una velocidad y eficiencia líderes en la industria en el cumplimiento y la entrega de comercio electrónico.","La participación de Coupang en el tema de Red Logística es evidente a través de su red integrada de extremo a extremo de cumplimiento, logística y tecnología que permite la Entrega Rocket. La empresa está realizando importantes inversiones para mejorar el Cumplimiento y la Logística por Coupang (FLC), capacitando a los vendedores para que aprovechen su infraestructura líder para expandir sus negocios. Estas inversiones se reflejan en un aumento de las compras de propiedades y equipos, principalmente relacionados con la infraestructura de cumplimiento y logística, y la construcción de nuevos centros de cumplimiento. Además, el costo de las ventas incluye gastos relacionados con el envío saliente y la logística, lo que resalta el papel integral de la logística en las operaciones de Coupang.",475686899,USD,SMART,STK,"[{'name': 'cpng-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpng-Q125-10-Q.html'}, {'name': 'cpng-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cpng-Q225-10-Q.html'}]"
UPS,TL,LOG,transportation and logistics,logistics_network,US9113121068,UNITED PARCEL SERVICE-CL B,3,"Opera una extensa red global para la entrega de paquetes y la gestión de la cadena de suministro, facilitando el comercio y conectando negocios y consumidores en todo el mundo.",,6231002,USD,SMART,STK,
FDX,TL,LOG,transportation and logistics,logistics_network,US31428X1063,FEDEX CORPORATION,4,"Opera una extensa red global para la entrega de paquetes y servicios de carga, formando un componente crítico de la cadena de suministro mundial y la logística del comercio electrónico.","FedEx enfatiza su papel en la provisión de soluciones empresariales integradas a través de su red global, destacando la flexibilidad y eficiencia de la red. Esto se demuestra aún más a través de la iniciativa en curso Network 2.0 de la empresa, un proyecto de varios años centrado en mejorar la eficiencia del manejo de paquetes dentro de EE. UU. y Canadá. Estos esfuerzos para transformar y mejorar la red forman parte de las iniciativas más amplias DRIVE, subrayando la red logística como un componente clave de las operaciones de FedEx.",5100583,USD,SMART,STK,"[{'name': 'fdx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fdx-FY25-10-K.html'}]"
MELI,TL,LOG,transportation and logistics,logistics_network,US58733R1023,MERCADOLIBRE INC,5,Es parte integral del tema Red de Logística.,"El compromiso de MercadoLibre con el tema de la Red Logística es evidente a través de su servicio Mercado Envíos, que es fundamental para su propuesta de valor al reducir la fricción entre compradores y vendedores, permitiendo un mayor control sobre la experiencia del usuario y facilitando entregas más rápidas y rentables. La red logística de la empresa incluye centros de cumplimiento que manejan más de la mitad de sus envíos, operaciones de cross-docking y una red de Puntos MELI para la entrega y recogida de artículos. Además, la red de transporte de MercadoLibre es integral, con aviones dedicados, camiones y numerosas furgonetas de entrega de última milla, y la empresa ha estado escalando su infraestructura y adaptándose para acomodar programas de envío gratuito y productos de menor ASP desde 2017, solidificando aún más la importancia de su red logística.",45602025,USD,SMART,STK,"[{'name': 'meli-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meli-Q225-10-Q.html'}]"
MAERSK.B,TL,LOG,transportation and logistics,logistics_network,DK0010244508,AP MOLLER-MAERSK A/S-B,6,"Proporciona soluciones logísticas globales integrales, integrando transporte marítimo de contenedores, operaciones portuarias y gestión de la cadena de suministro para facilitar el movimiento de mercancías a través de diversas redes.",,12605265,DKK,SMART,STK,
CAH,TL,LOG,transportation and logistics,logistics_network,US14149Y1082,CARDINAL HEALTH INC,7,"Impulsa la distribución eficiente de productos farmacéuticos y médicos a través de su extensa red logística, desempeñando un papel fundamental en la cadena de suministro de atención médica.","La participación de Cardinal Health en la Red de Logística es evidente a través de sus inversiones en capacidad de distribución y automatización, incluido el lanzamiento de un Centro de Logística de Salud del Consumidor y planes para un nuevo centro de distribución en la Costa Oeste. OptiFreight Logistics de la empresa brinda soporte logístico estratégico a los clientes, contribuyendo a las ganancias del segmento y ofreciendo ahorros de costos a través de su plataforma TotalVue Insights. Si bien OptiFreight Logistics demuestra valor y brinda servicios de cadena de suministro, opera dentro del segmento 'Otros', lo que sugiere que su contribución a los ingresos es relativamente pequeña en comparación con los ingresos generales de la empresa.",5407,USD,SMART,STK,"[{'name': 'cah-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cah-Q225-10-Q.html'}]"
DSV,TL,LOG,transportation and logistics,logistics_network,DK0060079531,DSV A/S,8,"Proporciona infraestructura y servicios logísticos críticos a nivel mundial, permitiendo el movimiento eficiente y confiable de mercancías en diversas industrias y cadenas de suministro.",,44165865,DKK,SMART,STK,
NSC,TL,LOG,transportation and logistics,logistics_network,US6558441084,NORFOLK SOUTHERN CORP,9,"Opera una vasta red ferroviaria de carga, fundamental para el transporte de mercancías en América del Norte, sirviendo como un componente fundamental de la infraestructura logística en general.","La participación de Norfolk Southern en la Red Logística se ve subrayada por la operación de una extensa red intermodal, que es fundamental para facilitar el movimiento de bienes y materiales que impulsan la economía de EE. UU. Esta red sirve a la mayoría de la población y la base manufacturera del país, conectándose a todos los principales puertos de contenedores en la costa atlántica, así como a los principales puertos de la Costa del Golfo y los Grandes Lagos. Los miembros dedicados del equipo de la empresa entregan una amplia variedad de productos básicos anualmente, desde productos agrícolas hasta bienes de consumo, enfatizando aún más su papel en la red logística.",10497,USD,SMART,STK,"[{'name': 'nsc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nsc-Q225-10-Q.html'}]"
KNIN,TL,LOG,transportation and logistics,logistics_network,CH0025238863,KUEHNE + NAGEL INTL AG-REG,10,"Opera una vasta red global que proporciona servicios logísticos integrados, que incluyen logística marítima, aérea, terrestre y por contrato, esenciales para conectar las cadenas de suministro en todo el mundo.",,39106394,CHF,SMART,STK,
