type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
industrial,industrial_machinery,US2441991054,DEERE & CO,1,"Fabrica una amplia gama de maquinaria industrial para aplicaciones agrícolas, de construcción y forestales, impulsando la innovación y la productividad en estos sectores a nivel mundial.","Deere & Company se identifica como líder mundial en la producción de equipos y soluciones agrícolas, de césped, construcción y forestales, lo que demuestra un enfoque significativo en maquinaria industrial. Esto se ve respaldado aún más por la extensa discusión de la empresa sobre la producción, ventas e inventario de varios tipos de maquinaria, incluidos tractores, cosechadoras, pulverizadores y sembradoras. La empresa también menciona sus esfuerzos para gestionar los costos de producción y mejorar la eficiencia en sus fábricas.","[{'name': 'de-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q125-10-Q.html'}, {'name': 'de-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/de-Q324-10-Q.html'}]",6393,USD,DE,SMART,STK,True
industrial,industrial_machinery,US1491231015,CATERPILLAR INC,2,"Fabrica una amplia gama de maquinaria industrial, incluyendo equipos de construcción, maquinaria minera y sistemas de generación de energía, esenciales para el desarrollo de la infraestructura global y la extracción de recursos.",,,5437,USD,CAT,SMART,STK,True
industrial,industrial_machinery,US9113631090,UNITED RENTALS INC,3,"Opera como un proveedor líder de alquiler de maquinaria industrial, suministrando una flota integral de equipos para proyectos de construcción, industriales y municipales en toda América del Norte.","El compromiso de la empresa con el tema de Maquinaria Industrial es evidente a través de su papel como la mayor empresa de alquiler de equipos del mundo, sirviendo a una base de clientes diversa que incluye empresas de construcción e industriales, fabricantes y servicios públicos. El segmento de alquileres generales de la empresa abarca el alquiler de equipos de construcción, aéreos, industriales y para el hogar. Con una flota sustancial de equipos de alquiler que ostenta un costo de equipo original de $22.1 mil millones, la empresa demuestra una inversión significativa en maquinaria industrial para respaldar sus operaciones de alquiler, enfatizando aún más la importancia de este tema.","[{'name': 'uri-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uri-Q324-10-Q.html'}, {'name': 'uri-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uri-FY24-10-K.html'}, {'name': 'uri-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uri-Q125-10-Q.html'}, {'name': 'uri-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uri-Q225-10-Q.html'}]",3629755,USD,URI,SMART,STK,True
industrial,industrial_machinery,NL0010545661,CNH INDUSTRIAL NV,4,"Fabrica y suministra una amplia gama de maquinaria industrial, desempeñando un papel crucial en el mercado global.","La participación de CNH Industrial en el tema de Maquinaria Industrial es evidente a través de sus segmentos de negocio principales. La empresa diseña, produce y vende equipos agrícolas y de construcción, y el segmento de Construcción contribuye significativamente a las actividades industriales, como lo demuestran las sustanciales cifras de ingresos. El compromiso de la empresa se ve aún más subrayado por la asignación de personal y recursos al segmento de Construcción, que se enfoca explícitamente en maquinaria industrial. Si bien el segmento de Construcción representa una parte notable de las operaciones de CNH Industrial, no es necesariamente el principal motor de crecimiento.","[{'name': 'cnhi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cnhi-Q125-10-Q.html'}, {'name': 'cnhi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cnhi-Q324-10-Q.html'}]",135330258,USD,CNH,SMART,STK,True
industrial,industrial_machinery,DE0007236101,SIEMENS AG-REG,5,"Desarrolla y proporciona soluciones avanzadas de automatización, digitalización y electrificación que son críticas para la operación y optimización de maquinaria industrial en diversos sectores.",,,14217,EUR,SIE,SMART,STK,False
industrial,industrial_machinery,US7010941042,PARKER HANNIFIN CORP,6,Suministra una amplia gama de tecnologías y sistemas de movimiento y control que son fundamentales para la operación y eficiencia de diversa maquinaria industrial.,"La participación de la empresa en el tema de Maquinaria Industrial es evidente a través de su enfoque en tecnologías de movimiento y control, particularmente dentro de los mercados de equipos industriales y en planta. La empresa diseña, fabrica y proporciona soporte posventa para soluciones que atienden a estos mercados, que se consideran primordiales para su negocio. A pesar de experimentar una disminución en las ventas en estos sectores dentro del Segmento Industrial Diversificado debido a la menor demanda en América del Norte y Europa, la empresa todavía tiene la intención de centrarse principalmente en oportunidades de negocio en equipos industriales y en planta.","[{'name': 'ph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q225-10-Q.html'}, {'name': 'ph-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ph-FY25-10-K.html'}, {'name': 'ph-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q325-10-Q.html'}, {'name': 'ph-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q125-10-Q.html'}]",11094,USD,PH,SMART,STK,True
industrial,industrial_machinery,CH0012221716,ABB LTD-REG,7,"Proporciona soluciones críticas de electrificación, automatización y robótica que mejoran el rendimiento y la eficiencia de diversas maquinarias industriales en diversos sectores.",,,2682965,CHF,ABBN,SMART,STK,False
industrial,industrial_machinery,IE00B8KQN827,EATON CORP PLC,8,"Proporciona soluciones esenciales de gestión de energía, eléctricas e hidráulicas que son integrales para la operación y eficiencia de diversa maquinaria industrial.","La participación de Eaton en el tema de Maquinaria Industrial es evidente a través de su producción de bienes para el mercado de construcción de maquinaria. La compañía ha reportado fortaleza en los mercados finales de OEM de maquinaria dentro de su segmento de negocio Electrical Global, lo que contribuye al crecimiento de las ventas orgánicas. Además, la adquisición de Fibrebond Corporation por parte de Eaton también apoya su base de clientes industriales. Si bien Eaton atiende a varios mercados, incluidos el industrial y el de construcción de maquinaria, su participación en OEM de maquinaria indica una conexión notable con el sector de maquinaria industrial.","[{'name': 'etn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q225-10-Q.html'}, {'name': 'etn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q125-10-Q.html'}, {'name': 'etn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/etn-Q324-10-Q.html'}]",118017864,EUR,3EC,SMART,STK,True
industrial,industrial_machinery,US7739031091,ROCKWELL AUTOMATION INC,9,"Proporciona soluciones de automatización industrial e información que son integrales para la operación, el control y la optimización de varios tipos de maquinaria industrial.","La conexión de Rockwell Automation con el tema de la Maquinaria Industrial es evidente a través de su posición como la empresa más grande del mundo dedicada a la automatización industrial. Los productos de hardware y software de la empresa impulsan las inversiones en instalaciones de fabricación y líneas de producción. Además, Rockwell Automation identifica a los constructores de máquinas como una importante oportunidad de crecimiento, apoyándolos con tecnología escalable y herramientas de productividad de diseño. La adjudicación estratégica de MCC de la empresa con Efficient Solutions, un constructor de paneles asiático, subraya su participación en el suministro de sistemas de distribución de energía para plantas nuevas.","[{'name': 'rok-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rok-Q225-10-Q.html'}, {'name': 'rok-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rok-FY24-10-K.html'}]",11697,USD,ROK,SMART,STK,True
industrial,industrial_machinery,JP3304200003,KOMATSU LTD,10,"Diseña, fabrica y vende una amplia gama de equipos de construcción, minería y servicios públicos, contribuyendo significativamente al desarrollo de la infraestructura global y la extracción de recursos.",,,13905624,JPY,6301,SMART,STK,False
