symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
ACN,TE,AI3,technology,ai_consulting,IE00B4BNMY34,ACCENTURE PLC-CL A,1,"Lidera la provisión de servicios de asesoramiento estratégico e implementación de soluciones de inteligencia artificial, permitiendo a clientes de diversas industrias integrar y aprovechar la IA para la transformación empresarial.","Los ingresos de consultoría de Accenture se ven impulsados significativamente por la asistencia a clientes en transformaciones digitales lideradas por tecnología, datos e IA, con un enfoque en ayudarlos a estar preparados para la IA y desplegar IA en toda la empresa. Accenture colabora con empresas en diversas etapas de adopción de IA, desde aquellas que recién comienzan hasta aquellas que buscan liderar con IA, ofreciendo servicios para acelerar el despliegue de IA y la activación en toda la empresa. Esto incluye la integración de seguridad e IA responsable, la modernización de bases de datos y la transformación de funciones centrales. Accenture combina su fortaleza tecnológica y liderazgo en la nube, datos e IA con experiencia en la industria para ofrecer estos servicios de consultoría de IA.","[{'name': 'acn-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q325-10-Q.html'}, {'name': 'acn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/acn-FY24-10-K.html'}, {'name': 'acn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/acn-Q125-10-Q.html'}]",67889930,USD,SMART,STK
IBM,TE,AI3,technology,ai_consulting,US4592001014,INTL BUSINESS MACHINES CORP,2,"Ofrece servicios integrales de consultoría que permiten a las empresas adoptar, integrar y maximizar estratégicamente el valor de las tecnologías de inteligencia artificial en sus operaciones.","La participación de IBM en Consultoría de IA es evidente a través de varias actividades clave. La empresa es reconocida como un líder emergente en Servicios de Consultoría e Implementación de IA Generativa, con su brazo de consultoría interactuando activamente con los clientes para dar forma a sus estrategias de IA y diseñar soluciones de IA. IBM Consulting también está aprovechando la plataforma IBM Consulting Advantage para implementar soluciones de IA a escala, demostrando un compromiso para transformar la forma en que trabajan los consultores y aprovechar la IA en todo el ciclo de vida del proyecto. Esto está respaldado además por un libro de negocios sustancial de IA generativa, que indica una fuerte presencia en el mercado y demanda de los clientes por la experiencia en consultoría de IA de IBM.","[{'name': 'ibm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q225-10-Q.html'}, {'name': 'ibm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q125-10-Q.html'}, {'name': 'ibm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ibm-Q324-10-Q.html'}]",8314,USD,SMART,STK
TCS,TE,AI3,technology,ai_consulting,INE467B01029,TATA CONSULTANCY SVCS LTD,3,"Proporciona servicios integrales de consultoría en inteligencia artificial, guiando a los clientes a través de la estrategia, implementación y optimización de soluciones de IA para impulsar la transformación empresarial.",,,44652015,INR,NSE,STK
WIPRO,TE,AI3,technology,ai_consulting,INE075A01022,WIPRO LTD,4,"Proporciona servicios integrales de consultoría en inteligencia artificial, guiando a los clientes a través del desarrollo, implementación y optimización de estrategias de IA para impulsar la transformación digital y la innovación.",,,44652030,INR,NSE,STK
CAP,TE,AI3,technology,ai_consulting,FR0000125338,CAPGEMINI SE,5,"Proporciona servicios de consultoría integrales para ayudar a los clientes a desarrollar estrategias, desarrollar e implementar soluciones de inteligencia artificial en diversas industrias.",,,29612147,EUR,SMART,STK
CTSH,TE,AI3,technology,ai_consulting,US1924461023,COGNIZANT TECH SOLUTIONS-A,6,"Proporciona servicios de consultoría estratégica e implementación para inteligencia artificial, ayudando a los clientes a aprovechar las tecnologías de IA para impulsar la transformación digital y lograr objetivos comerciales.","El compromiso de Cognizant con la Consultoría de IA es evidente a través de sus esfuerzos para ayudar a los clientes a modernizar la tecnología y transformar experiencias en un mundo donde la IA está remodelando las organizaciones. La empresa utiliza cada vez más tecnologías basadas en IA, incluida la IA generativa, en sus ofertas a clientes y operaciones internas, con planes de seguir realizando inversiones significativas en capacidades de IA para satisfacer las necesidades de los clientes. Cognizant también está ayudando a los clientes con la innovación liderada por IA y estrategias de agentes, evolucionando las capacidades de la experimentación a programas escalados de nivel de producción, y ayudándoles a transformarse en empresas preparadas para la IA. Además, los servicios digitales mejorados por IA continúan siendo una parte importante de la cartera de Cognizant, alineándose con el enfoque de los clientes en convertirse en empresas basadas en datos, centradas en el cliente y diferenciadas.","[{'name': 'ctsh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctsh-Q125-10-Q.html'}, {'name': 'ctsh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctsh-Q225-10-Q.html'}, {'name': 'ctsh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ctsh-FY24-10-K.html'}, {'name': 'ctsh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctsh-Q324-10-Q.html'}]",4728759,USD,SMART,STK
GLOB,TE,AI3,technology,ai_consulting,LU0974299876,GLOBANT SA,7,"Proporciona servicios integrales de consultoría de IA, guiando a los clientes a través de la estrategia, el desarrollo y la implementación para aprovechar la inteligencia artificial para la transformación empresarial.","La consultoría de IA de Globant está significativamente impulsada por sus estudios de IA, que están diseñados para liderar programas de transformación de IA en diversas industrias. Estos estudios se centran en ayudar a los clientes a realizar todo el potencial de la IA mediante la realización de evaluaciones en profundidad para identificar casos de uso y oportunidades de automatización inteligente. Además, los ingresos de IA de Globant están experimentando un crecimiento sustancial, con la IA integrada en cada proyecto, y la empresa está lanzando un modelo de suscripción impulsado por IA para brindar a los clientes acceso a servicios de ingeniería, creatividad y automatización.",,160756766,USD,SMART,STK
INFY,TE,AI3,technology,ai_consulting,INE009A01021,INFOSYS LTD,8,"Proporciona servicios integrales de consultoría en inteligencia artificial, lo que permite a los clientes diseñar, desarrollar e implementar soluciones impulsadas por IA para la transformación e innovación empresarial.",,,44652017,INR,NSE,STK
PLTR,TE,AI3,technology,ai_consulting,US69608A1088,PALANTIR TECHNOLOGIES INC-A,9,"Proporciona servicios expertos y plataformas propietarias para guiar a las organizaciones a través del diseño, implementación y operacionalización de soluciones de inteligencia artificial para la integración y el análisis de datos complejos.",,,444857009,USD,SMART,STK
EPAM,TE,AI3,technology,ai_consulting,US29414B1044,EPAM SYSTEMS INC,10,"Ofrece amplios servicios de consultoría para inteligencia artificial, ayudando a las organizaciones a desarrollar e implementar estrategias y soluciones impulsadas por IA en diversas industrias.","El enfoque de EPAM en la consultoría de IA es evidente a través de sus esfuerzos para combinar servicios nativos de IA con fortalezas básicas de ingeniería y consultoría. La empresa está construyendo activamente capacidades de consultoría dirigidas por IA, viéndolo como un diferenciador clave al integrarlo con servicios de ingeniería, habilitación organizacional y transformacionales. Este movimiento estratégico permite a EPAM capitalizar la creciente demanda de soluciones de IA y ofrecer una combinación única de servicios.",,101898880,USD,SMART,STK
