industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
EU,EN7,TSLA,energy and utilities,energy_transition,US88160R1014,TESLA INC,1,"Se enfoca en acelerar la transición mundial hacia la energía sostenible a través de sus vehículos eléctricos, soluciones de almacenamiento de baterías y productos de energía solar.","El compromiso de Tesla con el tema de la Transición Energética es evidente en su misión principal de acelerar la transición mundial hacia la energía sostenible. Esta misión se apoya en el diseño, desarrollo, fabricación y venta de vehículos eléctricos, sistemas de generación de energía solar y productos de almacenamiento de energía. El enfoque de la empresa en el crecimiento rentable y el aprovechamiento de la infraestructura existente para introducir nuevos productos, mejorar las capacidades de FSD, reducir costos y expandir la infraestructura global demuestra aún más su dedicación a esta transición. Con una parte significativa de sus ingresos derivada de estos productos relacionados con la energía sostenible, las prioridades estratégicas y las operaciones de Tesla están profundamente entrelazadas con el tema de la Transición Energética.","[{'name': 'tsla-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q125-10-Q.html'}, {'name': 'tsla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q225-10-Q.html'}]",76792991,USD,SMART,STK
EU,EN7,HASI,energy and utilities,energy_transition,US41068X1000,HA SUSTAINABLE INFRASTRUCTUR,2,"Se enfoca en la financiación e inversión en proyectos de infraestructura sostenible, facilitando directamente el cambio global hacia la energía renovable y una economía baja en carbono.","El enfoque principal de la empresa es avanzar en la transición energética a través de inversiones en activos de infraestructura sostenible, con más de $13 mil millones en activos administrados. Se identifican como una firma de inversión climáticamente positiva, asociándose activamente con clientes para implementar activos reales que faciliten la transición energética, e invierten en proyectos enfocados en la reducción de gases de efecto invernadero relacionados con el cambio climático. Sus inversiones abarcan mercados de Detrás del Medidor, Conectados a la Red y Combustibles, Transporte y Naturaleza, y emplean a un equipo de más de 150 profesionales de energía limpia dedicados a esta misión.","[{'name': 'hasi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hasi-FY24-10-K.html'}, {'name': 'hasi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hasi-Q125-10-Q.html'}, {'name': 'hasi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hasi-Q225-10-Q.html'}, {'name': 'hasi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hasi-Q324-10-Q.html'}]",125815462,USD,SMART,STK
EU,EN7,GEV,energy and utilities,energy_transition,US36828A1016,GE VERNOVA INC,3,"Proporciona tecnologías y servicios esenciales para la generación de energía, las energías renovables y la modernización de la red, apoyando activamente la transición global hacia un futuro energético descarbonizado y sostenible.","El compromiso de GE Vernova con la transición energética es evidente en su enfoque en la innovación e inversión en tecnologías que reducen la intensidad de carbono de las redes eléctricas, al tiempo que garantizan la fiabilidad y la asequibilidad. La estructura especialmente diseñada de la compañía está posicionada de manera única para acelerar la transición energética a través de la electrificación y la descarbonización, ya que diseña, fabrica, entrega y da servicio a tecnologías para un sistema de energía eléctrica más fiable y sostenible. El papel de GE Vernova como líder mundial en la industria de la energía eléctrica solidifica aún más su dedicación a permitir el progreso y la prosperidad a través de soluciones sostenibles.","[{'name': 'gev-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gev-Q324-10-Q.html'}]",691984365,USD,SMART,STK
EU,EN7,NEE,energy and utilities,energy_transition,US65339F1012,NEXTERA ENERGY INC,4,"Se enfoca en el desarrollo y operación de proyectos de energía renovable, incluyendo solar y eólica, e invierte en infraestructura de red avanzada para acelerar la transición hacia una economía de energía limpia.",,,75960201,USD,SMART,STK
EU,EN7,ORSTED,energy and utilities,energy_transition,DK0060094928,ORSTED A/S,5,"Acelera la transición energética global liderando el desarrollo, la construcción y la operación de proyectos de energía renovable a gran escala, con un fuerte enfoque en la energía eólica marina.",,,242060078,DKK,SMART,STK
EU,EN7,ALB,energy and utilities,energy_transition,US0126531013,ALBEMARLE CORP,6,"Proporciona materiales críticos, en particular litio, esenciales para el desarrollo y la expansión de baterías de vehículos eléctricos y soluciones de almacenamiento de energía renovable, sustentando así el cambio global hacia la energía sostenible.","Albemarle enfatiza el papel vital del litio en la transición energética, impulsado por la creciente demanda de vehículos eléctricos y almacenamiento en red. La empresa prevé un crecimiento sustancial de la demanda de litio de 2024 a 2030, influenciado por la adopción de vehículos eléctricos y el almacenamiento estacionario, con el almacenamiento fijo acercándose al 20% de la demanda de litio. Albemarle se enfoca en optimizar su red de conversión de litio y mejorar el costo y la productividad para mantener su posición de liderazgo en la industria y garantizar la competitividad en el sector energético.","[{'name': 'alb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q324-10-Q.html'}]",4347,USD,SMART,STK
EU,EN7,VWS,energy and utilities,energy_transition,DK0061539921,VESTAS WIND SYSTEMS A/S,7,"Contribuye a la transición energética global mediante el diseño, la fabricación y el servicio de turbinas eólicas, facilitando la adopción de la generación de electricidad renovable.",,,481449559,DKK,SMART,STK
EU,EN7,AES,energy and utilities,energy_transition,US00130H1059,AES CORP,8,Acelera la transición energética global mediante el desarrollo y la operación de una cartera diversa de soluciones de energía renovable y tecnologías de almacenamiento de energía.,,,2560358,USD,SMART,STK
EU,EN7,HON,energy and utilities,energy_transition,US4385161066,HONEYWELL INTERNATIONAL INC,9,"Contribuye significativamente al cambio global hacia la energía sostenible a través del desarrollo y la provisión de tecnologías y soluciones avanzadas que permiten la descarbonización, mejoran la eficiencia energética y facilitan la adopción de fuentes de energía más limpias.","El enfoque de Honeywell en la transición energética es evidente a través de su alineación con tres poderosas megatendencias, incluida la automatización y el futuro de la aviación. El segmento de negocio de Soluciones de Energía y Sostenibilidad de la empresa proporciona tecnología, procesamiento, licencias, ciencia de materiales y química para facilitar la transición energética mundial. El compromiso de Honeywell está respaldado además por el sistema operativo Honeywell Accelerator y la plataforma de Internet de las cosas (IoT) Honeywell Forge, que sustenta su enfoque hacia estas megatendencias.","[{'name': 'hon-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hon-FY24-10-K.html'}]",4350,USD,SMART,STK
EU,EN7,SO,energy and utilities,energy_transition,US8425871071,SOUTHERN CO/THE,10,Desempeña un papel sustancial en el cambio continuo hacia la generación de energía sostenible y el desarrollo de infraestructura avanzada.,"Southern Company demuestra su compromiso con el tema de la transición energética a través de varias iniciativas. La construcción y expansión de instalaciones solares de Southern Power, incluidos los proyectos South Cheyenne y Millers Branch, resaltan la inversión de la empresa en fuentes de energía renovable. La empresa está en transición hacia la energía limpia a través de inversiones en fuentes de energía nuclear y renovable, al tiempo que retira plantas de carbón. Además, Southern Company reconoce la creciente digitalización de la economía, el crecimiento de los centros de datos, el aumento de la actividad industrial y la continua electrificación del transporte como impulsores del crecimiento proyectado en el consumo de electricidad.","[{'name': 'so-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q125-10-Q.html'}, {'name': 'so-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q324-10-Q.html'}]",12300,USD,SMART,STK
