industry_id,theme_id,symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
RE,UR4,UBER,real estate,urban_transport,US90353T1007,UBER TECHNOLOGIES INC,1,"Impulsa el panorama del transporte urbano a través de su extensa plataforma de viajes compartidos y diversas ofertas de movilidad, facilitando el movimiento conveniente y accesible para millones.","El enfoque de Uber en el transporte urbano es evidente a través de su plataforma tecnológica que impulsa el movimiento de un punto A a un punto B y conecta a los consumidores con servicios de transporte y redes de transporte público. Las reservas brutas de movilidad han mostrado un aumento interanual del 20%, lo que destaca la importancia de los servicios de transporte para el crecimiento de la empresa. Además, los esfuerzos de Uber para integrar opciones de transporte y mejorar la experiencia del usuario en áreas urbanas demuestran un compromiso con este tema, a medida que la empresa se expande a nuevos mercados e integra opciones de transporte.","[{'name': 'uber-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q125-10-Q.html'}, {'name': 'uber-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q324-10-Q.html'}, {'name': 'uber-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/uber-FY24-10-K.html'}, {'name': 'uber-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uber-Q225-10-Q.html'}]",365207014,USD,SMART,STK
RE,UR4,TSLA,real estate,urban_transport,US88160R1014,TESLA INC,2,"Desarrolla vehículos eléctricos y tecnología de conducción autónoma, con el objetivo de revolucionar la movilidad urbana a través de soluciones de transporte sostenibles y eficientes, incluyendo futuros servicios de robotaxi.",,,76792991,USD,SMART,STK
RE,UR4,OTIS,real estate,urban_transport,US68902V1070,OTIS WORLDWIDE CORP,3,"Facilita el transporte urbano a través del suministro y mantenimiento de ascensores y escaleras mecánicas, permitiendo un movimiento vertical eficiente dentro de edificios, sistemas de transporte público y otra infraestructura crítica en entornos urbanos.","Otis contribuye a la temática de Transporte Urbano a través de su participación en diversos proyectos de infraestructura. La empresa ha obtenido contratos para suministrar y modernizar ascensores y escaleras mecánicas para sistemas de metro y desarrollos de uso mixto en ciudades como Hangzhou, Changchun, Tianjin y Ciudad Ho Chi Minh. Estos proyectos, que incluyen el suministro de 145 escaleras mecánicas y 26 ascensores conectados por IoT para la nueva Línea 3 del Metro de Hangzhou y la modernización de 29 escaleras mecánicas para el Arlanda Express de Estocolmo, resaltan el papel de Otis en el apoyo a la movilidad urbana y la mejora de la experiencia de los pasajeros en ciudades clave.","[{'name': 'otis-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/otis-Q225-10-Q.html'}]",410755402,USD,SMART,STK
RE,UR4,7203,real estate,urban_transport,JP3633400001,TOYOTA MOTOR CORP,4,"Proporciona una diversa gama de vehículos y soluciones de movilidad avanzadas esenciales para el transporte urbano, incluyendo esfuerzos hacia un movimiento urbano sostenible y eficiente.",,,13905804,JPY,SMART,STK
RE,UR4,LYFT,real estate,urban_transport,US55087P1049,LYFT INC-A,5,"Opera una destacada plataforma de transporte compartido que conecta a pasajeros con conductores, sirviendo como un componente significativo de la movilidad urbana y los servicios de transporte.","Las operaciones de Lyft están profundamente entrelazadas con el tema del transporte urbano, como lo demuestra su papel como una de las redes de transporte multimodal más grandes de los Estados Unidos y Canadá. La plataforma de la empresa ofrece una gama de servicios que incluyen viajes compartidos, taxis, uso compartido de automóviles, bicicletas y scooters en varias ciudades. Esto se apoya además en el hecho de que los viajes, que incluyen opciones de viajes compartidos, bicicletas y scooters, contribuyen directamente a los ingresos de Lyft, lo que refleja el uso de su plataforma multimodal. La empresa también está ampliando las opciones para los pasajeros a través de innovaciones como Lyft Silver y centrándose en expandir su presencia en mercados desatendidos, lo que demuestra un compromiso para facilitar el movimiento dentro de los entornos urbanos.","[{'name': 'lyft-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyft-Q225-10-Q.html'}, {'name': 'lyft-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyft-Q125-10-Q.html'}, {'name': 'lyft-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lyft-FY24-10-K.html'}]",359130923,USD,SMART,STK
RE,UR4,F,real estate,urban_transport,US3453708600,FORD MOTOR CO,6,"Proporciona una diversa gama de vehículos y soluciones de movilidad diseñadas para satisfacer las necesidades cambiantes de los entornos urbanos, incluidas opciones eléctricas y comerciales para habitantes de la ciudad y empresas.",,,9599491,USD,SMART,STK
RE,UR4,J,real estate,urban_transport,US46982L1089,JACOBS SOLUTIONS INC,7,"Proporciona servicios integrales de planificación, diseño e ingeniería para infraestructura crítica de transporte urbano, incluidos sistemas de tránsito masivo, carreteras y soluciones de movilidad inteligente, mejorando la conectividad y la eficiencia en entornos urbanos.","La participación de Jacobs en el transporte urbano se demuestra a través de varios proyectos y adquisiciones. La empresa proporciona servicios de gestión estratégica y técnica para apoyar las operaciones y el mantenimiento del Metro de Copenhague, y también está apoyando el programa del Túnel Frederick Douglass. Además, Jacobs adquirió StreetLight Data, Inc., una empresa especializada en análisis de movilidad que utiliza datos y aprendizaje automático para abordar complejos desafíos de transporte. Jacobs también participa en proyectos que mejoran el transporte público mediante el desarrollo de corredores de prioridad de autobuses y carriles para bicicletas/peatones.","[{'name': 'j-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/j-Q225-10-Q.html'}, {'name': 'j-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/j-FY24-10-K.html'}]",582332987,USD,SMART,STK
RE,UR4,GM,real estate,urban_transport,US37045V1008,GENERAL MOTORS CO,8,"Fabrica y suministra una flota diversa de vehículos, incluidas plataformas eléctricas y preparadas para la autonomía, cruciales para facilitar soluciones de movilidad personal y comercial dentro de los centros urbanos.",,,80986742,USD,SMART,STK
RE,UR4,005380,real estate,urban_transport,KR7005380001,HYUNDAI MOTOR CO,9,"Contribuye al transporte urbano mediante el desarrollo y suministro de un amplio espectro de vehículos, incluidos modelos sostenibles eléctricos y de pila de combustible de hidrógeno, junto con inversiones en soluciones de movilidad futura como la conducción autónoma y la movilidad aérea urbana.",,,17382507,KRW,KSE,STK
RE,UR4,VOLV.B,real estate,urban_transport,SE0000115446,VOLVO AB-B SHS,10,"Contribuye al transporte urbano a través de su producción de autobuses, que son esenciales para los sistemas de transporte público en ciudades de todo el mundo.",,,917920,SEK,SMART,STK
RE,UR4,BMW,real estate,urban_transport,DE0005190003,BAYERISCHE MOTOREN WERKE AG,11,"Proporciona una gama de vehículos, incluidos modelos eléctricos e híbridos, junto con servicios digitales avanzados y tecnologías de conducción autónoma, lo que contribuye a soluciones de movilidad personal y compartida en entornos urbanos.",,,14094,EUR,SMART,STK
RE,UR4,WAB,real estate,urban_transport,US9297401088,WABTEC CORP,12,"Proporciona equipos, sistemas y servicios críticos para el tránsito de pasajeros, incluidas redes ferroviarias y de autobuses urbanos, mejorando la eficiencia y la confiabilidad en el transporte metropolitano.","La participación de Wabtec en el tema de Transporte Urbano es evidente a través de la provisión de equipos, sistemas y servicios basados en tecnología para la industria del tránsito de pasajeros. Los productos de la empresa, diseñados para mejorar la seguridad y la productividad, se encuentran en vagones de tránsito de pasajeros y autobuses a nivel mundial. Esto se ve respaldado por un aumento en las ventas de tránsito impulsado por una mayor demanda de productos OEM y de posventa, una mayor inversión en infraestructura y un creciente número de pasajeros a nivel mundial, incluidos contratos multianuales de puertas de andén para sistemas de metro en Madrid y Hamburgo. La empresa también obtuvo un pedido para suministrar frenos y acopladores para la autoridad de tránsito de la ciudad de Nueva York.","[{'name': 'wab-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wab-Q225-10-Q.html'}, {'name': 'wab-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wab-Q125-10-Q.html'}, {'name': 'wab-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wab-FY24-10-K.html'}]",661633,USD,SMART,STK
RE,UR4,RNO,real estate,urban_transport,FR0000131906,RENAULT SA,13,Es un participante en la industria del transporte urbano.,,,29612183,EUR,SMART,STK
RE,UR4,PSN,real estate,urban_transport,US70202L1026,PARSONS CORP,14,"Ofrece servicios integrales de planificación, diseño e ingeniería para infraestructuras complejas de transporte urbano, incluyendo sistemas de tránsito, carreteras y soluciones de transporte inteligente para mejorar la movilidad urbana.",,,365037248,USD,SMART,STK
