type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
consumer and retail,grocery_retailer,US9311421039,WALMART INC,1,"Lidera el sector minorista de comestibles a nivel mundial, proporcionando una amplia gama de productos alimenticios y artículos esenciales para el hogar a una base de clientes masiva.","La participación de Walmart en el tema de Retail de Comestibles es evidente en sus informes constantes de sólidas ventas tanto en los segmentos de Walmart U.S. como de Sam's Club. Esto se ve respaldado aún más por el crecimiento de las ventas comparables impulsado por los comestibles y la salud y el bienestar, así como por un aumento en los recortes de precios de comestibles. El enfoque de la empresa en mantener el liderazgo en precios y gestionar los costos en el sector de comestibles también resalta la importancia de este tema para la estrategia comercial general de Walmart.","[{'name': 'wmt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q325-10-Q.html'}, {'name': 'wmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q225-10-Q.html'}, {'name': 'wmt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wmt-FY24-10-K.html'}]",13824,USD,WMT,SMART,STK,True,GRO
consumer and retail,grocery_retailer,US5653941030,MAPLEBEAR INC,2,"Permite servicios de compra y entrega de comestibles en línea, conectando a los consumidores con una vasta red de minoristas de comestibles e impulsando la transformación digital de la industria.","El negocio de Instacart está profundamente entrelazado con la industria minorista de comestibles, ya que se enfoca en ""impulsar el futuro de los comestibles a través de la tecnología"" y ayudar a las familias a ahorrar tiempo y esfuerzo ""a la hora de poner comida en la mesa"". La empresa comenzó como una forma para que los hogares gestionaran cómodamente sus compras semanales de comestibles, y ahora se asocia con minoristas para ayudarles a navegar por la transformación digital de sus negocios. La cuota de ventas de Instacart es notablemente mayor que la de su competidor más cercano, lo que pone de relieve su papel central en el sector minorista de comestibles.","[{'name': 'cart-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q225-10-Q.html'}, {'name': 'cart-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q125-10-Q.html'}, {'name': 'cart-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cart-Q324-10-Q.html'}, {'name': 'cart-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cart-FY24-10-K.html'}]",655310909,USD,CART,SMART,STK,True,GRO
consumer and retail,grocery_retailer,US5010441013,KROGER CO,3,"Opera como un minorista de comestibles líder, ofreciendo una amplia gama de productos alimenticios y artículos esenciales para el día a día a través de una extensa red de tiendas.","La participación de Kroger en el tema de Minorista de Comestibles es evidente a través de su modelo de negocio e inversiones estratégicas. La base de la empresa es su negocio minorista omnicanal, que incluye combustible y salud y bienestar. Kroger se enfoca en mejorar la experiencia del cliente y operar excelentes tiendas, con inversiones destinadas a hacer crecer su negocio principal, incluyendo nuevos proyectos de tiendas y la aceleración de la apertura de nuevas tiendas. Los ingresos de la empresa se obtienen predominantemente de la venta de productos de consumo en sus tiendas, centros de combustible y a través de plataformas en línea, y las operaciones minoristas representan una parte significativa de las ventas consolidadas.","[{'name': 'kr-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kr-Q224-10-Q.html'}, {'name': 'kr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kr-Q125-10-Q.html'}, {'name': 'kr-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kr-FY25-10-K.html'}]",8908,USD,KR,SMART,STK,True,GRO
consumer and retail,grocery_retailer,US0231351067,AMAZON.COM INC,4,"Opera una presencia significativa en el sector minorista de comestibles a través de sus tiendas Whole Foods Market, tiendas en línea y físicas Amazon Fresh, y varios servicios de entrega de comestibles.","La participación de Amazon en el comercio minorista de comestibles es evidente a través de varias iniciativas y cifras de ventas sustanciales. La empresa está expandiendo su Perishables Pilot, que permite a los clientes pedir productos perecederos para entrega el mismo día, y ha visto una fuerte adopción por parte de los clientes con un alto porcentaje de compradores de perecederos por primera vez. Incluso excluyendo Whole Foods Market y Amazon Fresh, las ventas de comestibles de Amazon superan los $100 mil millones anuales, lo que la convierte en una de las mayores cadenas de supermercados de EE. UU. Este crecimiento está respaldado aún más por una mejor ubicación del inventario y velocidades de entrega récord, particularmente en la categoría de comestibles, donde los artículos esenciales de uso diario son un impulsor significativo de las ventas en unidades.",,3691937,USD,AMZN,SMART,STK,True,GRO
consumer and retail,grocery_retailer,US0130911037,ALBERTSONS COS INC - CLASS A,5,"Opera como un minorista de comestibles prominente, ofreciendo una amplia gama de alimentos y productos de uso diario a consumidores en numerosas ubicaciones.","El compromiso de Albertsons con el tema del Comercio Minorista de Comestibles es significativo, ya que la compañía es identificada como uno de los minoristas de alimentos más grandes de los Estados Unidos, operando una vasta red de tiendas en numerosos estados bajo marcas conocidas como Albertsons, Safeway y Jewel-Osco. Con una base sustancial de empleados que atienden a millones de clientes semanalmente, la compañía se enfoca en impulsar las ventas y mejorar el valor para el cliente dentro de sus operaciones de comestibles. Este compromiso se demuestra aún más a través de prioridades estratégicas e inversiones destinadas a mejorar la participación del cliente y las tendencias de ventas en el negocio de comestibles.","[{'name': 'aci-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aci-Q224-10-Q.html'}, {'name': 'aci-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aci-FY24-10-K.html'}, {'name': 'aci-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aci-Q324-10-Q.html'}, {'name': 'aci-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aci-Q125-10-Q.html'}]",429435235,USD,ACI,SMART,STK,True,GRO
consumer and retail,grocery_retailer,FR0000120172,CARREFOUR SA,6,"Opera como un minorista de comestibles global líder, ofreciendo una amplia gama de productos alimenticios y no alimenticios a los consumidores a través de varios formatos de tienda y canales en línea.",,,29612172,EUR,CA,SMART,STK,False,GRO
consumer and retail,grocery_retailer,NL0011794037,KONINKLIJKE AHOLD DELHAIZE N,7,"Opera una importante red global de supermercados y plataformas de comercio electrónico, proporcionando productos alimenticios y para el hogar esenciales a millones de clientes a diario.",,,240486295,EUR,AD,SMART,STK,False,GRO
consumer and retail,grocery_retailer,GB00BLGZ9862,TESCO PLC,8,"Como un minorista multinacional destacado, da forma significativa al panorama minorista de comestibles al operar extensas redes de supermercados y tiendas de conveniencia, ofreciendo diversas gamas de productos y satisfaciendo las necesidades diarias de una vasta base de clientes.",,,471204140,GBP,TSCO,SMART,STK,False,GRO
consumer and retail,grocery_retailer,AU000000WOW2,WOOLWORTHS GROUP LTD,9,"Opera como un actor líder en el sector de la venta minorista de comestibles, proporcionando productos alimenticios y para el hogar esenciales a los consumidores.",,,4109712,AUD,WOW,SMART,STK,False,GRO
consumer and retail,grocery_retailer,US22160K1051,COSTCO WHOLESALE CORP,10,"Opera un modelo de club de almacén basado en membresía, que ofrece una amplia selección de comestibles y otras mercancías en grandes cantidades, contribuyendo significativamente al sector minorista de comestibles.","La participación de Costco en el tema de la venta minorista de comestibles es evidente a través de sus categorías de mercancías principales, que incluyen alimentos y artículos varios, así como alimentos frescos. La empresa destaca fuertes ventas en alimentos frescos, especialmente carne, y alimentos y artículos varios, como cola y dulces, y también enfatiza artículos de valor diario como el combo de hotdog y pollo asado. Además, Costco está invirtiendo en tecnología y digital para mejorar la experiencia del miembro, al tiempo que introduce nuevas ofertas de alimentos Kirkland Signature, como palitos de carne de res alimentada con pasto y tofu orgánico extra firme, para ofrecer un mayor valor a sus miembros.","[{'name': 'cost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cost-FY24-10-K.html'}]",272997,USD,COST,SMART,STK,True,GRO
