symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
LRCX,SE2,technology,semiconductor_equipment,US5128073062,LAM RESEARCH CORP,1,"Suministra equipos y servicios avanzados de fabricación de obleas cruciales para la fabricación de semiconductores, impulsando avances dentro de la industria de equipos de semiconductores.","La importante exposición de Lam Research al tema de Equipos de Semiconductores se deriva de su negocio principal como proveedor global de equipos y servicios de fabricación de obleas para la industria de semiconductores. El crecimiento de los ingresos de la empresa está directamente relacionado con el aumento del gasto en equipos por parte de los clientes en los segmentos de mercado de memoria y fundición, así como con los ingresos relacionados con el soporte al cliente para actualizaciones, repuestos y servicios. Lam Research proporciona herramientas de grabado y deposición, incluido el sistema Vantex y la herramienta de grabado Akara, y se enfoca en la entrega de nuevos productos y servicios avanzados para lograr objetivos de crecimiento y rentabilidad. Además, Lam Research se enfoca estratégicamente en la lógica de fundición de vanguardia, las conversiones impulsadas por la tecnología en NAND y los avances en memoria de alto ancho de banda y DDR5 en DRAM, solidificando su posición como un actor clave en el sector de equipos de semiconductores.","[{'name': 'lrcx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q325-10-Q.html'}, {'name': 'lrcx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lrcx-FY25-10-K.html'}, {'name': 'lrcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q225-10-Q.html'}, {'name': 'lrcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lrcx-Q125-10-Q.html'}]",732440574,USD,SMART,STK
AMAT,SE2,technology,semiconductor_equipment,US0382221051,APPLIED MATERIALS INC,2,Proporciona equipos y servicios de fabricación críticos que permiten la producción de semiconductores avanzados a nivel mundial.,"Applied Materials está fuertemente involucrada en la industria de equipos semiconductores, proporcionando equipos de fabricación, servicios y software a los fabricantes de semiconductores. El segmento de Sistemas de Semiconductores de la empresa, que comprende equipos de capital utilizados para fabricar chips semiconductores, contribuye con una parte importante de los ingresos totales de la empresa. Además, Applied Materials se enfoca en las inflexiones tecnológicas clave, particularmente aquellas relacionadas con la IA, con inversiones en fundición lógica y DRAM de vanguardia, y está colaborando con clientes para acelerar las hojas de ruta tecnológicas de IA, solidificando su posición en el mercado de equipos semiconductores.","[{'name': 'amat-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q324-10-Q.html'}, {'name': 'amat-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q125-10-Q.html'}, {'name': 'amat-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amat-Q225-10-Q.html'}, {'name': 'amat-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amat-FY24-10-K.html'}]",266093,USD,SMART,STK
KLAC,SE2,technology,semiconductor_equipment,US4824801009,KLA CORP,3,"Proporciona soluciones avanzadas de control de procesos y gestión de rendimiento esenciales para la fabricación de semiconductores, permitiendo la producción de circuitos integrados de vanguardia.","KLA está fuertemente invertida en la industria de equipos semiconductores, como lo demuestra su posición como proveedor líder de soluciones de control de procesos y gestión de rendimiento. La amplia cartera de productos de inspección y metrología de la empresa apoya directamente la I+D y la fabricación de circuitos integrados, obleas y retículas. KLA ha mantenido una fuerte cuota global de los mercados de WFE y control de procesos, impulsada por las crecientes inversiones en lógica de vanguardia, memoria de alto ancho de banda y empaquetado avanzado, con su segmento de control de procesos de semiconductores representando una parte sustancial de los ingresos totales de la empresa.","[{'name': 'klac-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q325-10-Q.html'}, {'name': 'klac-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q225-10-Q.html'}, {'name': 'klac-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klac-Q125-10-Q.html'}, {'name': 'klac-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/klac-FY25-10-K.html'}]",270957,USD,SMART,STK
ASML,SE2,technology,semiconductor_equipment,NL0010273215,ASML HOLDING NV,4,"Fabrica sistemas avanzados de litografía, incluida la tecnología ultravioleta extrema (EUV), que son críticos para la producción de los chips semiconductores más avanzados a nivel mundial.",,,117589399,EUR,SMART,STK
TER,SE2,technology,semiconductor_equipment,US8807701029,TERADYNE INC,5,"Desarrolla y suministra equipos de prueba automáticos y otras soluciones innovadoras cruciales para el diseño, fabricación y garantía de calidad de semiconductores, apoyando el avance de la industria de semiconductores.","El negocio de Teradyne se centra en equipos semiconductores, específicamente equipos de prueba automatizados, ya que son un proveedor global líder en esta área. Sus sistemas de prueba automatizados son cruciales para probar semiconductores en diversas industrias, incluidas la electrónica de consumo, inalámbrica, automotriz y de comunicaciones. El enfoque de la empresa en aumentar la resiliencia de la cadena de suministro y escalar el volumen para satisfacer la creciente demanda subraya aún más la importancia de los equipos semiconductores para sus operaciones. Además, la creciente demanda de cómputo de IA está impulsando los resultados y generando un aumento en los pedidos de los sistemas UltraFLEXplus de Teradyne, lo que resalta el impacto directo de la industria de semiconductores en los ingresos y el crecimiento de Teradyne.","[{'name': 'ter-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ter-Q225-10-Q.html'}, {'name': 'ter-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ter-FY24-10-K.html'}, {'name': 'ter-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ter-Q324-10-Q.html'}]",12729,USD,SMART,STK
8035,SE2,technology,semiconductor_equipment,JP3571400005,TOKYO ELECTRON LTD,6,Proporciona equipos avanzados esenciales para los procesos de fabricación dentro de la industria de semiconductores.,,,13905881,JPY,SMART,STK
MKSI,SE2,technology,semiconductor_equipment,US55306N1046,MKS INC,7,"Proporciona soluciones esenciales de control de precisión y de procesos, así como subsistemas críticos, que son integrales para la fabricación de dispositivos semiconductores.","MKS Inc. participa activamente en la industria de equipos semiconductores, proporcionando soluciones críticas para la fabricación de semiconductores, incluidos productos utilizados en pasos de procesamiento importantes como deposición, grabado, limpieza, litografía, metrología e inspección. La empresa caracteriza su amplia oferta como Surround the Wafer®, lo que refleja su habilitación tecnológica en casi todos los procesos importantes en la fabricación de semiconductores actual y aborda más del 85% del mercado. Los ingresos de MKS Instruments del mercado de semiconductores representan una parte importante de sus ingresos totales, y la empresa se centra en herramientas de litografía, metrología e inspección.","[{'name': 'mksi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q324-10-Q.html'}, {'name': 'mksi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q225-10-Q.html'}, {'name': 'mksi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mksi-Q125-10-Q.html'}, {'name': 'mksi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mksi-FY24-10-K.html'}]",4814955,USD,SMART,STK
ENTG,SE2,technology,semiconductor_equipment,US29362U1043,ENTEGRIS INC,8,Proporciona servicios logísticos y de transporte especializados esenciales para el despliegue y mantenimiento global de equipos de fabricación de semiconductores.,"La conexión de la empresa con el tema de Equipos de Semiconductores se refleja en sus ventas a fabricantes de equipos y empresas de ingeniería, que experimentaron una modesta disminución intertrimestral, alineándose con los comentarios sobre un entorno de CapEx industrial débil. Los comentarios de la empresa sobre el entorno de CapEx industrial débil y las ventas a fabricantes de equipos indican relevancia. Aunque el documento hace referencia al gasto de capital de la industria (CapEx) y a WFE (Wafer Fab Equipment), carece de detalles específicos sobre la contribución de los ingresos.",,9653775,USD,SMART,STK
SNPS,SE2,technology,semiconductor_equipment,US8716071076,SYNOPSYS INC,9,"Desarrolla software de automatización de diseño electrónico (EDA) y propiedad intelectual crítica para el diseño, verificación y fabricación de semiconductores, permitiendo así avances en equipos de semiconductores.",,,274499,USD,SMART,STK
CDNS,SE2,technology,semiconductor_equipment,US1273871087,CADENCE DESIGN SYS INC,10,"Proporciona software de automatización de diseño electrónico y propiedad intelectual críticos para el desarrollo y la fabricación de dispositivos semiconductores, apoyando todo el ecosistema de equipos semiconductores.",,,5552,USD,SMART,STK
KLIC,SE2,technology,semiconductor_equipment,US5012421013,KULICKE & SOFFA INDUSTRIES,11,Desarrolla y fabrica equipos y soluciones avanzadas críticas para diversas etapas del ensamblaje y empaquetado de semiconductores.,"El negocio de Kulicke and Soffa está significativamente ligado a la industria de Equipos de Semiconductores, como lo demuestra su papel como líder mundial en tecnología de ensamblaje de semiconductores. Las actividades principales de la empresa giran en torno al diseño, desarrollo, fabricación y venta de equipos de ensamblaje de semiconductores, incluyendo bonding de bolas, bonding de cuñas y sistemas avanzados de dispensación. Una gran parte de sus ingresos se deriva de estos equipos, y su desempeño financiero se ve directamente afectado por las fluctuaciones de la industria de semiconductores, con el objetivo de ser el líder tecnológico en este espacio a través de continuas inversiones en investigación y desarrollo.","[{'name': 'klic-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klic-Q125-10-Q.html'}, {'name': 'klic-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/klic-Q225-10-Q.html'}, {'name': 'klic-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/klic-FY24-10-K.html'}]",270963,USD,SMART,STK
