symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
TMO,BI4,health,leader_in_biotechnology,US8835561023,THERMO FISHER SCIENTIFIC INC,1,"Sirve como proveedor fundamental de instrumentación científica, reactivos y servicios, impulsando la innovación y el desarrollo en la industria biotecnológica.","El papel de Thermo Fisher como líder en biotecnología es evidente a través de su innovación constante, soluciones de vanguardia y asociaciones estratégicas, incluida una colaboración ampliada con Sanofi para la fabricación de productos farmacéuticos en EE. UU. La compañía enfatiza su 'estatus de socio de confianza' y su capacidad única para permitir el éxito del cliente, lo que resuena fuertemente con los clientes e impulsa las ganancias de cuota de mercado. Además, Thermo Fisher empodera a los investigadores y apoya el desarrollo de nuevas terapias como líder de la industria en espectrometría de masas y microscopía electrónica, lo que permite avances en ciencias de la vida y atención médica.","[{'name': 'tmo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tmo-FY24-10-K.html'}]",12869,USD,SMART,STK
AMGN,BI4,health,leader_in_biotechnology,US0311621009,AMGEN INC,2,"Desarrolla, fabrica y comercializa productos terapéuticos humanos innovadores, impulsando avances en biotecnología en diversas áreas de enfermedades.","La conexión de Amgen con el tema Líder en Biotecnología es evidente en su autodescripción como una de las principales empresas de biotecnología independientes del mundo, una posición que ha mantenido desde que ayudó a lanzar la industria hace más de 40 años. Esta afirmación subraya la identidad y la estrategia de la empresa, reflejando su enfoque en medicamentos innovadores y la atención a necesidades médicas no cubiertas. Amgen aprovecha su experiencia para mejorar vidas y reducir la carga de las enfermedades, solidificando aún más su papel como líder en el sector de la biotecnología.","[{'name': 'amgn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amgn-Q324-10-Q.html'}, {'name': 'amgn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amgn-FY24-10-K.html'}]",266145,USD,SMART,STK
ABBV,BI4,health,leader_in_biotechnology,US00287Y1091,ABBVIE INC,3,Su sustancial presencia e influencia dentro del sector de la biotecnología subrayan su papel como líder clave en el avance de las innovaciones biotecnológicas.,"La posición de AbbVie como una empresa biofarmacéutica global, diversificada y basada en la investigación, con un enfoque en el descubrimiento y desarrollo de medicamentos innovadores, subraya su importancia como líder en biotecnología. Esto está respaldado además por los objetivos estratégicos de AbbVie, que incluyen la expansión de su cartera y el logro de un rendimiento financiero de primer nivel, así como su éxito a largo plazo que depende de la colaboración con otras empresas biotecnológicas o farmacéuticas. Las posiciones de liderazgo de AbbVie en inmunología, oncología, estética, neurociencia y cuidado ocular, combinadas con su completa cartera de productos y adquisiciones estratégicas como Cerevel Therapeutics e ImmunoGen, resaltan su papel activo en la configuración del panorama biotecnológico.","[{'name': 'abbv-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/abbv-Q324-10-Q.html'}, {'name': 'abbv-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/abbv-FY24-10-K.html'}]",118089500,USD,SMART,STK
DHR,BI4,health,leader_in_biotechnology,US2358511028,DANAHER CORP,4,"Sirve como un proveedor clave de herramientas, tecnologías y servicios esenciales que impulsan la innovación y el avance dentro del sector de la biotecnología.","El compromiso de Danaher con el tema de Líder en Biotecnología es evidente a través de su segmento de Biotecnología, que proporciona una gama de equipos, consumibles y servicios destinados a acelerar la investigación, el desarrollo, la fabricación y la entrega de medicamentos biológicos, incluidas bioterapias como anticuerpos monoclonales y terapias celulares, génicas y de ARNm. La visión estratégica de la empresa incluye convertirse en un líder científico y tecnológico respetado, respaldado por inversiones en innovación y posicionamiento en mercados finales atractivos impulsados por las necesidades de atención médica. Además, Danaher se enfoca en ofrecer soluciones innovadoras, como la cartera de purificación de Cytiva y los avances en espectrometría de masas de SCIEX, para mejorar la eficiencia de fabricación y el rendimiento en el desarrollo de fármacos.","[{'name': 'dhr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q324-10-Q.html'}, {'name': 'dhr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dhr-Q225-10-Q.html'}, {'name': 'dhr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dhr-FY24-10-K.html'}]",6442,USD,SMART,STK
JNJ,BI4,health,leader_in_biotechnology,US4781601046,JOHNSON & JOHNSON,5,"Impulsa la innovación y la comercialización dentro del sector de la biotecnología a través de una extensa investigación y desarrollo, contribuyendo significativamente a los avances en soluciones farmacéuticas y médicas a nivel mundial.",,,8719,USD,SMART,STK
ROG,BI4,health,leader_in_biotechnology,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,6,"Opera como una empresa líder en el sector de la biotecnología, impulsando la innovación y el desarrollo en el campo.",,,228954,CHF,SMART,STK
PFE,BI4,health,leader_in_biotechnology,US7170811035,PFIZER INC,7,"Aprovecha amplias capacidades de investigación y desarrollo para descubrir, desarrollar y comercializar una amplia cartera de productos biofarmacéuticos, impulsando la innovación y el liderazgo en el sector de la biotecnología.",,,11031,USD,SMART,STK
BMY,BI4,health,leader_in_biotechnology,US1101221083,BRISTOL-MYERS SQUIBB CO,8,"Opera como una empresa destacada dentro del sector de la biotecnología, contribuyendo significativamente a los avances e innovaciones en la investigación y el desarrollo biofarmacéutico.",,,5111,USD,SMART,STK
GILD,BI4,health,leader_in_biotechnology,US3755581036,GILEAD SCIENCES INC,9,"Impulsa avances en biotecnología a través del desarrollo y la comercialización de medicamentos innovadores, abordando necesidades médicas críticas no satisfechas a nivel mundial.","Gilead está fuertemente asociada con el tema de la industria Líder en Biotecnología, impulsada por su larga trayectoria en la búsqueda de avances médicos como empresa biofarmacéutica. Esto se ve reforzado por el liderazgo de Kite en CAR T, demostrado por unas ventas anuales de 2.000 millones de dólares y más de 7.000 pacientes tratados en 2024, y el compromiso general de Gilead con el avance de medicamentos innovadores. Las ambiciones estratégicas de Gilead también incluyen ser un empleador y socio de elección en biotecnología, junto con su sólida y diversa cartera de productos que impulsa la innovación y el crecimiento del mercado dentro del sector biotecnológico.","[{'name': 'gild-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gild-FY24-10-K.html'}]",269753,USD,SMART,STK
GSK,BI4,health,leader_in_biotechnology,GB00BN7SWP63,GSK PLC,10,"Impulsa la innovación en el sector de la biotecnología a través de una extensa investigación, desarrollo y comercialización de productos biofarmacéuticos innovadores, incluidas vacunas avanzadas y medicamentos terapéuticos especializados.",,,574757089,GBP,SMART,STK
4502,BI4,health,leader_in_biotechnology,JP3463000004,TAKEDA PHARMACEUTICAL CO LTD,11,"Impulsa la innovación en biotecnología a través de una extensa investigación y desarrollo, centrándose en áreas terapéuticas novedosas y aprovechando la ciencia biológica avanzada para llevar nuevos tratamientos a pacientes a nivel mundial.",,,13905462,JPY,SMART,STK
