type,link_type,key,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable
automotive,automobile_manufacturers,US88160R1014,TESLA INC,1,"Funciona como un fabricante global líder de vehículos eléctricos, impulsando la innovación y estableciendo puntos de referencia dentro de la industria automotriz en general.","El compromiso de Tesla con la industria de Fabricantes de Automóviles es evidente en sus operaciones principales, ya que la empresa diseña, desarrolla, fabrica, arrienda y vende vehículos totalmente eléctricos de alto rendimiento. Con la misión de acelerar la transición del mundo hacia la energía sostenible, Tesla enfatiza su dedicación a la producción de vehículos eléctricos en múltiples Gigafábricas globales, incluidas las de Fremont, Shanghai, Berlín-Brandeburgo y Texas, produciendo modelos como el Model S, Model X, Model 3, Model Y y Cybertruck. El enfoque de la empresa también incluye la introducción de modelos más económicos en el mercado, solidificando aún más su posición en la industria automotriz.","[{'name': 'tsla-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q324-10-Q.html'}, {'name': 'tsla-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsla-FY24-10-K.html'}, {'name': 'tsla-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q125-10-Q.html'}, {'name': 'tsla-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsla-Q225-10-Q.html'}]",76792991,USD,TSLA,SMART,STK,True
automotive,automobile_manufacturers,US37045V1008,GENERAL MOTORS CO,2,"Como productor global de primer nivel, desarrolla, fabrica y vende una cartera diversa de automóviles bajo varias marcas, contribuyendo significativamente al mercado automotriz mundial.","Las operaciones de General Motors como fabricante de automóviles son centrales para su negocio, como lo demuestran sus ventas de vehículos, producción y rendimiento financiero en diversas regiones. El éxito financiero de la compañía está estrechamente ligado a su cartera de vehículos, particularmente a las camionetas pickup y SUVs de gran tamaño de alto margen, con una parte significativa de los ingresos provenientes de las ventas de vehículos en América del Norte y China. El compromiso de GM con la industria automotriz se demuestra aún más a través de sus inversiones en plantas de fabricación en EE. UU., su extensa red de instalaciones y su enfoque estratégico en adaptarse a las preferencias del cliente a través de inversiones en vehículos eléctricos, híbridos y tecnología de vehículos autónomos, al tiempo que fortalece su posición en el mercado de vehículos de combustión interna.","[{'name': 'gm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gm-FY24-10-K.html'}, {'name': 'gm-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q324-10-Q.html'}, {'name': 'gm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q125-10-Q.html'}, {'name': 'gm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gm-Q225-10-Q.html'}]",80986742,USD,GM,SMART,STK,True
automotive,automobile_manufacturers,US3453708600,FORD MOTOR CO,3,"Se dedica al diseño, fabricación, comercialización y servicio de una amplia gama de automóviles, camiones, SUV y vehículos comerciales a nivel mundial.","La conexión de Ford con el tema de la industria de Fabricantes de Automóviles es fuerte, como lo demuestra su posición como un importante productor automotriz y la marca más vendida en los EE. UU. Las operaciones, el desempeño financiero y las decisiones estratégicas de la empresa se centran en su papel como fabricante de automóviles, con discusiones detalladas sobre volúmenes de producción, ingresos y desempeño de segmentos para Ford Blue, Ford Model e y Ford Pro. Además, el enfoque de la empresa en camionetas, productos icónicos de pasión y tecnología innovadora, junto con los ajustes a su estrategia de vehículos eléctricos, destaca su compromiso con la industria automotriz.","[{'name': 'f-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q324-10-Q.html'}, {'name': 'f-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q225-10-Q.html'}, {'name': 'f-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/f-FY24-10-K.html'}]",9599491,USD,F,SMART,STK,True
automotive,automobile_manufacturers,US6937181088,PACCAR INC,4,"Diseña, fabrica y distribuye camiones premium de alta resistencia, desempeñando un papel clave en el segmento de vehículos comerciales de la industria de fabricantes de automóviles.","La participación de PACCAR en el tema de Fabricantes de Automóviles es evidente a través de sus operaciones comerciales principales. El segmento de Camiones de la empresa se enfoca en el diseño y la fabricación de camiones comerciales ligeros, medianos y pesados, vendidos bajo las marcas Kenworth, Peterbilt y DAF en América del Norte, Europa y otros mercados globales. El rendimiento de PACCAR está estrechamente ligado a sus divisiones de camiones, y el segmento de Camiones representa una parte sustancial de los ingresos de la empresa, como lo demuestra el volumen significativo de entregas de camiones cada trimestre.","[{'name': 'pcar-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pcar-FY24-10-K.html'}, {'name': 'pcar-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcar-Q225-10-Q.html'}, {'name': 'pcar-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcar-Q324-10-Q.html'}, {'name': 'pcar-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pcar-Q125-10-Q.html'}]",272992,USD,PCAR,SMART,STK,True
automotive,automobile_manufacturers,JP3633400001,TOYOTA MOTOR CORP,5,"Desarrolla, produce y comercializa una amplia gama de vehículos, desempeñando un papel fundamental en el sector global de la fabricación de automóviles.",,,13905804,JPY,7203,SMART,STK,False
automotive,automobile_manufacturers,US60741F1049,MOBILEYE GLOBAL INC-A,6,"Suministra plataformas críticas de detección basada en visión y conducción autónoma, lo que permite a los fabricantes de automóviles integrar funciones avanzadas de seguridad y capacidades de autoconducción en sus líneas de vehículos.","El negocio de Mobileye está significativamente ligado a los fabricantes de automóviles, como lo demuestra su colaboración activa con más de 50 OEM a nivel mundial en soluciones ADAS. La empresa genera la mayor parte de sus ingresos de la venta de SoC EyeQ a estos OEM a través de proveedores automotrices de Nivel 1, y el rendimiento general de su negocio está directamente relacionado con las ventas de automóviles y la producción de vehículos. Además, Mobileye envió aproximadamente 29 millones de sistemas en un año reciente, siendo la gran mayoría SoC EyeQ, lo que resalta la fuerte demanda de los OEM.","[{'name': 'mbly-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mbly-FY24-10-K.html'}, {'name': 'mbly-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mbly-Q125-10-Q.html'}]",593660024,USD,MBLY,SMART,STK,False
automotive,automobile_manufacturers,DE0007664005,VOLKSWAGEN AG,7,"Opera como un importante fabricante mundial de diversas marcas de vehículos, contribuyendo significativamente a la producción y la innovación dentro de la industria automotriz.",,,14232,EUR,VOW,SMART,STK,False
automotive,automobile_manufacturers,US7311052010,POLESTAR AUTOMOTIVE-CL A ADS,8,"Se dedica al diseño, desarrollo y producción de automóviles, contribuyendo directamente al sector de la fabricación de automóviles.","Polestar se posiciona como un fabricante de automóviles, diseñando, produciendo y vendiendo vehículos eléctricos de pasajeros. La empresa se enfoca en el crecimiento, demostrado por un aumento del 74% en el lado minorista en EE. UU. y un crecimiento general de los ingresos del 84% impulsado por las ventas de Polestar 3 y 4, con Polestar 4 representando el 49% del volumen total. La empresa está innovando con tecnologías como trenes motrices eléctricos, optimizando operaciones y asociándose para competir con otros fabricantes de automóviles premium, al mismo tiempo que se enfoca en el diseño, la sostenibilidad y el rendimiento.",,569833086,USD,PSNY.OLD,SMART,STK,False
automotive,automobile_manufacturers,US5218652049,LEAR CORP,9,"Suministra sistemas eléctricos y de asientos automotrices críticos, componentes esenciales para los fabricantes de automóviles a nivel mundial.","La conexión de Lear Corporation con la industria de Fabricantes de Automóviles es evidente a través de su papel como líder mundial en tecnología automotriz, suministrando sistemas completos de asientos, componentes clave de asientos y sistemas de distribución y conexión eléctrica. Lear atiende a todos los principales fabricantes de automóviles del mundo a través de sus negocios de Seating y E-Systems y tiene contenido automotriz en más de 475 modelos de vehículos. La empresa proporciona varios productos, incluyendo productos de distribución de energía de alto voltaje, productos de distribución de energía de bajo voltaje y controladores electrónicos, a estos importantes fabricantes.","[{'name': 'lea-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lea-Q125-10-Q.html'}, {'name': 'lea-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lea-Q324-10-Q.html'}]",70152668,USD,LEA,SMART,STK,True
automotive,automobile_manufacturers,DE0005190003,BAYERISCHE MOTOREN WERKE AG,10,"Se dedica al diseño, fabricación y distribución global de una cartera diversa de automóviles premium.",,,14094,EUR,BMW,SMART,STK,False
