type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
technology,microelectronics,TW0002330008,TAIWAN SEMICONDUCTOR MANUFAC,1,"Fabrica componentes microelectrónicos avanzados y circuitos integrados, proporcionando la tecnología fundamental esencial para una gran variedad de dispositivos y sistemas electrónicos modernos a nivel mundial.",,37928709,TWD,2330,TWSE,STK,False,,TE_MIC
technology,microelectronics,US4581401001,INTEL CORP,2,"Diseña y fabrica microprocesadores y otros componentes semiconductores esenciales, impulsando los avances en la tecnología de computación y microelectrónica fundamental.",,270639,USD,INTC,SMART,STK,True,,TE_MIC
technology,microelectronics,US67066G1040,NVIDIA CORP,3,"Diseña y fabrica componentes semiconductores avanzados, incluidas GPUs y chipsets, esenciales para la computación de alto rendimiento, la inteligencia artificial y la infraestructura de centros de datos.",,4815747,USD,NVDA,SMART,STK,True,,TE_MIC
technology,microelectronics,KR7005930003,SAMSUNG ELECTRONICS CO LTD,4,"Es un fabricante mundial líder de diversos componentes microelectrónicos, incluidos semiconductores lógicos y de memoria avanzados, y proporciona servicios de fundición, impulsando así la innovación y la producción en toda la industria.",,17382528,KRW,005930,KSE,STK,False,,TE_MIC
technology,microelectronics,US0382221051,APPLIED MATERIALS INC,5,"Proporciona equipos, servicios y software de fabricación críticos que permiten la producción de dispositivos semiconductores avanzados, formando la base de la industria microelectrónica.",,266093,USD,AMAT,SMART,STK,True,,TE_MIC
technology,microelectronics,US5128073062,LAM RESEARCH CORP,6,Proporciona equipos y servicios críticos de fabricación de obleas que son fundamentales para la producción de dispositivos microelectrónicos avanzados.,,732440574,USD,LRCX,SMART,STK,True,,TE_MIC
technology,microelectronics,US7475251036,QUALCOMM INC,7,"Diseña y desarrolla microprocesadores avanzados y chipsets de comunicación que potencian una amplia gama de dispositivos conectados, contribuyendo significativamente a la evolución de la tecnología móvil y la innovación microelectrónica en general.",,273544,USD,QCOM,SMART,STK,True,,TE_MIC
technology,microelectronics,US0079031078,ADVANCED MICRO DEVICES,8,"Diseña y fabrica microprocesadores de alto rendimiento, unidades de procesamiento gráfico y soluciones de computación adaptativa, sirviendo como un innovador y proveedor clave dentro de la industria de los microelectrónicos.","AMD opera como una empresa global de semiconductores, con sus principales ofertas que incluyen microprocesadores de servidor, unidades de procesamiento gráfico y unidades de procesamiento acelerado, junto con unidades de procesamiento de datos, matrices de puerta programables en campo, tarjetas de interfaz de red inteligentes, aceleradores de IA y productos adaptativos de Sistema en Chip para centros de datos, lo que convierte la microelectrónica en un aspecto central de su negocio. El enfoque de la empresa en el diseño y la fabricación de microprocesadores, GPU y otros componentes microelectrónicos señala una dedicación significativa al campo. La extensa línea de productos de AMD demuestra una sólida posición en microelectrónica.",4391,USD,AMD,SMART,STK,True,"[{'name': 'amd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amd-Q324-10-Q.html'}]",TE_MIC
technology,microelectronics,US11135F1012,BROADCOM INC,9,"Se enfoca en el diseño, desarrollo y suministro de una amplia gama de dispositivos semiconductores que son integrales para diversos sistemas y aplicaciones microelectrónicos.",,313130367,USD,AVGO,SMART,STK,True,,TE_MIC
technology,microelectronics,US8825081040,TEXAS INSTRUMENTS INC,10,"Desarrolla y fabrica una amplia cartera de semiconductores analógicos y de procesamiento embebido, sirviendo como proveedor fundamental para diversos sistemas y aplicaciones electrónicas dentro de la industria de la microelectrónica.",,13096,USD,TXN,SMART,STK,True,,TE_MIC
technology,microelectronics,US4824801009,KLA CORP,11,Contribuye a la industria de la Microelectrónica.,,270957,USD,KLAC,SMART,STK,True,,TE_MIC
technology,microelectronics,US5951121038,MICRON TECHNOLOGY INC,12,"Desarrolla y fabrica soluciones avanzadas de memoria y almacenamiento, componentes críticos que sustentan diversas aplicaciones dentro de la industria microelectrónica.",,9939,USD,MU,SMART,STK,True,,TE_MIC
technology,microelectronics,DE0006231004,INFINEON TECHNOLOGIES AG,13,"Desarrolla y fabrica una amplia cartera de soluciones de semiconductores, incluyendo CI de gestión de energía, microcontroladores automotrices y sensores, que son fundamentales para los avances en diversos sistemas y aplicaciones electrónicas dentro de la industria de la microelectrónica.",,7747731,EUR,IFX,SMART,STK,False,,TE_MIC
technology,microelectronics,US0326541051,ANALOG DEVICES INC,14,"Desarrolla y suministra una amplia gama de circuitos integrados analógicos, de señal mixta y de procesamiento de señal digital de alto rendimiento, esenciales para diversos sistemas electrónicos avanzados.",,4157,USD,ADI,SMART,STK,True,,TE_MIC
technology,microelectronics,US5950171042,MICROCHIP TECHNOLOGY INC,15,"Desarrolla y suministra una amplia cartera de microcontroladores, circuitos integrados analógicos y de señal mixta, sirviendo como componentes fundamentales en diversos sistemas electrónicos.",,271568,USD,MCHP,SMART,STK,True,,TE_MIC
technology,microelectronics,US6821891057,ON SEMICONDUCTOR,16,Desarrolla y fabrica una amplia cartera de productos semiconductores que son fundamentales para diversas aplicaciones microelectrónicas en numerosas industrias.,,8677881,USD,ON,SMART,STK,True,,TE_MIC
technology,microelectronics,JP3164720009,RENESAS ELECTRONICS CORP,17,"Desarrolla y fabrica una amplia cartera de microcontroladores, soluciones analógicas, de potencia y de sistema en chip cruciales para diversas aplicaciones dentro de la industria de la microelectrónica.",,31676917,JPY,6723,SMART,STK,False,,TE_MIC
technology,microelectronics,US0316521006,AMKOR TECHNOLOGY INC,18,Está involucrada en el tema de la industria de los microelectrónicos.,,4726244,USD,AMKR,SMART,STK,True,,TE_MIC
technology,microelectronics,US7194051022,PHOTRONICS INC,19,"Fabrica fotomáscaras, que son componentes esenciales en la producción de circuitos integrados y otros dispositivos microelectrónicos.","La participación de Photronics en el tema de la Microelectrónica es evidente a través de su tecnología de fotomáscaras, que se aplica en la fabricación de sistemas microelectromecánicos. La compañía también reconoce la volatilidad histórica dentro de la industria de la microelectrónica, incluyendo recesiones periódicas y desaceleraciones en la actividad de diseño. Si bien estos puntos indican participación, la compañía vende principalmente fotomáscaras a diseñadores y fabricantes de semiconductores, lo que sugiere que su conexión con la microelectrónica es más indirecta.",273165,USD,PLAB,SMART,STK,True,"[{'name': 'plab-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/plab-FY24-10-K.html'}, {'name': 'plab-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plab-Q324-10-Q.html'}, {'name': 'plab-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/plab-Q224-10-Q.html'}]",TE_MIC
technology,microelectronics,US6833441057,ONTO INNOVATION INC,20,Proporciona soluciones avanzadas de control de procesos críticas para la fabricación y el aseguramiento de la calidad de dispositivos microelectrónicos.,"El negocio de Onto Innovation se centra en la industria de los microelectrónicos, ya que diseña, desarrolla, fabrica y da soporte a herramientas de metrología e inspección específicamente para fabricantes de dispositivos microelectrónicos. Los sistemas de metrología de control de alto rendimiento, inspección de defectos, litografía y análisis de datos de la empresa son integrales para estos fabricantes. Este enfoque en proporcionar soluciones para fabricantes de dispositivos microelectrónicos demuestra un interés y una inversión estratégica significativos en el campo.",387597494,USD,ONTO,SMART,STK,True,"[{'name': 'onto-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/onto-Q225-10-Q.html'}]",TE_MIC
technology,microelectronics,US55024U1097,LUMENTUM HOLDINGS INC,21,Contribuye a la industria de los microelectrónicos mediante el desarrollo de componentes ópticos y fotónicos avanzados esenciales para diversas aplicaciones de alta tecnología.,"Lumentum apoya a la industria de la microelectrónica a través de la incorporación de sus láseres en las herramientas de máquinas de fabricación de los clientes, que se utilizan para el procesamiento de precisión de materiales en la fabricación de microelectrónica. La adopción de los productos de Lumentum en el mercado final industrial está impulsada por las necesidades de los clientes de avanzar en las hojas de ruta de la industria de semiconductores y microelectrónica, alineándose con las tendencias de la Industria 4.0/5.0 centradas en aumentar la precisión y flexibilidad de fabricación, al tiempo que se reduce el desperdicio y el impacto ambiental. Si bien la microelectrónica es una de las varias aplicaciones para los láseres de Lumentum, sigue siendo un área notable respaldada por su tecnología.",201113895,USD,LITE,SMART,STK,True,"[{'name': 'lite-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lite-Q225-10-Q.html'}, {'name': 'lite-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lite-Q125-10-Q.html'}]",TE_MIC
technology,microelectronics,US8010561020,SANMINA CORP,22,Ofrece soluciones de fabricación que apoyan la producción y el ensamblaje de componentes microelectrónicos para diversas industrias.,"El compromiso de Sanmina con el tema de la Microelectrónica es evidente a través de su división de Tecnologías Avanzadas de Microsistemas, que proporciona servicios de diseño y fabricación de microelectrónica. Estos servicios forman parte del negocio de Componentes, Productos y Servicios (CPS) de Sanmina, lo que indica una oferta consistente en su cartera. Si bien la microelectrónica es un componente de un segmento de negocio más amplio, su mención explícita destaca su papel dentro de las ofertas de la empresa.",117032813,USD,SANM,SMART,STK,True,"[{'name': 'sanm-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sanm-Q225-10-Q.html'}, {'name': 'sanm-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sanm-Q325-10-Q.html'}, {'name': 'sanm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sanm-FY24-10-K.html'}, {'name': 'sanm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sanm-Q125-10-Q.html'}]",TE_MIC
technology,microelectronics,US2788651006,ECOLAB INC,23,Es importante para el tema de la industria de la microelectrónica.,"Ecolab demuestra su participación en la industria de Microelectrónica a través de su negocio Global High-Tech, que aprovecha la experiencia en soluciones de circularidad del agua para la producción de microelectrónica. Este negocio está experimentando un rápido crecimiento, con ventas superiores al 30% y márgenes de beneficio operativo superiores al 20%. Además, dentro del segmento operativo Light & Heavy de Global Water, el fuerte crecimiento de ventas de dos dígitos se atribuye a los centros de datos y la microelectrónica, con un crecimiento de ventas de alta tecnología impulsado por soluciones de agua circular para la microelectrónica.",6682,USD,ECL,SMART,STK,True,"[{'name': 'ecl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ecl-Q225-10-Q.html'}, {'name': 'ecl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ecl-Q324-10-Q.html'}, {'name': 'ecl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ecl-Q125-10-Q.html'}]",TE_MIC
