symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
MSGS,EM,SP1,entertainment and media,sports_franchises,US55825T1034,MADISON SQUARE GARDEN SPORTS,1,"Funciona como propietario y operador líder de franquicias deportivas profesionales, desempeñando un papel central en el panorama del entretenimiento deportivo.","El negocio de la empresa se centra en la propiedad y operación de franquicias deportivas profesionales, principalmente los New York Knicks (NBA) y los New York Rangers (NHL). Estas franquicias son activos intangibles identificables de vida indefinida, cuyo rendimiento impacta directamente en los ingresos de la empresa, como lo demuestran las discusiones sobre resultados financieros, acuerdos de derechos de medios y aspectos operativos. La confianza de la empresa en el valor de poseer estas icónicas franquicias deportivas se ve aún más subrayada por la demanda sostenida de consumidores y corporaciones, lo que impulsa aumentos en categorías clave de ingresos dentro del juego.","[{'name': 'msgs-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msgs-Q225-10-Q.html'}, {'name': 'msgs-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msgs-Q325-10-Q.html'}, {'name': 'msgs-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/msgs-Q125-10-Q.html'}]",206591285,USD,SMART,STK
TKO,EM,SP1,entertainment and media,sports_franchises,US87256C1018,TKO GROUP HOLDINGS INC,2,"Opera franquicias deportivas líderes a nivel mundial, abarcando los principales deportes de combate y propiedades de entretenimiento que impulsan un importante compromiso de los aficionados e ingresos.","El negocio de TKO Group Holdings se centra en la gestión y operación de franquicias deportivas, principalmente UFC y WWE. La empresa se enfoca en el éxito competitivo, la participación de los fanáticos y la generación de ingresos a través de eventos en vivo, derechos de medios y asociaciones, con estas franquicias generando ingresos significativos y EBITDA ajustado. La participación de TKO se extiende a PBR e incluye asociaciones con organizaciones como la NFL y la CONMEBOL, lo que solidifica aún más su posición en el panorama de las franquicias deportivas. La empresa también tiene como objetivo aprovechar estas franquicias a través de la comercialización, la monetización de contenido y la organización de eventos importantes a nivel mundial.","[{'name': 'tko-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tko-Q225-10-Q.html'}, {'name': 'tko-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tko-FY24-10-K.html'}]",652841542,USD,SMART,STK
FWONK,EM,SP1,entertainment and media,sports_franchises,US5312297550,LIBERTY MEDIA CORP-FORMULA-C,3,"Opera como propietario y titular de los derechos comerciales del Grupo Fórmula Uno, una franquicia de deportes de motor de primer nivel a nivel mundial.","La participación de Liberty Media en el tema de las Franquicias Deportivas se produce principalmente a través de su propiedad y operación de la Fórmula 1, su filial operativa más importante y un segmento reportable. La Fórmula 1 es un negocio mundial de deportes de motor que ostenta los derechos comerciales exclusivos con respecto al Campeonato Mundial. Como filial consolidada de propiedad total, la Fórmula 1 mantiene una posición única dentro del panorama de las franquicias deportivas.","[{'name': 'fwonk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fwonk-Q125-10-Q.html'}]",646549324,USD,SMART,STK
EA,EM,SP1,entertainment and media,sports_franchises,US2855121099,ELECTRONIC ARTS INC,4,"Desarrolla y publica una cartera líder de franquicias de videojuegos deportivos, contribuyendo significativamente al segmento del entretenimiento interactivo de la industria deportiva.","La participación de EA con franquicias deportivas es evidente a través de su cartera, que incluye marcas de propiedad total y propiedades licenciadas como EA SPORTS FC y Madden NFL. Estos títulos deportivos impulsan significativamente los ingresos, particularmente a través del modo Ultimate Team, donde las compras de contenido adicional contribuyen materialmente a los ingresos de servicios en vivo de la empresa. El éxito de estas franquicias, especialmente dentro del ecosistema del fútbol americano, ha generado importantes reservas netas, con un crecimiento impulsado por un mayor compromiso de los jugadores y las horas de juego en las plataformas de consola y PC. El enfoque de EA en la creación de juegos y experiencias en torno a franquicias deportivas clave subraya su importancia para la estrategia comercial general de la empresa, como lo destacan los ejecutivos y los resultados financieros.","[{'name': 'ea-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q225-10-Q.html'}, {'name': 'ea-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ea-FY25-10-K.html'}]",268995,USD,SMART,STK
MANU,EM,SP1,entertainment and media,sports_franchises,KYG5784H1065,MANCHESTER UNITED PLC-CL A,5,"Opera como un club de fútbol profesional reconocido a nivel mundial, representando una entidad significativa dentro del sector de las franquicias deportivas.",,,111853004,USD,SMART,STK
NKE,EM,SP1,entertainment and media,sports_franchises,US6541061031,NIKE INC -CL B,6,"Patrocina y suministra indumentaria, calzado y equipo a numerosos equipos y ligas profesionales y universitarias, mejorando la visibilidad de la marca y la participación de los fanáticos dentro de la industria deportiva.",,,10291,USD,SMART,STK
DIS,EM,SP1,entertainment and media,sports_franchises,US2546871060,WALT DISNEY CO/THE,7,"Opera una red líder mundial de medios deportivos que transmite una amplia gama de eventos y ligas deportivas profesionales, proporcionando una exposición y distribución significativas para las franquicias deportivas.",,,6459,USD,SMART,STK
JUVE,EM,SP1,entertainment and media,sports_franchises,IT0005572778,JUVENTUS FOOTBALL CLUB SPA,8,"Opera como un club de fútbol profesional, participando en competiciones deportivas, gestión de jugadores y actividades comerciales inherentes a una franquicia deportiva importante.",,,678896741,EUR,SMART,STK
TTWO,EM,SP1,entertainment and media,sports_franchises,US8740541094,TAKE-TWO INTERACTIVE SOFTWRE,9,"Desarrolla y publica franquicias de videojuegos de simulación deportiva líderes, incluyendo baloncesto y lucha libre, que son integrales para el mercado del entretenimiento deportivo digital.","El compromiso de Take-Two Interactive con las franquicias deportivas es evidente a través de sus exitosos títulos deportivos, como NBA 2K y WWE 2K, con ventas de NBA 2K25 que superan los 11.5 millones de unidades y demuestran un crecimiento sustancial de la participación. Esto se ve reforzado aún más por la expansión de la asociación global multianual de la compañía con la NBA, la NBPA y la WNBA PA, junto con su relación extendida con la NBA G League y USA Basketball, lo que subraya la importancia estratégica y la inversión continua en empresas relacionadas con los deportes. El enfoque de la compañía en estas asociaciones y títulos destaca la importancia de las franquicias deportivas para su negocio.",,6478131,USD,SMART,STK
BATRA,EM,SP1,entertainment and media,sports_franchises,US0477261046,ATLANTA BRAVES HOLDINGS IN-A,10,"Opera una franquicia deportiva profesional, contribuyendo al panorama competitivo y a la actividad económica dentro de la industria deportiva.","La participación de la empresa en el tema de las franquicias deportivas está impulsada principalmente por su segmento de Béisbol, que se centra en el Club de Béisbol de las Grandes Ligas Atlanta Braves y su estadio. Este segmento genera ingresos de diversas fuentes, como la venta de entradas, las concesiones, los derechos de transmisión, los patrocinios publicitarios y los flujos de ingresos compartidos de la MLB. Dado que el Club de Béisbol de las Grandes Ligas Atlanta Braves es un importante generador de ingresos, esto pone de relieve la importancia estratégica de las franquicias deportivas para la empresa.","[{'name': 'batra-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/batra-Q225-10-Q.html'}]",641665724,USD,SMART,STK
