type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
technology,low_code_no_code_development,US5949181045,MICROSOFT CORP,1,"Proporciona un conjunto completo de herramientas de desarrollo low-code/no-code, incluyendo Power Apps y Power Automate, que permiten el desarrollo rápido de aplicaciones y la automatización para empresas de diversas industrias.","La participación de Microsoft en el Desarrollo de Código Bajo/Sin Código es evidente a través de su Power Platform, que cuenta con 56 millones de usuarios activos mensuales y es reconocida como una plataforma líder para creadores de IA. Esta plataforma permite a los usuarios construir aplicaciones y optimizar procesos con una codificación mínima. Además, el Copilot Studio de Microsoft permite a los clientes ampliar las capacidades de Copilot y diseñar agentes personalizados utilizando métodos de código bajo o sin código, con más de 230.000 organizaciones que ya utilizan la plataforma y más de 1 millón de agentes personalizados creados.",272093,USD,MSFT,SMART,STK,True,,LOW
technology,low_code_no_code_development,US79466L3024,SALESFORCE INC,2,"Proporciona una plataforma integral que permite a los usuarios crear y desplegar aplicaciones rápidamente con una codificación mínima, lo que contribuye significativamente a la expansión y adopción de soluciones de desarrollo de bajo código y sin código.",,29624264,USD,CRM,SMART,STK,True,,LOW
technology,low_code_no_code_development,US81762P1021,SERVICENOW INC,3,Ofrece una plataforma líder que permite a las empresas desarrollar aplicaciones rápidamente y automatizar flujos de trabajo utilizando herramientas de bajo código y sin código.,,109911821,USD,NOW,SMART,STK,True,,LOW
technology,low_code_no_code_development,DE0007164600,SAP SE,4,"Proporciona amplias capacidades de desarrollo low-code/no-code dentro de su ecosistema de software empresarial, permitiendo a las empresas crear y personalizar aplicaciones rápidamente.",,14204,EUR,SAP,SMART,STK,False,,LOW
technology,low_code_no_code_development,DE0007236101,SIEMENS AG-REG,5,Participa en el tema de Desarrollo Low Code/No Code.,,14217,EUR,SIE,SMART,STK,False,,LOW
technology,low_code_no_code_development,US03782L1017,APPIAN CORP-A,6,"Proporciona una plataforma integral de bajo código que permite a las organizaciones crear, implementar y administrar rápidamente aplicaciones empresariales, acelerando las iniciativas de transformación digital.","La plataforma de Appian integra estrechamente el diseño low-code, que es un componente clave de sus capacidades de automatización robótica de procesos (RPA) e integración de API, lo que permite a los clientes crear bots y conectar sistemas con herramientas low-code. La plataforma Appian permite a los usuarios diseñar, automatizar y optimizar procesos comerciales de principio a fin, alineándose con los principios de desarrollo low-code/no-code. Appian integra varias capacidades, que incluyen data fabric, RPA, procesamiento inteligente de documentos, IA generativa, agentes de IA, diseño low-code, API, reglas de negocio e inteligencia de procesos, en una única plataforma, destacando la importancia del low-code dentro de su conjunto más amplio de herramientas.",277374861,USD,APPN,SMART,STK,False,"[{'name': 'appn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appn-Q125-10-Q.html'}, {'name': 'appn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appn-Q225-10-Q.html'}, {'name': 'appn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/appn-FY24-10-K.html'}]",LOW
technology,low_code_no_code_development,US7055731035,PEGASYSTEMS INC,7,Proporciona plataformas y herramientas integrales para el tema de Desarrollo Low Code/No Code.,"La participación de Pega en el Desarrollo Low Code/No Code es evidente a través de su plataforma Pega Infinity, que está diseñada como una plataforma de automatización de procesos y toma de decisiones nativa en la nube de bajo código que traduce los diseños de aplicaciones en aplicaciones listas para producción sin codificación. La plataforma permite un proceso de desarrollo intuitivo donde los flujos de trabajo de lógica de negocio, las interfaces de usuario y las estructuras de datos se configuran a través de componentes de diseño reutilizables. Las aplicaciones se definen a través de modelos en lugar de enfoques codificados manualmente, y los diseños generados por Blueprint son completamente ejecutables en Pega Infinity.",4816398,USD,PEGA,SMART,STK,True,,LOW
technology,low_code_no_code_development,US68389X1054,ORACLE CORP,8,"Proporciona una plataforma integral de desarrollo de bajo código, Oracle APEX, e integra capacidades de bajo código dentro de su infraestructura en la nube y aplicaciones empresariales para permitir el desarrollo rápido de aplicaciones.",,272800,USD,ORCL,SMART,STK,True,,LOW
technology,low_code_no_code_development,US90364P1057,UIPATH INC - CLASS A,9,"Proporciona una plataforma que permite la creación de soluciones de automatización a través del desarrollo de bajo código/sin código, capacitando a los usuarios para diseñar e implementar procesos robóticos sin un conocimiento de programación extenso.","UiPath proporciona herramientas y entornos que admiten enfoques tanto sin código como de código profesional para la creación de agentes, lo que demuestra su participación en el tema de Desarrollo de Código Bajo/Sin Código. El UiPath Playground ofrece un entorno sin registro donde los clientes pueden probar y preconstruir soluciones de agentes, lo que refleja la accesibilidad que aporta el código bajo al desarrollo de agentes. Sin embargo, UiPath también reconoce la creciente demanda de flexibilidad de código profesional debido a la creciente complejidad, lo que ha llevado al lanzamiento de UiPath Coded Agents, que permite a los desarrolladores personalizar e implementar agentes seguros. Este doble enfoque indica una estrategia que reconoce la importancia tanto de la accesibilidad del código bajo como de la necesidad de personalización avanzada.",483311199,USD,PATH,SMART,STK,False,,LOW
technology,low_code_no_code_development,IL0011301780,WIX.COM LTD,10,"Proporciona una plataforma que permite a los usuarios crear y gestionar presencias en línea profesionales a través de herramientas intuitivas de arrastrar y soltar, reduciendo significativamente la necesidad de experiencia tradicional en codificación y desarrollo.",,137867351,USD,WIX,SMART,STK,False,,LOW
