industry,theme,isin_code,name,rank,description,evidence,evidenceSources,conid,currency,symbol,exchange,assetType,navigable,theme_id
technology,robotic_process_automation,US90364P1057,UIPATH INC - CLASS A,1,"Proporciona plataformas de software y servicios fundamentales para la Automatización Robótica de Procesos, permitiendo a las empresas automatizar tareas repetitivas y optimizar las operaciones comerciales.","UiPath tiene fuertes vínculos con la Automatización Robótica de Procesos, ya que la empresa se centró inicialmente en la creación y gestión de automatizaciones, comenzando con la tecnología de visión por computadora y la automatización de la interfaz de usuario en su oferta de automatización robótica de procesos, que sigue siendo la base de su plataforma hoy en día. UiPath es reconocido como líder en el Cuadrante Mágico de Gartner para la Automatización Robótica de Procesos y proporciona capacidades de RPA y automatización de API de nivel empresarial. Más del 95% de los nuevos clientes incluyen capacidades de automatización básicas, y la automatización determinista de la empresa sigue siendo un punto de entrada de alto ROI y baja barrera para los nuevos clientes. Además, UiPath se centra en la Automatización Agente, con el lanzamiento de su plataforma de Automatización Agente siendo una de sus introducciones de productos más importantes y exitosas, que une la automatización determinista y probabilística.","[{'name': 'path-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/path-FY25-10-K.html'}, {'name': 'path-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/path-Q325-10-Q.html'}, {'name': 'path-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/path-Q126-10-Q.html'}]",483311199,USD,PATH,SMART,STK,False,RO1
technology,robotic_process_automation,US5949181045,MICROSOFT CORP,2,"Contribuye a la Automatización Robótica de Procesos al ofrecer su plataforma Power Automate, que permite a las organizaciones automatizar tareas y flujos de trabajo repetitivos en diversas aplicaciones y servicios.",,,272093,USD,MSFT,SMART,STK,True,RO1
technology,robotic_process_automation,US78467J1007,SS&C TECHNOLOGIES HOLDINGS,3,Impulsa la eficiencia operativa y la transformación digital dentro de los servicios financieros mediante el desarrollo e integración de capacidades de Automatización Robótica de Procesos en sus soluciones tecnológicas.,"El compromiso de SS&C con la Automatización Robótica de Procesos es evidente a través de sus inversiones estratégicas y el despliegue de trabajadores digitales. La compañía adquirió Blue Prism y la ha integrado en sus unidades de negocio para identificar flujos de trabajo y construir agentes de IA, desplegando varios miles de trabajadores digitales para automatizar tareas complejas. SS&C destaca que las nuevas tecnologías, incluida la RPA, están ganando terreno en la industria de la tecnología financiera, aumentando la eficiencia y reduciendo los errores. Los negocios de Automatización Inteligente y Análisis de la compañía contribuyen al crecimiento de los ingresos, lo que demuestra aún más la importancia de la RPA para SS&C.","[{'name': 'ssnc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ssnc-Q225-10-Q.html'}, {'name': 'ssnc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ssnc-FY24-10-K.html'}]",73911494,USD,SSNC,SMART,STK,False,RO1
technology,robotic_process_automation,US7055731035,PEGASYSTEMS INC,4,Proporciona tecnología y soluciones que permiten a las organizaciones implementar la automatización de procesos robóticos para optimizar las operaciones comerciales y mejorar la eficiencia.,"La plataforma de Pega ofrece capacidades de automatización de flujos de trabajo, un componente clave de la Automatización Robótica de Procesos, que permite a los clientes optimizar las operaciones y automatizar los procesos comerciales. La plataforma Pega Infinity, una plataforma de toma de decisiones y automatización de procesos nativa de la nube y de bajo código, apoya aún más esto al traducir los diseños de aplicaciones en aplicaciones listas para producción y maximizar el potencial de automatización a través de la optimización impulsada por IA. Si bien la automatización de flujos de trabajo es una capacidad central, no siempre se enfatiza explícitamente como una prioridad estratégica de primer nivel, sino más bien como un componente relevante de su solución general que optimiza las operaciones y automatiza los procesos comerciales para marcas y agencias gubernamentales.","[{'name': 'pega-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pega-Q225-10-Q.html'}, {'name': 'pega-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pega-Q125-10-Q.html'}, {'name': 'pega-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pega-FY24-10-K.html'}]",4816398,USD,PEGA,SMART,STK,True,RO1
technology,robotic_process_automation,US4592001014,INTL BUSINESS MACHINES CORP,5,"Desarrolla e implementa soluciones de automatización inteligente, incluidas tecnologías de Automatización Robótica de Procesos, para optimizar procesos empresariales complejos y mejorar la eficiencia operativa para las empresas.",,,8314,USD,IBM,SMART,STK,True,RO1
technology,robotic_process_automation,US81762P1021,SERVICENOW INC,6,Integra capacidades de automatización robótica de procesos en su plataforma para mejorar la automatización de flujos de trabajo empresariales y las iniciativas de transformación digital.,"El compromiso de ServiceNow con la Automatización Robótica de Procesos es evidente a través de su Now Platform, que automatiza los flujos de trabajo en empresas conectando departamentos y sistemas dispares. Esta plataforma aprovecha la IA y el aprendizaje automático integrados para unificar y digitalizar los flujos de trabajo, mejorando la productividad y la experiencia de empleados y clientes. Los agentes de IA de ServiceNow son instrumentales en la ejecución de tareas y la obtención de resultados en diversos procesos de negocio, con aplicaciones en hire-to-retire, procure-to-pay y otros flujos de trabajo. Además, ServiceNow utiliza sus innovaciones de IA internamente, como CodeAssist y CodeGeneration, para mejorar la capacidad de sus ingenieros.","[{'name': 'now-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/now-Q324-10-Q.html'}, {'name': 'now-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/now-FY24-10-K.html'}]",109911821,USD,NOW,SMART,STK,True,RO1
technology,robotic_process_automation,US03782L1017,APPIAN CORP-A,7,Proporciona una plataforma de automatización de bajo código que integra y orquesta la Automatización Robótica de Procesos para optimizar procesos empresariales complejos.,"Appian integra capacidades de Automatización Robótica de Procesos (RPA) en su plataforma, permitiendo a los clientes automatizar tareas repetitivas a través del desarrollo de bots de bajo código. La integración de RPA en la plataforma se destaca por el uso de agentes de IA de Appian para acelerar el procesamiento de solicitudes de clientes, clasificar formularios y extraer datos, optimizando los flujos de trabajo de back-office y potencialmente generando ahorros significativos de costos. Al consolidar los flujos de trabajo de back-office en la plataforma Appian, los clientes pueden ejecutar procesos centrales más rápido, lo que demuestra la aplicación práctica y la importancia de RPA dentro de las ofertas de Appian. La plataforma de Appian integra estrechamente RPA junto con otras capacidades como data fabric, procesamiento inteligente de documentos y agentes de IA.","[{'name': 'appn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appn-Q225-10-Q.html'}, {'name': 'appn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appn-Q125-10-Q.html'}]",277374861,USD,APPN,SMART,STK,False,RO1
technology,robotic_process_automation,US1924461023,COGNIZANT TECH SOLUTIONS-A,8,"Proporciona servicios de consultoría, implementación y gestión para soluciones de Automatización Robótica de Procesos, permitiendo a los clientes automatizar procesos de negocio y mejorar la eficiencia operativa.","La participación de Cognizant con la Automatización Robótica de Procesos es evidente a través de sus servicios colaborativos, que incluyen servicios de procesos de negocio y automatización. La empresa aprovecha la automatización para empoderar a los profesionales de atención al cliente y mejorar las experiencias de los mismos, como se ve en su acuerdo con Lineage. Además, Cognizant introduce soluciones impulsadas por IA con automatización inteligente para bancos del mercado medio, y utiliza la automatización para mejorar la eficiencia operativa, lo que refleja la aplicación de la automatización por parte de la empresa en diversos sectores.","[{'name': 'ctsh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ctsh-Q324-10-Q.html'}]",4728759,USD,CTSH,SMART,STK,True,RO1
technology,robotic_process_automation,BMG3922B1072,GENPACT LTD,9,Contribuye al dominio de la Automatización Robótica de Procesos.,"La participación de Genpact en la Automatización Robótica de Procesos es evidente a través de sus soluciones impulsadas por IA destinadas a mejorar la productividad. La empresa ha lanzado más de 215 soluciones GenAI y está experimentando un éxito temprano con soluciones agentivas, incluida su primera solución agentiva para cuentas por pagar, que reduce el esfuerzo manual y acelera el procesamiento. Además, el 'Marco de Ejecución 3+1' de Genpact enfatiza Datos-Tecnología-IA y la simplificación, optimizando los procesos y mejorando la eficiencia operativa, mientras que las eficiencias lideradas por IA han permitido la reducción de personal en TI y RR. HH.",,45411028,USD,G,SMART,STK,True,RO1
technology,robotic_process_automation,LU0974299876,GLOBANT SA,10,Proporciona servicios y soluciones que permiten la implementación y optimización de la Automatización Robótica de Procesos para clientes de diversas industrias.,"La participación de Globant en la Automatización Robótica de Procesos es evidente en su modelo de suscripción impulsado por IA, que facilita la entrega continua de automatización de procesos comerciales. Este modelo reimagina la entrega de servicios de ingeniería, creatividad y automatización a través de un marco basado en el consumo, alineando los incentivos en torno a los resultados del cliente. Además, Globant tiene como objetivo mejorar la gestión de la cadena de suministro utilizando IA Agentic, creando un modelo operativo integrado que aprende y evoluciona continuamente.",,160756766,USD,GLOB,SMART,STK,False,RO1
